position,solved,time_rel,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,board_size,board_type,condition,time_rel_sec
2_2,solvedCorrect,1,17e120dd,,logs/6_hard_full_dec19,1,0.001,1.51192E+12,1.51192E+12,1,TRUE,1,6,hard,full,0.001
2_3,solvedCorrect,7008,17e120dd,click,logs/6_hard_full_dec19,2,7.007,1.51192E+12,1.51192E+12,2,FALSE,2,6,hard,full,7.008
4_3,solvedCorrect,10130,17e120dd,click,logs/6_hard_full_dec19,1,3.122,1.51192E+12,1.51192E+12,3,FALSE,3,6,hard,full,10.13
0_2,solvedCorrect,23449,17e120dd,click,logs/6_hard_full_dec19,2,13.319,1.51192E+12,1.51192E+12,4,FALSE,4,6,hard,full,23.449
2_3,solvedCorrect,41520,17e120dd,undo,logs/6_hard_full_dec19,1,0.784,1.51192E+12,1.51192E+12,5,TRUE,1,6,hard,full,41.52
2_2,solvedCorrect,50556,17e120dd,click,logs/6_hard_full_dec19,2,9.036,1.51192E+12,1.51192E+12,6,FALSE,2,6,hard,full,50.556
0_2,solvedCorrect,68651,17e120dd,undo,logs/6_hard_full_dec19,1,8.669,1.51192E+12,1.51192E+12,7,TRUE,1,6,hard,full,68.651
2_2,solvedCorrect,69899,17e120dd,click,logs/6_hard_full_dec19,2,1.248,1.51192E+12,1.51192E+12,8,FALSE,2,6,hard,full,69.899
0_2,solvedCorrect,87082,17e120dd,reset,logs/6_hard_full_dec19,1,10.456,1.51192E+12,1.51192E+12,9,TRUE,1,6,hard,full,87.082
2_2,solvedCorrect,94379,17e120dd,click,logs/6_hard_full_dec19,2,7.297,1.51192E+12,1.51192E+12,10,FALSE,2,6,hard,full,94.379
2_2,solvedCorrect,107926,17e120dd,reset,logs/6_hard_full_dec19,1,6.965,1.51192E+12,1.51192E+12,11,TRUE,1,6,hard,full,107.926
2_3,solvedCorrect,111753,17e120dd,click,logs/6_hard_full_dec19,2,3.827,1.51192E+12,1.51192E+12,12,FALSE,2,6,hard,full,111.753
0_3,solvedCorrect,122206,17e120dd,reset,logs/6_hard_full_dec19,1,0.859,1.51192E+12,1.51192E+12,13,TRUE,1,6,hard,full,122.206
3_0,solvedCorrect,125698,17e120dd,click,logs/6_hard_full_dec19,2,3.492,1.51192E+12,1.51192E+12,14,FALSE,2,6,hard,full,125.698
2_2,solvedCorrect,149949,17e120dd,click,logs/6_hard_full_dec19,1,24.251,1.51192E+12,1.51192E+12,15,FALSE,3,6,hard,full,149.949
2_3,solvedCorrect,154017,17e120dd,click,logs/6_hard_full_dec19,2,4.068,1.51192E+12,1.51192E+12,16,FALSE,4,6,hard,full,154.017
4_3,solvedCorrect,156717,17e120dd,click,logs/6_hard_full_dec19,1,2.7,1.51192E+12,1.51192E+12,17,FALSE,5,6,hard,full,156.717
3_2,solvedCorrect,167661,17e120dd,click,logs/6_hard_full_dec19,2,10.944,1.51192E+12,1.51192E+12,18,FALSE,6,6,hard,full,167.661
1_5,solvedCorrect,185876,17e120dd,click,logs/6_hard_full_dec19,1,18.215,1.51192E+12,1.51192E+12,19,FALSE,7,6,hard,full,185.876
0_3,solvedCorrect,199436,17e120dd,reset,logs/6_hard_full_dec19,1,0.523,1.51192E+12,1.51192E+12,20,TRUE,1,6,hard,full,199.436
4_0,solvedCorrect,201798,17e120dd,click,logs/6_hard_full_dec19,2,2.362,1.51192E+12,1.51192E+12,21,FALSE,2,6,hard,full,201.798
3_0,solvedCorrect,203599,17e120dd,undo,logs/6_hard_full_dec19,2,0.543,1.51192E+12,1.51192E+12,22,FALSE,2,6,hard,full,203.599
2_3,solvedCorrect,215776,17e120dd,click,logs/6_hard_full_dec19,1,12.177,1.51192E+12,1.51192E+12,23,FALSE,3,6,hard,full,215.776
2_2,solvedCorrect,224155,17e120dd,click,logs/6_hard_full_dec19,2,8.379,1.51192E+12,1.51192E+12,24,FALSE,4,6,hard,full,224.155
0_3,solvedCorrect,229038,17e120dd,reset,logs/6_hard_full_dec19,1,1.326,1.51192E+12,1.51192E+12,25,TRUE,1,6,hard,full,229.038
3_0,solvedCorrect,229914,17e120dd,click,logs/6_hard_full_dec19,2,0.876,1.51192E+12,1.51192E+12,26,FALSE,2,6,hard,full,229.914
2_2,solvedCorrect,232315,17e120dd,click,logs/6_hard_full_dec19,1,2.401,1.51192E+12,1.51192E+12,27,FALSE,3,6,hard,full,232.315
2_3,solvedCorrect,243654,17e120dd,click,logs/6_hard_full_dec19,2,11.339,1.51192E+12,1.51192E+12,28,FALSE,4,6,hard,full,243.654
4_3,solvedCorrect,245922,17e120dd,click,logs/6_hard_full_dec19,1,2.268,1.51192E+12,1.51192E+12,29,FALSE,5,6,hard,full,245.922
3_2,solvedCorrect,262542,17e120dd,click,logs/6_hard_full_dec19,2,16.62,1.51192E+12,1.51192E+12,30,FALSE,6,6,hard,full,262.542
4_2,solvedCorrect,267401,17e120dd,undo,logs/6_hard_full_dec19,2,0.369,1.51192E+12,1.51192E+12,31,FALSE,6,6,hard,full,267.401
2_4,solvedCorrect,275586,17e120dd,click,logs/6_hard_full_dec19,1,8.185,1.51192E+12,1.51192E+12,32,FALSE,7,6,hard,full,275.586
1_4,solvedCorrect,296440,17e120dd,click,logs/6_hard_full_dec19,2,20.854,1.51192E+12,1.51192E+12,33,FALSE,8,6,hard,full,296.44
3_4,solvedCorrect,300101,17e120dd,click,logs/6_hard_full_dec19,1,3.661,1.51192E+12,1.51192E+12,34,FALSE,9,6,hard,full,300.101
4_3,solvedCorrect,323945,17e120dd,undo,logs/6_hard_full_dec19,1,2.115,1.51192E+12,1.51192E+12,35,FALSE,5,6,hard,full,323.945
1_0,solvedCorrect,338068,17e120dd,click,logs/6_hard_full_dec19,2,14.123,1.51192E+12,1.51192E+12,36,FALSE,6,6,hard,full,338.068
0_2,solvedCorrect,349792,17e120dd,undo,logs/6_hard_full_dec19,2,4.932,1.51192E+12,1.51192E+12,37,FALSE,6,6,hard,full,349.792
3_2,solvedCorrect,351088,17e120dd,click,logs/6_hard_full_dec19,1,1.296,1.51192E+12,1.51192E+12,38,FALSE,7,6,hard,full,351.088
1_0,solvedCorrect,359271,17e120dd,click,logs/6_hard_full_dec19,2,8.183,1.51192E+12,1.51192E+12,39,FALSE,8,6,hard,full,359.271
4_2,solvedCorrect,367695,17e120dd,click,logs/6_hard_full_dec19,1,8.424,1.51192E+12,1.51192E+12,40,FALSE,9,6,hard,full,367.695
0_3,solvedCorrect,1,18dac9ef,,logs/6_hard_full_dec19,1,0.001,1.51354E+12,1.51354E+12,1,TRUE,1,6,hard,full,0.001
3_0,solvedCorrect,7182,18dac9ef,click,logs/6_hard_full_dec19,2,7.181,1.51354E+12,1.51354E+12,2,FALSE,2,6,hard,full,7.182
0_5,solvedCorrect,22550,18dac9ef,click,logs/6_hard_full_dec19,1,15.368,1.51354E+12,1.51354E+12,3,FALSE,3,6,hard,full,22.55
2_3,solvedCorrect,24685,18dac9ef,click,logs/6_hard_full_dec19,2,2.135,1.51354E+12,1.51354E+12,4,FALSE,4,6,hard,full,24.685
0_2,solvedCorrect,25671,18dac9ef,click,logs/6_hard_full_dec19,1,0.986,1.51354E+12,1.51354E+12,5,FALSE,5,6,hard,full,25.671
2_2,wrong,2,20bfd7bd,,logs/6_hard_full_dec19,1,0.002,1.51191E+12,1.51191E+12,1,TRUE,1,6,hard,full,0.002
2_3,wrong,4826,20bfd7bd,click,logs/6_hard_full_dec19,2,4.824,1.51191E+12,1.51191E+12,2,FALSE,2,6,hard,full,4.826
3_2,wrong,12560,20bfd7bd,click,logs/6_hard_full_dec19,1,7.734,1.51191E+12,1.51191E+12,3,FALSE,3,6,hard,full,12.56
4_3,wrong,15093,20bfd7bd,click,logs/6_hard_full_dec19,2,2.533,1.51191E+12,1.51191E+12,4,FALSE,4,6,hard,full,15.093
