,condition,entropy
0,Full,0.2591495701424813
1,Truncated,0.7189971857376155
2,Full,0.29079632891534235
3,Truncated,0.7318355411577961
4,Full,0.3247077932880664
5,Truncated,0.6104853498128842
6,Full,0.3439998775786146
7,Truncated,0.6935362728750837
8,Full,0.2607442289158177
9,Truncated,0.7424308887484635
10,Full,0.345283398294121
11,Truncated,0.7815083600217755
12,Full,0.3367074655445866
13,Truncated,0.669878975337359
14,Full,0.24559905840485882
15,Truncated,0.6057956854916582
16,Full,0.2531945512533625
17,Truncated,0.6998177670198842
18,Full,0.32092934609082524
19,Truncated,0.8429379689515822
20,Full,0.2702505591015489
21,Truncated,0.7623853294877758
22,Full,0.30864997161260205
23,Truncated,0.7143331028669878
24,Full,0.2807426291885823
25,Truncated,0.6958055161297111
26,Full,0.23323092736559733
27,Truncated,0.6336984929168803
28,Full,0.34349747950413995
29,Truncated,0.612395045479698
30,Full,0.3741784966348141
31,Truncated,0.7242156783261143
32,Full,0.28443859287019535
33,Truncated,0.7112710336788025
34,Full,0.25885018526943404
35,Truncated,0.6739035988442
36,Full,0.31622165535008295
37,Truncated,0.7372895658839923
38,Full,0.29353237715386404
39,Truncated,0.5590806728398986
40,Full,0.2520324658906035
41,Truncated,0.6211991942133014
42,Full,0.3157177998682013
43,Truncated,0.7522830104843979
44,Full,0.20611153158353135
45,Truncated,0.6856158186321825
46,Full,0.34151539543799425
47,Truncated,0.6754905501934605
48,Full,0.24226779089332207
49,Truncated,0.5736523810431605
50,Full,0.19980831181303604
51,Truncated,0.592655196960194
52,Full,0.26411873537299807
53,Truncated,0.6290673684794139
54,Full,0.2485451329025544
55,Truncated,0.6893942960763436
56,Full,0.3223372056853929
57,Truncated,0.5739769670134297
58,Full,0.3449312748263334
59,Truncated,0.6299576028866186
60,Full,0.26139843251364825
61,Truncated,0.5716225895832118
62,Full,0.2793582324225047
63,Truncated,0.6814350387543885
64,Full,0.26523983681860014
65,Truncated,0.7961728403957844
66,Full,0.27579706343667015
67,Truncated,0.7083915777539229
68,Full,0.29603177751028387
69,Truncated,0.6718401650674372
70,Full,0.34590658440005356
71,Truncated,0.6812164758349096
72,Full,0.27053928766938734
73,Truncated,0.6889001114889436
74,Full,0.2810613485067153
75,Truncated,0.6348204564049085
76,Full,0.24335276992757637
77,Truncated,0.682395646641897
78,Full,0.2767767222567423
