,condition,entropy
0,Full,1.2722410102705264
1,Truncated,2.319955861025016
2,Full,1.1859437100705672
3,Truncated,2.381670013924436
4,Full,1.1891433465569905
5,Truncated,2.417937016143662
6,Full,1.1698794821798535
7,Truncated,2.3845480777903267
8,Full,1.163769500611541
9,Truncated,2.3604528328834853
10,Full,1.2400988532934991
11,Truncated,2.4469099936234944
12,Full,1.271881104977694
13,Truncated,2.4036097935291894
14,Full,1.172151645943034
15,Truncated,2.3805588098022943
16,Full,1.2288167333469675
17,Truncated,2.3157507917335276
18,Full,1.159708884615822
19,Truncated,2.397659887878092
20,Full,1.1527326021845827
21,Truncated,2.3768419072187905
22,Full,1.1754890607756256
23,Truncated,2.3641133004229515
24,Full,1.296475208255052
25,Truncated,2.3255673867908193
26,Full,1.160034120248401
27,Truncated,2.398797058698708
28,Full,1.1944514828520014
29,Truncated,2.3731527208015093
30,Full,1.0205302739755457
31,Truncated,2.40773720898997
32,Full,1.1171558308898644
33,Truncated,2.3409470301757667
34,Full,1.076390933648645
35,Truncated,2.321401301856968
36,Full,1.1529107547273663
37,Truncated,2.3566845186019667
38,Full,1.268964257393581
39,Truncated,2.3918195019499273
40,Full,1.0244234238318959
41,Truncated,2.372936353289289
42,Full,1.168910729133875
43,Truncated,2.3680698557239923
44,Full,1.2988543876473932
45,Truncated,2.3994992735771317
46,Full,1.1441327249238888
47,Truncated,2.3139590146951554
48,Full,1.183838289421371
49,Truncated,2.355661889438302
