,condition,entropy
0,Full,1.3336743144349827
1,Truncated,2.438276393627887
2,Full,1.412624332289839
3,Truncated,2.4380806786902687
4,Full,1.5401083995291371
5,Truncated,2.363680867544201
6,Full,1.4709996882371765
7,Truncated,2.36145776702355
8,Full,1.4153499379648224
9,Truncated,2.3982913725283908
10,Full,1.3589359225248907
11,Truncated,2.4303141934553674
12,Full,1.4575352426484756
13,Truncated,2.420975615230381
14,Full,1.492900126915543
15,Truncated,2.4134159551873084
16,Full,1.3397326608412339
17,Truncated,2.4372740207544714
18,Full,1.3671562366295826
19,Truncated,2.4158716117401973
20,Full,1.3261327636593827
21,Truncated,2.3855507700138805
22,Full,1.4766990402361808
23,Truncated,2.418972281254118
24,Full,1.4647212422890175
25,Truncated,2.40546148348607
26,Full,1.3622746686827116
27,Truncated,2.400615051583638
28,Full,1.3512489994051957
29,Truncated,2.3875923531147825
30,Full,1.4179515961864393
31,Truncated,2.4181307421162126
32,Full,1.402241634103326
33,Truncated,2.4152037972526417
34,Full,1.4075072178340993
35,Truncated,2.372113811381117
36,Full,1.3914978386882284
37,Truncated,2.4155891504917504
38,Full,1.383538312657158
39,Truncated,2.4291738655449704
40,Full,1.3954327482529862
41,Truncated,2.403671621994911
42,Full,1.362216503196842
43,Truncated,2.433809330438629
44,Full,1.430685826525853
45,Truncated,2.4399319927042797
46,Full,1.4990689295061332
47,Truncated,2.39922679613086
48,Full,1.4172774465098097
49,Truncated,2.4203612131443326
50,Full,1.4612059134803372
51,Truncated,2.427646987772657
52,Full,1.461990646175146
53,Truncated,2.434966588317633
54,Full,1.4465477622927754
55,Truncated,2.423714293373774
56,Full,1.4641916872335432
57,Truncated,2.425160834229298
58,Full,1.4196459068194214
59,Truncated,2.372788583889482
60,Full,1.3691822234955726
61,Truncated,2.437004045399064
62,Full,1.4284970212194013
63,Truncated,2.401903267273099
64,Full,1.4655721451921024
65,Truncated,2.3962219002669967
66,Full,1.394398667946552
67,Truncated,2.4143141156388794
68,Full,1.3726752212246656
69,Truncated,2.42699827817502
70,Full,1.3994085257537674
71,Truncated,2.395773197326382
72,Full,1.4507260233663448
73,Truncated,2.410529997291856
74,Full,1.4318126914751486
75,Truncated,2.4039003340161207
76,Full,1.420595859159229
77,Truncated,2.413347748253183
78,Full,1.3930824744902843
79,Truncated,2.4171551831103395
80,Full,1.3628439143154651
81,Truncated,2.4303870233765728
82,Full,1.4788287330814023
83,Truncated,2.384886700486657
84,Full,1.3766886278369455
85,Truncated,2.4102353892353388
86,Full,1.3770653554563903
87,Truncated,2.395771870249614
88,Full,1.4083999432609104
89,Truncated,2.435769012146277
90,Full,1.3846248203322375
91,Truncated,2.398101843842075
92,Full,1.3771274725559617
93,Truncated,2.3995635881640918
94,Full,1.5249457458523614
95,Truncated,2.400063224839827
96,Full,1.3922278947009787
97,Truncated,2.4103223802338682
98,Full,1.3859732181206166
99,Truncated,2.4285284969518157
100,Full,1.4512316379324401
101,Truncated,2.3922419356622724
102,Full,1.2921509121268406
103,Truncated,2.453140308583424
104,Full,1.4188631154164606
105,Truncated,2.448349655137057
106,Full,1.4019906306400904
107,Truncated,2.396055104679836
108,Full,1.4215369424430921
109,Truncated,2.3907131892138214
110,Full,1.2975596381985206
111,Truncated,2.3887446085252746
112,Full,1.4093971480423724
113,Truncated,2.400851718417221
114,Full,1.4032756179565253
115,Truncated,2.4091899607953073
116,Full,1.3588883667369616
117,Truncated,2.3875097884504948
118,Full,1.38877826027911
119,Truncated,2.394077823203461
120,Full,1.5035204847848898
121,Truncated,2.427808466152476
122,Full,1.3234388485196074
123,Truncated,2.4233801982333314
124,Full,1.3760574591450436
125,Truncated,2.412277945180348
126,Full,1.4293032237958365
127,Truncated,2.425625135806166
128,Full,1.4070010521855847
129,Truncated,2.3815007162694726
130,Full,1.3339863824546156
131,Truncated,2.4021396941347275
132,Full,1.4708565353658714
133,Truncated,2.387573841087761
134,Full,1.4629770910334545
135,Truncated,2.407988299122551
136,Full,1.2443817550195366
137,Truncated,2.424290971767447
138,Full,1.4809329008884
139,Truncated,2.4075537106079614
140,Full,1.4397706528140453
141,Truncated,2.4221694991703293
142,Full,1.4459817640666797
143,Truncated,2.4459916358859517
144,Full,1.4538181251084956
145,Truncated,2.356651854522995
146,Full,1.4081831820317485
147,Truncated,2.402417163223368
148,Full,1.4443490569261626
149,Truncated,2.402629073531463
150,Full,1.402853338524698
151,Truncated,2.4221590412023106
152,Full,1.4431106442791726
153,Truncated,2.446313093591963
154,Full,1.516661749914686
155,Truncated,2.4317200360400486
156,Full,1.3176119255590293
157,Truncated,2.4210162141282128
158,Full,1.5143395372000286
159,Truncated,2.3812001263375295
160,Full,1.4223346485579393
161,Truncated,2.4089715244308967
162,Full,1.506605447492951
163,Truncated,2.4379946833786663
164,Full,1.4346232978839428
165,Truncated,2.3983385296204256
166,Full,1.3534089130276956
167,Truncated,2.381170698171402
168,Full,1.3938049789133404
169,Truncated,2.404723156776343
170,Full,1.3581610773928603
171,Truncated,2.3946752756800174
172,Full,1.2489125040950837
173,Truncated,2.4406172341929806
174,Full,1.3810158767983514
175,Truncated,2.4079881475226776
176,Full,1.4567529574690843
177,Truncated,2.429223152749004
178,Full,1.4587719836567363
179,Truncated,2.389738981187391
180,Full,1.4896693123138423
181,Truncated,2.440195187114548
182,Full,1.4390658439874044
183,Truncated,2.4043382199214145
184,Full,1.4416713492997968
185,Truncated,2.4005713509701367
186,Full,1.4107337870864927
187,Truncated,2.3900584098323843
188,Full,1.3744385450018373
189,Truncated,2.4110270641558413
190,Full,1.3600330894530057
191,Truncated,2.4308078990887454
192,Full,1.4267752770446829
193,Truncated,2.3841985825942063
194,Full,1.4809889702459873
195,Truncated,2.362989274224323
196,Full,1.4614010946239155
197,Truncated,2.413181423475801
198,Full,1.4231793210751802
199,Truncated,2.38932511037412
200,Full,1.4821880990952612
201,Truncated,2.411063545487354
202,Full,1.5066698953952473
203,Truncated,2.4124965842513175
204,Full,1.3745696064117048
205,Truncated,2.45427273551958
206,Full,1.412599202772538
207,Truncated,2.427374598549634
208,Full,1.4706533322097812
209,Truncated,2.4243688537831263
210,Full,1.3902216939611018
211,Truncated,2.417931571324657
212,Full,1.3384291568783369
213,Truncated,2.400916052604418
214,Full,1.347551778284083
215,Truncated,2.4416971256660345
216,Full,1.4430465670391688
217,Truncated,2.432152676447922
218,Full,1.3037495251010203
219,Truncated,2.415949162679473
220,Full,1.3415402044373919
221,Truncated,2.428456734593469
222,Full,1.2946394352815545
223,Truncated,2.411103962402282
224,Full,1.375221473711465
225,Truncated,2.4138895713932538
226,Full,1.3895902313821753
227,Truncated,2.4417495164402063
228,Full,1.4842777715415827
229,Truncated,2.396087760711121
230,Full,1.5045263896813528
231,Truncated,2.3746750499636193
232,Full,1.3861894210666326
233,Truncated,2.375161476227798
234,Full,1.4658244253373804
235,Truncated,2.4355505920401517
236,Full,1.42719213101982
237,Truncated,2.4066174534711635
238,Full,1.4834751083762938
239,Truncated,2.4266956994377367
