userid,board_name,solved,explore_time,size,type,condition,exploit_time,explore_time_sec,id_fake
7cc119e0,6_easy_pruned,validatedCorrect,437,6,easy,pruned,0,0.437,1
4cffe209,10_medium_full,wrong,493,10,medium,full,0,0.493,2
a0f4f1bf,6_hard_pruned,wrong,494,6,hard,pruned,0,0.494,3
55c68fc5,10_easy_full,wrong,506,10,easy,full,0,0.506,4
86f6e2cb,6_easy_full,wrong,524,6,easy,full,0,0.524,5
ecefd3a0,10_medium_pruned,validatedCorrect,645,10,medium,pruned,0,0.645,6
23b6924e,10_easy_full,solvedCorrect,680,10,easy,full,0,0.68,7
9dc50a3d,6_hard_full,solvedCorrect,684,6,hard,full,0,0.684,8
cdc50047,10_easy_pruned,validatedCorrect,693,10,easy,pruned,0,0.693,9
7acbc3e2,6_easy_pruned,validatedCorrect,724,6,easy,pruned,0,0.724,10
26e680e4,10_easy_full,wrong,725,10,easy,full,0,0.725,11
acc6e9d4,10_easy_full,wrong,739,10,easy,full,0,0.739,12
c8a4fa50,6_hard_full,wrong,756,6,hard,full,0,0.756,13
c3dfd812,10_easy_pruned,validatedCorrect,772,10,easy,pruned,0,0.772,14
c0dfd341,10_easy_full,wrong,791,10,easy,full,0,0.791,15
54d4fd9d,10_medium_full,wrong,817,10,medium,full,0,0.817,16
89cbc391,10_easy_full,wrong,833,10,easy,full,0,0.833,17
acc6e9d4,10_easy_full,wrong,835,10,easy,full,0,0.835,18
4ed755f1,6_easy_full,validatedCorrect,846,6,easy,full,0,0.846,19
23b6924e,10_easy_full,solvedCorrect,862,10,easy,full,0,0.862,20
c7a67aab,6_hard_full,wrong,869,6,hard,full,0,0.869,21
8fcbec83,6_hard_full,validatedCorrect,929,6,hard,full,0,0.929,22
65f68460,10_hard_full,solvedCorrect,929,10,hard,full,0,0.929,23
eec719ce,10_easy_pruned,wrong,952,10,easy,pruned,0,0.952,24
8df4f6e8,6_easy_full,wrong,953,6,easy,full,0,0.953,25
6ac7311a,10_easy_full,wrong,956,10,easy,full,0,0.956,26
94abbfb2,6_easy_pruned,validatedCorrect,978,6,easy,pruned,0,0.978,27
b0d518a1,6_hard_full,wrong,1005,6,hard,full,0,1.005,28
7dea8d37,10_hard_pruned,wrong,1024,10,hard,pruned,0,1.024,29
89cbc391,10_easy_full,wrong,1027,10,easy,full,0,1.027,30
18c75602,10_medium_full,validatedCorrect,1045,10,medium,full,0,1.045,31
7bf4bf38,6_hard_full,wrong,1060,6,hard,full,0,1.06,32
c3dfd812,10_easy_pruned,validatedCorrect,1075,10,easy,pruned,0,1.075,33
89cbc391,10_easy_full,wrong,1100,10,easy,full,540,1.1,34
70bffd4d,10_easy_full,wrong,1105,10,easy,full,0,1.105,35
c8a4fa50,6_hard_full,wrong,1116,6,hard,full,0,1.116,36
2dca846d,6_easy_pruned,solvedCorrect,1118,6,easy,pruned,274,1.118,37
4ed4c1d3,6_hard_full,wrong,1129,6,hard,full,0,1.129,38
5adff9a5,6_hard_pruned,wrong,1182,6,hard,pruned,0,1.182,39
18a695e2,10_hard_pruned,wrong,1203,10,hard,pruned,0,1.203,40
69bad0fe,6_hard_full,wrong,1212,6,hard,full,353,1.212,41
26dbf6e9,6_hard_full,wrong,1234,6,hard,full,534,1.234,42
89cbc391,10_easy_full,wrong,1254,10,easy,full,506,1.254,43
31f6a576,10_hard_pruned,validatedCorrect,1280,10,hard,pruned,0,1.28,44
dfa705b9,6_easy_pruned,validatedCorrect,1281,6,easy,pruned,0,1.281,45
5adff9a5,6_hard_pruned,wrong,1285,6,hard,pruned,0,1.285,46
4de4f27d,10_medium_full,wrong,1348,10,medium,full,474,1.348,47
8ea4bf56,6_hard_full,wrong,1390,6,hard,full,0,1.39,48
cdc50047,10_easy_pruned,validatedCorrect,1407,10,easy,pruned,0,1.407,49
e9b10766,10_medium_pruned,validatedCorrect,1459,10,medium,pruned,0,1.459,50
b0d518a1,6_hard_full,wrong,1478,6,hard,full,505,1.478,51
69bad0fe,6_hard_full,wrong,1496,6,hard,full,0,1.496,52
7cf6845b,10_hard_full,wrong,1521,10,hard,full,0,1.521,53
ecefd3a0,10_medium_pruned,validatedCorrect,1548,10,medium,pruned,336,1.548,54
92a70054,10_easy_full,validatedCorrect,1557,10,easy,full,0,1.557,55
89cbc391,10_easy_full,wrong,1562,10,easy,full,775,1.562,56
cefc077d,10_medium_pruned,validatedCorrect,1574,10,medium,pruned,0,1.574,57
87cfed83,10_hard_full,validatedCorrect,1603,10,hard,full,0,1.603,58
94d6ef33,6_hard_full,wrong,1662,6,hard,full,0,1.662,59
40a74de0,6_easy_full,validatedCorrect,1670,6,easy,full,0,1.67,60
f0ebc21e,10_hard_full,wrong,1680,10,hard,full,0,1.68,61
aceaccbc,10_hard_full,validatedCorrect,1685,10,hard,full,0,1.685,62
34cffc40,6_easy_full,wrong,1699,6,easy,full,0,1.699,63
89fbc220,10_medium_full,wrong,1735,10,medium,full,0,1.735,64
a6bff327,6_easy_full,wrong,1746,6,easy,full,0,1.746,65
91cfd7fb,6_hard_full,wrong,1753,6,hard,full,0,1.753,66
cce7504c,10_hard_pruned,solvedCorrect,1766,10,hard,pruned,0,1.766,67
a7b511d6,10_medium_full,wrong,1785,10,medium,full,0,1.785,68
b0c6f3a8,10_medium_pruned,validatedCorrect,1822,10,medium,pruned,748,1.822,69
fedbec09,10_easy_full,wrong,1837,10,easy,full,0,1.837,70
4de4f27d,10_medium_full,wrong,1838,10,medium,full,0,1.838,71
b9bbef4c,10_easy_full,wrong,1840,10,easy,full,0,1.84,72
3bac0799,6_easy_full,wrong,1879,6,easy,full,0,1.879,73
b5b6dcbc,10_hard_full,solvedCorrect,1940,10,hard,full,0,1.94,74
d1cac84b,10_hard_pruned,wrong,1945,10,hard,pruned,1093,1.945,75
55c68fc5,10_easy_full,wrong,1952,10,easy,full,0,1.952,76
75ffd9e8,10_hard_full,validatedCorrect,1955,10,hard,full,0,1.955,77
acc6e9d4,10_easy_full,wrong,1955,10,easy,full,0,1.955,78
89cbc391,10_easy_full,wrong,2014,10,easy,full,1252,2.014,79
