,board,size,type,condition,correct,inverse_computation,move_limit,noise,shutter_size,size_type
0,10_easy_full,10,easy,full,0.286,0.002923071,30,0.5,0,10_easy
1,10_easy_pruned,10,easy,pruned,0.446,0.003188592,30,0.5,0,10_easy
2,10_easy_pruned,10,easy,pruned,0.518,0.000986032,30,0.5,2,10_easy
3,10_hard_full,10,hard,full,0.256,0.002810378,30,0.5,0,10_hard
4,10_hard_pruned,10,hard,pruned,0.128,0.002780512,30,0.5,0,10_hard
5,10_medium_full,10,medium,full,0.106,0.002514736,30,0.5,0,10_medium
6,10_medium_full,10,medium,full,0.13,0.001202657,30,0.5,0.5,10_medium
7,10_medium_pruned,10,medium,pruned,0.296,0.002736847,30,0.5,0,10_medium
8,10_medium_pruned,10,medium,pruned,0.314,0.001300728,30,0.5,0.5,10_medium
9,10_medium_pruned,10,medium,pruned,0.35,0.001111682,30,0.5,1,10_medium
10,10_medium_pruned,10,medium,pruned,0.37,0.000806677,30,0.5,2,10_medium
11,6_easy_full,6,easy,full,0.608,0.013502201,30,0.5,0,6_easy
12,6_easy_full,6,easy,full,0.7,0.008538543,30,0.5,0.5,6_easy
13,6_easy_pruned,6,easy,pruned,0.83,0.015414496,30,0.5,0,6_easy
14,6_hard_full,6,hard,full,0.202,0.006156877,30,0.5,0,6_hard
15,6_hard_pruned,6,hard,pruned,0.17,0.006738908,30,0.5,0,6_hard
16,6_hard_pruned,6,hard,pruned,0.194,0.003701401,30,0.5,0.5,6_hard
17,10_easy_full,10,easy,full,0.204,0.002924832,30,1,0,10_easy
18,10_easy_full,10,easy,full,0.244,0.001397351,30,1,0.5,10_easy
19,10_easy_full,10,easy,full,0.262,0.001156428,30,1,1,10_easy
20,10_easy_pruned,10,easy,pruned,0.396,0.003222044,30,1,0,10_easy
21,10_easy_pruned,10,easy,pruned,0.446,0.0015199,30,1,0.5,10_easy
22,10_hard_full,10,hard,full,0.198,0.002809746,30,1,0,10_hard
23,10_hard_pruned,10,hard,pruned,0.084,0.002788265,30,1,0,10_hard
24,10_hard_pruned,10,hard,pruned,0.096,0.001392793,30,1,0.5,10_hard
25,10_hard_pruned,10,hard,pruned,0.112,0.001121006,30,1,1,10_hard
26,10_hard_pruned,10,hard,pruned,0.132,0.000765827,30,1,2,10_hard
27,10_medium_full,10,medium,full,0.086,0.002539876,30,1,0,10_medium
28,10_medium_full,10,medium,full,0.102,0.001016202,30,1,1,10_medium
29,10_medium_pruned,10,medium,pruned,0.312,0.002789322,30,1,0,10_medium
30,10_medium_pruned,10,medium,pruned,0.342,0.00082092,30,1,2,10_medium
31,6_easy_full,6,easy,full,0.566,0.013206899,30,1,0,6_easy
32,6_easy_full,6,easy,full,0.612,0.008324315,30,1,0.5,6_easy
33,6_easy_full,6,easy,full,0.646,0.007307591,30,1,1,6_easy
34,6_easy_pruned,6,easy,pruned,0.784,0.014943216,30,1,0,6_easy
35,6_hard_full,6,hard,full,0.162,0.006239782,30,1,0,6_hard
36,6_hard_pruned,6,hard,pruned,0.144,0.006790341,30,1,0,6_hard
37,6_hard_pruned,6,hard,pruned,0.154,0.003126094,30,1,1,6_hard
38,6_hard_pruned,6,hard,pruned,0.164,0.002251664,30,1,2,6_hard
39,10_easy_full,10,easy,full,0.208,0.002953773,30,1.5,0,10_easy
40,10_easy_full,10,easy,full,0.23,0.001161063,30,1.5,1,10_easy
41,10_easy_full,10,easy,full,0.254,0.000882528,30,1.5,2,10_easy
42,10_easy_pruned,10,easy,pruned,0.362,0.003219534,30,1.5,0,10_easy
43,10_easy_pruned,10,easy,pruned,0.42,0.001563013,30,1.5,0.5,10_easy
44,10_hard_full,10,hard,full,0.174,0.002857192,30,1.5,0,10_hard
45,10_hard_pruned,10,hard,pruned,0.104,0.002828598,30,1.5,0,10_hard
46,10_hard_pruned,10,hard,pruned,0.114,0.001404948,30,1.5,0.5,10_hard
47,10_medium_full,10,medium,full,0.094,0.002553613,30,1.5,0,10_medium
48,10_medium_pruned,10,medium,pruned,0.264,0.002810836,30,1.5,0,10_medium
49,6_easy_full,6,easy,full,0.508,0.013107878,30,1.5,0,6_easy
50,6_easy_full,6,easy,full,0.56,0.008171804,30,1.5,0.5,6_easy
51,6_easy_pruned,6,easy,pruned,0.71,0.014736222,30,1.5,0,6_easy
52,6_easy_pruned,6,easy,pruned,0.772,0.009336894,30,1.5,0.5,6_easy
53,6_hard_full,6,hard,full,0.132,0.006275967,30,1.5,0,6_hard
54,6_hard_pruned,6,hard,pruned,0.172,0.006816168,30,1.5,0,6_hard
55,10_easy_full,10,easy,full,0.228,0.001906781,50,0.5,0,10_easy
56,10_easy_full,10,easy,full,0.26,0.000874366,50,0.5,0.5,10_easy
57,10_easy_pruned,10,easy,pruned,0.406,0.0027296,50,0.5,0,10_easy
58,10_easy_pruned,10,easy,pruned,0.45,0.001018465,50,0.5,1,10_easy
59,10_hard_full,10,hard,full,0.21,0.001854833,50,0.5,0,10_hard
60,10_hard_pruned,10,hard,pruned,0.126,0.001876849,50,0.5,0,10_hard
61,10_hard_pruned,10,hard,pruned,0.15,0.000868362,50,0.5,0.5,10_hard
62,10_medium_full,10,medium,full,0.094,0.00166287,50,0.5,0,10_medium
63,10_medium_full,10,medium,full,0.112,0.000756519,50,0.5,0.5,10_medium
64,10_medium_pruned,10,medium,pruned,0.294,0.002523379,50,0.5,0,10_medium
65,10_medium_pruned,10,medium,pruned,0.344,0.001178395,50,0.5,0.5,10_medium
66,6_easy_full,6,easy,full,0.556,0.009166743,50,0.5,0,6_easy
67,6_easy_full,6,easy,full,0.722,0.005564644,50,0.5,0.5,6_easy
68,6_easy_pruned,6,easy,pruned,0.842,0.014498217,50,0.5,0,6_easy
69,6_hard_full,6,hard,full,0.246,0.004186588,50,0.5,0,6_hard
70,6_hard_pruned,6,hard,pruned,0.192,0.004626973,50,0.5,0,6_hard
71,10_easy_full,10,easy,full,0.206,0.001911637,50,1,0,10_easy
72,10_easy_full,10,easy,full,0.224,0.00088345,50,1,0.5,10_easy
73,10_easy_full,10,easy,full,0.25,0.000731224,50,1,1,10_easy
74,10_easy_pruned,10,easy,pruned,0.414,0.002728394,50,1,0,10_easy
75,10_easy_pruned,10,easy,pruned,0.446,0.001056595,50,1,1,10_easy
76,10_hard_full,10,hard,full,0.194,0.001871335,50,1,0,10_hard
