,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.230158730159,0.0029032927026,3,30,0.5,0.0
1,10_easy_pruned,0.373015873016,0.00379829830207,3,30,0.5,0.0
2,10_hard_full,0.198,0.00284584080367,3,30,0.5,0.0
3,10_hard_pruned,0.138,0.00291473808164,3,30,0.5,0.0
4,10_medium_full,0.13,0.00256327442929,3,30,0.5,0.0
5,10_medium_pruned,0.302,0.00360794614058,3,30,0.5,0.0
6,6_easy_full,0.510526315789,0.0130463144162,3,30,0.5,0.0
7,6_easy_pruned,0.797368421053,0.0208802681466,3,30,0.5,0.0
8,6_hard_full,0.244736842105,0.00651812209472,3,30,0.5,0.0
9,6_hard_pruned,0.2,0.00709100748288,3,30,0.5,0.0
10,10_easy_full,0.286,0.00292307062723,5,30,0.5,0.0
11,10_easy_pruned,0.446,0.0031885924915,5,30,0.5,0.0
12,10_hard_full,0.256,0.00281037816449,5,30,0.5,0.0
13,10_hard_pruned,0.128,0.00278051194786,5,30,0.5,0.0
14,10_medium_full,0.106,0.00251473635504,5,30,0.5,0.0
15,10_medium_pruned,0.296,0.00273684671469,5,30,0.5,0.0
16,6_easy_full,0.608,0.0135022008587,5,30,0.5,0.0
17,6_easy_full,0.7,0.00853854298303,5,30,0.5,0.5
18,6_easy_pruned,0.83,0.0154144957918,5,30,0.5,0.0
19,6_hard_full,0.202,0.00615687723187,5,30,0.5,0.0
20,6_hard_pruned,0.17,0.00673890775783,5,30,0.5,0.0
21,10_easy_full,0.317679558011,0.00296344807826,10,30,0.5,0.0
22,10_easy_pruned,0.530386740331,0.00291137204439,10,30,0.5,0.0
23,10_hard_full,0.140883977901,0.00285117945891,10,30,0.5,0.0
24,10_hard_pruned,0.0994475138122,0.00283745757531,10,30,0.5,0.0
25,10_medium_full,0.121546961326,0.00257350850253,10,30,0.5,0.0
26,10_medium_pruned,0.375690607735,0.00256098251174,10,30,0.5,0.0
27,6_easy_full,0.636,0.0137479721741,10,30,0.5,0.0
28,6_easy_full,0.794,0.00855124762703,10,30,0.5,0.5
29,6_easy_pruned,0.822,0.0141175141881,10,30,0.5,0.0
30,6_hard_full,0.108,0.00635501665014,10,30,0.5,0.0
31,6_hard_pruned,0.12,0.0071246384246,10,30,0.5,0.0
32,10_easy_full,0.17296222664,0.00291350988161,3,30,1.0,0.0
33,10_easy_pruned,0.375745526839,0.00385958181469,3,30,1.0,0.0
34,10_hard_full,0.172,0.00284885675378,3,30,1.0,0.0
35,10_hard_pruned,0.132,0.0028676137439,3,30,1.0,0.0
36,10_medium_full,0.1,0.00256369500233,3,30,1.0,0.0
37,10_medium_pruned,0.264,0.00355897216884,3,30,1.0,0.0
38,6_easy_full,0.434210526316,0.0129847941227,3,30,1.0,0.0
39,6_easy_pruned,0.760526315789,0.0200835051002,3,30,1.0,0.0
40,6_hard_full,0.236842105263,0.0065390969163,3,30,1.0,0.0
41,6_hard_pruned,0.202631578947,0.00700577054258,3,30,1.0,0.0
42,10_easy_full,0.204,0.00292483182217,5,30,1.0,0.0
43,10_easy_pruned,0.396,0.00322204393579,5,30,1.0,0.0
44,10_hard_full,0.198,0.00280974644848,5,30,1.0,0.0
45,10_hard_pruned,0.084,0.00278826475131,5,30,1.0,0.0
46,10_medium_full,0.086,0.00253987605405,5,30,1.0,0.0
47,10_medium_pruned,0.312,0.00278932247357,5,30,1.0,0.0
48,6_easy_full,0.566,0.0132068992842,5,30,1.0,0.0
49,6_easy_pruned,0.784,0.01494321578,5,30,1.0,0.0
50,6_hard_full,0.162,0.00623978235639,5,30,1.0,0.0
51,6_hard_pruned,0.144,0.00679034141837,5,30,1.0,0.0
52,10_easy_full,0.262430939227,0.00297028078179,10,30,1.0,0.0
53,10_easy_pruned,0.400552486188,0.00294084195818,10,30,1.0,0.0
54,10_hard_full,0.116022099448,0.00287253711683,10,30,1.0,0.0
55,10_hard_pruned,0.102209944751,0.00281966600199,10,30,1.0,0.0
56,10_medium_full,0.110497237569,0.00255680413609,10,30,1.0,0.0
57,10_medium_pruned,0.279005524862,0.00257513782678,10,30,1.0,0.0
58,6_easy_full,0.622,0.0135615286555,10,30,1.0,0.0
59,6_easy_pruned,0.738,0.013752509833,10,30,1.0,0.0
60,6_easy_pruned,0.832,0.00869565217391,10,30,1.0,0.5
61,6_hard_full,0.088,0.00644031119584,10,30,1.0,0.0
62,6_hard_pruned,0.14,0.00714694110921,10,30,1.0,0.0
63,10_easy_full,0.174950298211,0.00293746642061,3,30,1.5,0.0
64,10_easy_pruned,0.385685884692,0.00384119008163,3,30,1.5,0.0
65,10_hard_full,0.138,0.00284310603648,3,30,1.5,0.0
66,10_hard_pruned,0.084,0.00287688651833,3,30,1.5,0.0
67,10_medium_full,0.1,0.00259539369527,3,30,1.5,0.0
68,10_medium_pruned,0.262,0.00357255137329,3,30,1.5,0.0
