,fitted_heuristic,log_likelihood,userid
0,non-linear,-1.69886951187,11dfe866
1,interaction,-0.6888872688,12ebbfd2
2,interaction,-2.58809946854,13b7468e
3,interaction,-2.79908442227,13dbbfb8
4,blocking,-2.63341439138,13f4ff5a
5,blocking,-1.24797067471,16d516ad
6,non-linear,-1.67784577789,16e512d0
7,blocking,-2.28185487412,16f6e58d
8,interaction,-2.12605182835,17e120dd
9,interaction,-1.90815871669,18c75602
10,density,-2.5332291464,18dac9ef
11,non-linear,-2.07258699755,19a105e3
12,blocking,-2.05441631169,19b680e2
13,blocking,-2.7956278126,1bd72c42
14,blocking,-1.35534697511,1dac01e7
15,density,-1.7758538184,1de715c7
16,blocking,-1.19735166489,1df6940e
17,density,-2.0100776142,1fdbc072
18,interaction,-2.75725105665,1ff4f828
19,non-linear,-1.787824583,20bfd7bd
20,blocking,-2.8479404396,21abc061
21,non-linear,-1.93780263513,25cfdeaf
22,blocking,-1.20659332838,25dfef96
23,blocking,-1.267769959,26dbf6e9
24,blocking,-2.40182829847,26e680e4
25,blocking,-2.80121424489,28d4fefb
26,blocking,-1.17444407367,28e67c08
27,non-linear,-1.4537042716,2aabe76a
28,blocking,-2.32205431361,2afbbf79
29,interaction,-1.5437293458,2bd72f3e
30,density,-2.52519688238,2dca846d
31,interaction,-1.40147352,2dfbc35a
32,blocking,-1.18887226982,2fb4f99a
33,blocking,-0.8276557386,2fe692a5
34,blocking,-2.0477055415,2ff50f64
35,density,-2.93547765239,30e4feac
36,blocking,-1.53442880148,31b4fc9e
37,non-linear,-1.99830133594,32ebf2e8
38,blocking,-1.96818569439,32fad07f
39,blocking,-2.47477435109,33a74451
40,density,-2.25444382779,33b693e2
41,blocking,-1.86934724995,33bbca9a
42,interaction,-0.893669463429,33ebe68d
43,linear,-2.55846858596,34cffc40
44,interaction,-2.30507271314,34d51755
45,blocking,-2.18507463611,36ebe4da
46,blocking,-0.62697708,38abe966
47,blocking,-2.59491672227,38cbc1f6
48,non-linear,-1.90105555252,38ebbf94
49,interaction,-1.8629339974,39afd1eb
50,blocking,-1.67544669855,3ac5170c
51,density,-2.322429339,3acff9fa
52,blocking,-0.827866464875,3bac0799
53,blocking,-1.617547032,3df11bae
54,density,-2.60743654314,3ed1161d
55,interaction,-2.34613247952,3fcbc0ab
56,interaction,-1.56104285891,40a74de0
57,blocking,-2.80106482891,41bad9a2
58,interaction,-1.5437293458,42f75809
59,blocking,-1.67577253138,43c516b5
60,interaction,-2.18446948,44a4fa14
61,non-linear,-1.72619093593,48c70a00
62,blocking,-2.51584860891,48ec02bc
63,interaction,-1.707419242,49c72e9b
64,blocking,-2.46088213029,4bca7fc9
65,blocking,-2.39299875128,4cb73467
66,blocking,-2.59006430833,4cffe209
67,non-linear,-2.29915939898,4dc50d03
68,blocking,-2.92920058222,4de4f27d
69,blocking,-1.3699602344,4eb4f441
70,linear,-2.78498315012,4ed755f1
71,blocking,-1.5191292105,4fba815c
72,blocking,-2.71838633203,54d4fd9d
73,blocking,-2.70179312208,54f6b927
74,density,-2.65937928776,55a709fd
75,blocking,-2.78651579907,56e6f5d2
76,blocking,-1.39013113035,58e72ee8
77,non-linear,-2.39273966946,59d51c4c
78,blocking,-0.739526711286,5acfeabc
79,density,-2.52451299768,5adff9a5
80,non-linear,-2.95412473084,5aebf3c2
81,blocking,-1.27182968407,5bc4f225
82,blocking,-2.33431362449,5cd6bb63
83,interaction,-1.52184597838,5dbfe29c
84,non-linear,-2.57347573232,5de11557
85,interaction,-2.06211048338,5edbbf73
86,blocking,-2.70642036487,5efbf191
87,blocking,-1.94340692542,65f68460
88,density,-2.69066805875,67abc3ab
89,density,-2.69008111943,67abf219
90,linear,-2.93341691616,67eac875
91,blocking,-2.16899972455,67f69d24
92,blocking,-1.75258211306,69bad0fe
93,blocking,-2.22884253331,6ac7311a
94,blocking,-0.919102840429,6bb10472
95,non-linear,-1.78851443858,6bca8117
96,interaction,-2.12925533455,6bf51f66
97,non-linear,-2.15669535343,6cbbcdf7
98,blocking,-1.39432836485,6db76212
99,non-linear,-2.21617419571,6dd103e2
100,blocking,-2.32407150292,6dfbeafe
101,non-linear,-1.92503363213,6fc70a09
102,blocking,-2.59997913303,70bffd4d
103,interaction,-1.85587745684,70da8cfb
104,blocking,-1.33476686311,71ebc315
105,blocking,-1.8142037476,72e6961c
106,non-linear,-2.40674752935,7acbc3e2
107,non-linear,-1.71175183105,7cc119e0
108,blocking,-0.9732327715,7db4f1d2
109,blocking,-1.67267289026,7dd704e0
110,blocking,-2.2573412148,7dea8d37
111,blocking,-2.59697892785,81a10227
112,interaction,-1.00155218487,81c11c9f
113,blocking,-2.16008264681,84dbf4f9
114,blocking,-2.24480057271,85e50169
115,density,-2.82533696131,86f6e2cb
116,interaction,-1.70823759159,87b50908
117,blocking,-2.43152174933,89fbc220
118,blocking,-1.88810733571,8aa6d830
119,interaction,-0.958092145364,8ab71c6b
120,blocking,-1.25978678357,8de6a2af
121,interaction,-1.52357767756,8df4f6e8
122,blocking,-2.3017900974,8ea50714
123,blocking,-1.82674356255,8fc76287
124,blocking,-1.74834078082,91cfd7fb
125,blocking,-2.8135818471,92a70054
126,interaction,-2.21641165586,92a74a76
127,blocking,-2.52548809009,92b722f3
128,blocking,-1.19735166489,92e6f512
129,blocking,-2.11645810792,92f69945
130,blocking,-2.66787537783,93c70cc1
131,blocking,-2.85955026195,93ebead7
132,blocking,-1.41134281864,94a4f5d4
133,blocking,-0.853748584643,94abbfb2
134,interaction,-2.15599795954,94d6ef33
135,blocking,-1.29459749309,95e69707
136,blocking,-2.26747693771,96abd246
137,interaction,-2.19123392689,96afd320
138,blocking,-1.90424388907,98c10b8a
139,blocking,-1.6685379592,98d105c1
140,density,-2.48736221187,9adbc2df
141,blocking,-1.42075692297,9ae751bc
142,blocking,-1.54762050186,9ba1165f
143,blocking,-1.89021903473,9befd8ad
144,interaction,-2.14687715646,9da51cdd
145,interaction,-1.67247347738,9db10b00
146,blocking,-2.95246700653,9dd11e8e
147,density,-2.64368862288,9defd82d
148,interaction,-1.829142245,9ea4fe94
149,interaction,-1.87747674583,a2ebe618
150,density,-1.84196834267,a2f6ba1d
151,blocking,-2.62104244556,a3eacaa9
152,blocking,-2.80431075137,a4f74985
153,density,-2.26539538833,a5e116c5
154,density,-2.79871122387,a6bff327
155,blocking,-2.44945176022,a7b511d6
156,blocking,-1.637888644,a9cbcabb
157,blocking,-2.11494852355,aafbd6ab
158,blocking,-1.26293346293,abc728e1
159,blocking,-2.72675068311,abd12ee2
160,blocking,-2.23946033716,abdacc98
161,blocking,-1.355213959,acb11b17
162,blocking,-2.51568741858,acc6e9d4
163,blocking,-2.944419885,acdac85f
164,interaction,-2.37188401376,aceaccbc
