,fitted_heuristic,log_likelihood,userid
0,interaction,-1.8908553722857147,17e120dd
1,density,-3.117696384333333,18dac9ef
2,non-linear,-1.440711819857143,20bfd7bd
3,blocking,-1.0316548970000001,26dbf6e9
4,non-linear,-2.192421079857143,32ebf2e8
5,non-linear,-2.1341777566000006,38ebbf94
6,blocking,-1.5004352749374998,3df11bae
7,linear,-2.3762376376666667,44a4fa14
8,interaction,-2.0671450991111113,5edbbf73
9,linear,-2.836624106764706,67eac875
10,blocking,-1.8745961664576272,69bad0fe
11,interaction,-1.6114079692857142,6bf51f66
12,blocking,-1.863993902,70da8cfb
13,interaction,-1.6059633885499998,87b50908
14,blocking,-2.0293070744249997,8fc76287
15,blocking,-1.5586247947741938,91cfd7fb
16,blocking,-2.794522126913044,92b722f3
17,interaction,-2.0491284949428565,94d6ef33
18,density,-2.5768410141,9adbc2df
19,linear,-2.7408063816530617,9dc50a3d
20,density,-1.39248047825,a2f6ba1d
21,interaction,-2.887221253173913,b0d518a1
22,interaction,-2.049791664666667,b7a4fe27
23,blocking,-1.092098197111111,bae515f2
24,blocking,-2.1844707340588236,bed50a1d
25,density,-2.8157129252000006,c7a67aab
26,blocking,-2.59873773045946,c8a4fa50
27,interaction,-2.3613404319,cceac8ca
28,density,-2.405767180333333,dbe71b15
29,interaction,-1.7927290979,dcc4f10e
30,blocking,-1.4232416391111111,dfcbf407
31,density,-2.240987676217391,dfe6bee3
32,interaction,-2.4748681041666667,eec7360c
33,non-linear,-2.504733845249999,f3dbeb7e
34,linear,-2.831945168516129,f6fbf6b1
35,linear,-2.572424019777777,fac10d6e
36,blocking,-1.5384850705000002,16d516ad
37,blocking,-1.4071766188333334,1dac01e7
38,non-linear,-2.1749905075999996,25cfdeaf
39,blocking,-2.3740236557307695,2afbbf79
40,interaction,-2.315966525,2ff50f64
41,linear,-3.0871567580833332,30e4feac
42,interaction,-0.8888318913333332,49c72e9b
43,density,-2.8081510062499997,4bca7fc9
44,density,-2.3678656396666673,5adff9a5
45,interaction,-1.3376748735555557,5dbfe29c
46,blocking,-0.412547884,6bb10472
47,linear,-2.366554618714286,6dd103e2
48,blocking,-1.6206544131384617,7dd704e0
49,interaction,-0.6150659321999999,81c11c9f
50,interaction,-1.865660704875,92a74a76
51,interaction,-2.2681152997500003,a2ebe618
52,blocking,-2.056891239285714,aafbd6ab
53,interaction,-1.778253387181818,b0e1157c
54,blocking,-1.3630217342142859,b9e512db
55,density,-2.5376444488333334,c7fffe38
56,density,-2.6702875763749994,d4fac87b
57,interaction,-1.7720111633333333,daefd33a
58,interaction,-0.10105035500000001,e1e500d7
59,non-linear,-1.9946277539090909,e9dbbf8a
60,density,-2.909764857357142,fdaa7ebb
61,blocking,-2.5730828880555556,13f4ff5a
