,fitted_heuristic,log_likelihood,userid
0,interaction,-2.09657291058,17e120dd
1,density,-2.20343297562,18dac9ef
2,blocking,-1.85369011375,20bfd7bd
3,interaction,-3.33173445608,22dac859
4,interaction,-1.15786145053,26dbf6e9
5,blocking,-1.89665830604,32ebf2e8
6,non-linear,-1.97341187877,38ebbf94
7,blocking,-1.38399393855,3df11bae
8,interaction,-1.80137338812,44a4fa14
9,interaction,-1.7925862645,5edbbf73
10,linear,-2.84017295564,67eac875
11,blocking,-1.72511500318,69bad0fe
12,interaction,-1.99608145111,6bf51f66
13,interaction,-1.69925532177,70da8cfb
14,interaction,-1.6746062023,87b50908
15,blocking,-1.79772748045,8fc76287
16,density,-2.90774802681,8fcbec83
17,blocking,-1.68660026918,91cfd7fb
18,blocking,-2.55545086338,92b722f3
19,blocking,-2.14844515233,94d6ef33
20,density,-2.63982327039,9adbc2df
21,non-linear,-2.67980282121,9dc50a3d
22,density,-2.05569548217,a2f6ba1d
23,interaction,-2.64981256669,b0d518a1
24,blocking,-1.43519717761,b7a4fe27
25,blocking,-1.22469680039,bae515f2
26,blocking,-3.10092658848,bcdfd2df
27,blocking,-2.02079964201,bed50a1d
28,density,-2.89352428185,c7a67aab
29,density,-2.85636925833,c8a4fa50
30,interaction,-2.28321811416,cceac8ca
31,interaction,-1.99524492457,dbe71b15
32,density,-2.68338721336,dcc4f10e
33,blocking,-1.99866424479,dfcbf407
34,blocking,-2.26989522714,dfe6bee3
35,linear,-2.58734703877,eec7360c
36,blocking,-2.95648720849,efebc5bb
37,non-linear,-2.72709448618,f3dbeb7e
38,linear,-3.13322954484,f6fbf6b1
39,density,-2.77463212201,fac10d6e
40,blocking,-1.00219649706,16d516ad
41,blocking,-1.10456135107,1dac01e7
42,non-linear,-2.11103357197,25cfdeaf
43,blocking,-2.65126336967,2afbbf79
44,non-linear,-2.71687396339,2ff50f64
45,density,-2.5382825629,30e4feac
46,interaction,-2.04033582873,49c72e9b
47,density,-2.94226801963,4bca7fc9
48,interaction,-2.2460958787,5adff9a5
49,interaction,-2.01280818337,5dbfe29c
50,linear,-2.05158221555,65afea1f
51,interaction,-1.20653812174,6bb10472
52,non-linear,-2.23016145749,6dd103e2
53,interaction,-1.70293687979,7dd704e0
54,interaction,-1.05729463799,81c11c9f
55,blocking,-1.89089472594,92a74a76
56,linear,-3.09754269244,a0f4f1bf
57,interaction,-1.5791279727,a2ebe618
58,non-linear,-2.09790779311,aafbd6ab
59,blocking,-1.79455756842,b0e1157c
60,blocking,-1.3697737485,b9e512db
61,blocking,-2.33847131687,c7fffe38
62,density,-2.61270874619,d4fac87b
63,density,-2.66573823217,daefd33a
64,density,-2.38816981019,e0a737b6
65,blocking,-0.885837031298,e1e500d7
66,blocking,-2.60062462147,e9dbbf8a
67,blocking,-3.26848456056,fcaffad4
68,density,-2.510082208,fdaa7ebb
69,blocking,-2.76034574953,13f4ff5a
70,blocking,-1.67501387606,1df6940e
71,interaction,-2.82702955862,1ff4f828
72,blocking,-3.04619525642,21abc061
73,density,-4.04302838497,23dbc11c
74,blocking,-0.934319183982,28e67c08
75,blocking,-1.69172789198,2fb4f99a
76,interaction,-3.87111236307,34b12db9
77,blocking,-1.94148022417,65f68460
78,density,-3.95344391937,75ffd9e8
79,non-linear,-3.55829257105,7cf6845b
80,blocking,-2.26043599892,84dbf4f9
81,blocking,-2.99946576071,8bc69c49
82,interaction,-0.922945937922,92e6f512
83,interaction,-1.72932009779,98d105c1
84,blocking,-1.88922437754,9befd8ad
85,blocking,-2.42859834883,a3eacaa9
86,interaction,-2.51734040758,a4f74985
87,blocking,-1.51663927797,abc728e1
88,blocking,-2.3014302721,aceaccbc
89,interaction,-2.57671752574,add50f98
90,interaction,-3.40560451013,b5b6dcbc
91,blocking,-2.44641712619,d2ac158a
92,interaction,-2.98548405692,edf12206
93,interaction,-3.39253818172,f0ebc21e
94,blocking,-3.29796165944,f6fbf7bf
95,blocking,-3.84492673218,f7ebbfe9
96,blocking,-1.70276701517,13b7468e
97,blocking,-2.94901287485,13dbbfb8
98,blocking,-2.4063072616,16f6e58d
99,blocking,-3.24285223419,18a695e2
100,density,-2.53618379738,1bd72c42
101,blocking,-2.74051985964,28d4fefb
102,blocking,-3.29737792901,31f6a576
103,blocking,-2.27681823281,32fad07f
104,blocking,-2.41945949369,41bad9a2
105,density,-3.45797802622,4bfffc8c
106,density,-3.77954989583,50f6b001
107,blocking,-1.5505470052,5bc4f225
108,density,-4.09868353073,77ba7edc
109,blocking,-1.97531337436,7dea8d37
110,blocking,-3.26979888524,7ef11f8d
111,blocking,-2.04723560432,8aa6d830
112,blocking,-2.18272179058,8ea50714
113,blocking,-2.25400134296,98c10b8a
114,blocking,-2.87989784187,acdac85f
115,density,-3.44440434344,b8bac8b7
116,blocking,-0.714067966823,bacbc468
117,interaction,-2.42327971161,bcf51783
118,blocking,-3.48820916979,cce7504c
119,blocking,-2.41349322074,cdc514e1
120,density,-3.53870669491,d1cac84b
121,density,-1.94168028685,d9e4f7e5
122,blocking,-2.92611847526,e2b10de5
123,blocking,-2.12631364562,e6efec72
124,blocking,-1.6597036701,edfff93e
125,blocking,-2.80225995089,efd4fa4a
126,density,-3.39643791248,f3f4f4ae
127,interaction,-3.22641333642,f4c4f33c
128,blocking,-2.04736357666,fcb764e3
129,density,-3.41846496022,12eacae6
130,blocking,-1.00738242474,25dfef96
131,non-linear,-1.58729696775,2aabe76a
132,density,-3.14749632458,2bcfe659
133,density,-2.92308159217,32b10037
134,linear,-2.9950909822,34cffc40
135,blocking,-0.708981907143,38abe966
136,non-linear,-1.62827785238,3acff9fa
137,blocking,-0.899288994007,3bac0799
138,interaction,-2.27628673175,3fcbc0ab
139,interaction,-1.54941297167,40a74de0
140,density,-2.99945317533,4ed755f1
141,non-linear,-2.19911932587,59d51c4c
142,blocking,-0.596166419766,5acfeabc
143,linear,-2.69040194409,5de11557
144,non-linear,-1.95522935241,6bca8117
145,density,-2.86632213318,86f6e2cb
146,interaction,-1.60709675534,8df4f6e8
147,density,-2.56732736045,9defd82d
148,density,-2.7390453082,a6bff327
149,blocking,-0.832738168717,aedbea55
150,density,-1.44184451931,b3e4f78d
151,blocking,-0.572966112974,b4abeb7e
152,non-linear,-2.32887053056,b7eae04f
153,density,-2.75746576944,cfd6ff5a
154,density,-2.66995137111,d3b525de
155,blocking,-1.96097704555,d6b67ee1
156,density,-2.72110550927,d6d500ab
157,non-linear,-2.52422197522,dabbe6bb
158,density,-2.82568136705,efa7383d
159,blocking,-0.849635695664,f9c123d7
160,interaction,-2.29913419949,fda4f169
161,non-linear,-1.91754666756,11dfe866
162,interaction,-0.247379509849,12ebbfd2
163,non-linear,-1.78106475512,16e512d0
