win_score,blocking_score,fitted_heuristic,participants,proportion_participants
25,5,blocking,52,0.139784946
25,5,blocking_blind,133,0.357526882
25,5,density,46,0.123655914
25,5,interaction,25,0.067204301
25,5,interaction_blind,86,0.231182796
25,5,linear,5,0.01344086
25,5,non-linear,25,0.067204301
25,10,blocking,46,0.123655914
25,10,blocking_blind,120,0.322580645
25,10,density,47,0.126344086
25,10,interaction,30,0.080645161
25,10,interaction_blind,99,0.266129032
25,10,linear,5,0.01344086
25,10,non-linear,25,0.067204301
25,20,blocking,36,0.096774194
25,20,blocking_blind,98,0.26344086
25,20,density,46,0.123655914
25,20,interaction,34,0.091397849
25,20,interaction_blind,126,0.338709677
25,20,linear,5,0.01344086
25,20,non-linear,27,0.072580645
25,40,blocking,31,0.083333333
25,40,blocking_blind,98,0.26344086
25,40,density,45,0.120967742
25,40,interaction,34,0.091397849
25,40,interaction_blind,131,0.352150538
25,40,linear,5,0.01344086
25,40,non-linear,28,0.075268817
25,80,blocking,28,0.075268817
25,80,blocking_blind,99,0.266129032
25,80,density,45,0.120967742
25,80,interaction,32,0.086021505
25,80,interaction_blind,135,0.362903226
25,80,linear,5,0.01344086
25,80,non-linear,28,0.075268817
25,160,blocking,27,0.072580645
25,160,blocking_blind,103,0.27688172
25,160,density,45,0.120967742
25,160,interaction,31,0.083333333
25,160,interaction_blind,131,0.352150538
25,160,linear,5,0.01344086
25,160,non-linear,30,0.080645161
50,5,blocking,60,0.161290323
50,5,blocking_blind,143,0.384408602
50,5,density,46,0.123655914
50,5,interaction,21,0.056451613
50,5,interaction_blind,71,0.190860215
50,5,linear,5,0.01344086
50,5,non-linear,26,0.069892473
50,10,blocking,56,0.150537634
50,10,blocking_blind,134,0.360215054
50,10,density,45,0.120967742
50,10,interaction,24,0.064516129
50,10,interaction_blind,82,0.220430108
50,10,linear,5,0.01344086
50,10,non-linear,26,0.069892473
50,20,blocking,40,0.107526882
50,20,blocking_blind,116,0.311827957
50,20,density,45,0.120967742
50,20,interaction,32,0.086021505
50,20,interaction_blind,103,0.27688172
50,20,linear,5,0.01344086
50,20,non-linear,31,0.083333333
50,40,blocking,32,0.086021505
50,40,blocking_blind,94,0.252688172
50,40,density,45,0.120967742
50,40,interaction,34,0.091397849
50,40,interaction_blind,130,0.349462366
50,40,linear,5,0.01344086
50,40,non-linear,32,0.086021505
50,80,blocking,28,0.075268817
50,80,blocking_blind,90,0.241935484
50,80,density,45,0.120967742
50,80,interaction,35,0.094086022
50,80,interaction_blind,137,0.36827957
50,80,linear,5,0.01344086
50,80,non-linear,32,0.086021505
50,160,blocking,26,0.069892473
50,160,blocking_blind,91,0.244623656
50,160,density,45,0.120967742
50,160,interaction,35,0.094086022
50,160,interaction_blind,137,0.36827957
50,160,linear,5,0.01344086
50,160,non-linear,33,0.088709677
100,5,blocking,61,0.163978495
100,5,blocking_blind,148,0.397849462
100,5,density,46,0.123655914
100,5,interaction,18,0.048387097
100,5,interaction_blind,65,0.174731183
100,5,linear,6,0.016129032
100,5,non-linear,28,0.075268817
100,10,blocking,57,0.153225806
100,10,blocking_blind,141,0.379032258
100,10,density,44,0.11827957
100,10,interaction,20,0.053763441
100,10,interaction_blind,74,0.198924731
100,10,linear,6,0.016129032
100,10,non-linear,30,0.080645161
100,20,blocking,48,0.129032258
100,20,blocking_blind,125,0.336021505
100,20,density,43,0.115591398
100,20,interaction,28,0.075268817
100,20,interaction_blind,91,0.244623656
100,20,linear,6,0.016129032
100,20,non-linear,31,0.083333333
100,40,blocking,35,0.094086022
100,40,blocking_blind,107,0.287634409
100,40,density,43,0.115591398
100,40,interaction,34,0.091397849
100,40,interaction_blind,116,0.311827957
100,40,linear,6,0.016129032
100,40,non-linear,31,0.083333333
100,80,blocking,28,0.075268817
100,80,blocking_blind,83,0.22311828
100,80,density,44,0.11827957
100,80,interaction,39,0.10483871
100,80,interaction_blind,141,0.379032258
100,80,linear,6,0.016129032
100,80,non-linear,31,0.083333333
100,160,blocking,24,0.064516129
100,160,blocking_blind,77,0.206989247
100,160,density,44,0.11827957
100,160,interaction,38,0.102150538
100,160,interaction_blind,150,0.403225806
100,160,linear,6,0.016129032
100,160,non-linear,33,0.088709677
200,5,blocking,58,0.155913978
200,5,blocking_blind,149,0.400537634
200,5,density,47,0.126344086
200,5,interaction,15,0.040322581
200,5,interaction_blind,59,0.158602151
200,5,linear,6,0.016129032
200,5,non-linear,38,0.102150538
200,10,blocking,55,0.147849462
200,10,blocking_blind,147,0.39516129
200,10,density,43,0.115591398
200,10,interaction,19,0.051075269
200,10,interaction_blind,68,0.182795699
200,10,linear,6,0.016129032
200,10,non-linear,34,0.091397849
200,20,blocking,52,0.139784946
200,20,blocking_blind,132,0.35483871
200,20,density,43,0.115591398
200,20,interaction,22,0.059139785
200,20,interaction_blind,83,0.22311828
200,20,linear,6,0.016129032
200,20,non-linear,34,0.091397849
200,40,blocking,43,0.115591398
200,40,blocking_blind,117,0.314516129
200,40,density,43,0.115591398
200,40,interaction,29,0.077956989
200,40,interaction_blind,100,0.268817204
200,40,linear,6,0.016129032
200,40,non-linear,34,0.091397849
200,80,blocking,31,0.083333333
200,80,blocking_blind,93,0.25
200,80,density,43,0.115591398
200,80,interaction,38,0.102150538
