win_score,blocking_score,fitted_heuristic,num_participants,proportion_participants
25,0.05,blocking,60,0.162162162
25,0.05,blocking_blind,140,0.378378378
25,0.05,density,47,0.127027027
25,0.05,interaction,20,0.054054054
25,0.05,interaction_blind,67,0.181081081
25,0.05,linear,5,0.013513514
25,0.05,non-linear,31,0.083783784
25,0.1,blocking,59,0.159459459
25,0.1,blocking_blind,145,0.391891892
25,0.1,density,45,0.121621622
25,0.1,interaction,20,0.054054054
25,0.1,interaction_blind,69,0.186486486
25,0.1,linear,5,0.013513514
25,0.1,non-linear,27,0.072972973
25,0.2,blocking,52,0.140540541
25,0.2,blocking_blind,133,0.359459459
25,0.2,density,45,0.121621622
25,0.2,interaction,25,0.067567568
25,0.2,interaction_blind,85,0.22972973
25,0.2,linear,5,0.013513514
25,0.2,non-linear,25,0.067567568
25,0.4,blocking,46,0.124324324
25,0.4,blocking_blind,120,0.324324324
25,0.4,density,46,0.124324324
25,0.4,interaction,30,0.081081081
25,0.4,interaction_blind,98,0.264864865
25,0.4,linear,5,0.013513514
25,0.4,non-linear,25,0.067567568
25,0.8,blocking,36,0.097297297
25,0.8,blocking_blind,98,0.264864865
25,0.8,density,45,0.121621622
25,0.8,interaction,34,0.091891892
25,0.8,interaction_blind,125,0.337837838
25,0.8,linear,5,0.013513514
25,0.8,non-linear,27,0.072972973
50,0.05,blocking,60,0.162162162
50,0.05,blocking_blind,147,0.397297297
50,0.05,density,47,0.127027027
50,0.05,interaction,18,0.048648649
50,0.05,interaction_blind,62,0.167567568
50,0.05,linear,5,0.013513514
50,0.05,non-linear,31,0.083783784
50,0.1,blocking,60,0.162162162
50,0.1,blocking_blind,143,0.386486486
50,0.1,density,45,0.121621622
50,0.1,interaction,21,0.056756757
50,0.1,interaction_blind,70,0.189189189
50,0.1,linear,5,0.013513514
50,0.1,non-linear,26,0.07027027
50,0.2,blocking,56,0.151351351
50,0.2,blocking_blind,134,0.362162162
50,0.2,density,44,0.118918919
50,0.2,interaction,24,0.064864865
50,0.2,interaction_blind,81,0.218918919
50,0.2,linear,5,0.013513514
50,0.2,non-linear,26,0.07027027
50,0.4,blocking,40,0.108108108
50,0.4,blocking_blind,116,0.313513514
50,0.4,density,44,0.118918919
50,0.4,interaction,32,0.086486486
50,0.4,interaction_blind,102,0.275675676
50,0.4,linear,5,0.013513514
50,0.4,non-linear,31,0.083783784
50,0.8,blocking,32,0.086486486
50,0.8,blocking_blind,94,0.254054054
50,0.8,density,44,0.118918919
50,0.8,interaction,34,0.091891892
50,0.8,interaction_blind,129,0.348648649
50,0.8,linear,5,0.013513514
50,0.8,non-linear,32,0.086486486
100,0.05,blocking,61,0.164864865
100,0.05,blocking_blind,148,0.4
100,0.05,density,45,0.121621622
100,0.05,interaction,18,0.048648649
100,0.05,interaction_blind,64,0.172972973
100,0.05,linear,6,0.016216216
100,0.05,non-linear,28,0.075675676
100,0.1,blocking,57,0.154054054
100,0.1,blocking_blind,141,0.381081081
100,0.1,density,43,0.116216216
100,0.1,interaction,20,0.054054054
100,0.1,interaction_blind,73,0.197297297
100,0.1,linear,6,0.016216216
100,0.1,non-linear,30,0.081081081
100,0.2,blocking,48,0.12972973
100,0.2,blocking_blind,125,0.337837838
100,0.2,density,42,0.113513514
100,0.2,interaction,28,0.075675676
100,0.2,interaction_blind,90,0.243243243
100,0.2,linear,6,0.016216216
100,0.2,non-linear,31,0.083783784
100,0.4,blocking,35,0.094594595
100,0.4,blocking_blind,107,0.289189189
100,0.4,density,42,0.113513514
100,0.4,interaction,34,0.091891892
100,0.4,interaction_blind,115,0.310810811
100,0.4,linear,6,0.016216216
100,0.4,non-linear,31,0.083783784
100,0.8,blocking,28,0.075675676
100,0.8,blocking_blind,83,0.224324324
100,0.8,density,43,0.116216216
100,0.8,interaction,39,0.105405405
100,0.8,interaction_blind,140,0.378378378
100,0.8,linear,6,0.016216216
100,0.8,non-linear,31,0.083783784
200,0.05,blocking,55,0.148648649
200,0.05,blocking_blind,147,0.397297297
200,0.05,density,42,0.113513514
200,0.05,interaction,19,0.051351351
200,0.05,interaction_blind,67,0.181081081
200,0.05,linear,6,0.016216216
200,0.05,non-linear,34,0.091891892
200,0.1,blocking,52,0.140540541
200,0.1,blocking_blind,132,0.356756757
200,0.1,density,42,0.113513514
200,0.1,interaction,22,0.059459459
200,0.1,interaction_blind,82,0.221621622
200,0.1,linear,6,0.016216216
200,0.1,non-linear,34,0.091891892
200,0.2,blocking,43,0.116216216
200,0.2,blocking_blind,117,0.316216216
200,0.2,density,42,0.113513514
200,0.2,interaction,29,0.078378378
200,0.2,interaction_blind,99,0.267567568
200,0.2,linear,6,0.016216216
200,0.2,non-linear,34,0.091891892
200,0.4,blocking,31,0.083783784
200,0.4,blocking_blind,93,0.251351351
200,0.4,density,42,0.113513514
200,0.4,interaction,38,0.102702703
200,0.4,interaction_blind,126,0.340540541
200,0.4,linear,6,0.016216216
200,0.4,non-linear,34,0.091891892
200,0.8,blocking,27,0.072972973
200,0.8,blocking_blind,73,0.197297297
200,0.8,density,43,0.116216216
200,0.8,interaction,39,0.105405405
200,0.8,interaction_blind,146,0.394594595
200,0.8,linear,6,0.016216216
200,0.8,non-linear,36,0.097297297
400,0.05,blocking,54,0.145945946
400,0.05,blocking_blind,137,0.37027027
400,0.05,density,41,0.110810811
400,0.05,interaction,17,0.045945946
400,0.05,interaction_blind,73,0.197297297
400,0.05,linear,7,0.018918919
400,0.05,non-linear,41,0.110810811
400,0.1,blocking,49,0.132432432
400,0.1,blocking_blind,122,0.32972973
400,0.1,density,40,0.108108108
400,0.1,interaction,20,0.054054054
400,0.1,interaction_blind,91,0.245945946
