win_score,blocking_score,fitted_heuristic,userid,proportion_participants
25,2,blocking,59,0.159459459
25,2,blocking_blind,145,0.391891892
25,2,density,45,0.121621622
25,2,interaction,20,0.054054054
25,2,interaction_blind,68,0.183783784
25,2,linear,5,0.013513514
25,2,non-linear,28,0.075675676
25,20,blocking,36,0.097297297
25,20,blocking_blind,98,0.264864865
25,20,density,45,0.121621622
25,20,interaction,34,0.091891892
25,20,interaction_blind,125,0.337837838
25,20,linear,5,0.013513514
25,20,non-linear,27,0.072972973
25,40,blocking,31,0.083783784
25,40,blocking_blind,98,0.264864865
25,40,density,44,0.118918919
25,40,interaction,34,0.091891892
25,40,interaction_blind,130,0.351351351
25,40,linear,5,0.013513514
25,40,non-linear,28,0.075675676
25,60,blocking,30,0.081081081
25,60,blocking_blind,98,0.264864865
25,60,density,44,0.118918919
25,60,interaction,33,0.089189189
25,60,interaction_blind,132,0.356756757
25,60,linear,5,0.013513514
25,60,non-linear,28,0.075675676
25,80,blocking,28,0.075675676
25,80,blocking_blind,99,0.267567568
25,80,density,44,0.118918919
25,80,interaction,32,0.086486486
25,80,interaction_blind,134,0.362162162
25,80,linear,5,0.013513514
25,80,non-linear,28,0.075675676
25,100,blocking,28,0.075675676
25,100,blocking_blind,101,0.272972973
25,100,density,44,0.118918919
25,100,interaction,32,0.086486486
25,100,interaction_blind,132,0.356756757
25,100,linear,5,0.013513514
25,100,non-linear,28,0.075675676
250,2,blocking,58,0.156756757
250,2,blocking_blind,147,0.397297297
250,2,density,47,0.127027027
250,2,interaction,12,0.032432432
250,2,interaction_blind,52,0.140540541
250,2,linear,6,0.016216216
250,2,non-linear,48,0.12972973
250,20,blocking,55,0.148648649
250,20,blocking_blind,132,0.356756757
250,20,density,42,0.113513514
250,20,interaction,19,0.051351351
250,20,interaction_blind,79,0.213513514
250,20,linear,6,0.016216216
250,20,non-linear,37,0.1
250,40,blocking,44,0.118918919
250,40,blocking_blind,120,0.324324324
250,40,density,42,0.113513514
250,40,interaction,26,0.07027027
250,40,interaction_blind,96,0.259459459
250,40,linear,6,0.016216216
250,40,non-linear,36,0.097297297
250,60,blocking,37,0.1
250,60,blocking_blind,105,0.283783784
250,60,density,43,0.116216216
250,60,interaction,32,0.086486486
250,60,interaction_blind,111,0.3
250,60,linear,6,0.016216216
250,60,non-linear,36,0.097297297
250,80,blocking,34,0.091891892
