win_score,blocking_score,fitted_heuristic,board_name,userid
25,5,blocking,10_easy_full,20
25,5,blocking,10_easy_pruned,2
25,5,blocking,10_hard_full,3
25,5,blocking,10_hard_pruned,6
25,5,blocking,10_medium_full,5
25,5,blocking,10_medium_pruned,3
25,5,blocking,6_easy_full,2
25,5,blocking,6_easy_pruned,4
25,5,blocking,6_hard_full,4
25,5,blocking,6_hard_pruned,3
25,5,blocking_blind,10_easy_full,18
25,5,blocking_blind,10_easy_pruned,7
25,5,blocking_blind,10_hard_full,19
25,5,blocking_blind,10_hard_pruned,17
25,5,blocking_blind,10_medium_full,22
25,5,blocking_blind,10_medium_pruned,17
25,5,blocking_blind,6_easy_full,4
25,5,blocking_blind,6_easy_pruned,5
25,5,blocking_blind,6_hard_full,13
25,5,blocking_blind,6_hard_pruned,11
25,5,density,10_easy_full,4
25,5,density,10_easy_pruned,6
25,5,density,10_hard_pruned,2
25,5,density,10_medium_full,3
25,5,density,10_medium_pruned,2
25,5,density,6_easy_full,13
25,5,density,6_easy_pruned,8
25,5,density,6_hard_full,5
25,5,density,6_hard_pruned,3
25,5,interaction,10_easy_full,1
25,5,interaction,10_easy_pruned,3
25,5,interaction,10_hard_full,3
25,5,interaction,10_medium_pruned,2
25,5,interaction,6_easy_full,4
25,5,interaction,6_easy_pruned,5
25,5,interaction,6_hard_full,4
25,5,interaction,6_hard_pruned,3
25,5,interaction_blind,10_easy_full,2
25,5,interaction_blind,10_easy_pruned,8
25,5,interaction_blind,10_hard_full,6
25,5,interaction_blind,10_hard_pruned,9
25,5,interaction_blind,10_medium_full,7
25,5,interaction_blind,10_medium_pruned,11
25,5,interaction_blind,6_easy_full,6
25,5,interaction_blind,6_easy_pruned,12
25,5,interaction_blind,6_hard_full,12
25,5,interaction_blind,6_hard_pruned,13
25,5,linear,10_easy_full,1
25,5,linear,6_easy_pruned,2
25,5,linear,6_hard_full,2
25,5,non-linear,10_easy_full,5
25,5,non-linear,10_easy_pruned,5
25,5,non-linear,10_medium_full,2
25,5,non-linear,6_easy_full,5
25,5,non-linear,6_easy_pruned,6
25,5,non-linear,6_hard_full,2
25,10,blocking,10_easy_full,18
25,10,blocking,10_easy_pruned,3
25,10,blocking,10_hard_full,1
25,10,blocking,10_hard_pruned,6
25,10,blocking,10_medium_full,5
25,10,blocking,10_medium_pruned,3
25,10,blocking,6_easy_full,2
25,10,blocking,6_easy_pruned,4
25,10,blocking,6_hard_full,2
25,10,blocking,6_hard_pruned,2
25,10,blocking_blind,10_easy_full,18
25,10,blocking_blind,10_easy_pruned,3
25,10,blocking_blind,10_hard_full,18
25,10,blocking_blind,10_hard_pruned,15
25,10,blocking_blind,10_medium_full,22
25,10,blocking_blind,10_medium_pruned,16
25,10,blocking_blind,6_easy_full,2
25,10,blocking_blind,6_easy_pruned,4
25,10,blocking_blind,6_hard_full,13
25,10,blocking_blind,6_hard_pruned,9
25,10,density,10_easy_full,4
25,10,density,10_easy_pruned,6
25,10,density,10_hard_pruned,2
25,10,density,10_medium_full,3
25,10,density,10_medium_pruned,2
25,10,density,6_easy_full,13
25,10,density,6_easy_pruned,8
25,10,density,6_hard_full,5
25,10,density,6_hard_pruned,4
25,10,interaction,10_easy_full,3
25,10,interaction,10_easy_pruned,3
25,10,interaction,10_hard_full,4
25,10,interaction,10_medium_pruned,2
25,10,interaction,6_easy_full,4
25,10,interaction,6_easy_pruned,5
25,10,interaction,6_hard_full,6
25,10,interaction,6_hard_pruned,3
25,10,interaction_blind,10_easy_full,2
25,10,interaction_blind,10_easy_pruned,11
25,10,interaction_blind,10_hard_full,8
25,10,interaction_blind,10_hard_pruned,11
25,10,interaction_blind,10_medium_full,7
25,10,interaction_blind,10_medium_pruned,12
