win_score,blocking_score,fitted_heuristic,board_name,userid
25,0.05,blocking,10_easy_full,19
25,0.05,blocking,10_easy_pruned,4
25,0.05,blocking,10_hard_full,4
25,0.05,blocking,10_hard_pruned,9
25,0.05,blocking,10_medium_full,5
25,0.05,blocking,10_medium_pruned,5
25,0.05,blocking,6_easy_full,2
25,0.05,blocking,6_easy_pruned,3
25,0.05,blocking,6_hard_full,5
25,0.05,blocking,6_hard_pruned,4
25,0.05,blocking_blind,10_easy_full,17
25,0.05,blocking_blind,10_easy_pruned,9
25,0.05,blocking_blind,10_hard_full,20
25,0.05,blocking_blind,10_hard_pruned,16
25,0.05,blocking_blind,10_medium_full,24
25,0.05,blocking_blind,10_medium_pruned,18
25,0.05,blocking_blind,6_easy_full,5
25,0.05,blocking_blind,6_easy_pruned,7
25,0.05,blocking_blind,6_hard_full,12
25,0.05,blocking_blind,6_hard_pruned,12
25,0.05,density,10_easy_full,4
25,0.05,density,10_easy_pruned,6
25,0.05,density,10_hard_pruned,2
25,0.05,density,10_medium_full,3
25,0.05,density,10_medium_pruned,2
25,0.05,density,6_easy_full,13
25,0.05,density,6_easy_pruned,8
25,0.05,density,6_hard_full,4
25,0.05,density,6_hard_pruned,5
25,0.05,interaction,10_easy_full,1
25,0.05,interaction,10_easy_pruned,1
25,0.05,interaction,10_hard_full,2
25,0.05,interaction,10_medium_pruned,1
25,0.05,interaction,6_easy_full,3
25,0.05,interaction,6_easy_pruned,5
25,0.05,interaction,6_hard_full,4
25,0.05,interaction,6_hard_pruned,3
25,0.05,interaction_blind,10_easy_full,1
25,0.05,interaction_blind,10_easy_pruned,6
25,0.05,interaction_blind,10_hard_full,5
25,0.05,interaction_blind,10_hard_pruned,7
25,0.05,interaction_blind,10_medium_full,5
25,0.05,interaction_blind,10_medium_pruned,9
25,0.05,interaction_blind,6_easy_full,5
25,0.05,interaction_blind,6_easy_pruned,10
25,0.05,interaction_blind,6_hard_full,11
25,0.05,interaction_blind,6_hard_pruned,8
25,0.05,linear,10_easy_full,1
25,0.05,linear,6_easy_pruned,2
25,0.05,linear,6_hard_full,2
25,0.05,non-linear,10_easy_full,8
25,0.05,non-linear,10_easy_pruned,5
25,0.05,non-linear,10_medium_full,2
25,0.05,non-linear,6_easy_full,6
25,0.05,non-linear,6_easy_pruned,7
25,0.05,non-linear,6_hard_full,3
25,0.1,blocking,10_easy_full,19
25,0.1,blocking,10_easy_pruned,3
25,0.1,blocking,10_hard_full,4
25,0.1,blocking,10_hard_pruned,8
25,0.1,blocking,10_medium_full,5
25,0.1,blocking,10_medium_pruned,4
25,0.1,blocking,6_easy_full,3
25,0.1,blocking,6_easy_pruned,4
25,0.1,blocking,6_hard_full,5
25,0.1,blocking,6_hard_pruned,4
25,0.1,blocking_blind,10_easy_full,18
25,0.1,blocking_blind,10_easy_pruned,9
25,0.1,blocking_blind,10_hard_full,20
25,0.1,blocking_blind,10_hard_pruned,17
25,0.1,blocking_blind,10_medium_full,23
25,0.1,blocking_blind,10_medium_pruned,19
25,0.1,blocking_blind,6_easy_full,5
25,0.1,blocking_blind,6_easy_pruned,7
25,0.1,blocking_blind,6_hard_full,13
25,0.1,blocking_blind,6_hard_pruned,14
25,0.1,density,10_easy_full,4
25,0.1,density,10_easy_pruned,6
25,0.1,density,10_hard_pruned,2
25,0.1,density,10_medium_full,3
25,0.1,density,10_medium_pruned,2
25,0.1,density,6_easy_full,13
25,0.1,density,6_easy_pruned,8
25,0.1,density,6_hard_full,4
25,0.1,density,6_hard_pruned,3
25,0.1,interaction,10_easy_full,1
25,0.1,interaction,10_easy_pruned,2
25,0.1,interaction,10_hard_full,2
25,0.1,interaction,10_medium_pruned,1
25,0.1,interaction,6_easy_full,3
25,0.1,interaction,6_easy_pruned,5
25,0.1,interaction,6_hard_full,3
25,0.1,interaction,6_hard_pruned,3
25,0.1,interaction_blind,10_easy_full,2
25,0.1,interaction_blind,10_easy_pruned,6
25,0.1,interaction_blind,10_hard_full,5
25,0.1,interaction_blind,10_hard_pruned,7
25,0.1,interaction_blind,10_medium_full,6
25,0.1,interaction_blind,10_medium_pruned,9
25,0.1,interaction_blind,6_easy_full,5
25,0.1,interaction_blind,6_easy_pruned,10
25,0.1,interaction_blind,6_hard_full,11
25,0.1,interaction_blind,6_hard_pruned,8
25,0.1,linear,10_easy_full,1
25,0.1,linear,6_easy_pruned,2
25,0.1,linear,6_hard_full,2
25,0.1,non-linear,10_easy_full,6
25,0.1,non-linear,10_easy_pruned,5
25,0.1,non-linear,10_medium_full,2
25,0.1,non-linear,6_easy_full,5
25,0.1,non-linear,6_easy_pruned,6
25,0.1,non-linear,6_hard_full,3
25,0.2,blocking,10_easy_full,20
25,0.2,blocking,10_easy_pruned,2
25,0.2,blocking,10_hard_full,3
25,0.2,blocking,10_hard_pruned,6
25,0.2,blocking,10_medium_full,5
