userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,linear,non-linear,interaction,interaction_blind,blocking_blind,blocking,density
11d4bf94,6_hard_full,6,hard,full,density,10,100,-4.017837469599459,-3.9364332376792173,-4.5356998602387195,-3.363190175613823,-3.3567516332576757,-4.4247310282437065,-2.1001295172903607
14b4c043,6_hard_full,6,hard,full,interaction_blind,10,100,-2.4763010805281818,-2.4258047847919415,-2.0939988602209048,-1.993535843138691,-2.137917914196396,-2.323869605043578,-2.4741166436832644
14c5dc72,6_hard_full,6,hard,full,blocking,10,100,-2.0672249065721706,-1.9710129569794554,-1.8242558628359473,-1.9671848626795974,-1.9011545058465444,-1.672683063843238,-2.8136787280075226
17b4c1ea,6_hard_full,6,hard,full,blocking,10,100,-1.8444163928100354,-1.6949736670311464,-1.4081737386770508,-1.834670779374848,-1.8765672520240073,-1.3887304005097978,-2.5458589941732575
17e120dd,6_hard_full,6,hard,full,interaction,10,100,-2.3754704034369163,-2.31899398793425,-2.126051828368874,-2.500102281420376,-2.5543742411370998,-2.27202344137393,-2.7670775634643383
18dac9ef,6_hard_full,6,hard,full,blocking_blind,10,100,-3.1985881015944626,-2.9736287785724063,-3.0172860755830433,-2.947263468399143,-2.500341742913218,-2.561985439300266,-2.533229146576638
20bfd7bd,6_hard_full,6,hard,full,interaction_blind,10,100,-1.8530283126139622,-1.7878245829809096,-1.8341882102566824,-1.6902696576026308,-1.86405834687504,-1.855614696935572,-1.9798134424394207
22dac859,6_hard_full,6,hard,full,blocking_blind,10,100,-3.337666367440793,-3.3916966841374423,-3.2031039769950924,-2.9460788212604405,-2.8428283113259023,-3.2627065105576882,-3.5355919493152244
24a5e25a,6_hard_full,6,hard,full,blocking_blind,10,100,-2.4165870500796003,-2.3112167041675975,-2.291405061686865,-1.59658218738381,-1.486921370637469,-2.2391906020965093,-2.655458988502942
24b61c03,6_hard_full,6,hard,full,interaction_blind,10,100,-2.7581806623901324,-2.713508451578586,-2.895938895776104,-2.1699703627021187,-2.2687929527186883,-3.0379224228979718,-2.484263073465562
24f4c091,6_hard_full,6,hard,full,blocking_blind,10,100,-2.478029121982416,-2.4040960387405006,-2.176974104533884,-1.906743470474675,-1.7814744968942349,-2.0661715486079144,-3.027925546426309
25a611ff,6_hard_full,6,hard,full,blocking_blind,10,100,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-2.1839266743017083,-1.4745128871717519,-1.5604843850914172,-2.7850112422383386
