userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
11d4bf94,6_hard_full,6,hard,full,density,5,25,-2.140807053628735,-4.178546937011559,-4.048019397479606,-4.379864924153154,-4.3884456756564445,-3.2823430633303547,-3.333493133055191
14b4c043,6_hard_full,6,hard,full,interaction_blind,5,25,-2.3725198896799733,-2.467861918427501,-2.3774385836185776,-2.182781016388548,-2.383507018724585,-1.865621526469333,-1.9972458013645615
14c5dc72,6_hard_full,6,hard,full,blocking,5,25,-2.7490556951953544,-2.056149735744952,-1.937221468638385,-1.7883739811876165,-1.7078998223420974,-1.86834346143435,-1.837792853612541
17b4c1ea,6_hard_full,6,hard,full,interaction,5,25,-2.5565258122476497,-1.8857393148283703,-1.7191463836506273,-1.5148741525157376,-1.5186420886219545,-1.8243171521550212,-1.8759118828600267
17e120dd,6_hard_full,6,hard,full,interaction,5,25,-2.7388625578787034,-2.3663987039522403,-2.3001167507164952,-2.151284265330298,-2.2689585521511324,-2.3570373898214565,-2.4104889550590114
18dac9ef,6_hard_full,6,hard,full,density,5,25,-2.5566125877575048,-3.3157915244573544,-3.0412048241848977,-3.119803451637112,-2.7927057323608957,-3.014538280015759,-2.6907519555255925
20bfd7bd,6_hard_full,6,hard,full,interaction_blind,5,25,-2.0073169387672207,-1.9793080973733137,-1.870179762728322,-1.905915954718775,-1.972383137884108,-1.806247525156957,-1.9705565332933468
22dac859,6_hard_full,6,hard,full,blocking_blind,5,25,-3.251284175896118,-3.151747884543667,-3.1616929367855566,-3.0645375357126317,-3.1482477268467517,-2.5283965737597693,-2.4876637511614947
24a5e25a,6_hard_full,6,hard,full,blocking_blind,5,25,-2.661612525655802,-2.442049095093792,-2.32740237969991,-2.3023094490414517,-2.2740327737969417,-1.6544856800725583,-1.584588503166191
24b61c03,6_hard_full,6,hard,full,interaction_blind,5,25,-2.5079527035482005,-2.8819885040713773,-2.785356334222003,-2.966230361157423,-3.0889522810036327,-2.382238891510971,-2.451449563124089
24f4c091,6_hard_full,6,hard,full,blocking_blind,5,25,-2.872998688236282,-2.3846615761333267,-2.2837195837762883,-2.136292690645902,-2.091738858753006,-1.711318092519639,-1.652899467108429
25a611ff,6_hard_full,6,hard,full,blocking_blind,5,25,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-1.8004298891155044,-2.1839266743017083,-1.7091875948139499
25b60fb4,6_hard_full,6,hard,full,density,5,25,-3.5933430824836012,-4.735065618461886,-4.946451001873724,-5.140194124702813,-5.138914123590039,-5.239832432995411,-5.1638658058893805
