userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
11d4bf94,6_hard_full,6,hard,full,density,5,200,-2.0927484160863825,-3.979197746733959,-3.9126967675802127,-4.680199038646571,-4.566168184593619,-3.418563032121201,-3.38266280556943
14b4c043,6_hard_full,6,hard,full,interaction_blind,5,200,-2.532805414506319,-2.513220307748845,-2.4731511205139403,-2.1074002987144658,-2.204460908569453,-2.0927083992095237,-2.1508833529271163
14c5dc72,6_hard_full,6,hard,full,blocking,5,200,-2.8513787163414377,-2.09069654629294,-2.001507784166126,-1.8752900089068212,-1.7386519200151411,-2.1031724510271887,-2.028227700285625
17b4c1ea,6_hard_full,6,hard,full,blocking,5,200,-2.5439427938222003,-1.8350950099370664,-1.690194596841308,-1.3979678247825722,-1.3468992781476357,-1.9590728397945631,-1.9609319112674315
17e120dd,6_hard_full,6,hard,full,interaction,5,200,-2.7832456344495533,-2.3868415486956946,-2.333108629589438,-2.1470031107750516,-2.2018149580737014,-2.6918728485779764,-2.706193535999538
18dac9ef,6_hard_full,6,hard,full,density,5,200,-2.5290516070771236,-3.1700902944486087,-2.959759742708064,-2.9936192625672775,-2.6665215432910614,-2.9334698027274544,-2.609683478237288
20bfd7bd,6_hard_full,6,hard,full,non-linear,5,200,-1.97492814627577,-1.8245763920386124,-1.770952933136995,-1.8555801369072185,-1.8207921285078121,-1.7817947497877338,-1.8528253425092003
22dac859,6_hard_full,6,hard,full,blocking_blind,5,200,-3.686772266185964,-3.4646459713939044,-3.5309125941709354,-3.333074973800344,-3.326348109451456,-3.1953635236748092,-3.0896028252211307
24a5e25a,6_hard_full,6,hard,full,blocking_blind,5,200,-2.6543596360030706,-2.410825009334204,-2.3079595565132665,-2.307998492762681,-2.23774580521919,-1.5829635750761883,-1.475149841787629
24b61c03,6_hard_full,6,hard,full,interaction_blind,5,200,-2.4800269090496725,-2.7273505264246807,-2.6985551337621803,-2.9500661730515736,-3.0083489410571347,-2.1200956595410285,-2.1672567723217324
24f4c091,6_hard_full,6,hard,full,blocking_blind,5,200,-3.111288249281036,-2.546340667071128,-2.4798152689913766,-2.2335482093741645,-2.1316665649884627,-2.0563916450991897,-1.9561859093412528
25a611ff,6_hard_full,6,hard,full,blocking_blind,5,200,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-1.8004298891155044,-2.1839266743017083,-1.7091875948139499
25b60fb4,6_hard_full,6,hard,full,density,5,200,-4.565435515749228,-5.459007416279233,-5.787417284094431,-6.1136004240237884,-6.021920498846595,-6.091352944139031,-5.981382834189327
25c4c0ab,6_hard_full,6,hard,full,non-linear,5,200,-2.2023896591873617,-1.6384942030803047,-1.607945141516582,-2.0950558999612308,-1.9784416025952714,-1.9718583153565288,-1.8725618591665971
26dbf6e9,6_hard_full,6,hard,full,blocking,5,200,-2.5160712691730267,-1.8943667621916556,-1.7326348731057253,-1.2357697686537819,-1.2030997591054378,-1.5208272620000443,-1.393877849015303
31e63b91,6_hard_full,6,hard,full,interaction_blind,5,200,-3.1975578118728154,-2.810611559035413,-2.835805447968748,-2.7988052436046043,-2.7031249849564665,-2.5588895710841153,-2.5927351281478432
32ebf2e8,6_hard_full,6,hard,full,blocking_blind,5,200,-2.961042229925879,-2.1074149957496116,-2.036625271106535,-2.221406295813546,-2.1446097120791046,-2.007762258786204,-1.9108579915088735
37f60bbc,6_hard_full,6,hard,full,interaction,5,200,-2.315007612992603,-2.5745188084776873,-2.532975052829022,-2.3052190658690557,-2.4730737766402417,-2.425239570502255,-2.6195501199953815
37f61258,6_hard_full,6,hard,full,density,5,200,-2.9248641676037104,-4.1480750697193,-4.076451578514549,-4.005745038274573,-3.7633175663213057,-3.951669880161741,-3.709783450277308
38ebbf94,6_hard_full,6,hard,full,blocking_blind,5,200,-2.706747860127902,-2.0128252083440508,-1.901055552431167,-2.2851952663729986,-2.1017620742978322,-1.9903549696110034,-1.7618016225900843
3af4bfbb,6_hard_full,6,hard,full,interaction_blind,5,200,-2.4306104560898305,-2.299604552884508,-2.2317411518365375,-1.9051176936336152,-2.0156339437846023,-1.8642402433846248,-1.9668805763522215
3bb613b2,6_hard_full,6,hard,full,blocking,5,200,-2.907284638701166,-1.8465532644117086,-1.6563404195854126,-1.1005305870533326,-1.033983829842391,-1.423377939487701,-1.3494079557635348
3cd60baf,6_hard_full,6,hard,full,blocking,5,200,-2.5417547906048887,-1.7949652918151011,-1.618038552520333,-1.0565554224234546,-1.0213320469054301,-1.2413853420419658,-1.1926436810274312
