userid,board_name,board_size,board_type,condition,player,blocking_score,win_score,heuristic,prob_move,prob_move_to_best_ratio,log_move,rank_move,move_number,move_number_in_path,path_number,prob_path,path
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.08196721311475409,0.8823529411764705,-2.501435951739211,1.0,1,1,0,0.08196721311475409,"[[2, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.10303030303030303,1.0,-2.2727321298443646,0.0,2,2,1,0.008445106805762543,"[[2, 2, 1], [2, 3, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,3,3,1,0.00036717855677228443,"[[2, 2, 1], [2, 3, 2], [4, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.03111111111111111,0.07,-3.4701902531491067,6.0,4,4,1,1.142333287735996e-05,"[[2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.09289617486338798,1.0,-2.3762728087852047,0.0,5,1,1,0.09289617486338798,"[[2, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.0963855421686747,1.0,-2.339399066116762,0.0,6,2,2,0.008953848179603662,"[[2, 3, 1], [2, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.03278688524590164,0.35294117647058826,-3.417726683613366,11.0,7,1,2,0.03278688524590164,"[[0, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.08771929824561403,1.0,-2.4336133554004498,0.0,8,2,3,0.0028760425654299686,"[[0, 2, 1], [2, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.03278688524590164,0.35294117647058826,-3.417726683613366,11.0,9,1,3,0.03278688524590164,"[[0, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.08771929824561403,1.0,-2.4336133554004498,0.0,10,2,4,0.0028760425654299686,"[[0, 2, 1], [2, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.08196721311475409,0.8823529411764705,-2.501435951739211,1.0,11,1,4,0.08196721311475409,"[[2, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.10303030303030303,1.0,-2.2727321298443646,0.0,12,2,5,0.008445106805762543,"[[2, 2, 1], [2, 3, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.04371584699453552,0.47058823529411764,-3.130044611161585,6.0,13,1,5,0.04371584699453552,"[[0, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,14,2,6,0.04371584699453552,"[[0, 3, 1], [3, 0, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.08982035928143713,1.0,-2.409943611314545,0.0,15,3,6,0.003926573083341513,"[[0, 3, 1], [3, 0, 2], [2, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.08974358974358974,1.0,-2.4107986776342782,0.0,16,4,6,0.000352384763889623,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,1.0,1.0,0.0,0.0,17,5,6,0.000352384763889623,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.08661417322834646,0.7857142857142857,-2.4462918136602205,1.0,18,6,6,3.0521514982565775e-05,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.030612244897959183,0.23076923076923075,-3.4863551900024623,14.0,19,7,6,9.343320913030339e-07,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2], [1, 5, 1]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.04371584699453552,0.47058823529411764,-3.130044611161585,6.0,20,1,6,0.04371584699453552,"[[0, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.0001,0.0,-9.210340371976182,1.0,21,2,7,4.371584699453552e-06,"[[0, 3, 1], [4, 0, 2]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,22,2,7,0.04371584699453552,"[[0, 3, 1], [3, 0, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.08982035928143713,1.0,-2.409943611314545,0.0,23,3,7,0.003926573083341513,"[[0, 3, 1], [3, 0, 2], [2, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.09815950920245399,1.0,-2.321161478566981,0.0,24,4,7,0.00038543048670836944,"[[0, 3, 1], [3, 0, 2], [2, 3, 1], [2, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.04371584699453552,0.47058823529411764,-3.130044611161585,6.0,25,1,7,0.04371584699453552,"[[0, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,26,2,8,0.04371584699453552,"[[0, 3, 1], [3, 0, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.08982035928143713,1.0,-2.409943611314545,0.0,27,3,8,0.003926573083341513,"[[0, 3, 1], [3, 0, 2], [2, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.08974358974358974,1.0,-2.4107986776342782,0.0,28,4,8,0.000352384763889623,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,1.0,1.0,0.0,0.0,29,5,8,0.000352384763889623,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.08661417322834646,0.7857142857142857,-2.4462918136602205,1.0,30,6,8,3.0521514982565775e-05,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.11023622047244094,1.0,-2.205129756843333,0.0,31,6,8,3.884556452326553e-05,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,1.0,1.0,0.0,0.0,32,7,8,3.884556452326553e-05,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2], [2, 4, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.06097560975609756,0.625,-2.797281334830153,6.0,33,8,8,2.3686319831259468e-06,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2], [2, 4, 1], [1, 4, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.04838709677419355,0.3333333333333333,-3.028522096376982,8.0,34,9,8,1.1461122498996516e-07,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2], [2, 4, 1], [1, 4, 2], [3, 4, 1]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,1.0,1.0,0.0,0.0,35,5,8,0.000352384763889623,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.047244094488188976,0.42857142857142855,-3.0524276172305362,8.0,36,6,8,1.6648099081399512e-05,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [1, 0, 2]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.047244094488188976,0.42857142857142855,-3.0524276172305362,8.0,37,6,8,1.6648099081399512e-05,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.09174311926605505,0.5555555555555556,-2.388762789235098,1.0,38,7,8,1.527348539577937e-06,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2], [3, 2, 1]]"
17e120dd,6_hard_full,6,hard,full,2,10,100,linear,0.05555555555555555,1.0,-2.890371757896165,0.0,39,8,8,8.485269664321871e-08,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2], [3, 2, 1], [1, 0, 2]]"
17e120dd,6_hard_full,6,hard,full,1,10,100,linear,0.5649717514124294,1.0,-0.5709795465857378,0.0,40,9,8,4.7939376634586844e-08,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2], [3, 2, 1], [1, 0, 2], [4, 2, 1]]"
18dac9ef,6_hard_full,6,hard,full,1,10,100,linear,0.04371584699453552,0.47058823529411764,-3.130044611161585,6.0,1,1,0,0.04371584699453552,"[[0, 3, 1]]"
18dac9ef,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,2,2,1,0.04371584699453552,"[[0, 3, 1], [3, 0, 2]]"
18dac9ef,6_hard_full,6,hard,full,1,10,100,linear,0.029940119760479042,0.3333333333333333,-3.508555899982655,13.0,3,3,1,0.0013088576944471713,"[[0, 3, 1], [3, 0, 2], [0, 5, 1]]"
18dac9ef,6_hard_full,6,hard,full,2,10,100,linear,0.0001,0.0,-9.210340371976182,1.0,4,4,1,1.3088576944471713e-07,"[[0, 3, 1], [3, 0, 2], [0, 5, 1], [2, 3, 2]]"
18dac9ef,6_hard_full,6,hard,full,1,10,100,linear,0.4444444444444444,1.0,-0.8109302162163288,0.0,5,5,1,5.8171453086540947e-08,"[[0, 3, 1], [3, 0, 2], [0, 5, 1], [2, 3, 2], [0, 2, 1]]"
20bfd7bd,6_hard_full,6,hard,full,1,10,100,linear,0.08196721311475409,0.8823529411764705,-2.501435951739211,1.0,1,1,0,0.08196721311475409,"[[2, 2, 1]]"
20bfd7bd,6_hard_full,6,hard,full,2,10,100,linear,0.10303030303030303,1.0,-2.2727321298443646,0.0,2,2,1,0.008445106805762543,"[[2, 2, 1], [2, 3, 2]]"
20bfd7bd,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,3,3,1,0.00036717855677228443,"[[2, 2, 1], [2, 3, 2], [3, 2, 1]]"
20bfd7bd,6_hard_full,6,hard,full,2,10,100,linear,0.32362459546925565,1.0,-1.128171090909654,0.0,4,4,1,0.00011882801190041567,"[[2, 2, 1], [2, 3, 2], [3, 2, 1], [4, 3, 2]]"
20bfd7bd,6_hard_full,6,hard,full,1,10,100,linear,0.35335689045936397,1.0,-1.0402767116551461,0.0,5,5,1,4.1988696784599174e-05,"[[2, 2, 1], [2, 3, 2], [3, 2, 1], [4, 3, 2], [0, 2, 1]]"
20bfd7bd,6_hard_full,6,hard,full,1,10,100,linear,0.07103825136612021,0.7647058823529411,-2.644536795379884,2.0,6,1,1,0.07103825136612021,"[[3, 2, 1]]"
20bfd7bd,6_hard_full,6,hard,full,2,10,100,linear,0.06179775280898876,0.6470588235294118,-2.783888277493715,4.0,7,2,2,0.004390004297906305,"[[3, 2, 1], [4, 3, 2]]"
20bfd7bd,6_hard_full,6,hard,full,1,10,100,linear,1.0,1.0,0.0,0.0,8,3,2,0.004390004297906305,"[[3, 2, 1], [4, 3, 2], [2, 3, 1]]"
20bfd7bd,6_hard_full,6,hard,full,2,10,100,linear,0.045454545454545456,1.0,-3.0910424533583156,0.0,9,4,2,0.00019954564990483205,"[[3, 2, 1], [4, 3, 2], [2, 3, 1], [1, 4, 2]]"
20bfd7bd,6_hard_full,6,hard,full,1,10,100,linear,0.43859649122807015,1.0,-0.8241754429663495,0.0,10,5,2,8.752002188808423e-05,"[[3, 2, 1], [4, 3, 2], [2, 3, 1], [1, 4, 2], [5, 0, 1]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.060109289617486336,0.6470588235294117,-2.8115908800430502,4.0,1,1,0,0.060109289617486336,"[[4, 3, 1]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.02185792349726776,0.23529411764705882,-3.82319179172153,18.0,2,1,1,0.02185792349726776,"[[5, 0, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.045714285714285714,0.5,-3.0853444322436783,7.0,3,2,2,0.0009992193598750976,"[[5, 0, 1], [0, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.07103825136612021,0.7647058823529411,-2.644536795379884,2.0,4,1,2,0.07103825136612021,"[[3, 2, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.0898876404494382,0.9411764705882353,-2.409194828052304,1.0,5,2,3,0.0063854607969546255,"[[3, 2, 1], [2, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,6,3,3,0.00027762873030237503,"[[3, 2, 1], [2, 2, 2], [1, 0, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.03560830860534125,0.12000000000000001,-3.335176280564361,4.0,7,4,3,9.885889506316026e-06,"[[3, 2, 1], [2, 2, 2], [1, 0, 1], [4, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.08196721311475409,0.8823529411764705,-2.501435951739211,1.0,8,1,3,0.08196721311475409,"[[2, 2, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.10303030303030303,1.0,-2.2727321298443646,0.0,9,2,4,0.008445106805762543,"[[2, 2, 1], [2, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.03278688524590164,0.35294117647058826,-3.417726683613366,11.0,10,1,4,0.03278688524590164,"[[5, 2, 1]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.03278688524590164,0.35294117647058826,-3.417726683613366,11.0,11,1,5,0.03278688524590164,"[[3, 0, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,12,2,6,0.03278688524590164,"[[3, 0, 1], [0, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.0001,0.0,-9.210340371976182,1.0,13,3,6,3.278688524590164e-06,"[[3, 0, 1], [0, 3, 2], [2, 0, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.04669260700389105,0.12,-3.0641694351072193,3.0,14,4,6,1.5309051476685592e-07,"[[3, 0, 1], [0, 3, 2], [2, 0, 1], [4, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.047619047619047616,1.0,-3.044522437723423,0.0,15,5,6,7.290024512707425e-09,"[[3, 0, 1], [0, 3, 2], [2, 0, 1], [4, 2, 2], [2, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.07327586206896551,0.16999999999999998,-2.613524027610094,1.0,16,6,6,5.341828306725268e-10,"[[3, 0, 1], [0, 3, 2], [2, 0, 1], [4, 2, 2], [2, 3, 1], [2, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.03278688524590164,0.35294117647058826,-3.417726683613366,11.0,17,1,6,0.03278688524590164,"[[3, 0, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,18,2,7,0.03278688524590164,"[[3, 0, 1], [0, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.0001,0.0,-9.210340371976182,1.0,19,3,7,3.278688524590164e-06,"[[3, 0, 1], [0, 3, 2], [4, 2, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.024691358024691357,0.06,-3.7013019741124937,11.0,20,4,7,8.095527221210281e-08,"[[3, 0, 1], [0, 3, 2], [4, 2, 1], [2, 0, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.0001,0.0,-9.210340371976182,1.0,21,5,7,8.095527221210282e-12,"[[3, 0, 1], [0, 3, 2], [4, 2, 1], [2, 0, 2], [5, 2, 1]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.060109289617486336,0.6470588235294117,-2.8115908800430502,4.0,22,1,7,0.060109289617486336,"[[2, 4, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.044585987261146494,0.43749999999999994,-3.1103356562929947,8.0,23,2,8,0.002680032021161811,"[[2, 4, 1], [3, 4, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.10897435897435898,1.0,-2.216642663193321,0.0,24,3,8,0.00029205477153686405,"[[2, 4, 1], [3, 4, 2], [2, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,25,4,8,0.00029205477153686405,"[[2, 4, 1], [3, 4, 2], [2, 3, 1], [2, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.047619047619047616,1.0,-3.044522437723423,0.0,26,5,8,1.3907370073184002e-05,"[[2, 4, 1], [3, 4, 2], [2, 3, 1], [2, 2, 2], [0, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.02040816326530612,0.06,-3.891820298110627,5.0,27,6,8,2.8382387904457145e-07,"[[2, 4, 1], [3, 4, 2], [2, 3, 1], [2, 2, 2], [0, 3, 1], [3, 0, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.08196721311475409,0.8823529411764705,-2.501435951739211,1.0,28,1,8,0.08196721311475409,"[[2, 2, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.03636363636363636,0.3529411764705882,-3.3141860046725258,11.0,29,2,9,0.002980625931445603,"[[2, 2, 1], [2, 0, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.08074534161490683,0.7647058823529411,-2.5164550075229264,2.0,30,3,9,0.0002406716590608251,"[[2, 2, 1], [2, 0, 2], [2, 4, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,1.0,1.0,0.0,0.0,31,4,9,0.0002406716590608251,"[[2, 2, 1], [2, 0, 2], [2, 4, 1], [2, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.047619047619047616,1.0,-3.044522437723423,0.0,32,5,9,1.1460555193372623e-05,"[[2, 2, 1], [2, 0, 2], [2, 4, 1], [2, 3, 2], [4, 2, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.04,0.12000000000000001,-3.2188758248682006,2.0,33,6,9,4.584222077349049e-07,"[[2, 2, 1], [2, 0, 2], [2, 4, 1], [2, 3, 2], [4, 2, 1], [3, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.05263157894736842,1.0,-2.9444389791664407,0.0,34,7,9,2.4127484617626574e-08,"[[2, 2, 1], [2, 0, 2], [2, 4, 1], [2, 3, 2], [4, 2, 1], [3, 2, 2], [4, 4, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.34965034965034963,1.0,-1.0508216248317612,0.0,35,8,9,8.436183432736564e-09,"[[2, 2, 1], [2, 0, 2], [2, 4, 1], [2, 3, 2], [4, 2, 1], [3, 2, 2], [4, 4, 1], [4, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.08196721311475409,0.8823529411764705,-2.501435951739211,1.0,36,1,9,0.08196721311475409,"[[2, 2, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.10303030303030303,1.0,-2.2727321298443646,0.0,37,2,10,0.008445106805762543,"[[2, 2, 1], [2, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,38,3,10,0.00036717855677228443,"[[2, 2, 1], [2, 3, 2], [4, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.04888888888888889,0.11000000000000001,-3.0182051294060495,2.0,39,4,10,1.7950951664422795e-05,"[[2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.09289617486338798,1.0,-2.3762728087852047,0.0,40,1,10,0.09289617486338798,"[[2, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.0963855421686747,1.0,-2.339399066116762,0.0,41,2,11,0.008953848179603662,"[[2, 3, 1], [2, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,42,3,11,0.00038929774693928965,"[[2, 3, 1], [2, 2, 2], [0, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.012345679012345678,0.04,-4.394449154672439,15.0,43,4,11,4.806145023941847e-06,"[[2, 3, 1], [2, 2, 2], [0, 3, 1], [2, 0, 2]]"
