,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid,diff,diff_block_int
0,6_hard_full,density,-4.392164072,-2.899542388,-4.504053122,11d4bf94,1.604510734,0.11188905
1,6_hard_full,interaction,-2.297125318,-2.563526597,-2.060142114,14b4c043,0.503384483,-0.236983204
2,6_hard_full,blocking,-1.641491743,-2.82328905,-1.797274511,14c5dc72,1.181797307,0.155782767
3,6_hard_full,blocking,-1.35210205,-2.747536003,-1.355188712,17b4c1ea,1.395433953,0.003086662
4,6_hard_full,interaction,-2.240712928,-2.744453893,-2.071000553,17e120dd,0.673453339,-0.169712375
5,6_hard_full,blocking,-2.531749601,-3.029928567,-2.971084296,18dac9ef,0.498178966,0.439334695
6,6_hard_full,blocking,-1.832993875,-2.694449993,-1.838831439,20bfd7bd,0.861456118,0.005837564
7,6_hard_full,density,-3.329096148,-2.899055085,-3.24667622,22dac859,0.430041063,-0.082419928
8,6_hard_full,blocking,-2.210117059,-2.786238362,-2.242505002,24a5e25a,0.576121303,0.032387944
9,6_hard_full,interaction,-3.052690073,-2.955298812,-2.906489394,24b61c03,0.146200679,-0.146200679
10,6_hard_full,blocking,-2.04347367,-2.741901093,-2.147512611,24f4c091,0.698427423,0.104038941
11,6_hard_full,blocking,-1.507445077,-2.78518717,-2.158470967,25a611ff,1.277742093,0.651025891
12,6_hard_full,density,-5.675630834,-2.65731102,-5.757790567,25b60fb4,3.100479547,0.082159732
13,6_hard_full,blocking,-1.82835516,-2.506220057,-1.935823582,25c4c0ab,0.677864897,0.107468422
14,6_hard_full,interaction,-1.227491262,-2.667656352,-1.22597886,26dbf6e9,1.441677492,-0.001512402
15,6_hard_full,density,-2.887975949,-2.731609686,-2.99568596,31e63b91,0.264076274,0.107710011
16,6_hard_full,blocking,-2.0014131,-2.800867953,-2.066866518,32ebf2e8,0.799454852,0.065453418
17,6_hard_full,interaction,-2.534941152,-2.315305009,-2.200734363,37f60bbc,0.334206788,-0.334206788
18,6_hard_full,density,-3.57996921,-2.795323231,-3.903303348,37f61258,1.107980117,0.323334138
19,6_hard_full,blocking,-1.917004503,-2.706819707,-2.10303057,38ebbf94,0.789815204,0.186026067
20,6_hard_full,interaction,-2.104506175,-2.788669785,-1.836009112,3af4bfbb,0.952660673,-0.268497063
21,6_hard_full,blocking,-1.031366661,-2.907204756,-1.077149436,3bb613b2,1.875838095,0.045782775
22,6_hard_full,interaction,-1.047780299,-2.704978394,-1.045644354,3cd60baf,1.659334041,-0.002135945
23,6_hard_full,blocking,-1.593233949,-2.846171596,-1.765963987,3df11bae,1.252937647,0.172730039
24,6_hard_full,blocking,-1.507445077,-2.78518717,-2.158470967,3ed61f8d,1.277742093,0.651025891
25,6_hard_full,blocking,-1.735042233,-2.717090394,-1.817806523,43c60cd9,0.982048161,0.08276429
26,6_hard_full,interaction,-2.413193607,-2.763091287,-2.169903903,44a4fa14,0.593187384,-0.243289704
27,6_hard_full,blocking,-1.954682812,-2.789392274,-2.042413817,47f614be,0.834709462,0.087731004
28,6_hard_full,blocking,-1.141640223,-2.871702198,-1.436025592,49e6113d,1.730061975,0.29438537
29,6_hard_full,density,-2.89232181,-2.586924382,-2.622553367,4af5df5d,0.305397428,-0.269768443
30,6_hard_full,blocking,-1.326348242,-2.819964962,-1.462462153,4ed4c1d3,1.49361672,0.136113912
31,6_hard_full,blocking,-0.644758736,-2.889472541,-0.845719713,50c60ba6,2.244713805,0.200960978
32,6_hard_full,interaction,-2.304197059,-3.141209282,-2.151802841,53c4c041,0.989406441,-0.152394218
33,6_hard_full,blocking,-0.945981123,-2.744239366,-1.005066359,54f4bf95,1.798258244,0.059085236
34,6_hard_full,blocking,-2.377407074,-2.781941332,-2.77745496,55f5fe54,0.404534258,0.400047886
35,6_hard_full,blocking,-1.015362154,-2.737878913,-1.115365088,57a4bf4b,1.722516759,0.100002935
36,6_hard_full,blocking,-2.640823124,-2.666211198,-2.817630247,5ce612bc,0.176807124,0.176807124
37,6_hard_full,blocking,-0.644758736,-2.889472541,-0.845719713,5dd4c056,2.244713805,0.200960978
38,6_hard_full,interaction,-2.163963032,-2.823909041,-2.025479251,5edbbf73,0.798429791,-0.138483782
39,6_hard_full,blocking,-1.507445077,-2.78518717,-2.158470967,5fd6115c,1.277742093,0.651025891
40,6_hard_full,density,-3.929174755,-2.492041793,-3.78588107,63c4bfcb,1.437132963,-0.143293686
41,6_hard_full,blocking,-1.563701152,-2.853424131,-1.70601413,63e5efe1,1.28972298,0.142312978
42,6_hard_full,blocking,-1.761258008,-2.890458531,-2.00424574,64f61543,1.129200523,0.242987732
43,6_hard_full,density,-3.557605776,-2.93712517,-3.646702329,67eac875,0.709577159,0.089096553
44,6_hard_full,interaction,-2.14708421,-2.693256701,-2.058755082,68d5e249,0.63450162,-0.088329128
45,6_hard_full,blocking,-1.871012657,-2.933238546,-1.903914067,69bad0fe,1.062225889,0.03290141
46,6_hard_full,interaction,-2.288014175,-2.756070146,-2.121134507,6bf51f66,0.634935638,-0.166879668
47,6_hard_full,blocking,-2.615975227,-3.13767713,-2.639024928,6ee61190,0.521701903,0.0230497
