,blocking,blocking_blind,board,density,heuristic,interaction,interaction_blind,linear,userid
0,-4.424731028,-3.356751633,6_hard_full,-2.100129517,density,-4.53569986,-3.363190176,-4.569916891,11d4bf94
1,-2.323869605,-2.137917914,6_hard_full,-2.474116644,interaction_blind,-2.09399886,-1.993535843,-2.143386097,14b4c043
2,-1.672683064,-1.901154506,6_hard_full,-2.813678728,blocking,-1.824255863,-1.967184863,-1.941148609,14c5dc72
3,-1.388730401,-1.876567252,6_hard_full,-2.545858994,blocking,-1.408173739,-1.834670779,-1.540610517,17b4c1ea
4,-2.272023441,-2.554374241,6_hard_full,-2.767077563,interaction,-2.126051828,-2.500102281,-2.145759382,17e120dd
5,-2.561985439,-2.500341743,6_hard_full,-2.533229147,blocking_blind,-3.017286076,-2.947263468,-3.252799425,18dac9ef
6,-1.855614697,-1.864058347,6_hard_full,-1.979813442,interaction_blind,-1.83418821,-1.690269658,-1.828079098,20bfd7bd
7,-3.262706511,-2.842828311,6_hard_full,-3.535591949,blocking_blind,-3.203103977,-2.946078821,-3.101803157,22dac859
8,-2.239190602,-1.486921371,6_hard_full,-2.655458989,blocking_blind,-2.291405062,-1.596582187,-2.366594448,24a5e25a
9,-3.037922423,-2.268792953,6_hard_full,-2.484263073,interaction_blind,-2.895938896,-2.169970363,-2.688423626,24b61c03
10,-2.066171549,-1.781474497,6_hard_full,-3.027925546,blocking_blind,-2.176974105,-1.90674347,-2.279962491,24f4c091
11,-1.560484385,-1.474512887,6_hard_full,-2.785011242,blocking_blind,-2.262948197,-2.183926674,-3.106826321,25a611ff
12,-5.658099578,-5.635098699,6_hard_full,-4.229132354,density,-5.740318075,-5.777289513,-5.432210115,25b60fb4
13,-1.856770111,-1.72527405,6_hard_full,-2.205331703,blocking_blind,-1.956257919,-1.814798854,-1.821099057,25c4c0ab
14,-1.267769959,-1.337544633,6_hard_full,-2.517373954,blocking,-1.274359852,-1.491381163,-1.485439414,26dbf6e9
15,-2.566899157,-2.529070682,6_hard_full,-3.081809987,interaction_blind,-2.668313372,-2.451717845,-2.670031931,31e63b91
16,-2.019371163,-1.753752094,6_hard_full,-2.918521154,blocking_blind,-2.09054211,-1.868024282,-2.15486155,32ebf2e8
17,-2.616761339,-2.78217721,6_hard_full,-2.315007613,interaction,-2.305219066,-2.425239571,-2.380099806,37f60bbc
18,-3.616580441,-3.557141431,6_hard_full,-2.843589157,density,-3.955809815,-3.890788512,-4.101437885,37f61258
19,-1.941240805,-1.611894161,6_hard_full,-2.70674786,blocking_blind,-2.141926887,-1.884639597,-2.165607457,38ebbf94
20,-2.15148207,-2.042901571,6_hard_full,-2.433803718,interaction_blind,-1.886495466,-1.81835281,-1.880116205,3af4bfbb
21,-1.067567996,-1.311205413,6_hard_full,-2.907284639,blocking,-1.132659056,-1.400003994,-1.405814666,3bb613b2
22,-1.091088933,-1.201380797,6_hard_full,-2.543157682,blocking,-1.098365969,-1.251194407,-1.331184668,3cd60baf
23,-1.617547032,-1.557685464,6_hard_full,-2.886645099,blocking_blind,-1.799181381,-1.727873339,-1.933403007,3df11bae
24,-1.560484385,-1.474512887,6_hard_full,-2.785011242,blocking_blind,-2.262948197,-2.183926674,-3.106826321,3ed61f8d
25,-1.765640508,-1.457287246,6_hard_full,-2.680242071,blocking_blind,-1.860327074,-1.620119884,-2.024415968,43c60cd9
26,-2.428979204,-2.114184233,6_hard_full,-2.963807206,interaction_blind,-2.18446948,-1.88753868,-2.199297269,44a4fa14
27,-1.982339451,-2.049133243,6_hard_full,-2.819047327,blocking,-2.08671738,-2.206035585,-2.239919781,47f614be
28,-1.165065998,-1.150596718,6_hard_full,-3.057210205,blocking_blind,-1.476290141,-1.500088927,-1.748227548,49e6113d
29,-2.831592869,-1.642849434,6_hard_full,-2.58673676,interaction_blind,-2.566247601,-1.496964891,-2.366488951,4af5df5d
30,-1.344896928,-1.374403615,6_hard_full,-2.819948921,blocking,-1.50073334,-1.540076764,-1.731856623,4ed4c1d3
31,-0.67188081,-0.633138178,6_hard_full,-2.889582271,blocking_blind,-0.893778873,-0.851824192,-1.230413579,50c60ba6
32,-1.999734125,-2.141264977,6_hard_full,-2.94347419,interaction,-1.85019811,-2.068353901,-1.902508304,53c4c041
33,-0.985122022,-1.035552052,6_hard_full,-2.553041311,blocking,-1.053031411,-1.126871558,-1.305679324,54f4bf95
