,board,likelihoods_block,likelihoods_density,likelihoods_interaction,move_number_in_path,userid
0,6_hard_full,-4.57257058785,-3.29579688679,-4.23884207918,1,11d4bf94
1,6_hard_full,-2.97286794721,-3.10237699243,-3.74139077781,2,11d4bf94
2,6_hard_full,-9.21034037198,-2.83333329608,-9.21034037198,3,11d4bf94
3,6_hard_full,-1.31135538872,-2.5540823147,-1.20612957055,4,11d4bf94
4,6_hard_full,-2.45044192119,-3.11348532225,-3.1164923314,5,11d4bf94
5,6_hard_full,-9.21034037198,-2.25150173668,-9.21034037198,6,11d4bf94
6,6_hard_full,-1.01723191471,-3.14622016793,-0.804836351778,7,11d4bf94
7,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,14b4c043
8,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,14b4c043
9,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,14b4c043
10,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,14b4c043
11,6_hard_full,-2.25662774709,-2.44880747886,-1.92240354918,1,14b4c043
12,6_hard_full,-1.17931642242,-2.5202293139,-0.907668293771,2,14b4c043
13,6_hard_full,-3.13549421593,-2.80953064469,-3.13549421593,3,14b4c043
14,6_hard_full,-5.74199159188,-2.87928242388,-5.507002897,4,14b4c043
15,6_hard_full,-3.04452243772,-2.291633946,-3.04452243772,5,14b4c043
16,6_hard_full,-1.02382259691,-2.82144286287,-0.836355355687,6,14b4c043
17,6_hard_full,-1.03620189404,-2.53155519627,-0.80385864829,7,14b4c043
18,6_hard_full,-1.7401738333,-2.44880747886,-3.16339432813,1,14c5dc72
19,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,14c5dc72
20,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,14c5dc72
21,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,14c5dc72
22,6_hard_full,-3.13549421593,-3.0204748644,-3.13549421593,3,14c5dc72
23,6_hard_full,-3.71356337165,-2.44255696504,-3.47241902448,4,14c5dc72
24,6_hard_full,-1.50744507654,-2.78518716976,-2.15847096712,1,14c5dc72
25,6_hard_full,0.0,-3.79507946982,0.0,2,14c5dc72
26,6_hard_full,-1.45278388095,-2.5778849788,-2.13399490414,3,14c5dc72
27,6_hard_full,0.0,-4.50948106394,0.0,4,14c5dc72
28,6_hard_full,-1.22872342854,-2.04148625254,-1.4517171442,5,14c5dc72
29,6_hard_full,0.0,-2.54287188731,0.0,6,14c5dc72
30,6_hard_full,-2.25662774709,-2.44880747886,-1.92240354918,1,14c5dc72
31,6_hard_full,-3.36360574036,-2.8566021516,-4.87607711582,2,14c5dc72
32,6_hard_full,0.0,-2.39813519123,0.0,3,14c5dc72
33,6_hard_full,-3.09104245336,-3.42300304629,-3.09104245336,4,14c5dc72
34,6_hard_full,-1.10043945171,-3.1245301607,-0.845129483268,5,14c5dc72
35,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,17b4c1ea
36,6_hard_full,-2.84952046887,-3.07965873696,-4.46347425261,2,17b4c1ea
37,6_hard_full,0.0,-3.43382729084,0.0,3,17b4c1ea
38,6_hard_full,-0.560897115244,-2.5540823147,-0.310401418954,4,17b4c1ea
39,6_hard_full,-3.04452243772,-3.80618280635,-3.04452243772,5,17b4c1ea
40,6_hard_full,-0.421600849512,-2.58682358513,-0.205086241731,6,17b4c1ea
41,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,17b4c1ea
42,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,17b4c1ea
43,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,17b4c1ea
44,6_hard_full,-1.50744507654,-2.78518716976,-2.15847096712,1,17b4c1ea
45,6_hard_full,0.0,-3.79507946982,0.0,2,17b4c1ea
46,6_hard_full,-2.48028856443,-2.17250762922,-2.11624765502,3,17b4c1ea
47,6_hard_full,-4.23638057874,-2.69702018106,-3.374981038,4,17b4c1ea
48,6_hard_full,-2.14652864573,-2.69702018106,-2.45645549137,4,17b4c1ea
49,6_hard_full,0.0,-2.94447896317,0.0,5,17b4c1ea
50,6_hard_full,-1.45278388095,-2.5778849788,-2.13399490414,3,17b4c1ea
51,6_hard_full,0.0,-4.50948106394,0.0,4,17b4c1ea
52,6_hard_full,-1.22872342854,-2.04148625254,-1.4517171442,5,17b4c1ea
53,6_hard_full,0.0,-2.54287188731,0.0,6,17b4c1ea
54,6_hard_full,-0.324358763495,-1.97431696421,-0.175854976862,7,17b4c1ea
55,6_hard_full,-0.324358763495,-1.97431696421,-0.175854976862,7,17b4c1ea
56,6_hard_full,-2.8903717579,-2.69694021305,-2.8903717579,8,17b4c1ea
57,6_hard_full,-0.214997476147,-2.14023612016,-0.142506767412,9,17b4c1ea
58,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,17e120dd
59,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,17e120dd
60,6_hard_full,-3.13549421593,-3.0204748644,-3.13549421593,3,17e120dd
61,6_hard_full,-4.66027789061,-2.57605550862,-4.41941080836,4,17e120dd
62,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,17e120dd
63,6_hard_full,-0.687003065288,-2.5202293139,-0.336936582956,2,17e120dd
64,6_hard_full,-3.91059397355,-3.00824975058,-3.57659916303,1,17e120dd
65,6_hard_full,-1.1350900984,-2.5202293139,-0.848456535706,2,17e120dd
66,6_hard_full,-3.91059397355,-3.00824975058,-3.57659916303,1,17e120dd
67,6_hard_full,-1.1350900984,-2.5202293139,-0.848456535706,2,17e120dd
68,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,17e120dd
69,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,17e120dd
70,6_hard_full,-1.50744507654,-2.78518716976,-2.15847096712,1,17e120dd
71,6_hard_full,0.0,-3.79507946982,0.0,2,17e120dd
72,6_hard_full,-2.48028856443,-2.17250762922,-2.11624765502,3,17e120dd
73,6_hard_full,-2.14652864573,-2.69702018106,-2.45645549137,4,17e120dd
74,6_hard_full,0.0,-2.94447896317,0.0,5,17e120dd
75,6_hard_full,-2.84846691625,-2.34626125788,-2.13632214676,6,17e120dd
