,board,heuristic_all,likelihoods_block,likelihoods_block_dens,likelihoods_density,userid,heuristic,solved
0,6_hard_full,density,-4.392231127,-4.2306808,-4.00529746,11d4bf94,density,wrong
1,6_hard_full,interaction,-2.297411369,-2.638655684,-2.572225931,14b4c043,blocking,wrong
2,6_hard_full,blocking,-1.823156764,-1.824431123,-2.021676687,14c5dc72,blocking,wrong
3,6_hard_full,interaction_dens,-1.486322518,-1.475735737,-1.772113503,17b4c1ea,blocking_density,validatedCorrect
4,6_hard_full,linear,-2.241197945,-2.440813909,-2.336787948,17e120dd,blocking,solvedCorrect
5,6_hard_full,blocking,-2.531518939,-2.531518939,-3.061681639,18dac9ef,blocking,wrong
6,6_hard_full,density,-1.832793984,-1.926855979,-1.799410486,20bfd7bd,density,wrong
7,6_hard_full,linear,-3.155760802,-3.589655426,-3.79538142,22dac859,blocking,wrong
8,6_hard_full,blocking_dens,-2.210222883,-2.052489394,-2.326022228,24a5e25a,blocking_density,solvedCorrect
9,6_hard_full,linear_dens,-3.056316603,-2.380671504,-2.574660098,24b61c03,blocking_density,wrong
10,6_hard_full,blocking,-2.236727424,-2.36814295,-2.549653976,24f4c091,blocking,wrong
11,6_hard_full,blocking,-1.507035464,-1.507035464,-2.785011242,25a611ff,blocking,#N/A
12,6_hard_full,blocking_dens,-5.684565294,-5.333635414,-5.484961398,25b60fb4,blocking_density,wrong
13,6_hard_full,density,-1.828402193,-1.583733198,-1.475708143,25c4c0ab,density,wrong
14,6_hard_full,interaction,-1.448052923,-1.510495298,-1.813990843,26dbf6e9,blocking,validatedCorrect
15,6_hard_full,blocking,-2.952878483,-3.01520629,-3.005711939,31e63b91,blocking,wrong
16,6_hard_full,blocking_dens,-2.101548145,-2.004001446,-2.066709417,32ebf2e8,blocking_density,validatedCorrect
17,6_hard_full,interaction,-2.534693496,-2.534693496,-2.315007613,37f60bbc,density,#N/A
18,6_hard_full,blocking,-3.580165759,-3.580165759,-4.014009819,37f61258,blocking,wrong
19,6_hard_full,density,-2.023682098,-1.823618786,-1.802375531,38ebbf94,density,wrong
20,6_hard_full,interaction_dens,-2.10437081,-1.930722226,-2.273385419,3af4bfbb,blocking_density,wrong
21,6_hard_full,blocking_dens,-1.34022765,-1.313597803,-1.757019295,3bb613b2,blocking_density,wrong
22,6_hard_full,interaction,-1.285301419,-1.341071454,-1.723497677,3cd60baf,blocking,validatedCorrect
