,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
0,6_hard_full,blocking_dens,-2.32901948014,-2.23583750732,-1.90488439758,-2.02167668716,-1.90488439758,-2.23583750732,-2.0360044972,14c5dc72
1,6_hard_full,blocking_dens,-1.76942646049,-1.71613905177,-1.46605444159,-1.7721135031,-1.46605444159,-1.71613905177,-1.56379966032,17b4c1ea
2,6_hard_full,linear,-2.31130784177,-2.34383081926,-2.42683541876,-2.33678794808,-2.42683541876,-2.34383081926,-2.45548775328,17e120dd
3,6_hard_full,density,-1.84709989606,-1.86348467972,-1.81641767684,-1.79941048626,-1.81641767684,-1.86348467972,-1.82104992594,20bfd7bd
4,6_hard_full,linear,-3.55927517655,-3.61725496769,-3.58704409518,-3.79538141956,-3.58704409518,-3.61725496769,-3.57818185705,22dac859
5,6_hard_full,blocking_dens,-3.00234801147,-2.92867431308,-2.15045096987,-2.3260222276,-2.15045096987,-2.92867431308,-2.2961519552,24a5e25a
6,6_hard_full,blocking_dens,-2.79416559818,-2.73098444983,-2.45678344568,-2.54965397608,-2.45678344568,-2.73098444983,-2.5605829769,24f4c091
7,6_hard_full,blocking_dens,-1.81586419283,-1.66169700669,-1.55367395877,-1.81399084338,-1.55367395877,-1.66169700669,-1.70888788018,26dbf6e9
8,6_hard_full,density,-3.84365147569,-3.73654602566,-3.05725839767,-3.00571193863,-3.05725839767,-3.73654602566,-3.15378370027,31e63b91
9,6_hard_full,density,-2.90541873823,-2.86117582664,-2.15908565928,-2.06670941714,-2.15908565928,-2.86117582664,-2.23397887893,32ebf2e8
10,6_hard_full,blocking,-3.62408777165,-3.49292879807,-3.84970788698,-4.01400981946,-3.84970788698,-3.49292879807,-3.98086686056,37f61258
11,6_hard_full,blocking_dens,-1.90123599264,-1.68238722672,-1.39797663356,-1.75701929504,-1.39797663356,-1.68238722672,-1.61792447152,3bb613b2
12,6_hard_full,blocking_dens,-1.67826266419,-1.50657048317,-1.37926951945,-1.72349767742,-1.37926951945,-1.50657048317,-1.55208895384,3cd60baf
13,6_hard_full,blocking_dens,-2.42417828229,-2.28922954652,-1.84705827091,-2.15193408161,-1.84705827091,-2.28922954652,-2.01909847205,43c60cd9
14,6_hard_full,blocking,-2.25602468165,-2.14929813126,-2.19256646909,-2.36062657693,-2.19256646909,-2.14929813126,-2.32621990965,47f614be
15,6_hard_full,blocking_dens,-2.38239917055,-2.11593395519,-1.7062995046,-1.84859909917,-1.7062995046,-2.11593395519,-1.97318726646,49e6113d
16,6_hard_full,blocking_dens,-2.34116853172,-2.11538263698,-1.44794970075,-1.78211897007,-1.44794970075,-2.11538263698,-1.66025936051,4ed4c1d3
17,6_hard_full,blocking_dens,-1.74859159905,-1.54267782493,-1.17601424905,-1.58435221513,-1.17601424905,-1.54267782493,-1.38259412743,54f4bf95
18,6_hard_full,blocking_dens,-3.09467945968,-3.05957004707,-2.79951496083,-2.82259568185,-2.79951496083,-3.05957004707,-2.86452473487,5ce612bc
19,6_hard_full,blocking_dens,-2.43445829207,-2.23270875319,-1.80152487177,-2.01992060164,-1.80152487177,-2.23270875319,-1.98204755837,63e5efe1
20,6_hard_full,density,-4.15026711332,-4.19354389576,-3.57568366856,-3.29178342367,-3.57568366856,-4.19354389576,-3.5594666713,67eac875
21,6_hard_full,blocking_dens,-2.76782080705,-2.73605929786,-2.28254314985,-2.48306863092,-2.28254314985,-2.73605929786,-2.36136132063,68d5e249
22,6_hard_full,blocking_dens,-2.22851503299,-2.21189374157,-2.13101078818,-2.24656174489,-2.13101078818,-2.21189374157,-2.18846310029,69bad0fe
23,6_hard_full,linear,-2.62774970841,-2.63858087309,-2.67845094376,-2.86027502511,-2.67845094376,-2.63858087309,-2.68942506688,6bf51f66
24,6_hard_full,density,-2.86136412499,-2.94365938809,-2.56848322849,-2.29684986103,-2.56848322849,-2.94365938809,-2.51367915155,6ee61190
25,6_hard_full,blocking_dens,-2.2233561448,-2.22813130868,-2.07685320091,-2.35135060573,-2.07685320091,-2.22813130868,-2.14852291197,70da8cfb
26,6_hard_full,density,-3.00306278031,-2.85401982987,-2.45317828091,-2.35044375291,-2.45317828091,-2.85401982987,-2.60297432665,76e60f84
27,6_hard_full,density,-2.33776167129,-2.36516510807,-2.14376852903,-2.08039092125,-2.14376852903,-2.36516510807,-2.12660493514,7bf4bf38
28,6_hard_full,blocking_dens,-2.25470245297,-1.9978667256,-1.97633856723,-1.98782237,-1.97633856723,-1.9978667256,-2.23317429459,84a4bf3c
29,6_hard_full,blocking,-2.20164164956,-2.18513467751,-2.2024004633,-2.37429158953,-2.2024004633,-2.18513467751,-2.23952959137,87b50908
30,6_hard_full,blocking_dens,-2.59685363403,-2.53213664254,-2.13537964085,-2.20577490753,-2.13537964085,-2.53213664254,-2.22959768463,89d60ba4
31,6_hard_full,blocking_dens,-3.12710247151,-2.96457814494,-2.68749929965,-2.87395893091,-2.68749929965,-2.96457814494,-2.85155085591,8ac4c37c
32,6_hard_full,blocking_dens,-2.05683895114,-2.00595789732,-1.54722884563,-1.91947741521,-1.54722884563,-2.00595789732,-1.65348594941,8ea4bf56
33,6_hard_full,blocking_dens,-2.41994195615,-2.29516721182,-2.05263861315,-2.4175823422,-2.05263861315,-2.29516721182,-2.1916653808,8fc76287
34,6_hard_full,density,-3.9591834627,-4.04684262069,-3.97642541439,-3.79352818162,-3.97642541439,-4.04684262069,-3.89965430431,8fcbec83
35,6_hard_full,blocking,-2.73028412109,-2.71867691066,-2.77478234744,-2.8647534675,-2.77478234744,-2.71867691066,-2.80005711936,90c60de8
36,6_hard_full,blocking_dens,-2.13473399536,-2.03415615744,-1.97128651816,-2.22142137276,-1.97128651816,-2.03415615744,-2.08701915998,91cfd7fb
37,6_hard_full,blocking_dens,-2.91808720032,-2.9066740261,-2.50709778478,-2.76780842513,-2.50709778478,-2.9066740261,-2.55979343267,92b722f3
38,6_hard_full,blocking_dens,-2.69520644988,-2.61110432673,-2.24134998,-2.51665888454,-2.24134998,-2.61110432673,-2.35744892717,94d6ef33
39,6_hard_full,blocking_dens,-3.39908104418,-3.37461970322,-3.06576676128,-3.40647870742,-3.06576676128,-3.37461970322,-3.11991015784,94e4c554
40,6_hard_full,linear,-2.36813646677,-2.45196312721,-3.14102958611,-2.98132769089,-3.14102958611,-2.45196312721,-3.11041717605,9adbc2df
41,6_hard_full,density,-3.54007054863,-3.65736737759,-3.39046048974,-3.18326064085,-3.39046048974,-3.65736737759,-3.3310274014,9dc50a3d
42,6_hard_full,blocking_dens,-3.36263219348,-3.32047928425,-1.79044530583,-2.12210746474,-1.79044530583,-3.32047928425,-1.92015750599,9df60bf8
43,6_hard_full,blocking_dens,-3.25014347997,-3.20427076026,-2.77509497332,-2.92277156409,-2.77509497332,-3.20427076026,-2.86246893273,a3d4c3b2
44,6_hard_full,linear,-2.90681854989,-2.92104533096,-2.9401209156,-3.11232159087,-2.9401209156,-2.92104533096,-2.97008615803,a3d5dfda
45,6_hard_full,blocking_dens,-2.4770234441,-2.40359642519,-2.29022188948,-2.3618606344,-2.29022188948,-2.40359642519,-2.36751874668,a6f610e1
46,6_hard_full,density,-4.49652560407,-4.60151139209,-3.9503743285,-3.75275963099,-3.9503743285,-4.60151139209,-3.86698756779,acd61c3d
47,6_hard_full,blocking_dens,-3.19299751667,-3.1743924772,-2.89083537831,-2.98064096757,-2.89083537831,-3.1743924772,-2.94666267401,ada4c06f
48,6_hard_full,blocking_dens,-3.60155443844,-3.57762066678,-3.22733393759,-3.30933867315,-3.22733393759,-3.57762066678,-3.28060388295,b0d518a1
49,6_hard_full,blocking,-2.35948727086,-2.34046584651,-2.60418596283,-2.6612976832,-2.60418596283,-2.34046584651,-2.61345225655,b2d60bc9
50,6_hard_full,blocking_dens,-1.77408729894,-1.60373324742,-1.29307973721,-1.57470958013,-1.29307973721,-1.60373324742,-1.46221211528,bae515f2
51,6_hard_full,blocking_dens,-3.4991351255,-3.52997796101,-3.48611414063,-3.66618721903,-3.48611414063,-3.52997796101,-3.50659558294,bcdfd2df
52,6_hard_full,blocking,-2.25036157116,-1.97970550991,-2.0558962028,-2.50034549045,-2.0558962028,-1.97970550991,-2.32684534993,bed50a1d
53,6_hard_full,blocking_dens,-2.34761121075,-2.23664530227,-2.05828251259,-2.35051111081,-2.05828251259,-2.23664530227,-2.22784277226,bfa60c8b
54,6_hard_full,blocking_dens,-2.44524015074,-2.43172858841,-2.19237665643,-2.29636160374,-2.19237665643,-2.43172858841,-2.20816851713,bfe4c87d
55,6_hard_full,blocking,-1.83139205599,-1.74482682017,-1.75918300524,-1.90444708567,-1.75918300524,-1.74482682017,-1.8490948504,c0f60e45
56,6_hard_full,blocking_dens,-5.74885543266,-5.66367911447,-5.05917310188,-5.0948738201,-5.05917310188,-5.66367911447,-5.19324875911,c6b4c141
57,6_hard_full,linear_dens,-3.87698927652,-3.95948979893,-3.63914178382,-3.72181906463,-3.63914178382,-3.95948979893,-3.62884387967,c6b60d63
58,6_hard_full,blocking,-2.45668467622,-2.42450613493,-2.72077071237,-2.81158960584,-2.72077071237,-2.42450613493,-2.75963062045,c7a61295
59,6_hard_full,blocking_dens,-3.59866043025,-3.66012466084,-3.51036386137,-3.59864132225,-3.51036386137,-3.66012466084,-3.52307476675,c7a67aab
60,6_hard_full,linear,-3.00333241698,-3.01405300977,-3.09164617179,-3.22995510571,-3.09164617179,-3.01405300977,-3.11315794702,c8a4fa50
