,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
0,6_hard_full,blocking_dens,-2.35517262477,-2.15538423293,-1.82443112319,-2.02167668716,-1.92565668654,-2.25660979628,-2.06215764183,14c5dc72
1,6_hard_full,interaction_dens,-1.77932169532,-1.72582034733,-1.47573573715,-1.7721135031,-1.46786431027,-1.71794892045,-1.57369489514,17b4c1ea
2,6_hard_full,linear,-2.27798086341,-2.35780930935,-2.44081390886,-2.33678794808,-2.40204499335,-2.31904039384,-2.42216077492,17e120dd
3,6_hard_full,density,-1.86666325573,-1.97392298221,-1.92685597933,-1.79941048626,-1.82259080923,-1.86965781211,-1.84061328561,20bfd7bd
4,6_hard_full,linear,-3.54807595071,-3.61986629826,-3.58965542575,-3.79538141956,-3.56832587483,-3.59853674735,-3.5671634361,22dac859
5,6_hard_full,blocking_dens,-2.95082211098,-2.83071273746,-2.05248939425,-2.3260222276,-2.13211606135,-2.91033940456,-2.2446260547,24a5e25a
6,6_hard_full,blocking_dens,-2.82026092634,-2.64234395424,-2.36814295009,-2.54965397608,-2.48264439184,-2.75684539599,-2.58750794609,24f4c091
7,6_hard_full,blocking_dens,-1.82364074855,-1.61851834608,-1.51049529816,-1.81399084338,-1.55805651384,-1.66607956176,-1.7166644359,26dbf6e9
8,6_hard_full,density,-3.8547048884,-3.69449391845,-3.01520629046,-3.00571193863,-3.06965274611,-3.7489403741,-3.16518838231,31e63b91
9,6_hard_full,blocking_dens,-2.83223198487,-2.70609161329,-2.00400144592,-2.06670941714,-2.08745472535,-2.78954489271,-2.16079212557,32ebf2e8
10,6_hard_full,blocking,-3.66224685362,-3.22338667006,-3.58016575897,-4.01400981946,-3.90350598064,-3.54672689173,-4.01902594253,37f61258
11,6_hard_full,blocking_dens,-1.91141461094,-1.59800839576,-1.3135978026,-1.75701929504,-1.41157205135,-1.6959826445,-1.62810308983,3bb613b2
12,6_hard_full,blocking_dens,-1.6943009825,-1.46837241793,-1.34107145421,-1.72349767742,-1.39229122494,-1.51959218866,-1.56812727215,3cd60baf
