,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
0,6_hard_full,interaction,-1.89520864568,-1.83106378137,-2.0541289914,-2.02167668716,-2.10985426614,-1.78322229027,-2.20496614396,14c5dc72
1,6_hard_full,density,-2.17762999014,-2.20227444291,-2.0412254395,-1.7721135031,-2.01074170548,-2.0582263347,-2.11048609658,17b4c1ea
2,6_hard_full,density,-2.4375058044,-2.80476587382,-2.82294853729,-2.33678794808,-2.76051190118,-2.40586231499,-2.77481593592,17e120dd
3,6_hard_full,density,-1.90987696341,-2.09663904076,-1.97766790659,-1.79941048626,-1.79968410802,-1.89647453843,-1.80939960141,20bfd7bd
4,6_hard_full,interaction,-2.55160357832,-2.72685373958,-3.63403777362,-3.79538141956,-3.67852394276,-2.54271674187,-3.66317716873,22dac859
5,6_hard_full,interaction,-1.7327043809,-1.69645520615,-1.56170051301,-2.3260222276,-1.66485596997,-1.55403803244,-1.82167589474,24a5e25a
6,6_hard_full,blocking,-1.5848144804,-1.41889145467,-2.00070217382,-2.54965397608,-2.12961795135,-1.43926557738,-2.26868146586,24f4c091
7,6_hard_full,blocking,-1.58366608194,-1.3863835209,-1.47984277687,-1.81399084338,-1.62916460579,-1.45349528513,-1.74997383066,26dbf6e9
8,6_hard_full,interaction,-2.20428451376,-2.61888125632,-2.98534473876,-3.00571193863,-2.93517298776,-2.10618385203,-2.97739803572,31e63b91
9,6_hard_full,interaction,-1.72530144238,-1.63209235193,-1.90526505706,-2.06670941714,-2.01502636105,-1.59961662151,-2.13163071403,32ebf2e8
10,6_hard_full,blocking,-3.98086686056,-3.52721289435,-3.52721289435,-4.01400981946,-3.84970788698,-3.84970788698,-3.98086686056,37f61258
11,6_hard_full,blocking,-1.77898143737,-1.52456076191,-1.6066969296,-1.75701929504,-1.70171894137,-1.54359644695,-1.92166677932,3bb613b2
12,6_hard_full,interaction,-1.39755583538,-1.24574231033,-1.33408608516,-1.72349767742,-1.37926951945,-1.21034124511,-1.55208895384,3cd60baf
13,6_hard_full,blocking_dens,-1.8140069523,-1.58797104538,-1.5063540046,-2.15193408161,-1.66096102514,-1.65710280185,-1.8136373689,43c60cd9
14,6_hard_full,blocking,-2.1932587207,-1.97417008912,-2.21509201316,-2.36062657693,-2.36366424607,-2.01249079846,-2.51496999837,47f614be
15,6_hard_full,blocking,-1.42902071414,-0.801641477967,-1.1895939288,-1.84859909917,-1.52606126236,-1.13810881153,-1.81697316497,49e6113d
16,6_hard_full,blocking_dens,-1.73011242366,-1.39620551418,-1.3942712895,-1.78211897007,-1.54612225079,-1.49265486375,-1.775448107,4ed4c1d3
17,6_hard_full,blocking,-1.30579628207,-1.04259906819,-1.08753127556,-1.58435221513,-1.17601424905,-1.0881613107,-1.38259412743,54f4bf95
18,6_hard_full,blocking_dens,-2.58789106644,-2.51021094486,-2.348522053,-2.82259568185,-2.53669820535,-2.55801253909,-2.59398199162,5ce612bc
19,6_hard_full,blocking,-1.7107906643,-1.40432953421,-1.4767512528,-2.01992060164,-1.62344572744,-1.60567320306,-1.73115024027,63e5efe1
20,6_hard_full,blocking_dens,-3.68497156152,-3.7826403268,-3.14091409683,-3.29178342367,-3.23699948772,-3.6448085439,-3.24995114133,67eac875
21,6_hard_full,interaction,-1.77936298114,-1.93126869433,-2.10641342093,-2.48306863092,-2.10183991736,-1.71295207005,-2.16277752146,68d5e249
22,6_hard_full,density,-2.33873841912,-2.24900028058,-2.41439050517,-2.24656174489,-2.39159152472,-2.28452722562,-2.44956304989,69bad0fe
23,6_hard_full,interaction,-2.03200084218,-2.22766335831,-2.5691367097,-2.86027502511,-2.41828245227,-2.00406958696,-2.43657529732,6bf51f66
24,6_hard_full,density,-2.61913976508,-2.99911766144,-2.88365367466,-2.29684986103,-2.81541884075,-2.67304672659,-2.76198225868,6ee61190
25,6_hard_full,interaction,-1.51005533655,-1.69883645512,-2.07090900028,-2.35135060573,-1.92258699765,-1.41128736623,-2.00397439609,70da8cfb
26,6_hard_full,blocking,-1.61945811107,-1.1991420322,-1.54176947082,-2.35044375291,-1.89649691756,-1.43185402403,-2.07909252213,76e60f84
27,6_hard_full,density,-3.04879630378,-3.02920182817,-2.76196622167,-2.08039092125,-2.67277062904,-3.13418624234,-2.60467002248,7bf4bf38
28,6_hard_full,blocking,-2.23317429459,-1.78271403555,-1.78271403555,-1.98782237,-1.97633856723,-1.97633856723,-2.23317429459,84a4bf3c
29,6_hard_full,interaction,-1.93919170313,-2.11358272049,-2.61936728947,-2.37429158953,-2.51710820002,-1.86230421435,-2.57495396759,87b50908
30,6_hard_full,interaction,-1.95296858989,-1.89438408675,-2.02461026753,-2.20577490753,-2.0364462132,-1.85824985297,-2.11733391241,89d60ba4
31,6_hard_full,blocking,-1.95184883638,-1.65711172251,-2.14885996505,-2.87395893091,-2.31050457547,-1.75366476769,-2.50530745873,8ac4c37c
32,6_hard_full,interaction,-1.60321883901,-1.8251576302,-1.8135776769,-1.91947741521,-1.72203157343,-1.47527463472,-1.82886923268,8ea4bf56
