,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
0,6_hard_full,blocking_dens,-2.39124220694,-2.33438106737,-2.00342795763,-2.02167668716,-2.00342795763,-2.33438106737,-2.098227224,14c5dc72
1,6_hard_full,density,-2.45371245513,-2.47889662998,-2.2288120198,-1.7721135031,-2.2288120198,-2.47889662998,-2.24808565496,17b4c1ea
2,6_hard_full,density,-2.74156250643,-2.85815745527,-2.94116205478,-2.33678794808,-2.94116205478,-2.85815745527,-2.88574241794,17e120dd
3,6_hard_full,blocking_dens,-1.65399340758,-1.66582638643,-1.61875938355,-1.79941048626,-1.61875938355,-1.66582638643,-1.62794343746,20bfd7bd
4,6_hard_full,linear,-3.64294284643,-3.70479096943,-3.67458009692,-3.79538141956,-3.67458009692,-3.70479096943,-3.66203033181,22dac859
5,6_hard_full,blocking_dens,-2.52674782994,-2.44137585436,-1.66315251115,-2.3260222276,-1.66315251115,-2.44137585436,-1.82055177367,24a5e25a
6,6_hard_full,blocking_dens,-2.49636935151,-2.41128184891,-2.13708084476,-2.54965397608,-2.13708084476,-2.41128184891,-2.26361637126,24f4c091
7,6_hard_full,blocking_dens,-1.85695014332,-1.73718765371,-1.62916460579,-1.81399084338,-1.62916460579,-1.73718765371,-1.74997383066,26dbf6e9
8,6_hard_full,blocking_dens,-3.6658620378,-3.61034709702,-2.93105946903,-3.00571193863,-2.93105946903,-3.61034709702,-2.9763455317,31e63b91
9,6_hard_full,blocking_dens,-2.85994331782,-2.76603241811,-2.06394225075,-2.06670941714,-2.06394225075,-2.76603241811,-2.18850345853,32ebf2e8
10,6_hard_full,blocking,-3.62408777165,-3.49292879807,-3.84970788698,-4.01400981946,-3.84970788698,-3.49292879807,-3.98086686056,37f61258
11,6_hard_full,blocking_dens,-2.20497830044,-1.98612953452,-1.70171894137,-1.75701929504,-1.70171894137,-1.98612953452,-1.92166677932,3bb613b2
12,6_hard_full,blocking_dens,-1.67826266419,-1.50657048317,-1.37926951945,-1.72349767742,-1.37926951945,-1.50657048317,-1.55208895384,3cd60baf
13,6_hard_full,blocking_dens,-2.21937000734,-2.10096983237,-1.65879855676,-2.15193408161,-1.65879855676,-2.10096983237,-1.8142901971,43c60cd9
14,6_hard_full,density,-2.46234935513,-2.37116721788,-2.41443555571,-2.36062657693,-2.41443555571,-2.37116721788,-2.53254458312,47f614be
15,6_hard_full,blocking_dens,-2.22638402274,-1.93443087296,-1.52479642237,-1.84859909917,-1.52479642237,-1.93443087296,-1.81735500788,49e6113d
16,6_hard_full,blocking_dens,-2.39243806444,-2.15028085606,-1.48284791983,-1.78211897007,-1.48284791983,-2.15028085606,-1.71152889324,4ed4c1d3
17,6_hard_full,blocking_dens,-1.74859159905,-1.54267782493,-1.17601424905,-1.58435221513,-1.17601424905,-1.54267782493,-1.38259412743,54f4bf95
18,6_hard_full,blocking_dens,-2.87307568224,-2.88602730039,-2.62597221415,-2.82259568185,-2.62597221415,-2.88602730039,-2.64292095743,5ce612bc
19,6_hard_full,blocking_dens,-2.18463082182,-2.05650830401,-1.62532442259,-2.01992060164,-1.62532442259,-2.05650830401,-1.73222008813,63e5efe1
20,6_hard_full,blocking_dens,-3.83997383687,-3.85292887959,-3.2350686524,-3.29178342367,-3.2350686524,-3.85292887959,-3.24945710883,67eac875
21,6_hard_full,blocking_dens,-2.59516771359,-2.60831882304,-2.15480267503,-2.48306863092,-2.15480267503,-2.60831882304,-2.18870822716,68d5e249
22,6_hard_full,density,-2.62948282388,-2.68912921052,-2.60824625713,-2.24656174489,-2.60824625713,-2.68912921052,-2.58943089118,69bad0fe
23,6_hard_full,linear,-2.37489993885,-2.3784123816,-2.41828245227,-2.86027502511,-2.41828245227,-2.3784123816,-2.43657529732,6bf51f66
24,6_hard_full,density,-3.3235209339,-3.44537275264,-3.07019659304,-2.29684986103,-3.07019659304,-3.44537275264,-2.97626955698,6ee61190
25,6_hard_full,blocking_dens,-2.0719349613,-2.09212539347,-1.94084728569,-2.35135060573,-1.94084728569,-2.09212539347,-1.99710172847,70da8cfb
26,6_hard_full,blocking_dens,-2.48047289719,-2.30062603828,-1.89978448931,-2.35044375291,-1.89978448931,-2.30062603828,-2.0809546276,76e60f84
27,6_hard_full,density,-2.95284345213,-3.09827514144,-2.8768785624,-2.08039092125,-2.8768785624,-3.09827514144,-2.74168671598,7bf4bf38
28,6_hard_full,blocking_dens,-2.25470245297,-1.9978667256,-1.97633856723,-1.98782237,-1.97633856723,-1.9978667256,-2.23317429459,84a4bf3c
29,6_hard_full,density,-2.57712369695,-2.55885431944,-2.57612010522,-2.37429158953,-2.57612010522,-2.55885431944,-2.61501163876,87b50908
30,6_hard_full,blocking_dens,-2.4917984849,-2.45707703638,-2.06032003469,-2.20577490753,-2.06032003469,-2.45707703638,-2.12464597837,89d60ba4
31,6_hard_full,blocking_dens,-2.78212392896,-2.58339363827,-2.30631479298,-2.87395893091,-2.30631479298,-2.58339363827,-2.50657231336,8ac4c37c
32,6_hard_full,blocking_dens,-2.26916155926,-2.25392021641,-1.79519116471,-1.91947741521,-1.79519116471,-2.25392021641,-1.86580855753,8ea4bf56
33,6_hard_full,blocking_dens,-2.44880144358,-2.32278882146,-2.08026022278,-2.4175823422,-2.08026022278,-2.32278882146,-2.22052486823,8fc76287
34,6_hard_full,linear_dens,-3.73110595835,-3.85742445171,-3.78700724541,-3.79352818162,-3.78700724541,-3.85742445171,-3.67157679995,8fcbec83
35,6_hard_full,density,-3.34334086803,-3.3658108109,-3.42191624768,-2.8647534675,-3.42191624768,-3.3658108109,-3.4131138663,90c60de8
36,6_hard_full,blocking_dens,-2.03945180144,-1.97337582408,-1.91050618481,-2.22142137276,-1.91050618481,-1.97337582408,-1.99173696606,91cfd7fb
37,6_hard_full,density,-3.43361071456,-3.46107663619,-3.06150039487,-2.76780842513,-3.06150039487,-3.46107663619,-3.07604251302,92b722f3
38,6_hard_full,blocking_dens,-2.7263415351,-2.65110690942,-2.28135256269,-2.51665888454,-2.28135256269,-2.65110690942,-2.38858401239,94d6ef33
39,6_hard_full,blocking_dens,-3.35161667194,-3.35143656259,-3.04258362065,-3.40647870742,-3.04258362065,-3.35143656259,-3.0724457856,94e4c554
40,6_hard_full,linear,-2.37457389809,-2.40122712776,-3.09029358666,-2.98132769089,-3.09029358666,-2.40122712776,-3.11685460737,9adbc2df
41,6_hard_full,density,-3.71261841688,-3.8844402096,-3.61753332175,-3.18326064085,-3.61753332175,-3.8844402096,-3.50395957451,9dc50a3d
42,6_hard_full,blocking_dens,-3.36263219348,-3.32047928425,-1.79044530583,-2.12210746474,-1.79044530583,-3.32047928425,-1.92015750599,9df60bf8
