,correlation,heuristic,path_length
0,0.456465003339,density,1
1,0.52656104703,linear,1
2,0.651440898153,non-linear,1
3,0.730829163585,interaction,1
4,0.790206593687,blocking,1
5,2.42998520104e-05,density,3
6,0.281111313871,linear,3
7,0.376428987612,non-linear,3
8,0.626870249175,interaction,3
9,0.546192330938,blocking,3
10,0.0249998826202,density,2
11,0.667993526866,linear,2
12,0.664217246763,non-linear,2
13,0.764949748362,interaction,2
14,0.78703697632,blocking,2
15,-0.0120321740433,density,4
16,0.295618997369,linear,4
17,0.256784077663,non-linear,4
18,0.492929601846,interaction,4
19,0.406393867577,blocking,4
20,-0.010675204197,density,5
21,0.131102123422,linear,5
22,0.227283149324,non-linear,5
23,0.43568734405,interaction,5
24,0.397666209899,blocking,5
25,0.0357012721996,density,7
26,0.131758041116,linear,7
27,0.278828138678,non-linear,7
28,0.382361068536,interaction,7
29,0.313566036478,blocking,7
30,0.00231750934208,density,6
31,0.213432005362,linear,6
32,0.344636066639,non-linear,6
33,0.432147885259,interaction,6
34,0.594778673725,blocking,6
35,0.475120745423,density,1
36,0.452741254347,linear,1
37,0.669907514681,non-linear,1
38,0.70178982917,interaction,1
39,0.800682390953,blocking,1
40,0.000883068322871,density,3
41,0.34205664791,linear,3
42,0.460002254663,non-linear,3
43,0.622193773213,interaction,3
44,0.473173790654,blocking,3
45,0.0775039344089,density,2
46,0.66333733154,linear,2
47,0.686102199066,non-linear,2
48,0.708748370162,interaction,2
49,0.791677497113,blocking,2
50,-0.0138873138075,density,4
51,0.24542136119,linear,4
52,0.303830732084,non-linear,4
53,0.463496219336,interaction,4
54,0.424139079676,blocking,4
55,0.00979756534659,density,5
56,0.226043426505,linear,5
57,0.33907961625,non-linear,5
58,0.365155934999,interaction,5
59,0.383672844966,blocking,5
60,0.0401056146576,density,7
61,0.244702916672,linear,7
62,0.264623035882,non-linear,7
63,0.307778955808,interaction,7
64,0.438260178027,blocking,7
65,-0.0112697600481,density,6
66,0.29100233673,linear,6
67,0.299518489336,non-linear,6
68,0.344295938003,interaction,6
69,0.508554662341,blocking,6
70,0.417060492609,density,1
71,0.464364864898,linear,1
72,0.645445048806,non-linear,1
73,0.71996690248,interaction,1
74,0.809956003475,blocking,1
75,0.0091574275517,density,3
76,0.33634250942,linear,3
77,0.391502638146,non-linear,3
78,0.568639169644,interaction,3
79,0.643477196369,blocking,3
80,0.0134300957694,density,2
81,0.627177839563,linear,2
82,0.708623569327,non-linear,2
83,0.710831480311,interaction,2
84,0.796195774738,blocking,2
85,-0.008597798311,density,4
86,0.19366100447,linear,4
87,0.301717363633,non-linear,4
88,0.417834122708,interaction,4
89,0.432945063217,blocking,4
90,0.071467116593,density,5
91,0.196387565093,linear,5
92,0.351500656221,non-linear,5
93,0.382028091824,interaction,5
94,0.468050569329,blocking,5
95,0.0630595312596,density,7
96,0.155543968938,linear,7
97,0.14611817399,non-linear,7
98,0.22080906923,interaction,7
99,0.180895514927,blocking,7
100,0.0207963803248,density,6
101,0.208743211325,linear,6
102,0.377649509972,non-linear,6
103,0.322479021097,interaction,6
104,0.629820535604,blocking,6
105,0.450830861963,density,1
106,0.327258097735,linear,1
107,0.690431762781,non-linear,1
108,0.71751881908,interaction,1
109,0.818098034966,blocking,1
110,0.0111228403614,density,3
111,0.210420235821,linear,3
112,0.430374644593,non-linear,3
113,0.562579704151,interaction,3
114,0.569416316387,blocking,3
115,0.0484201374584,density,2
116,0.691160822888,linear,2
117,0.604557541726,non-linear,2
118,0.799851864573,interaction,2
119,0.797185336488,blocking,2
120,-0.0148651250146,density,4
121,0.290139654999,linear,4
122,0.251143109435,non-linear,4
123,0.426188824134,interaction,4
124,0.43050929554,blocking,4
125,0.000700340530516,density,5
126,0.296715420841,linear,5
127,0.314138013168,non-linear,5
128,0.472396574822,interaction,5
129,0.419780372824,blocking,5
130,0.0181827822376,density,7
131,0.228855830297,linear,7
132,0.252302016553,non-linear,7
133,0.333966345359,interaction,7
134,0.43025300719,blocking,7
135,0.0100944810238,density,6
136,0.297641383445,linear,6
137,0.136452269697,non-linear,6
138,0.346828389862,interaction,6
139,0.515729972463,blocking,6
140,0.462052906041,density,1
141,0.413832384926,linear,1
142,0.664803128587,non-linear,1
143,0.728594703821,interaction,1
144,0.777729198438,blocking,1
145,-0.000823477047091,density,3
146,0.292567212762,linear,3
147,0.219955408639,non-linear,3
148,0.609447994181,interaction,3
149,0.58660582993,blocking,3
150,0.0536518556962,density,2
151,0.610516954731,linear,2
152,0.640756586939,non-linear,2
153,0.726836078645,interaction,2
154,0.77883455168,blocking,2
155,-0.00628205161549,density,4
156,0.280295241718,linear,4
157,0.271896701398,non-linear,4
158,0.482336253306,interaction,4
159,0.432694018779,blocking,4
160,-0.00218436938791,density,5
161,0.235163494955,linear,5
162,0.321423171621,non-linear,5
163,0.28127541636,interaction,5
164,0.291615217846,blocking,5
165,0.0783082240626,density,7
166,0.274374654893,linear,7
167,0.239143050776,non-linear,7
168,0.182228256167,interaction,7
169,0.408873779795,blocking,7
170,0.0443074641205,density,6
171,0.250253120837,linear,6
172,0.192797451548,non-linear,6
173,0.442294094706,interaction,6
174,0.504494101886,blocking,6
175,0.448939308147,density,1
176,0.491500983389,linear,1
177,0.67294918181,non-linear,1
178,0.750429269922,interaction,1
179,0.789127695792,blocking,1
180,-0.0083830233897,density,3
181,0.1463493342,linear,3
182,0.435604803599,non-linear,3
183,0.527445163721,interaction,3
184,0.482158619195,blocking,3
185,0.0144396842159,density,2
186,0.648339028671,linear,2
187,0.628868197727,non-linear,2
188,0.785773306288,interaction,2
189,0.82177779733,blocking,2
190,-0.00803960328872,density,4
191,0.223994213832,linear,4
192,0.219718566088,non-linear,4
193,0.405732804982,interaction,4
194,0.432817537814,blocking,4
195,0.0762185646773,density,5
196,0.292252858786,linear,5
197,0.256327404812,non-linear,5
198,0.349626371838,interaction,5
199,0.363559685588,blocking,5
200,0.0819779813518,density,7
201,0.138488144916,linear,7
202,0.27483948574,non-linear,7
203,0.22399791718,interaction,7
204,0.436537748547,blocking,7
205,-0.00101897259699,density,6
206,0.294099340932,linear,6
207,0.108737533007,non-linear,6
208,0.420872615817,interaction,6
209,0.498091545193,blocking,6
210,0.471587408053,density,1
211,0.374404604421,linear,1
212,0.614098010681,non-linear,1
213,0.753350944625,interaction,1
214,0.804674170852,blocking,1
215,0.0067108378725,density,3
216,0.308932274593,linear,3
217,0.464203499668,non-linear,3
218,0.580254682427,interaction,3
219,0.468153539672,blocking,3
220,0.0101243074537,density,2
221,0.619535618483,linear,2
222,0.715025093671,non-linear,2
223,0.705063126017,interaction,2
224,0.800694111431,blocking,2
225,-0.0037966094193,density,4
226,0.335389138196,linear,4
227,0.316536381865,non-linear,4
228,0.460932033437,interaction,4
229,0.36991186663,blocking,4
230,0.0112250753393,density,5
231,0.225902449149,linear,5
232,0.3051702383,non-linear,5
233,0.370352398685,interaction,5
234,0.554944126691,blocking,5
235,0.0638818920405,density,7
236,0.301097648208,linear,7
237,0.165315567309,non-linear,7
238,0.166553334643,interaction,7
239,0.198333227434,blocking,7
240,-0.00180215688327,density,6
241,0.244266289409,linear,6
242,0.205278506551,non-linear,6
243,0.25376322181,interaction,6
244,0.540818300878,blocking,6
245,0.40596081898,density,1
246,0.433335040662,linear,1
247,0.606391004132,non-linear,1
248,0.716573172628,interaction,1
249,0.784385568761,blocking,1
250,0.00708486972784,density,3
251,0.263806097358,linear,3
252,0.410923103402,non-linear,3
253,0.608817449799,interaction,3
254,0.630483147765,blocking,3
255,0.0537559321845,density,2
256,0.592053883742,linear,2
257,0.696600986768,non-linear,2
258,0.716984041004,interaction,2
259,0.758407095435,blocking,2
260,-0.0131983680886,density,4
261,0.266192335241,linear,4
262,0.350757142332,non-linear,4
263,0.398704666213,interaction,4
264,0.350500522072,blocking,4
265,0.00342307598581,density,5
266,0.232065699436,linear,5
267,0.208171847275,non-linear,5
268,0.296988746529,interaction,5
269,0.424241959946,blocking,5
270,0.0807402688793,density,7
271,0.226665142583,linear,7
272,0.307050726961,non-linear,7
273,0.178897463635,interaction,7
274,0.382387588328,blocking,7
275,0.000950143648192,density,6
276,0.206896141632,linear,6
277,0.156300603479,non-linear,6
278,0.377806596483,interaction,6
279,0.408565033292,blocking,6
280,0.421609388227,density,1
281,0.526915252683,linear,1
282,0.602750725808,non-linear,1
283,0.728276925871,interaction,1
284,0.78608367372,blocking,1
285,-0.011822455483,density,3
286,0.30845234786,linear,3
287,0.475202362303,non-linear,3
288,0.600593660991,interaction,3
289,0.548693640021,blocking,3
290,0.0427683259927,density,2
291,0.67090998842,linear,2
292,0.709114631541,non-linear,2
293,0.711346398029,interaction,2
294,0.784471526386,blocking,2
295,-0.0151994112486,density,4
296,0.283399563781,linear,4
297,0.246780999993,non-linear,4
298,0.435808433142,interaction,4
299,0.44031536634,blocking,4
300,0.0417529838341,density,5
301,0.31729341205,linear,5
302,0.329403745918,non-linear,5
303,0.454035624663,interaction,5
304,0.454140514188,blocking,5
305,0.0229805488792,density,7
306,0.190266685505,linear,7
307,0.257228505915,non-linear,7
308,0.278821046062,interaction,7
309,0.447562943445,blocking,7
310,0.0106235118288,density,6
311,0.0866756985151,linear,6
312,0.354926434494,non-linear,6
313,0.465972523075,interaction,6
314,0.516265530183,blocking,6
315,0.437029740173,density,1
316,0.443611572627,linear,1
317,0.611137725837,non-linear,1
318,0.736246277899,interaction,1
319,0.775513422232,blocking,1
320,-0.00683207369023,density,3
321,0.314774921701,linear,3
322,0.283215295991,non-linear,3
323,0.532550127446,interaction,3
324,0.520701364895,blocking,3
325,0.0537738947727,density,2
326,0.653852220832,linear,2
327,0.666245793904,non-linear,2
328,0.741610831733,interaction,2
329,0.779392357716,blocking,2
330,-0.0175008528931,density,4
331,0.327013249046,linear,4
332,0.322702737227,non-linear,4
333,0.439643484183,interaction,4
334,0.493559633045,blocking,4
335,0.0427898968508,density,5
336,0.178334181194,linear,5
337,0.275567137447,non-linear,5
338,0.40458805735,interaction,5
339,0.405208927027,blocking,5
340,0.0742055114305,density,7
341,0.173708279046,linear,7
342,0.16984031841,non-linear,7
343,0.250545466378,interaction,7
344,0.351391471324,blocking,7
345,0.0100691782634,density,6
346,0.293631698054,linear,6
347,0.501834814162,non-linear,6
348,0.394465995295,interaction,6
349,0.583775042102,blocking,6
350,0.491345091784,density,1
351,0.469366640003,linear,1
352,0.684667793519,non-linear,1
353,0.702992201767,interaction,1
354,0.793144210682,blocking,1
355,0.00845141097596,density,3
356,0.198203846042,linear,3
357,0.174390090409,non-linear,3
358,0.560949737773,interaction,3
359,0.427482683506,blocking,3
360,0.0469218429074,density,2
361,0.671417317645,linear,2
362,0.695658604708,non-linear,2
363,0.734316516697,interaction,2
364,0.822214333383,blocking,2
365,-0.00374636823241,density,4
366,0.191580210762,linear,4
367,0.372584703892,non-linear,4
368,0.393068533966,interaction,4
369,0.410616383443,blocking,4
370,-0.00128087701615,density,5
371,0.237867622556,linear,5
372,0.38650871686,non-linear,5
373,0.384042024549,interaction,5
374,0.476797793812,blocking,5
375,0.140122892609,density,7
376,0.139466765652,linear,7
377,0.2248334608,non-linear,7
378,0.169833564744,interaction,7
379,0.408074336208,blocking,7
380,0.00636099240701,density,6
381,0.264964274294,linear,6
382,0.209531318446,non-linear,6
383,0.376548672878,interaction,6
384,0.47749838951,blocking,6
385,0.483874927882,density,1
386,0.452666501471,linear,1
387,0.593971176279,non-linear,1
388,0.728666226572,interaction,1
389,0.779160918185,blocking,1
390,-0.0139612372312,density,3
391,0.309425178215,linear,3
392,0.214150983192,non-linear,3
393,0.557009192489,interaction,3
394,0.62306417461,blocking,3
395,0.0606278740311,density,2
396,0.630731070847,linear,2
397,0.673326030119,non-linear,2
398,0.698183891945,interaction,2
399,0.787476301365,blocking,2
400,-0.0112485946865,density,4
401,0.176252318709,linear,4
402,0.304036086214,non-linear,4
403,0.375554661357,interaction,4
404,0.434396480381,blocking,4
405,-0.000167060941631,density,5
406,0.256594254291,linear,5
407,0.348331550558,non-linear,5
408,0.306171109033,interaction,5
409,0.395097644582,blocking,5
410,0.0846582484874,density,7
411,0.206218563722,linear,7
412,0.289148874108,non-linear,7
413,0.272839728188,interaction,7
414,0.262320802564,blocking,7
415,0.00494692135052,density,6
416,0.227504539736,linear,6
417,0.225638422449,non-linear,6
418,0.373219720021,interaction,6
419,0.549998699443,blocking,6
420,0.467596376327,density,1
421,0.49283690114,linear,1
422,0.613846117546,non-linear,1
423,0.740981592128,interaction,1
424,0.773417330396,blocking,1
425,-0.00182804763552,density,3
426,0.291352287934,linear,3
427,0.371530211683,non-linear,3
428,0.566567543418,interaction,3
429,0.616640166215,blocking,3
430,0.0398333475052,density,2
431,0.670394013165,linear,2
432,0.66059354398,non-linear,2
433,0.774992282041,interaction,2
434,0.771264707189,blocking,2
435,-0.00922855652753,density,4
436,0.272313056774,linear,4
437,0.161163354083,non-linear,4
438,0.389814134033,interaction,4
439,0.440941142678,blocking,4
440,0.0107461460684,density,5
441,0.182756597546,linear,5
442,0.322882092736,non-linear,5
443,0.325420313265,interaction,5
444,0.376252811965,blocking,5
445,0.0572036511878,density,7
446,0.171953263974,linear,7
447,0.193249113877,non-linear,7
448,0.213133314596,interaction,7
449,0.390835197649,blocking,7
450,-0.00415619809436,density,6
451,0.161036464493,linear,6
452,0.158657962281,non-linear,6
453,0.383058648408,interaction,6
454,0.398814265918,blocking,6
455,0.413673093235,density,1
456,0.442777995082,linear,1
457,0.65211557825,non-linear,1
458,0.698575240519,interaction,1
459,0.771564138133,blocking,1
460,-0.00424899529415,density,3
461,0.183830706523,linear,3
462,0.472183786762,non-linear,3
463,0.59609494529,interaction,3
464,0.660620874188,blocking,3
465,0.0631373675962,density,2
466,0.574039563359,linear,2
467,0.745135474764,non-linear,2
468,0.751267127472,interaction,2
