,correlation,heuristic,path_length
0,0.20137261054288022,density,5
1,0.03454352086874709,linear,5
2,0.13683515472205104,non-linear,5
3,0.23626498559566236,interaction,5
4,0.18259720880828792,blocking,5
5,0.16817855478253893,density,4
6,0.17718681003838138,linear,4
7,0.7557618348708425,non-linear,4
8,0.35157268024735905,interaction,4
9,0.4702412222239332,blocking,4
10,0.40963294737539285,density,3
11,0.3851603313608595,linear,3
12,0.641663208880268,non-linear,3
13,0.6189608935143462,interaction,3
14,0.7673421679865826,blocking,3
15,-0.13515839815689354,density,2
16,0.3158346595898387,linear,2
17,0.26684363215073487,non-linear,2
18,0.5409341072691933,interaction,2
19,0.5048729839775087,blocking,2
20,0.2726412961214439,density,1
21,0.4688440112098888,linear,1
22,0.43055426607343567,non-linear,1
23,0.566353160596111,interaction,1
24,0.46276346735989465,blocking,1
25,0.2057103753360038,density,7
26,0.0935808505942735,linear,7
27,0.14695893858168432,non-linear,7
28,0.36895805073120197,interaction,7
29,0.5000053720318861,blocking,7
30,-0.2520568611209806,density,6
31,0.2577892666140118,linear,6
32,0.14618189537881063,non-linear,6
33,0.493453270527547,interaction,6
34,0.6382924757526455,blocking,6
35,0.39151890723327254,density,5
36,0.07134705208767221,linear,5
37,0.1355052681232959,non-linear,5
38,0.05482433438444081,interaction,5
39,0.13819246038130592,blocking,5
40,-0.27900455727248796,density,4
41,0.23569186422428187,linear,4
42,0.5127850130279383,non-linear,4
43,0.4835671355928317,interaction,4
44,0.3133771431998947,blocking,4
45,0.23486609018616753,density,3
46,0.4821483533332878,linear,3
47,0.4893603905389231,non-linear,3
48,0.47981851629108585,interaction,3
49,0.6167735823665879,blocking,3
50,0.0496988232759835,density,2
51,0.19043176194722805,linear,2
52,0.3993051182469183,non-linear,2
53,0.64584687262899,interaction,2
54,0.6435016660716755,blocking,2
55,0.30117446815522253,density,1
56,0.2177528084276289,linear,1
57,0.2807326557434947,non-linear,1
58,0.6006940285745551,interaction,1
59,0.6351622900929826,blocking,1
60,0.17118774552923435,density,7
61,0.11734633389801445,linear,7
62,0.25952096328029917,non-linear,7
63,0.6664218711092692,interaction,7
64,0.4887387911525571,blocking,7
65,-0.14826845218090506,density,6
66,0.12743740159584532,linear,6
67,0.1096845763536075,non-linear,6
68,0.4664452935511543,interaction,6
69,0.3124865779371406,blocking,6
70,0.295189133961275,density,5
71,0.14152668313729114,linear,5
72,0.1663272374467963,non-linear,5
73,0.47614580376811266,interaction,5
74,0.08380108178194319,blocking,5
75,-0.15187497568731995,density,4
76,0.16255490569061523,linear,4
77,0.18397585288181342,non-linear,4
78,0.4212461617815288,interaction,4
79,0.5644345951586979,blocking,4
80,0.49410259208905943,density,3
81,0.40147372904755185,linear,3
82,0.3277484345860087,non-linear,3
83,0.548669108435524,interaction,3
84,0.5597466893200347,blocking,3
85,-0.23256749632795692,density,2
86,0.2745174695911608,linear,2
87,0.34550120144093815,non-linear,2
88,0.6433234020409186,interaction,2
89,0.5050351873682238,blocking,2
90,0.17074552006738777,density,1
91,0.45420962910290785,linear,1
92,0.31073791122183103,non-linear,1
93,0.6637837549885908,interaction,1
94,0.670788667559149,blocking,1
95,0.12651353719055994,density,7
96,0.007079819000387381,linear,7
97,0.10300350780343386,non-linear,7
98,0.3482072774517346,interaction,7
99,0.8214266207303577,blocking,7
100,-0.16622612756032112,density,6
101,0.03370329408407893,linear,6
102,0.09267116121972098,non-linear,6
103,0.830231974091304,interaction,6
104,0.636571551087048,blocking,6
105,0.11536892521365771,density,5
106,0.1638143778915778,linear,5
107,0.10735436774164465,non-linear,5
108,0.15926485752844804,interaction,5
109,0.40823018504599656,blocking,5
110,-0.11740277467710503,density,4
111,0.10021239734868559,linear,4
112,0.3258246520955001,non-linear,4
113,0.25840838679716294,interaction,4
114,0.40667840609417394,blocking,4
115,0.4580308123862031,density,3
116,0.4488708052502209,linear,3
117,0.4795064302564815,non-linear,3
118,0.6557258661751135,interaction,3
119,0.5946250063009166,blocking,3
120,-0.17714348379512806,density,2
121,0.36716985349407355,linear,2
122,0.371731123601763,non-linear,2
123,0.5717669233848379,interaction,2
124,0.5916197073134767,blocking,2
125,0.09220408326704761,density,1
126,0.1567399620721862,linear,1
127,0.45528151263106154,non-linear,1
128,0.6679973494152391,interaction,1
129,0.478268781251189,blocking,1
130,-0.08485542107733297,density,7
131,0.05855727952456248,linear,7
132,-0.06265025983174936,non-linear,7
133,0.7794588098094161,interaction,7
134,0.6622784882842168,blocking,7
135,-0.29338592686918735,density,6
136,0.08766911800293,linear,6
137,0.4500249825291774,non-linear,6
138,0.734658295810308,interaction,6
139,0.4031779183001084,blocking,6
140,0.25092466189830853,density,5
141,0.07844916703888086,linear,5
142,0.21130113290119434,non-linear,5
143,0.14348016972728342,interaction,5
144,0.14128298540072545,blocking,5
145,-0.1611851270458671,density,4
146,0.2544315291488657,linear,4
147,0.2476679292582189,non-linear,4
148,0.31745328575233916,interaction,4
149,0.4227919460559084,blocking,4
150,0.4163233923825597,density,3
151,0.48150428862715866,linear,3
152,0.18777782440399815,non-linear,3
153,0.5582687050128115,interaction,3
154,0.8580302047982464,blocking,3
155,-0.11151862444605486,density,2
156,0.308045617045619,linear,2
157,0.4609667333407972,non-linear,2
158,0.5845618477156483,interaction,2
159,0.558813197216906,blocking,2
160,0.45609802225535334,density,1
161,0.2739209429645849,linear,1
162,0.4266267930797633,non-linear,1
163,0.6589193762048526,interaction,1
164,0.7333156568065282,blocking,1
165,0.23354620328990314,density,7
166,0.11136024196678976,linear,7
167,0.0671637324776071,non-linear,7
168,0.30892383004155544,interaction,7
169,0.46164584262082486,blocking,7
170,-0.284423580581168,density,6
171,0.019531558069688794,linear,6
172,0.0918905663331213,non-linear,6
173,0.5167164493417934,interaction,6
174,0.7146890263948695,blocking,6
175,0.17342246118230226,density,5
176,0.36348614648296745,linear,5
177,0.031425740860412436,non-linear,5
178,0.1502213570154848,interaction,5
179,0.09337912523052627,blocking,5
180,-0.17979499085793602,density,4
181,0.31346299501814845,linear,4
182,0.2391772428207959,non-linear,4
183,0.34930799242904814,interaction,4
184,0.6028109462913315,blocking,4
185,0.5618350329348466,density,3
186,0.5684948039080231,linear,3
187,0.6411750454285231,non-linear,3
188,0.5929818801159596,interaction,3
189,0.6302262275790785,blocking,3
190,-0.0325100922386614,density,2
191,0.33202174266668394,linear,2
192,0.41222473933576836,non-linear,2
193,0.529580258404747,interaction,2
194,0.5448969892744184,blocking,2
195,0.2860448731684022,density,1
196,0.1435487977508728,linear,1
197,0.6390818356450537,non-linear,1
198,0.47765117052455836,interaction,1
199,0.6532908144611257,blocking,1
200,-0.05979240030356516,density,7
201,-0.048848968041874906,linear,7
202,0.10806126493933733,non-linear,7
203,0.7364596613626238,interaction,7
204,0.4713351472592761,blocking,7
205,-0.2700912145368926,density,6
206,0.26876416053778107,linear,6
207,0.12338157733206867,non-linear,6
208,0.6460073280420231,interaction,6
209,0.7414295124580593,blocking,6
210,-0.0014560318315147835,density,5
211,0.041595940806389745,linear,5
212,0.31001796282847616,non-linear,5
213,0.36987954205657725,interaction,5
214,0.13822158933254866,blocking,5
215,-0.19480282583105946,density,4
216,0.20656078239152262,linear,4
217,0.5221603619819928,non-linear,4
218,0.3428016554026083,interaction,4
219,0.5197153248672062,blocking,4
220,0.05262614277188907,density,3
221,0.5069172268180886,linear,3
222,0.54950657134907,non-linear,3
223,0.35191613058617216,interaction,3
224,0.6044880222913244,blocking,3
225,-0.16641440479156974,density,2
226,0.20045278803935987,linear,2
227,0.586980432089398,non-linear,2
228,0.5584294802612546,interaction,2
229,0.4997309533787675,blocking,2
230,0.19654745556240932,density,1
231,0.31600238941466774,linear,1
232,0.5037015432126849,non-linear,1
233,0.6181396201785129,interaction,1
234,0.6778709647636472,blocking,1
235,0.18437183677170604,density,7
236,0.29314979326509094,linear,7
237,0.09547150972518353,non-linear,7
238,0.3402399410543575,interaction,7
239,0.47771799807964016,blocking,7
240,-0.1491329028362969,density,6
241,0.15189415789922536,linear,6
242,0.32184462375234546,non-linear,6
243,0.7870845292869976,interaction,6
244,0.576260787026296,blocking,6
245,0.22370617983329202,density,5
246,0.2393120583603582,linear,5
247,0.05653270962426114,non-linear,5
248,0.2448936447257425,interaction,5
249,0.16352602587397094,blocking,5
250,-0.10297856857719587,density,4
251,0.16211080766928915,linear,4
252,0.2239087316721242,non-linear,4
253,0.2961468349804049,interaction,4
254,0.5516967385812377,blocking,4
255,0.4232384139174826,density,3
256,0.5754428275710042,linear,3
257,0.5079826409172019,non-linear,3
258,0.5750298949012057,interaction,3
259,0.6566574865285957,blocking,3
260,-0.019173820746054112,density,2
261,0.3939899288186306,linear,2
262,0.5226861794805205,non-linear,2
263,0.5417392086894333,interaction,2
264,0.38148862085897806,blocking,2
265,0.3389372121580333,density,1
266,0.4385754842626561,linear,1
267,0.4103312632045921,non-linear,1
268,0.5464031493959214,interaction,1
269,0.6320773304180263,blocking,1
270,0.11576508801871782,density,7
271,0.2570262752291755,linear,7
272,0.07145102982430478,non-linear,7
273,0.6260923100104091,interaction,7
274,0.6652398534997344,blocking,7
275,-0.2885622661376772,density,6
276,-0.0033428801365295016,linear,6
277,-0.04693912449190132,non-linear,6
278,0.08716673952305087,interaction,6
279,0.6953439428340659,blocking,6
280,0.18698145102169264,density,5
281,0.08437153069597983,linear,5
282,0.1039299017646372,non-linear,5
283,0.2406947504094007,interaction,5
284,0.32978918368374677,blocking,5
285,-0.10757956686891423,density,4
286,0.4635703157483787,linear,4
287,0.1826786812780818,non-linear,4
288,0.327470652571617,interaction,4
289,0.742345227905611,blocking,4
290,0.44901933891534285,density,3
291,0.24372265220905306,linear,3
292,0.6595597703816052,non-linear,3
293,0.5146236295507317,interaction,3
294,0.6751409584049709,blocking,3
295,-0.1305626513640576,density,2
296,0.2524540334648268,linear,2
297,0.5011226056910655,non-linear,2
298,0.5432874046067637,interaction,2
299,0.6329283592584269,blocking,2
300,0.3296173876900209,density,1
301,0.3482173227075573,linear,1
302,0.47997762888335327,non-linear,1
303,0.5731634262875644,interaction,1
304,0.6683444502746901,blocking,1
305,0.15101033925637905,density,7
306,-0.023620850556641943,linear,7
307,0.09729493357890927,non-linear,7
308,0.2589892843696576,interaction,7
309,0.6164630003343337,blocking,7
310,-0.3315379610248065,density,6
311,0.04584889882164613,linear,6
312,0.3457663439834435,non-linear,6
313,0.433649439002722,interaction,6
314,0.7023585958259813,blocking,6
315,-0.037661903211952015,density,5
316,0.04867234325720145,linear,5
317,0.1460346659100462,non-linear,5
318,-0.08976885462013748,interaction,5
319,0.35341803144806244,blocking,5
320,-0.21500540405400498,density,4
321,0.27828263775345113,linear,4
322,0.40566827054012966,non-linear,4
323,0.2960812954642247,interaction,4
324,0.6810034369081018,blocking,4
325,0.4460985111865906,density,3
326,0.38028443313108323,linear,3
327,0.6468078559130548,non-linear,3
328,0.5400014253255314,interaction,3
329,0.6094905289460114,blocking,3
330,-0.021648557654019875,density,2
331,0.2766386787107884,linear,2
332,0.4630386072302481,non-linear,2
333,0.6193814958997184,interaction,2
334,0.5645770719839303,blocking,2
335,0.1895483962306598,density,1
336,0.2660522984043739,linear,1
337,0.5003356824523281,non-linear,1
338,0.6411439460800195,interaction,1
339,0.7007372735106978,blocking,1
340,0.21795339546742354,density,7
341,0.05852566391058822,linear,7
342,0.15834092808632844,non-linear,7
343,0.5249575652972552,interaction,7
344,0.49666692558825143,blocking,7
345,-0.27253620543675916,density,6
346,0.2985244620432434,linear,6
347,0.28713833524921406,non-linear,6
348,0.463245985004948,interaction,6
349,0.6129427329027954,blocking,6
350,0.21959328577289985,density,5
351,0.1765679992333841,linear,5
352,0.040651263693242866,non-linear,5
353,0.2687715440873502,interaction,5
354,0.31207289622784845,blocking,5
355,-0.09784283872792109,density,4
356,0.18250309324495587,linear,4
357,0.2645310002529542,non-linear,4
358,0.4359903189587497,interaction,4
359,0.3781050907163112,blocking,4
360,0.562897588969015,density,3
361,0.5690707252840823,linear,3
362,0.18295280449982368,non-linear,3
363,0.5470987231882417,interaction,3
364,0.6766426975547069,blocking,3
365,0.010647114235758226,density,2
366,0.29363586426806476,linear,2
367,0.3392753117428703,non-linear,2
368,0.5218994968476748,interaction,2
369,0.5727971848873779,blocking,2
370,0.1917622213675508,density,1
371,0.2574900004044038,linear,1
372,0.42738359228476064,non-linear,1
373,0.5081290080339371,interaction,1
374,0.6301682162917462,blocking,1
375,0.20775830694566627,density,7
376,0.07022742726952598,linear,7
377,0.08073175528018624,non-linear,7
378,0.5586923357558858,interaction,7
379,0.7119389134803473,blocking,7
380,0.0756229951078113,density,6
381,-0.02224737132080775,linear,6
382,0.1832155206826122,non-linear,6
383,0.48775307752370956,interaction,6
384,0.6583368622797218,blocking,6
385,0.2776156914156865,density,5
386,0.4586452041257526,linear,5
387,0.100509082740726,non-linear,5
388,0.2423350590263365,interaction,5
389,0.20523740725962464,blocking,5
390,-0.002370965074377999,density,4
391,0.4325069161632611,linear,4
392,0.4670757502326725,non-linear,4
393,0.22841399265217444,interaction,4
394,0.49421813497520933,blocking,4
395,0.3601308666794985,density,3
396,0.22672525000402677,linear,3
397,0.6115755659853527,non-linear,3
398,0.5499525792472153,interaction,3
399,0.669405511739871,blocking,3
400,-0.310997603639738,density,2
401,0.4271720329923632,linear,2
402,0.26654069976218586,non-linear,2
403,0.5628081621334486,interaction,2
404,0.6051177317906217,blocking,2
405,0.22644416082002924,density,1
406,0.26343529450312403,linear,1
407,0.6114170288630106,non-linear,1
408,0.5976057388560798,interaction,1
409,0.5941454328415782,blocking,1
410,0.14830037364726692,density,7
411,-0.0578530438106549,linear,7
412,0.1988605502428299,non-linear,7
413,0.39232245508266456,interaction,7
414,0.16253439528408392,blocking,7
415,-0.2504695493502128,density,6
416,-0.02998062210612355,linear,6
417,0.29740342480827076,non-linear,6
418,0.7958971584772212,interaction,6
419,0.614746078186957,blocking,6
420,0.28772555447172116,density,5
421,0.35823074188420817,linear,5
422,0.2592062719901759,non-linear,5
423,0.1068815764103937,interaction,5
424,0.20647420442848283,blocking,5
425,-0.29180411189676125,density,4
426,0.2584487522960374,linear,4
427,0.273355527477935,non-linear,4
428,0.39122329350803814,interaction,4
429,0.6904239590703974,blocking,4
430,0.467953752642041,density,3
431,0.3277153891139298,linear,3
432,0.4785407225388989,non-linear,3
433,0.528763268981197,interaction,3
434,0.5537980698116948,blocking,3
435,-0.15019668985310922,density,2
436,0.26261991061326373,linear,2
437,0.20495815386525992,non-linear,2
438,0.49628082951747643,interaction,2
439,0.5514689564713079,blocking,2
440,0.25657546412858995,density,1
441,0.24830683702927211,linear,1
442,0.43147133683218014,non-linear,1
443,0.5852920175923162,interaction,1
444,0.60252607241072,blocking,1
445,-0.09518635161545906,density,7
446,0.05868139063693684,linear,7
447,0.022123503264249434,non-linear,7
448,0.375072789250936,interaction,7
449,0.4183681402988465,blocking,7
450,-0.2793383081095941,density,6
451,0.20319867452176268,linear,6
452,0.05577746651571086,non-linear,6
453,0.46008818823184716,interaction,6
454,0.6801535840121493,blocking,6
455,0.1571287175043995,density,5
456,0.2756652915072588,linear,5
457,-0.07008522392794374,non-linear,5
458,0.1895898533250345,interaction,5
459,0.20009817584991987,blocking,5
460,-0.06838270386175925,density,4
461,0.15827547809104867,linear,4
462,0.19312900537290156,non-linear,4
463,0.39671697303324677,interaction,4
464,0.4795567873122343,blocking,4
465,-0.001620622719846,density,3
466,0.6607908637294517,linear,3
467,0.22582109087912555,non-linear,3
468,0.6241960186328253,interaction,3
469,0.6766214298207341,blocking,3
470,-0.09108382485272641,density,2
471,0.4608409246707739,linear,2
472,0.32803128795656294,non-linear,2
473,0.6002088580880219,interaction,2
474,0.5032589565729223,blocking,2
475,0.41982016115513715,density,1
476,0.36123467042135005,linear,1
477,0.4117464104939162,non-linear,1
478,0.3910781146248666,interaction,1
479,0.6342484225688447,blocking,1
480,-0.05649854746808078,density,7
481,-0.06671392971036597,linear,7
482,0.23017121533394477,non-linear,7
483,0.6207798433226811,interaction,7
484,0.5556131871066238,blocking,7
485,-0.23498720075653592,density,6
486,0.023592450018577536,linear,6
487,0.15681143163620676,non-linear,6
488,0.43619091750691535,interaction,6
489,0.5468842025136904,blocking,6
490,0.22651785710587438,density,5
491,0.008673172699019061,linear,5
492,0.12146930029517787,non-linear,5
493,0.277411639579089,interaction,5
494,0.17820342361895652,blocking,5
495,-0.025163221144581513,density,4
496,0.11546419922940375,linear,4
497,0.22761058194253955,non-linear,4
498,0.34753269273938214,interaction,4
499,0.5789895386110476,blocking,4
500,-0.003963136805570819,density,3
501,0.5987954863492215,linear,3
502,0.6373190070808397,non-linear,3
503,0.5270815107343393,interaction,3
504,0.6610094910631393,blocking,3
505,0.06949553432863209,density,2
