,correlation,heuristic,path_length
0,0.1874655501510693,density,5
1,0.017967348368452946,linear,5
2,0.012978895476405461,non-linear,5
3,0.13338186539503555,interaction,5
4,0.2848554734929021,blocking,5
5,-0.002056663741318507,density,4
6,0.2213024980586037,linear,4
7,0.2537860774898691,non-linear,4
8,0.7427192225651799,interaction,4
9,0.42979033200138916,blocking,4
10,0.25256420039703326,density,3
11,0.611312040048683,linear,3
12,0.8432866746572599,non-linear,3
13,0.6899289965822419,interaction,3
14,0.6025952945663415,blocking,3
15,-0.021579501077969226,density,2
16,0.4099789666046491,linear,2
17,0.3887470111897389,non-linear,2
18,0.5970421311424773,interaction,2
19,0.569921640531726,blocking,2
20,0.21268747309673044,density,1
21,0.2864149878263642,linear,1
22,0.5168989419557871,non-linear,1
23,0.5652277684047072,interaction,1
24,0.6792305599687449,blocking,1
25,-0.06979072752430462,density,7
26,-0.04711029425885355,linear,7
27,-0.03680412181922904,non-linear,7
28,0.7491886055976303,interaction,7
29,0.7657035210465305,blocking,7
30,-0.22513817440749154,density,6
31,0.04422464855085249,linear,6
32,0.1090341591831481,non-linear,6
33,0.6832736573089625,interaction,6
34,0.6511665887186842,blocking,6
35,0.14040178721953642,density,5
36,-0.01783573123685668,linear,5
37,0.24621935193706523,non-linear,5
38,0.11658007374158348,interaction,5
39,0.1957798888344972,blocking,5
40,-0.13392059324206285,density,4
41,0.2331584969414889,linear,4
42,0.27891196339950103,non-linear,4
43,0.4710146201228597,interaction,4
44,0.5954697342311158,blocking,4
45,0.5675875467970402,density,3
46,0.3118858727807513,linear,3
47,0.23374098733600698,non-linear,3
48,0.6282204634935877,interaction,3
49,0.391579329840168,blocking,3
50,-0.11599941450670695,density,2
51,0.4172523159373424,linear,2
52,0.2934031153316912,non-linear,2
53,0.5930927531632417,interaction,2
54,0.5928782739686552,blocking,2
55,0.3705093069261873,density,1
56,0.39306998084757605,linear,1
57,0.4291701333352671,non-linear,1
58,0.551254426660057,interaction,1
59,0.7011281572206537,blocking,1
60,0.011882122339771959,density,7
61,-0.015993068316219033,linear,7
62,0.010136145818355452,non-linear,7
63,0.372798838838425,interaction,7
64,0.3900370828717503,blocking,7
65,-0.2624328167072949,density,6
66,0.25231678274162966,linear,6
67,0.12422824290697447,non-linear,6
68,0.40713312631191884,interaction,6
69,0.6469674965858433,blocking,6
70,0.20704846463252544,density,5
71,0.12449900953151968,linear,5
72,0.2865756839838868,non-linear,5
73,0.31037170115573687,interaction,5
74,0.10264860389218342,blocking,5
75,0.031510750607518595,density,4
76,0.25915886246608977,linear,4
77,0.21323062839580925,non-linear,4
78,0.319363420662099,interaction,4
79,0.44020586874431045,blocking,4
80,0.45025649080816676,density,3
81,0.519232874080475,linear,3
82,0.3460190878538468,non-linear,3
83,0.3752985388195558,interaction,3
84,0.7161770071742845,blocking,3
85,-0.17745010368915337,density,2
86,0.20065693126540712,linear,2
87,0.33173673086993055,non-linear,2
88,0.5391132800477153,interaction,2
89,0.5976024908924545,blocking,2
90,0.3234961884658282,density,1
91,0.29476455091168974,linear,1
92,0.5598436071878397,non-linear,1
93,0.5543526089232046,interaction,1
94,0.6500267152680848,blocking,1
95,0.1664038224858297,density,7
96,-0.015759040069439893,linear,7
97,0.09385562322620723,non-linear,7
98,0.6685424658549619,interaction,7
99,0.501343347717859,blocking,7
100,-0.22334178895155812,density,6
101,0.20411101895807102,linear,6
102,0.1615720441748541,non-linear,6
103,0.43669341906938736,interaction,6
104,0.6478364561659408,blocking,6
105,0.49294916304480413,density,5
106,-0.031612479132294376,linear,5
107,0.17202101009303675,non-linear,5
108,0.24607587100503867,interaction,5
109,0.14547629773668855,blocking,5
110,-0.2046554807186585,density,4
111,0.16613691812102258,linear,4
112,0.23376436296786396,non-linear,4
113,0.5294095352647264,interaction,4
114,0.5944189282950744,blocking,4
115,-0.115061329824547,density,3
