,correlation,heuristic,path_length
0,0.40751126290537715,density,1
1,0.4633955491972556,linear,1
2,0.5345881909139367,non-linear,1
3,0.7354967115903995,interaction,1
4,0.8377608675287908,blocking,1
5,0.011243734590504564,density,3
6,0.30716129808829773,linear,3
7,0.43895751161442764,non-linear,3
8,0.4711137136704525,interaction,3
9,0.5803575367736079,blocking,3
10,0.05075136044386133,density,2
11,0.6748851762826059,linear,2
12,0.6724701760972137,non-linear,2
13,0.747494352720983,interaction,2
14,0.7916446040471548,blocking,2
15,-0.012545869106825331,density,4
16,0.27854553848665686,linear,4
17,0.3379000634579516,non-linear,4
18,0.43875474830311345,interaction,4
19,0.46375710660349195,blocking,4
20,0.0073847539182035115,density,5
21,0.18700651746618774,linear,5
22,0.3411640121960557,non-linear,5
23,0.42944080693030784,interaction,5
24,0.5410323171368395,blocking,5
25,0.062149394764182374,density,7
26,0.16120979631414376,linear,7
27,0.3135867889803513,non-linear,7
28,0.22849507431584332,interaction,7
29,0.46029599829588436,blocking,7
30,0.008764282279947239,density,6
31,0.29945493367211773,linear,6
32,0.1951489060935153,non-linear,6
33,0.35159708380997295,interaction,6
34,0.5367273023742308,blocking,6
35,0.48534719157309986,density,1
36,0.5490751910683126,linear,1
37,0.596770914927701,non-linear,1
38,0.7265395449390136,interaction,1
39,0.7802546240649532,blocking,1
40,0.0006705459626997313,density,3
41,0.19100313604699598,linear,3
42,0.3831849820342992,non-linear,3
43,0.5701464441012302,interaction,3
44,0.6130860286593899,blocking,3
45,0.03931484677291469,density,2
46,0.7129253023977093,linear,2
47,0.7004711327512884,non-linear,2
48,0.6845145956978438,interaction,2
49,0.8084146073305601,blocking,2
50,-0.016402868965216574,density,4
51,0.3028560278847134,linear,4
52,0.3022108627740982,non-linear,4
53,0.33685782384601304,interaction,4
54,0.42963089539844873,blocking,4
55,-0.006375982044339986,density,5
56,0.3406175311312421,linear,5
57,0.35427989196610793,non-linear,5
58,0.42814407537332666,interaction,5
59,0.4664316565952953,blocking,5
60,0.06804426531418607,density,7
61,0.11716867538826975,linear,7
62,0.22182051896284755,non-linear,7
63,0.293899064180934,interaction,7
64,0.27265912609990367,blocking,7
65,-0.0015120500848921632,density,6
66,0.2569145912709696,linear,6
67,0.3738747795110373,non-linear,6
68,0.3773890196558654,interaction,6
69,0.25519109514027183,blocking,6
70,0.4192384978223991,density,1
71,0.3870850060240053,linear,1
72,0.6705649883440568,non-linear,1
73,0.734978289365009,interaction,1
74,0.7941435967930361,blocking,1
75,-0.006710180518653703,density,3
76,0.1683561360771323,linear,3
77,0.38707842236750817,non-linear,3
78,0.6146967818808541,interaction,3
79,0.4923148865999989,blocking,3
80,0.04729977544045689,density,2
81,0.7094416267709168,linear,2
82,0.6405833958891011,non-linear,2
83,0.80902603066412,interaction,2
84,0.81240577943678,blocking,2
85,-0.015316001927888921,density,4
86,0.3779278609852841,linear,4
87,0.1839380250923128,non-linear,4
88,0.47424209433110304,interaction,4
89,0.4286311487020918,blocking,4
90,-0.006422333836755559,density,5
91,0.2899445927895816,linear,5
92,0.32315031535528577,non-linear,5
93,0.4230770847060848,interaction,5
94,0.36664739821933623,blocking,5
95,0.0634218382282834,density,7
96,0.23603343726210219,linear,7
97,0.26610281672358505,non-linear,7
98,0.23214735664318661,interaction,7
99,0.39314772280632987,blocking,7
100,0.007492118260195952,density,6
101,0.18732308134590592,linear,6
102,0.21784905528893778,non-linear,6
103,0.3424025620857697,interaction,6
104,0.5613472712515115,blocking,6
105,0.46694178717311413,density,1
