,correlation,heuristic,path_length
0,0.50429641554,density,1
1,0.475031897662,linear,1
2,0.561964238355,non-linear,1
3,0.665704302486,interaction,1
4,0.64533948886,blocking,1
5,0.102285087247,density,3
6,0.238458637277,linear,3
7,0.296016658675,non-linear,3
8,0.29345322775,interaction,3
9,0.312783881788,blocking,3
10,0.140891059693,density,2
11,0.18583014285,linear,2
12,0.233910782774,non-linear,2
13,0.256431005674,interaction,2
14,0.238026917208,blocking,2
15,0.0597979763642,density,4
16,0.224452652505,linear,4
17,0.250813647619,non-linear,4
18,0.2557122053,interaction,4
19,0.250659541948,blocking,4
20,0.149411978723,density,5
21,0.162369405772,linear,5
22,0.147635710204,non-linear,5
23,0.146972818975,interaction,5
24,0.190243999193,blocking,5
25,0.38952088,density,7
26,0.236958543726,linear,7
27,0.108005114818,non-linear,7
28,0.154251997923,interaction,7
29,0.11377139915,blocking,7
30,0.330071848188,density,6
31,0.187851065106,linear,6
32,0.175835318697,non-linear,6
33,0.119163820488,interaction,6
34,0.140389052403,blocking,6
35,0.0697674986045,density,9
36,0.0836691187162,linear,9
37,0.215217627047,non-linear,9
38,0.194962331637,interaction,9
39,0.0625648904689,blocking,9
40,0.29235369863,density,8
41,0.0522625073032,linear,8
42,0.0412749628329,non-linear,8
43,0.149850345524,interaction,8
44,0.0616001648737,blocking,8
45,0.527679237938,density,14
46,-0.173853424131,linear,14
47,0.244526054874,non-linear,14
48,0.0575321046806,interaction,14
49,0.0660777380444,blocking,14
50,0.18218739796,density,13
51,0.0152541145896,linear,13
52,-0.218962783952,non-linear,13
53,-0.369163527107,interaction,13
54,-0.30283784172,blocking,13
55,0.155437525466,density,12
56,0.175427675487,linear,12
57,-0.1144691215,non-linear,12
58,-0.246763621656,interaction,12
59,-0.266280052584,blocking,12
60,0.223194047122,density,11
61,0.152131741285,linear,11
62,-0.118175106465,non-linear,11
63,0.260369812006,interaction,11
64,-0.0271155768006,blocking,11
65,0.379035434197,density,10
66,0.21547598813,linear,10
67,0.0189501152074,non-linear,10
68,0.171177601423,interaction,10
69,0.17201837305,blocking,10
70,,density,36
71,,linear,36
72,,non-linear,36
73,,interaction,36
74,,blocking,36
75,,density,35
76,,linear,35
77,,non-linear,35
78,,interaction,35
79,,blocking,35
80,,density,34
81,,linear,34
82,,non-linear,34
83,,interaction,34
84,,blocking,34
85,,density,33
86,,linear,33
87,,non-linear,33
88,,interaction,33
89,,blocking,33
90,,density,32
91,,linear,32
92,,non-linear,32
93,,interaction,32
94,,blocking,32
95,,density,31
96,,linear,31
97,,non-linear,31
98,,interaction,31
99,,blocking,31
100,,density,30
101,,linear,30
102,,non-linear,30
103,,interaction,30
104,,blocking,30
105,0.0,density,29
106,1.0,linear,29
107,-1.0,non-linear,29
108,0.866025403784,interaction,29
109,1.0,blocking,29
110,,density,28
111,0.774596669241,linear,28
112,,non-linear,28
113,,interaction,28
114,0.353553390593,blocking,28
115,,density,27
116,,linear,27
117,,non-linear,27
118,,interaction,27
119,,blocking,27
120,,density,26
