,correlation,heuristic,path_length
0,0.03502632341691732,density,5
1,0.11001106767013943,linear,5
2,-0.02802105873353385,non-linear,5
3,0.45454545454545453,interaction,5
4,0.17575757575757575,blocking,5
5,0.0,density,4
6,0.259391771019678,linear,4
7,0.5040216489819398,non-linear,4
8,0.5456989247311829,interaction,4
9,0.5504917300937499,blocking,4
10,0.4676428946304498,density,3
11,0.6511638326239892,linear,3
12,0.7277231659511312,non-linear,3
13,0.79710529320121,interaction,3
14,0.8668872132406987,blocking,3
15,-0.21777777777777776,density,2
16,0.3956043956043956,linear,2
17,0.4991789819376027,non-linear,2
18,0.48023715415019763,interaction,2
19,0.41000000000000003,blocking,2
20,0.22108741277512342,density,1
21,0.2915411994514575,linear,1
22,0.3850092652690157,non-linear,1
23,0.5710302901742947,interaction,1
24,0.6519500633232629,blocking,1
25,0.4128925047085504,density,7
26,0.7976585725079559,linear,7
27,0.6746194748530725,non-linear,7
28,0.7939074881816259,interaction,7
29,0.7905905375422444,blocking,7
30,-0.22146348126088342,density,6
31,0.2914156089333439,linear,6
32,0.23253407519796082,non-linear,6
33,0.6963336665825285,interaction,6
34,0.6373031744136831,blocking,6
35,0.1928374655647383,density,5
36,0.037527959574311584,linear,5
37,0.02857142857142857,non-linear,5
38,0.469462967419945,interaction,5
39,0.34852560833857543,blocking,5
40,-0.16501660150520917,density,4
41,0.47236564041841633,linear,4
42,0.6347361540962055,non-linear,4
43,0.6135693215339233,interaction,4
44,0.395138603392042,blocking,4
45,0.23413771637104294,density,3
46,0.6646169897785108,linear,3
47,0.5337427330670586,non-linear,3
48,0.8404750732848713,interaction,3
49,0.7423852305796343,blocking,3
50,-0.1158974358974359,density,2
51,0.401025641025641,linear,2
52,0.39064039408866985,non-linear,2
53,0.7022556390977444,interaction,2
54,0.5256916996047432,blocking,2
55,0.3247769842929342,density,1
56,0.26412600166007355,linear,1
57,0.5959966543850108,non-linear,1
58,0.5683173811185419,interaction,1
59,0.6817192753277307,blocking,1
60,0.5088896553064057,density,7
61,0.7136842239524656,linear,7
62,0.7032018784600059,non-linear,7
63,0.799371120910058,interaction,7
64,0.7843229188236625,blocking,7
65,-0.2824183885006573,density,6
66,0.09933957379653155,linear,6
67,0.009927753506924116,non-linear,6
68,0.5949955142169782,interaction,6
69,0.7034151840163505,blocking,6
70,0.3085399449035812,density,5
71,0.2961283309258334,linear,5
72,0.17780506101041965,non-linear,5
73,0.46683187593218334,interaction,5
74,0.350798176635218,blocking,5
75,-0.008050089445438283,density,4
76,0.3807069219440353,linear,4
77,0.5298894431964476,non-linear,4
78,0.5503453511016532,interaction,4
79,0.30170110568465625,blocking,4
80,0.4579497486566178,density,3
81,0.48220895194334257,linear,3
82,0.6532339796330969,non-linear,3
83,0.8936572232550128,interaction,3
84,0.5977984116125408,blocking,3
85,-0.11462450592885376,density,2
86,0.45384615384615384,linear,2
87,0.40869565217391296,non-linear,2
88,0.5543478260869565,interaction,2
89,0.6280701754385966,blocking,2
90,0.32905377214280984,density,1
91,0.28664073009664665,linear,1
92,0.4048096253849229,non-linear,1
93,0.6334803666596556,interaction,1
94,0.5466185866392935,blocking,1
95,0.43162474584402527,density,7
96,0.8208587802435623,linear,7
97,0.6837857911796444,non-linear,7
98,0.7225656698144679,interaction,7
99,0.8213504066425606,blocking,7
100,-0.32368331666595146,density,6
101,0.047577397277424056,linear,6
102,0.29956791317639486,non-linear,6
103,0.7637666067950464,interaction,6
104,0.7452406598543778,blocking,6
105,0.18678863950706415,density,5
106,0.18310313195303968,linear,5
107,0.325744807777331,non-linear,5
108,0.5448063668768169,interaction,5
109,0.5504818825631803,blocking,5
110,0.1576184553761279,density,4
111,0.34103430977743227,linear,4
112,0.5497547146035608,non-linear,4
113,0.5711129037820165,interaction,4
114,0.6185229779183866,blocking,4
115,0.46728191632957783,density,3
116,0.8756880986543099,linear,3
117,0.6687346538489942,non-linear,3
118,0.7383559972146335,interaction,3
119,0.8063321283817882,blocking,3
120,-0.16205533596837948,density,2
121,0.36076923076923073,linear,2
122,0.5678632478632477,non-linear,2
123,0.58,interaction,2
124,0.4130434782608695,blocking,2
125,0.17000872098030223,density,1
126,0.3785978696079173,linear,1
127,0.40323969907114193,non-linear,1
128,0.5355950824560263,interaction,1
129,0.6411329584664008,blocking,1
130,0.41624497020888207,density,7
131,0.7223395650267316,linear,7
132,0.764265013708715,non-linear,7
133,0.838032233831054,interaction,7
134,0.7155304080538862,blocking,7
135,-0.38326662506796577,density,6
136,0.17793027461564512,linear,6
