,correlation,heuristic,path_length
0,0.04587349021359836,density,5
1,0.04615384615384615,linear,5
2,0.2761530448893886,non-linear,5
3,0.5896823695985474,interaction,5
4,0.4808280507004669,blocking,5
5,-0.006607945545114304,density,4
6,0.33884426096010384,linear,4
7,0.33789954337899547,non-linear,4
8,0.6484018264840183,interaction,4
9,0.5101290095625327,blocking,4
10,0.5006138737732412,density,3
11,0.6696194325705888,linear,3
12,0.6110625708913556,non-linear,3
13,0.8527613781186338,interaction,3
14,0.8142857142857142,blocking,3
15,-0.01769230769230769,density,2
16,0.4090909090909091,linear,2
17,0.5087719298245614,non-linear,2
18,0.562881562881563,interaction,2
19,0.3754940711462451,blocking,2
20,0.4006195186844755,density,1
21,0.4028347259020889,linear,1
22,0.521810538941147,non-linear,1
23,0.5573016896207674,interaction,1
24,0.5716602285392465,blocking,1
25,0.4198907546820861,density,7
26,0.8037439944808191,linear,7
27,0.6845945260764025,non-linear,7
28,0.7431649089911119,interaction,7
29,0.7881775609208619,blocking,7
30,-0.43558673459275604,density,6
31,0.17821457732656956,linear,6
32,0.3559784048785352,non-linear,6
33,0.6096962178134516,interaction,6
34,0.739515199221203,blocking,6
35,0.13059033989266547,density,5
36,0.09680973954972272,linear,5
37,0.24316221747202585,non-linear,5
38,0.6415811820457252,interaction,5
39,0.37843807278527963,blocking,5
40,0.06718061674008811,density,4
41,0.11829447229435683,linear,4
42,0.5756302521008404,non-linear,4
43,0.6479869832129704,interaction,4
44,0.37964272503770335,blocking,4
45,0.4516796468801524,density,3
46,0.7290240734419665,linear,3
47,0.7086780641041494,non-linear,3
48,0.8867941420571639,interaction,3
49,0.7889100279867562,blocking,3
50,0.049565217391304345,density,2
51,0.5095652173913043,linear,2
52,0.40076923076923077,non-linear,2
53,0.5341880341880342,interaction,2
54,0.453416149068323,blocking,2
55,0.3612430837664468,density,1
56,0.2871848258329852,linear,1
57,0.511385530810493,non-linear,1
58,0.5617321791625639,interaction,1
59,0.5702958484177669,blocking,1
60,0.49284967563324233,density,7
61,0.7313411756261418,linear,7
62,0.6603700828535048,non-linear,7
63,0.821479689490299,interaction,7
64,0.7662009770299253,blocking,7
65,-0.36399665010962623,density,6
66,0.29960228191364874,linear,6
67,0.3441792534355129,non-linear,6
68,0.6666528111176909,interaction,6
69,0.6157081143916325,blocking,6
70,0.1756461869575904,density,5
71,0.08388523242299958,linear,5
72,0.3535965568702911,non-linear,5
73,0.41059613764941905,interaction,5
74,0.4348828256552578,blocking,5
75,0.12444771723122237,density,4
76,0.4104698770980119,linear,4
77,0.6872246696035242,non-linear,4
78,0.4856630824372761,interaction,4
79,0.5447047794019223,blocking,4
80,0.5462555066079295,density,3
81,0.4064805586496418,linear,3
82,0.6531228334986352,non-linear,3
83,0.7997063164737519,interaction,3
84,0.8700580400459841,blocking,3
85,-0.12576312576312576,density,2
86,0.13538461538461538,linear,2
87,0.4982456140350877,non-linear,2
88,0.5808547008547009,interaction,2
89,0.4768009768009768,blocking,2
90,0.25209671613868245,density,1
91,0.2046098678880989,linear,1
92,0.5784568077296424,non-linear,1
93,0.6432090254376943,interaction,1
94,0.6144148065881347,blocking,1
95,0.3952525902592971,density,7
