,correlation,heuristic,path_length
0,-0.12101217443715337,density,5
1,-0.4545454545454546,linear,5
2,0.37689169079829965,non-linear,5
3,0.3828385154920852,interaction,5
4,0.5078816895453011,blocking,5
5,0.04615384615384615,density,4
6,0.38116272276415597,linear,4
7,0.4045690118404221,non-linear,4
8,0.5286225402504472,interaction,4
9,0.325068870523416,blocking,4
10,0.6616735537190085,density,3
11,0.6617568005273236,linear,3
12,0.8558670080512703,non-linear,3
13,0.845479052316039,interaction,3
14,0.8712876559475042,blocking,3
15,-0.03316239316239316,density,2
16,0.4138904573687183,linear,2
17,0.41846153846153844,non-linear,2
18,0.5730434782608694,interaction,2
19,0.48615384615384616,blocking,2
20,0.211617722823287,density,1
21,0.2135912741547152,linear,1
22,0.336343243191023,non-linear,1
23,0.48496995644777885,interaction,1
24,0.6602051446828027,blocking,1
25,0.5558034795065023,density,7
26,0.7113571464909988,linear,7
27,0.6800699932327637,non-linear,7
28,0.7732436203918063,interaction,7
29,0.7573916489408451,blocking,7
30,-0.36738315738806776,density,6
31,0.15295025947449073,linear,6
32,0.017828161309246356,non-linear,6
33,0.6042322812215121,interaction,6
34,0.5136663217795406,blocking,6
35,0.19264477879304523,density,5
36,0.35714285714285715,linear,5
37,0.085546094909899,non-linear,5
38,0.3817869252443988,interaction,5
39,0.0934065934065934,blocking,5
40,-0.17629260766721871,density,4
41,0.5984602081255584,linear,4
42,0.6045703537035352,non-linear,4
43,0.6225167248233127,interaction,4
44,0.6207280509234434,blocking,4
45,0.41571893997205145,density,3
46,0.5765239270795279,linear,3
47,0.6560216361783839,non-linear,3
48,0.8858902374124512,interaction,3
49,0.7782955090390924,blocking,3
50,-0.16461538461538464,density,2
51,0.33948717948717944,linear,2
52,0.4541353383458646,non-linear,2
53,0.4947008547008547,interaction,2
54,0.5446153846153846,blocking,2
55,0.3128786468624593,density,1
56,0.3110867239007468,linear,1
57,0.4051894410865527,non-linear,1
58,0.5841382104159277,interaction,1
59,0.6263413774868825,blocking,1
60,0.4145598062296875,density,7
61,0.8240210047851639,linear,7
62,0.7779248611788261,non-linear,7
63,0.8398380587540359,interaction,7
64,0.7584049521928454,blocking,7
65,-0.2758186750902121,density,6
66,0.10519829366172513,linear,6
67,0.2982058500278092,non-linear,6
68,0.6369516635082217,interaction,6
69,0.6224753140339131,blocking,6
70,0.16740088105726875,density,5
71,0.03520354165444462,linear,5
72,0.06304738215045118,non-linear,5
73,0.6702415544972604,interaction,5
74,0.3438792799254559,blocking,5
75,0.09504137302854482,density,4
76,0.32967032967032966,linear,4
77,0.6105263157894737,non-linear,4
78,0.31497797356828194,interaction,4
79,0.502238339136772,blocking,4
80,0.4815910966609887,density,3
81,0.47578181842788153,linear,3
82,0.6658496756716932,non-linear,3
83,0.8400527258756335,interaction,3
84,0.8346530808406498,blocking,3
85,-0.22529914529914527,density,2
86,0.19141727837380013,linear,2
87,0.36453201970443344,non-linear,2
88,0.42076923076923073,interaction,2
89,0.63008547008547,blocking,2
90,0.22212095411552205,density,1
91,0.15915628056620962,linear,1
92,0.43602715120567154,non-linear,1
93,0.5471206156017603,interaction,1
94,0.5100142400828647,blocking,1
95,0.534402542887468,density,7
96,0.7023921880698916,linear,7
97,0.7085383196563626,non-linear,7
98,0.7878007683075824,interaction,7
99,0.8014370487664313,blocking,7
100,-0.23737324192006937,density,6
101,0.31004543359728104,linear,6
102,-0.10145270299158747,non-linear,6
103,0.6420962548241831,interaction,6
104,0.7179539532216649,blocking,6
105,0.34168653568365387,density,5
106,-0.013667461427346159,linear,5
107,0.041943013641877656,non-linear,5
108,0.5727272727272729,interaction,5
109,0.4731213186035516,blocking,5
110,0.15702538922541398,density,4
111,0.23076960002333685,linear,4
112,0.304860088365243,non-linear,4
113,0.4835164835164835,interaction,4
114,0.5511049723756906,blocking,4
115,0.4108353307491415,density,3
116,0.5169243253832861,linear,3
117,0.7112105089031947,non-linear,3
118,0.8832312447079076,interaction,3
119,0.7737675504226462,blocking,3
120,-0.014782608695652172,density,2
121,0.29983060417843027,linear,2
122,0.4113459399332592,non-linear,2
123,0.58796992481203,interaction,2
124,0.49652173913043474,blocking,2
125,0.3772238988478492,density,1
126,0.3243352799242773,linear,1
127,0.4449033540523973,non-linear,1
128,0.5572421147985828,interaction,1
129,0.5102867178727443,blocking,1
130,0.45447529275256693,density,7
131,0.670850663120448,linear,7
132,0.652535850860779,non-linear,7
133,0.8241606917080012,interaction,7
134,0.834504924654645,blocking,7
135,-0.32877665905704223,density,6
136,0.054628490920804205,linear,6
137,0.1877341382375525,non-linear,6
138,0.5485243788566551,interaction,6
139,0.6030753710122999,blocking,6
140,0.5110132158590309,density,5
141,-0.10563642228059981,linear,5
142,0.07260730466229204,non-linear,5
143,0.5454545454545455,interaction,5
144,0.3914210678264001,blocking,5
145,0.13385014707318013,density,4
146,0.04242424242424241,linear,4
147,0.5179211469534051,non-linear,4
148,0.5859685193617907,interaction,4
149,0.47857142857142854,blocking,4
150,0.47870009008186476,density,3
151,0.6153856000622316,linear,3
152,0.605924123279013,non-linear,3
153,0.7954348983154715,interaction,3
154,0.8045530882906355,blocking,3
155,-0.02964426877470356,density,2
156,0.2907961603613778,linear,2
157,0.408102766798419,non-linear,2
158,0.5092307692307693,interaction,2
159,0.3382269904009035,blocking,2
160,0.2641585944050936,density,1
161,0.18762339728232663,linear,1
162,0.4914066893910972,non-linear,1
163,0.6827186329692939,interaction,1
164,0.5675221710567752,blocking,1
165,0.46106076973438964,density,7
166,0.6775118294130609,linear,7
167,0.7849766843027406,non-linear,7
168,0.7476927015694323,interaction,7
169,0.7594115381644103,blocking,7
170,-0.33824734572755927,density,6
171,0.06991877318975248,linear,6
172,0.27135252364266754,non-linear,6
173,0.4783144195513403,interaction,6
174,0.6936777904351742,blocking,6
175,0.24648498532139956,density,5
176,0.5034392658108675,linear,5
177,0.40121765882884264,non-linear,5
178,0.5208860931453836,interaction,5
179,0.28181818181818186,blocking,5
180,0.21002216461661255,density,4
181,0.21805191906310872,linear,4
182,0.45430180480429594,non-linear,4
183,0.4485230087478124,interaction,4
184,0.5344675373701477,blocking,4
185,0.28099188547569776,density,3
186,0.4809819571546826,linear,3
187,0.7272754869387594,non-linear,3
188,0.8927031953669765,interaction,3
189,0.956722299914231,blocking,3
190,-0.1101072840203275,density,2
191,0.3668376068376068,linear,2
192,0.3448275862068966,non-linear,2
193,0.6324786324786325,interaction,2
194,0.5139130434782608,blocking,2
195,0.2948718006370342,density,1
196,0.16442338837105744,linear,1
197,0.4689445764019786,non-linear,1
198,0.6309779833643654,interaction,1
199,0.5808150021519309,blocking,1
200,0.5733833701877886,density,7
201,0.7013040617726228,linear,7
202,0.6296991386249486,non-linear,7
203,0.8249977476815002,interaction,7
204,0.8471539119466496,blocking,7
205,-0.37515516210356437,density,6
206,-0.05620670128641425,linear,6
207,0.08401226150518527,non-linear,6
