userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
11d4bf94,6_hard_full,6,hard,full,density,0.05,25,-2.140807054,-4.178546937,-4.048019397,-4.379864924,-4.375937563,-3.269817847,-3.281744967
14b4c043,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.37251989,-2.467861918,-2.377438584,-2.182781016,-2.238214679,-1.865621526,-1.901874945
14c5dc72,6_hard_full,6,hard,full,blocking,0.05,25,-2.749055695,-2.056149736,-1.937221469,-1.788373981,-1.749951179,-1.94644271,-1.926997054
17b4c1ea,6_hard_full,6,hard,full,blocking,0.05,25,-2.556525812,-1.885739315,-1.719146384,-1.514874153,-1.503902439,-1.941059604,-1.952580037
17e120dd,6_hard_full,6,hard,full,interaction,0.05,25,-2.738862558,-2.366398704,-2.300116751,-2.151284265,-2.180494398,-2.490432673,-2.502870594
18dac9ef,6_hard_full,6,hard,full,density,0.05,25,-2.556612588,-3.315791524,-3.041204824,-3.119803452,-2.990403615,-3.01453828,-2.885296183
20bfd7bd,6_hard_full,6,hard,full,non-linear,0.05,25,-2.007316939,-1.979308097,-1.870179763,-1.905915955,-1.915789116,-1.939016247,-1.985557534
22dac859,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.251284176,-3.151747885,-3.161692937,-3.064537536,-3.081492458,-2.523722589,-2.498289505
24a5e25a,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.661612526,-2.442049095,-2.32740238,-2.302309449,-2.280611337,-1.651923178,-1.61159859
24b61c03,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.507952704,-2.881988504,-2.785356334,-2.966230361,-2.999705713,-2.382238892,-2.400714623
24f4c091,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.872998688,-2.384661576,-2.283719584,-2.136292691,-2.113032704,-1.749649455,-1.725048895
25a611ff,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.785011242,-3.113515309,-2.662186784,-2.262948197,-2.109121577,-2.183926674,-2.022582857
25b60fb4,6_hard_full,6,hard,full,density,0.05,25,-3.593343082,-4.735065618,-4.946451002,-5.140194125,-5.129113834,-5.239832433,-5.207919962
25c4c0ab,6_hard_full,6,hard,full,non-linear,0.05,25,-2.221814857,-1.722158602,-1.657902815,-1.803314206,-1.775151116,-2.000982649,-1.971599155
26dbf6e9,6_hard_full,6,hard,full,interaction,0.05,25,-2.52472738,-1.932400945,-1.754489453,-1.432452321,-1.434212365,-1.48056985,-1.442158134
31e63b91,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.867852517,-2.567329373,-2.548871492,-2.465419552,-2.454056774,-2.250921091,-2.260944472
32ebf2e8,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.841290148,-2.031602777,-1.93984096,-1.925230159,-1.915165756,-1.824209143,-1.79995316
37f60bbc,6_hard_full,6,hard,full,interaction,0.05,25,-2.315007613,-2.574518808,-2.532975053,-2.305219066,-2.349897157,-2.425239571,-2.477469853
37f61258,6_hard_full,6,hard,full,density,0.05,25,-2.700295575,-4.0852955,-3.933288191,-3.932103374,-3.845519547,-3.833001792,-3.746780621
38ebbf94,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.70674786,-2.012825208,-1.901055552,-1.954917427,-1.900290263,-1.816439838,-1.726920097
3af4bfbb,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.451419019,-2.396253289,-2.295839029,-1.992942013,-2.056210037,-1.817130418,-1.865181417
3bb613b2,6_hard_full,6,hard,full,blocking,0.05,25,-2.907284639,-1.846553264,-1.65634042,-1.258990273,-1.246133273,-1.379742628,-1.358933093
3cd60baf,6_hard_full,6,hard,full,interaction,0.05,25,-2.551076757,-1.835925181,-1.641574254,-1.269259445,-1.27103742,-1.298734644,-1.287799865
