userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
11d4bf94,6_hard_full,6,hard,full,density,120,1250,-2.086397266716605,-3.9420172666899034,-3.8911000205123023,-5.153891898685822,-4.665779918963013,-3.8360785384946996,-3.7510991760757046
14b4c043,6_hard_full,6,hard,full,interaction,120,1250,-2.695709223424645,-2.6555878180410932,-2.625759136774479,-2.226953189898344,-2.976325598535131,-2.4010559457142575,-2.9175315061577254
14c5dc72,6_hard_full,6,hard,full,blocking,120,1250,-2.956532459058635,-2.1816907770899165,-2.099908000421138,-2.0614832732127244,-1.870563039198245,-2.2207135081835134,-2.2740380915833547
17b4c1ea,6_hard_full,6,hard,full,interaction,120,1250,-2.5422988675184883,-1.8263983414910958,-1.685964649201755,-1.4386009354294962,-1.5708384410571619,-1.902970223258922,-2.136074697797213
17e120dd,6_hard_full,6,hard,full,interaction,120,1250,-2.8280636500347396,-2.4270088057667447,-2.376046000586279,-2.2543807543017125,-2.862500423625089,-2.7323375050618783,-3.0361539674805935
18dac9ef,6_hard_full,6,hard,full,blocking_blind,120,1250,-2.525473755970356,-3.1425507470523315,-2.947317175491963,-2.971316521840037,-2.1906904778835012,-2.9210994216189596,-2.1785131373996114
20bfd7bd,6_hard_full,6,hard,full,interaction_blind,120,1250,-1.9707502376329196,-1.7978736880578083,-1.7557704081315073,-1.9935439665909709,-2.0822852575533055,-1.6142739870826148,-2.09600185699274
22dac859,6_hard_full,6,hard,full,interaction,120,1250,-4.095446005043385,-3.849933003121862,-3.9285884986875943,-3.7698738590147185,-3.957361851439854,-3.9716779571003875,-3.771803107405647
24a5e25a,6_hard_full,6,hard,full,blocking_blind,120,1250,-2.6534180962381315,-2.405444083941043,-2.305058621059079,-2.385405386018826,-2.523129869966625,-1.5739684054235166,-1.5723132548854044
24b61c03,6_hard_full,6,hard,full,interaction_blind,120,1250,-2.476397851879827,-2.697185948477764,-2.685068164623225,-3.2348150842578773,-3.6693080515162384,-2.072652555286502,-2.470079126417036
24f4c091,6_hard_full,6,hard,full,blocking_blind,120,1250,-3.3375502712366925,-2.7580610617750008,-2.699027842363346,-2.4343768716902727,-2.217544008399859,-2.3833820105368235,-2.114396955297943
25a611ff,6_hard_full,6,hard,full,blocking_blind,120,1250,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-0.8521688908557514,-2.1839266743017083,-0.8278659086081991
25b60fb4,6_hard_full,6,hard,full,density,120,1250,-5.472923668620551,-6.318417506256585,-6.673215952408365,-7.202827180004065,-6.916116406429896,-6.978196488232518,-6.629091328858539
25c4c0ab,6_hard_full,6,hard,full,non-linear,120,1250,-2.1998706400267816,-1.6241490243324643,-1.6005817852212325,-2.561131804776199,-2.3531964519380995,-1.9395942406506586,-1.819318920682162
26dbf6e9,6_hard_full,6,hard,full,interaction,120,1250,-2.514958349416374,-1.8880702295546055,-1.7294990328991298,-1.1981859269631958,-1.2748477515209202,-1.6328100480914656,-1.4104621671638076
31e63b91,6_hard_full,6,hard,full,blocking,120,1250,-3.5121685225181443,-3.1099217106427726,-3.1435955426448916,-3.179005285115508,-2.875173155545121,-2.9198581230106773,-3.273364707603613
32ebf2e8,6_hard_full,6,hard,full,blocking_blind,120,1250,-3.077386170087658,-2.215251330058676,-2.149094126027326,-2.646778532706056,-2.413351893260916,-2.2600552615780414,-1.983241674922114
37f60bbc,6_hard_full,6,hard,full,interaction,120,1250,-2.315007612992603,-2.5745188084776873,-2.532975052829022,-2.3052190658690557,-3.989087807155789,-2.425239570502255,-4.241262468170188
37f61258,6_hard_full,6,hard,full,density,120,1250,-3.1493365556630097,-4.338250260227562,-4.286989308671415,-4.199171425777766,-3.569510873145413,-4.156835676855401,-3.557570054175841
38ebbf94,6_hard_full,6,hard,full,blocking_blind,120,1250,-2.706747860127902,-2.0128252083440508,-1.901055552431167,-2.7438593419921022,-2.3466780404038152,-2.244324753473819,-1.7850060666076906
3af4bfbb,6_hard_full,6,hard,full,interaction_blind,120,1250,-2.427863600105626,-2.280751691667685,-2.2212651973470026,-2.0681717426699047,-2.8811639022678563,-2.054236086056315,-2.846312694735046
3bb613b2,6_hard_full,6,hard,full,blocking,120,1250,-2.907284638701166,-1.8465532644117086,-1.6563404195854126,-1.0686494383302665,-1.0437309396921823,-1.504368245209251,-1.4738554320235742
3cd60baf,6_hard_full,6,hard,full,interaction,120,1250,-2.540556261636186,-1.7881844105136626,-1.614661493836307,-1.015778228130299,-1.0983116126141552,-1.2325489910584255,-1.281893063943897
3df11bae,6_hard_full,6,hard,full,blocking,120,1250,-3.090116187435296,-2.2969755244253203,-2.2063850516861616,-1.9460548492065832,-1.5649640357575665,-2.000665068200092,-1.6832094753124975
3ed61f8d,6_hard_full,6,hard,full,blocking_blind,120,1250,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-0.8521688908557514,-2.1839266743017083,-0.8278659086081991
43c60cd9,6_hard_full,6,hard,full,blocking_blind,120,1250,-2.7587705288653206,-2.320215668579438,-2.1937909923059378,-1.9651309216075137,-1.8442823717309622,-1.786184126529081,-1.5407670961150213
