board,heuristic,participants,prob,value
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.005001852,-5.297947085
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.230085181,-1.469305688
6_easy_full,blocking,all,2.35E-03,-6.051718887
6_easy_full,blocking,all,0.014116631,-4.260401693
6_easy_full,blocking,all,0.019736719,-3.925274492
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.230085181,-1.469305688
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.230085181,-1.469305688
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.005001852,-5.297947085
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.005001852,-5.297947085
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,blocking,all,0.233910126,-1.452818314
6_easy_full,blocking,all,3.82E-03,-5.566211072
6_easy_full,blocking,all,0.012075059,-4.416613228
6_easy_full,blocking,all,0.22243529,-1.503119053
6_easy_full,non-linear,all,0.107142857,-2.233592222
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.050595238,-2.983897816
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.119047619,-2.128231706
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.130952381,-2.032921526
6_easy_full,non-linear,all,0.023809524,-3.737669618
6_easy_full,non-linear,all,0.06547619,-2.726068707
6_easy_full,non-linear,all,0.0625,-2.772588722
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.130952381,-2.032921526
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.130952381,-2.032921526
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.142857143,-1.945910149
6_easy_full,non-linear,all,0.050595238,-2.983897816
6_easy_full,non-linear,all,0.119047619,-2.128231706
