chosen_moves,board,run,correct,num_nodes
24,6_easy_full,0,1,5107
26,6_easy_full,1,0,3852
35,6_easy_full,2,0,4074
29,6_easy_full,3,0,3616
26,6_easy_full,4,0,3799
33,6_easy_full,5,0,4054
24,6_easy_full,6,1,5031
26,6_easy_full,7,0,3653
33,6_easy_full,8,0,4210
32,6_easy_full,9,0,4314
20,6_easy_full,10,0,4064
24,6_easy_full,11,1,4926
20,6_easy_full,12,0,4174
31,6_easy_full,13,0,4303
3,6_easy_full,14,0,4444
24,6_easy_full,15,1,4916
3,6_easy_full,16,0,4414
11,6_easy_full,17,0,4470
26,6_easy_full,18,0,3817
12,6_easy_full,19,1,5103
12,6_easy_full,20,1,4958
3,6_easy_full,21,0,4511
29,6_easy_full,22,0,3664
34,6_easy_full,23,0,4227
26,6_easy_full,24,0,3779
12,6_easy_full,25,1,4897
33,6_easy_full,26,0,4094
6,6_easy_full,27,0,4145
12,6_easy_full,28,1,4929
11,6_easy_full,29,0,4518
34,6_easy_full,30,0,4310
6,6_easy_full,31,0,4198
3,6_easy_full,32,0,4432
26,6_easy_full,33,0,3715
29,6_easy_full,34,0,3687
26,6_easy_full,35,0,3814
20,6_easy_full,36,0,4063
26,6_easy_full,37,0,3874
24,6_easy_full,38,1,5165
26,6_easy_full,39,0,3935
20,6_easy_full,40,0,4077
31,6_easy_full,41,0,3971
12,6_easy_full,42,1,5180
30,6_easy_full,43,0,4176
3,6_easy_full,44,0,4413
24,6_easy_full,45,1,5138
12,6_easy_full,46,1,5100
11,6_easy_full,47,0,4581
26,6_easy_full,48,0,3747
12,6_easy_full,49,1,5135
29,6_easy_pruned,0,0,3844
18,6_easy_pruned,1,0,4259
12,6_easy_pruned,2,1,4851
26,6_easy_pruned,3,0,3994
5,6_easy_pruned,4,0,4090
12,6_easy_pruned,5,1,4850
12,6_easy_pruned,6,1,4853
26,6_easy_pruned,7,0,3991
5,6_easy_pruned,8,0,4136
12,6_easy_pruned,9,1,4867
12,6_easy_pruned,10,1,4858
34,6_easy_pruned,11,0,4442
12,6_easy_pruned,12,1,4849
31,6_easy_pruned,13,0,4270
26,6_easy_pruned,14,0,4030
12,6_easy_pruned,15,1,4853
26,6_easy_pruned,16,0,3952
26,6_easy_pruned,17,0,4144
12,6_easy_pruned,18,1,4859
30,6_easy_pruned,19,0,4408
12,6_easy_pruned,20,1,4861
29,6_easy_pruned,21,0,3872
12,6_easy_pruned,22,1,4854
26,6_easy_pruned,23,0,4014
12,6_easy_pruned,24,1,4854
12,6_easy_pruned,25,1,4845
26,6_easy_pruned,26,0,3933
34,6_easy_pruned,27,0,4521
6,6_easy_pruned,28,0,4306
18,6_easy_pruned,29,0,4244
12,6_easy_pruned,30,1,4860
12,6_easy_pruned,31,1,4857
12,6_easy_pruned,32,1,4860
12,6_easy_pruned,33,1,4866
12,6_easy_pruned,34,1,4854
26,6_easy_pruned,35,0,4005
12,6_easy_pruned,36,1,4855
26,6_easy_pruned,37,0,3943
29,6_easy_pruned,38,0,3880
36,6_easy_pruned,39,0,4365
12,6_easy_pruned,40,1,4140
32,6_easy_pruned,41,0,4524
26,6_easy_pruned,42,0,3953
12,6_easy_pruned,43,1,4854
18,6_easy_pruned,44,0,4213
12,6_easy_pruned,45,1,4858
30,6_easy_pruned,46,0,4298
29,6_easy_pruned,47,0,3890
29,6_easy_pruned,48,0,3869
12,6_easy_pruned,49,1,4850
28,6_hard_full,0,0,3985
15,6_hard_full,1,0,4206
23,6_hard_full,2,0,4307
13,6_hard_full,3,0,4279
17,6_hard_full,4,0,4082
4,6_hard_full,5,1,4307
16,6_hard_full,6,0,3982
21,6_hard_full,7,0,4412
28,6_hard_full,8,0,4151
16,6_hard_full,9,0,4026
27,6_hard_full,10,0,4935
16,6_hard_full,11,0,4038
16,6_hard_full,12,0,4003
7,6_hard_full,13,0,4142
21,6_hard_full,14,0,4358
27,6_hard_full,15,0,5291
4,6_hard_full,16,1,4328
28,6_hard_full,17,0,4059
4,6_hard_full,18,1,3974
21,6_hard_full,19,0,4467
6,6_hard_full,20,0,4190
4,6_hard_full,21,1,4315
21,6_hard_full,22,0,4209
15,6_hard_full,23,0,4286
28,6_hard_full,24,0,3994
21,6_hard_full,25,0,4634
15,6_hard_full,26,0,4316
16,6_hard_full,27,0,4144
16,6_hard_full,28,0,3912
16,6_hard_full,29,0,4052
21,6_hard_full,30,0,3969
23,6_hard_full,31,0,4397
27,6_hard_full,32,0,4482
16,6_hard_full,33,0,3944
16,6_hard_full,34,0,4051
21,6_hard_full,35,0,3858
27,6_hard_full,36,0,4264
15,6_hard_full,37,0,4309
21,6_hard_full,38,0,4461
15,6_hard_full,39,0,4158
30,6_hard_full,40,0,4099
15,6_hard_full,41,0,4093
29,6_hard_full,42,0,4087
1,6_hard_full,43,0,3890
18,6_hard_full,44,0,4224
27,6_hard_full,45,0,4362
21,6_hard_full,46,0,4263
28,6_hard_full,47,0,3904
27,6_hard_full,48,0,4494
21,6_hard_full,49,0,4264
15,6_hard_pruned,0,0,3557
3,6_hard_pruned,1,1,4794
15,6_hard_pruned,2,0,3560
28,6_hard_pruned,3,0,3806
16,6_hard_pruned,4,0,4054
17,6_hard_pruned,5,0,3823
27,6_hard_pruned,6,0,4215
21,6_hard_pruned,7,0,4210
21,6_hard_pruned,8,0,4212
11,6_hard_pruned,9,0,4104
16,6_hard_pruned,10,0,4074
28,6_hard_pruned,11,0,4016
16,6_hard_pruned,12,0,3983
15,6_hard_pruned,13,0,3531
11,6_hard_pruned,14,0,4081
21,6_hard_pruned,15,0,4170
16,6_hard_pruned,16,0,4025
17,6_hard_pruned,17,0,4353
16,6_hard_pruned,18,0,4107
16,6_hard_pruned,19,0,3713
21,6_hard_pruned,20,0,3883
3,6_hard_pruned,21,1,4769
17,6_hard_pruned,22,0,4170
21,6_hard_pruned,23,0,4069
27,6_hard_pruned,24,0,4066
11,6_hard_pruned,25,0,4076
15,6_hard_pruned,26,0,3887
21,6_hard_pruned,27,0,4260
3,6_hard_pruned,28,1,4698
21,6_hard_pruned,29,0,4038
16,6_hard_pruned,30,0,3661
33,6_hard_pruned,31,0,3499
27,6_hard_pruned,32,0,4177
11,6_hard_pruned,33,0,3588
16,6_hard_pruned,34,0,3943
27,6_hard_pruned,35,0,3934
28,6_hard_pruned,36,0,4152
3,6_hard_pruned,37,1,4139
27,6_hard_pruned,38,0,4047
27,6_hard_pruned,39,0,4280
17,6_hard_pruned,40,0,4255
16,6_hard_pruned,41,0,3953
