run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
0,49,94,10_easy_full,51,0
1,56,92,10_easy_full,51,0
2,80,89,10_easy_full,51,0
3,20,81,10_easy_full,50,1
4,68,99,10_easy_full,50,0
5,20,77,10_easy_full,50,1
6,52,88,10_easy_full,51,0
7,84,78,10_easy_full,50,0
8,84,92,10_easy_full,51,0
9,20,72,10_easy_full,50,1
10,48,89,10_easy_full,51,0
11,65,83,10_easy_full,50,0
12,79,89,10_easy_full,52,0
13,50,75,10_easy_full,50,1
14,64,95,10_easy_full,52,0
15,66,82,10_easy_full,50,0
16,55,91,10_easy_full,51,0
17,66,77,10_easy_full,51,0
18,50,70,10_easy_full,50,1
19,76,100,10_easy_full,51,0
20,30,98,10_easy_full,51,0
21,19,76,10_easy_full,50,0
22,99,140,10_easy_full,51,0
23,78,92,10_easy_full,50,0
24,19,72,10_easy_full,50,0
25,20,77,10_easy_full,50,1
26,50,70,10_easy_full,50,1
27,99,143,10_easy_full,51,0
28,95,143,10_easy_full,51,0
29,45,86,10_easy_full,51,0
30,59,99,10_easy_full,50,0
31,6,75,10_easy_full,50,0
32,66,72,10_easy_full,51,0
33,55,92,10_easy_full,51,0
34,75,87,10_easy_full,51,0
35,68,99,10_easy_full,50,0
36,20,70,10_easy_full,50,1
37,66,74,10_easy_full,51,0
38,65,105,10_easy_full,51,0
39,55,90,10_easy_full,51,0
40,3,85,10_easy_full,50,0
41,50,70,10_easy_full,50,1
42,55,82,10_easy_full,50,0
43,8,98,10_easy_full,51,0
44,88,102,10_easy_full,51,0
45,20,81,10_easy_full,50,1
46,66,75,10_easy_full,50,0
47,59,86,10_easy_full,50,0
48,12,72,10_easy_full,50,0
49,50,85,10_easy_full,52,1
50,65,96,10_easy_full,50,0
51,86,97,10_easy_full,50,0
52,29,94,10_easy_full,50,0
53,50,76,10_easy_full,50,1
54,49,87,10_easy_full,51,0
55,69,88,10_easy_full,50,0
56,50,77,10_easy_full,50,1
57,81,85,10_easy_full,50,0
58,65,66,10_easy_full,50,0
59,64,88,10_easy_full,51,0
60,86,94,10_easy_full,51,0
61,6,76,10_easy_full,50,0
62,55,83,10_easy_full,52,0
63,68,100,10_easy_full,51,0
64,68,84,10_easy_full,50,0
65,68,93,10_easy_full,51,0
66,66,82,10_easy_full,50,0
67,20,75,10_easy_full,50,1
68,76,86,10_easy_full,51,0
69,56,88,10_easy_full,50,0
70,99,142,10_easy_full,51,0
71,66,80,10_easy_full,51,0
72,63,91,10_easy_full,51,0
73,54,88,10_easy_full,50,0
74,65,78,10_easy_full,52,0
75,73,98,10_easy_full,51,0
76,83,95,10_easy_full,51,0
77,50,74,10_easy_full,50,1
78,68,68,10_easy_full,50,0
79,30,87,10_easy_full,51,0
80,19,70,10_easy_full,50,0
81,66,79,10_easy_full,52,0
82,86,84,10_easy_full,50,0
83,59,77,10_easy_full,51,0
84,92,84,10_easy_full,51,0
85,50,74,10_easy_full,50,1
86,73,78,10_easy_full,51,0
87,55,83,10_easy_full,50,0
88,86,86,10_easy_full,50,0
89,45,95,10_easy_full,50,0
90,74,82,10_easy_full,51,0
91,50,78,10_easy_full,50,1
92,70,91,10_easy_full,50,0
93,50,72,10_easy_full,50,1
94,3,90,10_easy_full,50,0
95,21,72,10_easy_full,51,0
96,20,78,10_easy_full,50,1
97,73,85,10_easy_full,52,0
98,50,74,10_easy_full,50,1
99,50,74,10_easy_full,50,1
100,19,70,10_easy_full,50,0
101,66,85,10_easy_full,51,0
102,83,103,10_easy_full,52,0
103,20,76,10_easy_full,50,1
104,6,76,10_easy_full,50,0
105,20,78,10_easy_full,50,1
