chosen_moves,board,run,correct,num_nodes
12,6_easy_full,0,1,399992
24,6_easy_full,1,1,699956
26,6_easy_full,2,0,799935
26,6_easy_full,3,0,599967
26,6_easy_full,4,0,799938
29,6_easy_full,5,0,599967
26,6_easy_full,6,0,699956
26,6_easy_full,7,0,599967
29,6_easy_full,8,0,599967
24,6_easy_full,9,1,699956
12,6_easy_full,10,1,699959
26,6_easy_full,11,0,799935
26,6_easy_full,12,0,799935
29,6_easy_full,13,0,599967
26,6_easy_full,14,0,599970
26,6_easy_full,15,0,699956
26,6_easy_full,16,0,799935
24,6_easy_full,17,1,699959
12,6_easy_full,18,1,749949
12,6_easy_full,19,1,599973
29,6_easy_pruned,0,0,59968
29,6_easy_pruned,1,0,59970
18,6_easy_pruned,2,0,39989
12,6_easy_pruned,3,1,49975
12,6_easy_pruned,4,1,49983
29,6_easy_pruned,5,0,59970
12,6_easy_pruned,6,1,49983
18,6_easy_pruned,7,0,39992
29,6_easy_pruned,8,0,59968
12,6_easy_pruned,9,1,49983
29,6_easy_pruned,10,0,49980
12,6_easy_pruned,11,1,49983
12,6_easy_pruned,12,1,49983
12,6_easy_pruned,13,1,49983
29,6_easy_pruned,14,0,59970
12,6_easy_pruned,15,1,54975
29,6_easy_pruned,16,0,49980
12,6_easy_pruned,17,1,54975
26,6_easy_pruned,18,0,49980
29,6_easy_pruned,19,0,49980
