path,length,count,board
"[[0, 4, 1], [3, 5, 2]]",2,4,6_easy_full
"[[3, 1, 1], [4, 1, 2], [4, 4, 1]]",3,9,6_easy_full
"[[0, 2, 1], [3, 5, 2], [5, 5, 1]]",3,14,6_easy_full
"[[0, 4, 1], [4, 1, 2]]",2,67,6_easy_full
"[[5, 1, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,129,6_easy_full
"[[5, 4, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,29,6_easy_full
"[[5, 1, 1], [4, 1, 2], [3, 1, 1]]",3,141,6_easy_full
"[[5, 2, 1], [2, 5, 2]]",2,11,6_easy_full
"[[5, 4, 1], [5, 2, 2]]",2,34,6_easy_full
"[[5, 5, 1], [1, 4, 2]]",2,6,6_easy_full
"[[3, 5, 1], [0, 2, 2], [5, 4, 1]]",3,7,6_easy_full
"[[3, 1, 1]]",1,3980,6_easy_full
"[[5, 3, 1]]",1,1990,6_easy_full
"[[5, 2, 1], [4, 1, 2]]",2,196,6_easy_full
"[[2, 5, 1], [5, 1, 2]]",2,109,6_easy_full
"[[5, 1, 1], [0, 4, 2]]",2,7,6_easy_full
"[[5, 3, 1], [3, 1, 2], [4, 1, 1]]",3,75,6_easy_full
"[[0, 4, 1], [5, 2, 2], [2, 5, 1]]",3,118,6_easy_full
"[[5, 4, 1], [5, 0, 2]]",2,3,6_easy_full
"[[5, 3, 1], [4, 1, 2], [3, 1, 1]]",3,68,6_easy_full
"[[2, 5, 1], [4, 4, 2]]",2,142,6_easy_full
"[[5, 5, 1], [4, 1, 2], [3, 1, 1]]",3,132,6_easy_full
"[[0, 2, 1], [3, 5, 2], [4, 5, 1]]",3,46,6_easy_full
"[[5, 2, 1], [5, 1, 2]]",2,10,6_easy_full
"[[5, 2, 1], [4, 1, 2], [3, 1, 1]]",3,174,6_easy_full
"[[5, 2, 1], [5, 4, 2]]",2,14,6_easy_full
"[[5, 1, 1], [5, 0, 2]]",2,31,6_easy_full
"[[0, 2, 1], [3, 5, 2], [2, 5, 1]]",3,24,6_easy_full
"[[2, 5, 1], [1, 4, 2]]",2,26,6_easy_full
"[[5, 5, 1], [0, 5, 2]]",2,21,6_easy_full
"[[3, 1, 1], [0, 2, 2]]",2,69,6_easy_full
"[[2, 5, 1], [0, 2, 2]]",2,46,6_easy_full
"[[0, 4, 1], [5, 3, 2]]",2,57,6_easy_full
"[[1, 5, 1], [1, 4, 2], [4, 5, 1]]",3,67,6_easy_full
"[[5, 3, 1], [5, 2, 2]]",2,32,6_easy_full
"[[5, 4, 1], [2, 5, 2]]",2,68,6_easy_full
"[[5, 2, 1], [0, 5, 2]]",2,22,6_easy_full
"[[1, 5, 1], [1, 4, 2], [3, 1, 1]]",3,52,6_easy_full
"[[1, 4, 1], [1, 5, 2], [5, 1, 1], [4, 4, 2]]",4,1,6_easy_full
"[[5, 5, 1], [4, 4, 2]]",2,245,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 4, 1], [1, 5, 2]]",4,40,6_easy_full
"[[1, 5, 1], [1, 4, 2], [0, 2, 1]]",3,115,6_easy_full
"[[5, 4, 1], [0, 4, 2]]",2,7,6_easy_full
"[[3, 1, 1], [2, 5, 2], [5, 2, 1]]",3,64,6_easy_full
"[[5, 3, 1], [2, 5, 2], [5, 2, 1]]",3,75,6_easy_full
"[[4, 1, 1], [5, 2, 2]]",2,82,6_easy_full
"[[2, 5, 1], [5, 4, 2]]",2,20,6_easy_full
"[[5, 2, 1], [4, 4, 2]]",2,91,6_easy_full
"[[4, 4, 1], [3, 5, 2]]",2,34,6_easy_full
"[[4, 4, 1], [4, 5, 2]]",2,1,6_easy_full
"[[3, 5, 1], [0, 2, 2]]",2,9940,6_easy_full
"[[0, 2, 1], [3, 5, 2], [5, 0, 1]]",3,5,6_easy_full
"[[1, 5, 1], [1, 4, 2], [5, 2, 1]]",3,57,6_easy_full
"[[1, 4, 1], [1, 5, 2], [5, 2, 1]]",3,15,6_easy_full
"[[5, 2, 1], [3, 1, 2], [4, 1, 1]]",3,13,6_easy_full
"[[1, 4, 1], [1, 5, 2], [4, 4, 1]]",3,64,6_easy_full
"[[5, 5, 1], [0, 4, 2]]",2,49,6_easy_full
"[[1, 5, 1], [1, 4, 2], [4, 1, 1]]",3,124,6_easy_full
"[[4, 1, 1], [1, 4, 2]]",2,14,6_easy_full
"[[2, 5, 1], [5, 2, 2]]",2,17,6_easy_full
"[[0, 2, 1], [3, 5, 2], [3, 1, 1], [5, 5, 2]]",4,2,6_easy_full
"[[3, 1, 1], [5, 1, 2]]",2,13,6_easy_full
"[[5, 2, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,161,6_easy_full
"[[5, 5, 1], [3, 1, 2]]",2,69,6_easy_full
"[[2, 5, 1], [3, 1, 2], [4, 1, 1]]",3,96,6_easy_full
"[[5, 3, 1], [5, 2, 2], [2, 5, 1]]",3,27,6_easy_full
"[[0, 4, 1], [4, 4, 2], [4, 1, 1]]",3,123,6_easy_full
"[[3, 1, 1], [4, 5, 2], [4, 4, 1]]",3,142,6_easy_full
"[[1, 5, 1], [1, 4, 2], [5, 4, 1]]",3,28,6_easy_full
"[[4, 4, 1], [0, 2, 2]]",2,10,6_easy_full
"[[1, 5, 1], [1, 4, 2], [4, 4, 1]]",3,119,6_easy_full
"[[1, 4, 1], [1, 5, 2], [0, 5, 1]]",3,15,6_easy_full
"[[5, 5, 1], [5, 2, 2]]",2,185,6_easy_full
"[[0, 4, 1], [2, 5, 2], [5, 2, 1]]",3,24,6_easy_full
"[[3, 1, 1], [5, 2, 2]]",2,148,6_easy_full
"[[5, 5, 1], [3, 5, 2]]",2,55,6_easy_full
"[[3, 1, 1], [2, 5, 2]]",2,82,6_easy_full
"[[5, 3, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,56,6_easy_full
"[[0, 2, 1], [3, 5, 2], [4, 4, 1]]",3,39,6_easy_full
"[[5, 3, 1], [0, 5, 2]]",2,3,6_easy_full
"[[1, 4, 1], [1, 5, 2], [3, 1, 1], [0, 4, 2]]",4,1,6_easy_full
"[[4, 4, 1], [4, 1, 2]]",2,36,6_easy_full
"[[5, 1, 1], [1, 4, 2]]",2,31,6_easy_full
"[[0, 4, 1], [4, 5, 2]]",2,14,6_easy_full
"[[5, 2, 1]]",1,1990,6_easy_full
"[[3, 5, 1], [0, 2, 2], [0, 5, 1]]",3,44,6_easy_full
"[[5, 4, 1], [4, 1, 2]]",2,45,6_easy_full
"[[1, 4, 1], [1, 5, 2], [4, 5, 1]]",3,64,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 5, 1]]",3,572,6_easy_full
"[[5, 4, 1], [3, 1, 2]]",2,17,6_easy_full
"[[5, 2, 1], [5, 3, 2]]",2,31,6_easy_full
"[[5, 1, 1], [5, 3, 2]]",2,22,6_easy_full
"[[5, 2, 1], [0, 2, 2]]",2,26,6_easy_full
"[[4, 1, 1], [0, 5, 2]]",2,45,6_easy_full
"[[5, 1, 1], [4, 5, 2], [4, 4, 1]]",3,46,6_easy_full
"[[0, 2, 1], [3, 5, 2], [5, 3, 1], [5, 2, 2]]",4,1,6_easy_full
"[[0, 2, 1], [3, 5, 2], [1, 5, 1]]",3,83,6_easy_full
"[[5, 4, 1], [4, 4, 2]]",2,151,6_easy_full
"[[1, 4, 1], [1, 5, 2], [0, 2, 1]]",3,27,6_easy_full
"[[2, 5, 1], [4, 1, 2]]",2,154,6_easy_full
"[[5, 4, 1], [0, 2, 2]]",2,3,6_easy_full
"[[2, 5, 1], [4, 1, 2], [3, 1, 1]]",3,128,6_easy_full
"[[5, 2, 1], [5, 5, 2]]",2,4,6_easy_full
"[[4, 4, 1], [5, 1, 2]]",2,50,6_easy_full
"[[5, 4, 1], [4, 5, 2]]",2,19,6_easy_full
"[[1, 5, 1], [1, 4, 2], [0, 5, 1]]",3,30,6_easy_full
"[[5, 3, 1], [4, 1, 2]]",2,83,6_easy_full
"[[5, 1, 1], [3, 5, 2]]",2,21,6_easy_full
"[[4, 4, 1], [2, 5, 2]]",2,73,6_easy_full
"[[5, 3, 1], [0, 4, 2]]",2,2,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 4, 1]]",3,52,6_easy_full
"[[0, 2, 1], [3, 5, 2], [5, 1, 1]]",3,3,6_easy_full
"[[1, 4, 1], [1, 5, 2], [3, 5, 1], [0, 2, 2]]",4,50,6_easy_full
"[[5, 2, 1], [4, 5, 2]]",2,133,6_easy_full
"[[4, 4, 1], [5, 0, 2]]",2,15,6_easy_full
"[[4, 1, 1], [0, 2, 2]]",2,31,6_easy_full
"[[5, 1, 1], [2, 5, 2], [5, 2, 1]]",3,161,6_easy_full
"[[5, 4, 1], [5, 5, 2]]",2,7,6_easy_full
"[[2, 5, 1], [4, 5, 2], [4, 4, 1]]",3,67,6_easy_full
"[[5, 3, 1], [4, 5, 2]]",2,158,6_easy_full
"[[5, 5, 1], [5, 3, 2]]",2,17,6_easy_full
"[[5, 5, 1], [5, 1, 2]]",2,10,6_easy_full
"[[0, 4, 1], [5, 2, 2]]",2,127,6_easy_full
"[[0, 2, 1], [3, 5, 2], [1, 5, 1], [1, 4, 2]]",4,70,6_easy_full
"[[3, 1, 1], [1, 5, 2]]",2,21,6_easy_full
"[[0, 4, 1], [3, 1, 2]]",2,23,6_easy_full
"[[4, 1, 1], [5, 2, 2], [2, 5, 1]]",3,72,6_easy_full
"[[5, 1, 1], [4, 4, 2]]",2,119,6_easy_full
"[[4, 1, 1], [5, 5, 2]]",2,4,6_easy_full
"[[3, 5, 1], [0, 2, 2], [5, 5, 1]]",3,64,6_easy_full
"[[4, 1, 1], [1, 5, 2]]",2,21,6_easy_full
"[[2, 5, 1], [3, 5, 2]]",2,31,6_easy_full
"[[5, 3, 1], [4, 4, 2], [4, 1, 1]]",3,197,6_easy_full
"[[4, 1, 1], [5, 3, 2]]",2,29,6_easy_full
"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2]]",4,411,6_easy_full
"[[5, 3, 1], [5, 1, 2]]",2,45,6_easy_full
"[[2, 5, 1], [5, 5, 2]]",2,7,6_easy_full
"[[2, 5, 1], [4, 4, 2], [4, 1, 1], [4, 5, 2]]",4,102,6_easy_full
"[[4, 4, 1]]",1,3980,6_easy_full
"[[0, 4, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,51,6_easy_full
"[[1, 4, 1], [1, 5, 2], [3, 5, 1]]",3,60,6_easy_full
"[[2, 5, 1], [4, 5, 2]]",2,78,6_easy_full
