board,move,correct
10_easy_full,11,0
10_easy_full,73,0
10_easy_full,48,0
10_easy_full,12,0
10_easy_full,50,1
10_easy_full,6,0
10_easy_full,8,0
10_easy_full,11,0
10_easy_full,30,0
10_easy_full,6,0
10_easy_full,2,0
10_easy_full,49,0
10_easy_full,13,0
10_easy_full,6,0
10_easy_full,69,0
10_easy_full,75,0
10_easy_full,14,0
10_easy_full,81,0
10_easy_full,67,0
10_easy_full,31,0
10_easy_full,93,0
10_easy_full,90,0
10_easy_full,93,0
10_easy_full,33,0
10_easy_full,1,0
10_easy_full,67,0
10_easy_full,43,0
10_easy_full,6,0
10_easy_full,89,0
10_easy_full,75,0
10_easy_full,13,0
10_easy_full,21,0
10_easy_full,20,1
10_easy_full,81,0
10_easy_full,31,0
10_easy_full,82,0
10_easy_full,57,0
10_easy_full,21,0
10_easy_full,74,0
10_easy_full,3,0
10_easy_full,20,1
10_easy_full,33,0
10_easy_full,91,0
10_easy_full,11,0
10_easy_full,92,0
10_easy_full,12,0
10_easy_full,85,0
10_easy_full,20,1
10_easy_full,85,0
10_easy_full,6,0
10_easy_pruned,1,0
10_easy_pruned,19,0
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,10,0
10_easy_pruned,20,1
10_easy_pruned,19,0
10_easy_pruned,20,1
10_easy_pruned,94,0
10_easy_pruned,100,0
10_easy_pruned,19,0
10_easy_pruned,11,0
10_easy_pruned,30,0
10_easy_pruned,20,1
10_easy_pruned,19,0
10_easy_pruned,19,0
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,88,0
10_easy_pruned,19,0
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,65,0
10_easy_pruned,45,0
10_easy_pruned,19,0
10_easy_pruned,88,0
10_easy_pruned,19,0
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,4,0
10_easy_pruned,99,0
10_easy_pruned,60,0
10_easy_pruned,20,1
10_easy_pruned,19,0
10_easy_pruned,91,0
10_easy_pruned,20,1
10_easy_pruned,48,0
10_easy_pruned,20,1
10_easy_pruned,20,1
10_easy_pruned,19,0
10_easy_pruned,86,0
10_easy_pruned,32,0
10_easy_pruned,19,0
10_easy_pruned,19,0
10_easy_pruned,20,1
10_easy_pruned,89,0
10_easy_pruned,43,0
10_easy_pruned,20,1
10_hard_full,94,0
10_hard_full,48,0
