run,chosen_moves,k,num_nodes_rollouts,board,num_nodes,correct
0,12,None,5616,6_easy_full,5002,1
1,12,None,5543,6_easy_full,5001,1
2,12,None,5632,6_easy_full,5002,1
3,12,None,5621,6_easy_full,5001,1
4,12,None,5595,6_easy_full,5002,1
5,12,None,5611,6_easy_full,5002,1
6,18,None,5600,6_easy_full,5001,0
7,30,None,5617,6_easy_full,5003,0
8,18,None,5615,6_easy_full,5000,0
9,24,None,5681,6_easy_full,5002,1
10,6,None,5691,6_easy_full,5000,0
11,18,None,5606,6_easy_full,5000,0
12,24,None,5624,6_easy_full,5000,1
13,12,None,5649,6_easy_full,5000,1
14,6,None,5638,6_easy_full,5003,0
15,30,None,5612,6_easy_full,5002,0
16,24,None,5679,6_easy_full,5002,1
17,34,None,5619,6_easy_full,5002,0
18,12,None,5666,6_easy_full,5001,1
19,24,None,5626,6_easy_full,5001,1
20,24,None,5638,6_easy_full,5002,1
21,18,None,5660,6_easy_full,5000,0
22,18,None,5653,6_easy_full,5003,0
23,24,None,5603,6_easy_full,5000,1
24,12,None,5584,6_easy_full,5001,1
25,12,None,5653,6_easy_full,5002,1
26,30,None,5670,6_easy_full,5000,0
27,34,None,5644,6_easy_full,5001,0
28,34,None,5589,6_easy_full,5001,0
29,24,None,5624,6_easy_full,5001,1
30,6,None,5649,6_easy_full,5002,0
31,24,None,5659,6_easy_full,5001,1
32,24,None,5617,6_easy_full,5003,1
33,34,None,5625,6_easy_full,5000,0
34,18,None,5670,6_easy_full,5000,0
35,24,None,5636,6_easy_full,5001,1
36,30,None,5577,6_easy_full,5000,0
37,24,None,5627,6_easy_full,5003,1
38,30,None,5645,6_easy_full,5002,0
39,24,None,5619,6_easy_full,5001,1
40,12,None,5584,6_easy_full,5000,1
41,18,None,5641,6_easy_full,5000,0
42,30,None,5621,6_easy_full,5002,0
43,30,None,5660,6_easy_full,5000,0
44,34,None,5585,6_easy_full,5002,0
45,30,None,5660,6_easy_full,5000,0
46,24,None,5581,6_easy_full,5002,1
47,24,None,5620,6_easy_full,5003,1
48,24,None,5597,6_easy_full,5000,1
49,18,None,5651,6_easy_full,5001,0
50,18,None,5608,6_easy_full,5001,0
51,30,None,5651,6_easy_full,5001,0
52,32,None,5609,6_easy_full,5001,0
53,24,None,5645,6_easy_full,5002,1
54,34,None,5627,6_easy_full,5002,0
