,board,correct,fitted_heuristic,missed_win,player,userid
0,6_hard_full,0,density,1,2.0,11d4bf94
1,6_hard_full,0,density,0,2.0,11d4bf94
2,6_hard_full,0,density,1,1.0,11d4bf94
3,6_hard_full,0,density,0,1.0,11d4bf94
4,6_hard_full,0,interaction,0,2.0,14b4c043
5,6_hard_full,0,interaction,0,2.0,14b4c043
6,6_hard_full,0,interaction,1,2.0,14b4c043
7,6_hard_full,0,interaction,0,2.0,14b4c043
8,6_hard_full,0,interaction,0,1.0,14b4c043
9,6_hard_full,0,blocking,0,2.0,14c5dc72
10,6_hard_full,0,blocking,1,2.0,14c5dc72
11,6_hard_full,0,blocking,1,2.0,14c5dc72
12,6_hard_full,0,blocking,0,1.0,14c5dc72
13,6_hard_full,1,blocking,1,2.0,17b4c1ea
14,6_hard_full,1,blocking,0,2.0,17b4c1ea
15,6_hard_full,1,blocking,0,2.0,17b4c1ea
16,6_hard_full,1,blocking,0,2.0,17b4c1ea
17,6_hard_full,1,blocking,0,1.0,17b4c1ea
18,6_hard_full,1,blocking,0,1.0,17b4c1ea
19,6_hard_full,1,blocking,0,1.0,17b4c1ea
20,6_hard_full,0,interaction,0,2.0,17e120dd
21,6_hard_full,0,interaction,1,2.0,17e120dd
22,6_hard_full,0,interaction,0,2.0,17e120dd
23,6_hard_full,0,interaction,0,2.0,17e120dd
24,6_hard_full,0,interaction,0,2.0,17e120dd
25,6_hard_full,0,interaction,0,2.0,17e120dd
26,6_hard_full,0,interaction,1,1.0,17e120dd
27,6_hard_full,0,interaction,0,2.0,17e120dd
28,6_hard_full,0,interaction,1,1.0,17e120dd
29,6_hard_full,0,interaction,0,1.0,17e120dd
30,6_hard_full,0,interaction,0,1.0,17e120dd
31,6_hard_full,0,blocking,0,1.0,18dac9ef
32,6_hard_full,0,interaction,0,2.0,20bfd7bd
33,6_hard_full,0,interaction,0,2.0,20bfd7bd
34,6_hard_full,0,interaction,0,1.0,20bfd7bd
35,6_hard_full,0,interaction,1,2.0,20bfd7bd
36,6_hard_full,0,interaction,0,1.0,20bfd7bd
37,6_hard_full,0,blocking,1,2.0,24a5e25a
38,6_hard_full,0,blocking,0,1.0,24a5e25a
39,6_hard_full,0,blocking,0,1.0,24a5e25a
40,6_hard_full,0,density,1,2.0,24b61c03
41,6_hard_full,0,density,0,1.0,24b61c03
42,6_hard_full,0,density,0,1.0,24b61c03
43,6_hard_full,0,blocking,0,2.0,24f4c091
44,6_hard_full,0,blocking,1,2.0,24f4c091
45,6_hard_full,0,blocking,1,2.0,24f4c091
46,6_hard_full,0,blocking,1,2.0,24f4c091
47,6_hard_full,0,blocking,0,2.0,24f4c091
48,6_hard_full,0,blocking,0,2.0,24f4c091
49,6_hard_full,0,blocking,1,2.0,24f4c091
50,6_hard_full,0,blocking,0,2.0,24f4c091
51,6_hard_full,0,blocking,0,1.0,24f4c091
52,6_hard_full,0,blocking,0,1.0,24f4c091
53,6_hard_full,0,interaction,1,2.0,25c4c0ab
54,6_hard_full,0,interaction,1,1.0,25c4c0ab
55,6_hard_full,0,interaction,0,1.0,25c4c0ab
56,6_hard_full,1,blocking,0,1.0,26dbf6e9
57,6_hard_full,1,blocking,0,1.0,26dbf6e9
58,6_hard_full,1,blocking,0,2.0,26dbf6e9
59,6_hard_full,1,blocking,0,2.0,26dbf6e9
60,6_hard_full,0,blocking,1,2.0,31e63b91
61,6_hard_full,0,blocking,1,2.0,31e63b91
62,6_hard_full,0,blocking,1,2.0,31e63b91
63,6_hard_full,0,blocking,0,2.0,31e63b91
64,6_hard_full,0,blocking,1,2.0,31e63b91
65,6_hard_full,0,blocking,0,2.0,31e63b91
66,6_hard_full,0,blocking,1,2.0,31e63b91
67,6_hard_full,0,blocking,0,1.0,31e63b91
68,6_hard_full,0,blocking,0,1.0,31e63b91
69,6_hard_full,1,blocking,1,2.0,32ebf2e8
70,6_hard_full,1,blocking,1,1.0,32ebf2e8
71,6_hard_full,1,blocking,1,1.0,32ebf2e8
72,6_hard_full,1,blocking,1,2.0,32ebf2e8
73,6_hard_full,1,blocking,0,2.0,32ebf2e8
