board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,50,1,"[[0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.0049261083743842365, -2e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -2e-05, -1e-05, -1e-05, -1e-05, 0.009852216748768473, 0.009852216748768473], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014778325123152709, 0.014778325123152709], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.014778325123152709, -2e-05, -2e-05, 0.014778325123152709, 0.014778325123152709, 0.0049261083743842365], [-1e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.019704433497536946], [-1e-05, -1e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.019704433497536946], [-2e-05, -2e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.014778325123152709, 0.014778325123152709, 0.019704433497536946], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, -1e-05, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709], [0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.014778325123152709, 0.024630541871921183, -2e-05, -2e-05, -2e-05, 0.014778325123152709, 0.014778325123152709]]"
10_easy_pruned,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,20,1,"[[0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, -2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -2e-05, -1e-05, -1e-05, -1e-05, 0.007407407407407408, 0.007407407407407408], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014814814814814815, 0.014814814814814815], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014814814814814815, 0.014814814814814815, -1e-05, 0.014814814814814815, -2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815, -1e-05], [-1e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.022222222222222223], [-1e-05, -1e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.022222222222222223], [-2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, 0.014814814814814815, 0.014814814814814815, 0.022222222222222223], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, -1e-05, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815], [0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.014814814814814815, 0.02962962962962963, -2e-05, -2e-05, -2e-05, 0.014814814814814815, 0.014814814814814815]]"
10_hard_full,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,45,0,"[[0.010416666666666666, 0.010416666666666666, 0.010416666666666666, -2e-05, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.010416666666666666, 0.010416666666666666, 0.010416666666666666, -1e-05, 0.010416666666666666, -2e-05, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.010416666666666666, -2e-05, -2e-05, 0.005208333333333333, 0.03125, -1e-05, -1e-05, 0.010416666666666666, -2e-05, 0.010416666666666666], [0.015625, 0.020833333333333332, -2e-05, -1e-05, -2e-05, 0.03125, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.03125, -1e-05, -1e-05, 0.010416666666666666, 0.03125, 0.03125, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.026041666666666668, -1e-05, -1e-05, 0.005208333333333333, -2e-05, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.03125, 0.026041666666666668, -1e-05, 0.020833333333333332, -2e-05, 0.005208333333333333, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.010416666666666666, 0.015625, -1e-05, 0.020833333333333332, 0.015625, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.015625, 0.020833333333333332, -2e-05, 0.010416666666666666, 0.005208333333333333, -2e-05, -2e-05, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666], [0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, -1e-05, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666, 0.010416666666666666]]"
10_hard_pruned,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,24,1,"[[0.011363636363636364, 0.011363636363636364, 0.011363636363636364, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.017045454545454544, 0.011363636363636364, 0.011363636363636364, -1e-05, 0.011363636363636364, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, -2e-05, -2e-05, 0.005681818181818182, -1e-05, -1e-05, -1e-05, 0.005681818181818182, -2e-05, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, -2e-05, -1e-05, -2e-05, 0.017045454545454544, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.022727272727272728, -1e-05, -1e-05, 0.03977272727272727, 0.017045454545454544, 0.017045454545454544, 0.022727272727272728, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, -1e-05, -1e-05, 0.022727272727272728, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [-2e-05, 0.028409090909090908, -1e-05, 0.017045454545454544, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.017045454545454544, -1e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, -2e-05, 0.028409090909090908, 0.028409090909090908, -2e-05, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, -1e-05, 0.022727272727272728, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364]]"
10_medium_full,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,77,0,"[[0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, -1e-05, 0.00392156862745098, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.00784313725490196, 0.01568627450980392, 0.01568627450980392, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.00784313725490196, 0.01568627450980392, 0.011764705882352941, -1e-05, -2e-05, -2e-05, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.01568627450980392, 0.011764705882352941, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.01568627450980392, 0.0196078431372549, 0.0196078431372549, 0.00392156862745098, -1e-05, -1e-05, 0.023529411764705882, 0.023529411764705882, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941]]"
10_medium_pruned,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,53,1,"[[0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.024242424242424242, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, -1e-05, 0.012121212121212121, 0.012121212121212121, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, -1e-05, -1e-05, -1e-05, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.006060606060606061, 0.024242424242424242, 0.012121212121212121, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.006060606060606061, 0.012121212121212121, 0.012121212121212121, -1e-05, -2e-05, -2e-05, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.030303030303030304, -1e-05, 0.012121212121212121, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, -1e-05, -1e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, -1e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121], [0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121, -2e-05, 0.012121212121212121, 0.012121212121212121, 0.012121212121212121]]"
6_easy_full,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,24,1,"[[0.05084745762711865, -1e-05, 0.01694915254237288, -2e-05, 0.05084745762711865, 0.05084745762711865], [0.05084745762711865, -2e-05, -1e-05, -1e-05, 0.03389830508474576, 0.03389830508474576], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1016949152542373], [-2e-05, 0.0847457627118644, -1e-05, -1e-05, -2e-05, 0.01694915254237288], [-1e-05, 0.05084745762711865, -2e-05, -2e-05, 0.05084745762711865, 0.0847457627118644], [0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.05084745762711865, 0.06779661016949153]]"
6_easy_pruned,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,12,1,"[[0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.05714285714285714, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.11428571428571428], [-2e-05, 0.05714285714285714, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05714285714285714, -2e-05, -2e-05, 0.05714285714285714, 0.08571428571428572], [0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714]]"
6_hard_full,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,16,0,"[[0.09259259259259259, -2e-05, 0.018518518518518517, 0.05555555555555555, -1e-05, 0.018518518518518517], [0.018518518518518517, -2e-05, -1e-05, -2e-05, 0.05555555555555555, 0.018518518518518517], [0.018518518518518517, -1e-05, 0.14814814814814814, 0.12962962962962962, 0.037037037037037035, 0.018518518518518517], [0.018518518518518517, -1e-05, 0.018518518518518517, -2e-05, 0.018518518518518517, 0.018518518518518517], [0.018518518518518517, -1e-05, 0.1111111111111111, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517], [0.037037037037037035, -2e-05, 0.037037037037037035, 0.018518518518518517, -2e-05, 0.018518518518518517]]"
6_hard_pruned,paths_non-linear_interactionFixed,paths,False,True,2,square,2,False,50,3,1,"[[0.06944444444444445, -2e-05, 0.013888888888888888, -1e-05, -1e-05, 0.013888888888888888], [0.041666666666666664, -2e-05, -1e-05, -2e-05, 0.05555555555555555, 0.041666666666666664], [0.041666666666666664, -1e-05, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.041666666666666664], [-2e-05, -1e-05, 0.027777777777777776, -2e-05, 0.041666666666666664, 0.041666666666666664], [0.041666666666666664, -1e-05, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664], [0.041666666666666664, -2e-05, 0.05555555555555555, 0.041666666666666664, -2e-05, 0.041666666666666664]]"
