board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,45,0,"[[0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, -1e-05, 0.012578616352201259, -2e-05, 0.0, 0.012578616352201259, 0.018867924528301886], [0.012578616352201259, 0.006289308176100629, 0.006289308176100629, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.018867924528301886, 0.018867924528301886], [0.006289308176100629, 0.018867924528301886, 0.006289308176100629, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.012578616352201259, 0.018867924528301886], [0.006289308176100629, 0.012578616352201259, 0.018867924528301886, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.012578616352201259, 0.012578616352201259, -1e-05, 0.006289308176100629, -2e-05, -2e-05, 0.018867924528301886, 0.012578616352201259, 0.012578616352201259], [-1e-05, 0.012578616352201259, 0.012578616352201259, 0.012578616352201259, 0.0880503144654088, 0.006289308176100629, 0.018867924528301886, 0.012578616352201259, 0.018867924528301886, 0.018867924528301886], [-1e-05, -1e-05, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.006289308176100629, 0.012578616352201259, 0.018867924528301886, 0.012578616352201259, 0.018867924528301886], [-2e-05, -2e-05, 0.018867924528301886, 0.012578616352201259, 0.018867924528301886, 0.012578616352201259, -1e-05, 0.012578616352201259, 0.012578616352201259, 0.018867924528301886], [0.006289308176100629, 0.006289308176100629, 0.012578616352201259, 0.018867924528301886, 0.012578616352201259, 0.018867924528301886, -1e-05, 0.05660377358490566, 0.012578616352201259, 0.012578616352201259], [0.006289308176100629, 0.006289308176100629, 0.012578616352201259, 0.006289308176100629, 0.018867924528301886, -2e-05, -2e-05, -2e-05, 0.018867924528301886, 0.006289308176100629]]"
10_easy_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,95,0,"[[0.010869565217391304, 0.010869565217391304, 0.010869565217391304, 0.010869565217391304, -1e-05, -2e-05, -2e-05, 0.0, 0.010869565217391304, 0.03260869565217391], [0.010869565217391304, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.021739130434782608, 0.021739130434782608], [0.0, 0.021739130434782608, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.010869565217391304, 0.03260869565217391], [0.0, 0.010869565217391304, 0.03260869565217391, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.010869565217391304, 0.010869565217391304, -1e-05, 0.0, -2e-05, -2e-05, 0.021739130434782608, 0.010869565217391304, -1e-05], [-1e-05, 0.010869565217391304, 0.010869565217391304, 0.010869565217391304, 0.15217391304347827, 0.0, 0.021739130434782608, 0.010869565217391304, 0.021739130434782608, 0.03260869565217391], [-1e-05, -1e-05, 0.021739130434782608, 0.021739130434782608, 0.021739130434782608, 0.010869565217391304, 0.010869565217391304, 0.021739130434782608, 0.010869565217391304, 0.021739130434782608], [-2e-05, -2e-05, 0.021739130434782608, 0.010869565217391304, 0.021739130434782608, 0.010869565217391304, -1e-05, 0.010869565217391304, 0.010869565217391304, 0.021739130434782608], [0.0, 0.0, 0.010869565217391304, 0.021739130434782608, 0.010869565217391304, 0.021739130434782608, -1e-05, 0.043478260869565216, 0.010869565217391304, 0.010869565217391304], [0.0, 0.0, 0.0, 0.0, 0.021739130434782608, -2e-05, -2e-05, -2e-05, 0.021739130434782608, 0.0]]"
10_hard_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,56,0,"[[0.009174311926605505, 0.009174311926605505, 0.009174311926605505, -2e-05, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.01834862385321101, 0.009174311926605505], [0.01834862385321101, 0.009174311926605505, 0.009174311926605505, -1e-05, 0.009174311926605505, -2e-05, 0.009174311926605505, 0.01834862385321101, 0.009174311926605505, 0.009174311926605505], [0.009174311926605505, -2e-05, -2e-05, 0.009174311926605505, 0.027522935779816515, -1e-05, -1e-05, 0.009174311926605505, -2e-05, 0.009174311926605505], [0.009174311926605505, 0.009174311926605505, -2e-05, -1e-05, -2e-05, 0.01834862385321101, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505], [0.01834862385321101, -1e-05, -1e-05, 0.09174311926605505, 0.009174311926605505, 0.06422018348623854, 0.03669724770642202, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505], [0.009174311926605505, -1e-05, -1e-05, 0.009174311926605505, -2e-05, 0.01834862385321101, 0.009174311926605505, 0.01834862385321101, 0.009174311926605505, 0.009174311926605505], [0.027522935779816515, 0.009174311926605505, -1e-05, 0.009174311926605505, -2e-05, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505], [0.009174311926605505, 0.009174311926605505, -1e-05, 0.01834862385321101, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505], [0.009174311926605505, 0.009174311926605505, -2e-05, 0.009174311926605505, 0.01834862385321101, -2e-05, -2e-05, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505], [0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, -1e-05, 0.01834862385321101, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505, 0.009174311926605505]]"
10_hard_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,56,0,"[[0.009009009009009009, 0.0, 0.018018018018018018, -2e-05, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009], [0.009009009009009009, 0.009009009009009009, 0.009009009009009009, -1e-05, 0.009009009009009009, -2e-05, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009], [0.009009009009009009, -2e-05, -2e-05, 0.018018018018018018, -1e-05, -1e-05, -1e-05, 0.018018018018018018, -2e-05, 0.009009009009009009], [0.009009009009009009, 0.009009009009009009, -2e-05, -1e-05, -2e-05, 0.05405405405405406, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009], [0.02702702702702703, -1e-05, -1e-05, 0.05405405405405406, 0.009009009009009009, 0.05405405405405406, 0.05405405405405406, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009], [0.009009009009009009, -1e-05, -1e-05, 0.009009009009009009, -2e-05, 0.009009009009009009, 0.009009009009009009, 0.05405405405405406, 0.009009009009009009, 0.009009009009009009], [-2e-05, 0.009009009009009009, -1e-05, 0.009009009009009009, -2e-05, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009], [0.009009009009009009, 0.009009009009009009, -1e-05, 0.02702702702702703, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009], [0.009009009009009009, 0.009009009009009009, -2e-05, 0.009009009009009009, 0.018018018018018018, -2e-05, -2e-05, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009], [0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, -1e-05, 0.02702702702702703, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009]]"
10_medium_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,54,0,"[[0.005714285714285714, 0.005714285714285714, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429, 0.005714285714285714, 0.011428571428571429, 0.011428571428571429, 0.005714285714285714, 0.005714285714285714], [0.005714285714285714, 0.005714285714285714, 0.017142857142857144, 0.017142857142857144, 0.005714285714285714, 0.011428571428571429, 0.005714285714285714, 0.011428571428571429, 0.005714285714285714, 0.005714285714285714], [0.011428571428571429, 0.011428571428571429, -1e-05, 0.02857142857142857, 0.011428571428571429, -2e-05, 0.0, 0.011428571428571429, 0.0, 0.005714285714285714], [0.017142857142857144, 0.017142857142857144, 0.017142857142857144, -1e-05, -1e-05, 0.017142857142857144, 0.017142857142857144, 0.017142857142857144, 0.011428571428571429, 0.005714285714285714], [0.011428571428571429, 0.011428571428571429, 0.022857142857142857, 0.02857142857142857, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011428571428571429], [0.017142857142857144, 0.017142857142857144, 0.011428571428571429, 0.005714285714285714, 0.017142857142857144, -1e-05, -2e-05, -2e-05, 0.011428571428571429, 0.005714285714285714], [0.011428571428571429, 0.017142857142857144, 0.017142857142857144, -1e-05, 0.017142857142857144, -2e-05, 0.011428571428571429, 0.011428571428571429, 0.005714285714285714, 0.005714285714285714], [0.017142857142857144, 0.017142857142857144, 0.017142857142857144, 0.03428571428571429, -1e-05, -1e-05, 0.017142857142857144, 0.017142857142857144, 0.017142857142857144, 0.011428571428571429], [0.005714285714285714, 0.011428571428571429, 0.011428571428571429, 0.017142857142857144, 0.011428571428571429, -1e-05, 0.017142857142857144, 0.011428571428571429, 0.011428571428571429, 0.011428571428571429], [0.011428571428571429, 0.011428571428571429, 0.005714285714285714, 0.017142857142857144, 0.011428571428571429, 0.005714285714285714, -2e-05, 0.017142857142857144, 0.005714285714285714, 0.011428571428571429]]"
10_medium_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,53,1,"[[0.0, 0.0, 0.017094017094017096, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.0, 0.0], [0.008547008547008548, 0.0, 0.05128205128205128, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.0, 0.008547008547008548, 0.0, 0.0], [0.008547008547008548, 0.008547008547008548, -1e-05, 0.02564102564102564, 0.008547008547008548, -2e-05, 0.0, 0.008547008547008548, 0.0, 0.0], [0.05128205128205128, 0.05128205128205128, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.008547008547008548, 0.0, 0.0], [0.008547008547008548, 0.008547008547008548, 0.05128205128205128, 0.02564102564102564, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.008547008547008548], [0.008547008547008548, 0.017094017094017096, 0.008547008547008548, 0.03418803418803419, 0.017094017094017096, -1e-05, -2e-05, -2e-05, 0.008547008547008548, 0.0], [0.008547008547008548, 0.02564102564102564, 0.05982905982905983, -1e-05, 0.008547008547008548, -2e-05, 0.008547008547008548, 0.008547008547008548, 0.0, 0.0], [0.02564102564102564, 0.03418803418803419, 0.03418803418803419, 0.042735042735042736, -1e-05, -1e-05, 0.03418803418803419, 0.03418803418803419, 0.02564102564102564, 0.008547008547008548], [0.0, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, -1e-05, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548, 0.008547008547008548], [0.008547008547008548, 0.008547008547008548, 0.0, 0.008547008547008548, 0.008547008547008548, 0.0, -2e-05, 0.008547008547008548, 0.0, 0.008547008547008548]]"
6_easy_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,24,1,"[[0.017241379310344827, -1e-05, 0.034482758620689655, -2e-05, 0.017241379310344827, 0.06896551724137931], [0.017241379310344827, -2e-05, -1e-05, -1e-05, 0.034482758620689655, 0.034482758620689655], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08620689655172414], [-2e-05, 0.1724137931034483, -1e-05, -1e-05, -2e-05, 0.034482758620689655], [-1e-05, 0.017241379310344827, -2e-05, -2e-05, 0.017241379310344827, 0.10344827586206896], [0.05172413793103448, 0.05172413793103448, 0.05172413793103448, 0.05172413793103448, 0.05172413793103448, 0.08620689655172414]]"
6_easy_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,46,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.07142857142857142], [0.0, -2e-05, -1e-05, -1e-05, 0.03571428571428571, 0.03571428571428571], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.10714285714285714], [-2e-05, 0.32142857142857145, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.14285714285714285], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.10714285714285714]]"
6_hard_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,34,0,"[[0.16326530612244897, -2e-05, 0.04081632653061224, 0.061224489795918366, -1e-05, 0.02040816326530612], [0.02040816326530612, -2e-05, -1e-05, -2e-05, 0.02040816326530612, 0.02040816326530612], [0.02040816326530612, -1e-05, 0.12244897959183673, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612], [0.02040816326530612, -1e-05, 0.04081632653061224, -2e-05, 0.02040816326530612, 0.02040816326530612], [0.02040816326530612, -1e-05, 0.10204081632653061, 0.02040816326530612, 0.04081632653061224, 0.02040816326530612], [0.02040816326530612, -2e-05, 0.061224489795918366, 0.04081632653061224, -2e-05, 0.02040816326530612]]"
6_hard_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,15,0,"[[0.09090909090909091, -2e-05, 0.05454545454545454, -1e-05, -1e-05, 0.03636363636363636], [0.01818181818181818, -2e-05, -1e-05, -2e-05, 0.01818181818181818, 0.01818181818181818], [0.03636363636363636, -1e-05, 0.07272727272727272, 0.03636363636363636, 0.01818181818181818, 0.01818181818181818], [-2e-05, -1e-05, 0.07272727272727272, -2e-05, 0.03636363636363636, 0.01818181818181818], [0.03636363636363636, -1e-05, 0.10909090909090909, 0.03636363636363636, 0.07272727272727272, 0.03636363636363636], [0.01818181818181818, -2e-05, 0.05454545454545454, 0.07272727272727272, -2e-05, 0.01818181818181818]]"
