iteration,board,shutter_size,k,noise_sig,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,10_medium_full,0.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,616.0,74,0,0.25,0.0,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03508771929824561, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.0, 0.0, 0.017543859649122806, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.03508771929824561, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.017543859649122806, 0.0, 0.0, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.03508771929824561, 0.017543859649122806, 0.0, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.017543859649122806], [0.017543859649122806, 0.05263157894736842, 0.12280701754385964, 0.03508771929824561, 0.017543859649122806, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.017543859649122806, 0.0, 0.03508771929824561, -1e-05, 0.07017543859649122, -2e-05, 0.0, 0.0, 0.0, 0.017543859649122806], [0.03508771929824561, 0.017543859649122806, 0.07017543859649122, 0.017543859649122806, -1e-05, -1e-05, 0.017543859649122806, 0.017543859649122806, 0.0, 0.0], [0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.017543859649122806, 0.0, -1e-05, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.0], [0.017543859649122806, 0.017543859649122806, 0.0, 0.017543859649122806, 0.03508771929824561, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_pruned,0.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,637.0,53,1,0.0,0.0,"[[0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0], [0.0, 0.0, 0.043478260869565216, 0.0, 0.0, 0.021739130434782608, 0.0, 0.021739130434782608, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.043478260869565216, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.021739130434782608, 0.06521739130434782, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08695652173913043, 0.06521739130434782, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.06521739130434782, 0.021739130434782608, 0.043478260869565216, 0.021739130434782608, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.021739130434782608, 0.06521739130434782, 0.06521739130434782, -1e-05, 0.021739130434782608, -2e-05, 0.0, 0.0, 0.021739130434782608, 0.0], [0.043478260869565216, 0.0, 0.06521739130434782, 0.06521739130434782, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.06521739130434782, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_full,0.5,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,1286.0,44,0,0.375,0.3333333333333333,"[[0.028169014084507043, 0.0, 0.0, 0.014084507042253521, 0.014084507042253521, 0.028169014084507043, 0.0, 0.0, 0.0, 0.0], [0.014084507042253521, 0.0, 0.014084507042253521, 0.04225352112676056, 0.014084507042253521, 0.014084507042253521, 0.0, 0.0, 0.0, 0.0], [0.014084507042253521, 0.0, -1e-05, 0.056338028169014086, 0.04225352112676056, -2e-05, 0.0, 0.014084507042253521, 0.0, 0.0], [0.04225352112676056, 0.04225352112676056, 0.014084507042253521, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.04225352112676056, 0.056338028169014086, 0.014084507042253521, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.014084507042253521, 0.0, 0.056338028169014086, 0.014084507042253521, 0.04225352112676056, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.014084507042253521, 0.014084507042253521, 0.0, -1e-05, 0.028169014084507043, -2e-05, 0.014084507042253521, 0.0, 0.014084507042253521, 0.0], [0.028169014084507043, 0.0, 0.014084507042253521, 0.08450704225352113, -1e-05, -1e-05, 0.028169014084507043, 0.014084507042253521, 0.0, 0.0], [0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.014084507042253521, 0.014084507042253521, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_pruned,0.5,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,1345.0,74,0,0.5,0.4,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017241379310344827, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.034482758620689655, 0.06896551724137931, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.017241379310344827, 0.034482758620689655, 0.05172413793103448, 0.06896551724137931, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0, 0.08620689655172414, 0.08620689655172414, 0.034482758620689655, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.06896551724137931, -1e-05, 0.0, -2e-05, 0.0, 0.017241379310344827, 0.017241379310344827, 0.017241379310344827], [0.0, 0.034482758620689655, 0.1206896551724138, 0.017241379310344827, -1e-05, -1e-05, 0.05172413793103448, 0.017241379310344827, 0.017241379310344827, 0.0], [0.0, 0.0, 0.0, 0.017241379310344827, 0.034482758620689655, -1e-05, 0.017241379310344827, 0.0, 0.017241379310344827, 0.017241379310344827], [0.0, 0.0, 0.0, 0.017241379310344827, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_full,1.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,1588.0,36,0,0.5555555555555556,0.0,"[[0.016129032258064516, 0.0, 0.0, 0.03225806451612903, 0.016129032258064516, 0.0, 0.016129032258064516, 0.0, 0.0, 0.016129032258064516], [0.016129032258064516, 0.0, 0.016129032258064516, 0.016129032258064516, 0.016129032258064516, 0.016129032258064516, 0.016129032258064516, 0.0, 0.0, 0.016129032258064516], [0.0, 0.016129032258064516, -1e-05, 0.0, 0.03225806451612903, -2e-05, 0.0, 0.0, 0.0, 0.016129032258064516], [0.0, 0.016129032258064516, 0.03225806451612903, -1e-05, -1e-05, 0.016129032258064516, 0.0, 0.03225806451612903, 0.0, 0.0], [0.016129032258064516, 0.0967741935483871, 0.03225806451612903, 0.016129032258064516, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.016129032258064516, 0.016129032258064516, 0.06451612903225806, 0.03225806451612903, 0.016129032258064516, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.03225806451612903, 0.016129032258064516, 0.0, -1e-05, 0.016129032258064516, -2e-05, 0.016129032258064516, 0.0, 0.03225806451612903, 0.0], [0.0, 0.0, 0.04838709677419355, 0.04838709677419355, -1e-05, -1e-05, 0.016129032258064516, 0.03225806451612903, 0.016129032258064516, 0.0], [0.0, 0.0, 0.0, 0.0, 0.016129032258064516, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.016129032258064516, 0.0, 0.0, 0.016129032258064516, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_pruned,1.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,1763.0,14,0,1.0,1.0,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.045454545454545456, 0.022727272727272728, 0.0, 0.0, 0.0, 0.022727272727272728, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.0, 0.0, -2e-05, 0.045454545454545456, 0.0, 0.022727272727272728, 0.0], [0.13636363636363635, 0.13636363636363635, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.09090909090909091, 0.045454545454545456, 0.045454545454545456, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.022727272727272728, 0.18181818181818182, 0.022727272727272728, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.0, -1e-05, 0.045454545454545456, -2e-05, 0.0, 0.0, 0.022727272727272728, 0.0], [0.0, 0.0, 0.0, 0.022727272727272728, -1e-05, -1e-05, 0.022727272727272728, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.022727272727272728, 0.0, 0.0], [0.0, 0.0, 0.0, 0.022727272727272728, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_full,2.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,2480.0,32,0,0.5,0.8333333333333334,"[[0.0, 0.0, 0.025, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0125, 0.025, 0.0, 0.0125, 0.0125, 0.0, 0.0, 0.0], [0.0125, 0.0125, -1e-05, 0.0375, 0.025, -2e-05, 0.0, 0.0125, 0.0, 0.0], [0.0875, 0.0125, 0.025, -1e-05, -1e-05, 0.0875, 0.025, 0.0, 0.0, 0.0], [0.0, 0.0375, 0.0625, 0.05, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.0125, 0.0875, 0.0625, 0.0125, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.0, 0.0, 0.025, -1e-05, 0.0125, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0125, 0.025, 0.05, -1e-05, -1e-05, 0.0375, 0.0125, 0.0, 0.0], [0.0, 0.0, 0.0125, 0.0125, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0125], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0125, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_pruned,2.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,40,1820.0,43,0,0.6666666666666666,1.0,"[[0.0, 0.058823529411764705, 0.029411764705882353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.058823529411764705, 0.029411764705882353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.029411764705882353, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.058823529411764705, 0.029411764705882353, -1e-05, -1e-05, -1e-05, -2e-05, 0.029411764705882353, 0.0, 0.0, 0.029411764705882353], [0.0, 0.058823529411764705, 0.029411764705882353, 0.058823529411764705, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.029411764705882353, 0.08823529411764706, 0.029411764705882353, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0], [0.029411764705882353, 0.029411764705882353, 0.029411764705882353, -1e-05, 0.029411764705882353, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.029411764705882353, 0.029411764705882353, 0.058823529411764705, 0.029411764705882353, -1e-05, -1e-05, 0.029411764705882353, 0.0, 0.0, 0.0], [0.0, 0.029411764705882353, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.029411764705882353, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
0,10_medium_full,0.0,10,0.1,50,50000,shutter,blocking,False,True,2,square,2,True,50,574.0,79,0,0.5384615384615384,0.0,"[[0.0, 0.0, 0.0, 0.03508771929824561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.017543859649122806, 0.03508771929824561, -1e-05, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.03508771929824561, 0.03508771929824561, 0.03508771929824561, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.017543859649122806, 0.0], [0.0, 0.08771929824561403, 0.03508771929824561, 0.017543859649122806, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.017543859649122806, 0.017543859649122806, 0.07017543859649122, 0.017543859649122806, 0.017543859649122806, -1e-05, -2e-05, -2e-05, 0.03508771929824561, 0.017543859649122806], [0.0, 0.0, 0.03508771929824561, -1e-05, 0.0, -2e-05, 0.0, 0.0, 0.03508771929824561, 0.0], [0.0, 0.0, 0.03508771929824561, 0.017543859649122806, -1e-05, -1e-05, 0.017543859649122806, 0.0, 0.017543859649122806, 0.017543859649122806], [0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, -1e-05, 0.017543859649122806, 0.0, 0.03508771929824561, 0.0], [0.0, 0.017543859649122806, 0.0, 0.017543859649122806, 0.03508771929824561, 0.017543859649122806, -2e-05, 0.0, 0.05263157894736842, 0.0]]"
0,10_medium_pruned,0.0,10,0.1,50,50000,shutter,blocking,False,True,2,square,2,True,50,635.0,53,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04878048780487805, 0.0, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1e-05, 0.04878048780487805, 0.024390243902439025, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.024390243902439025, 0.024390243902439025, -1e-05, -1e-05, -1e-05, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.024390243902439025, 0.04878048780487805, 0.0975609756097561, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0], [0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.07317073170731707, -1e-05, -2e-05, -2e-05, 0.0, 0.024390243902439025], [0.024390243902439025, 0.07317073170731707, 0.04878048780487805, -1e-05, 0.04878048780487805, -2e-05, 0.0, 0.0, 0.0, 0.0], [0.04878048780487805, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, -1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04878048780487805, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2e-05, 0.0, 0.0, 0.0]]"
