iteration,board,shutter_size,k,noise_sig,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
0,6_easy_full,0.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,60.0,24,1,0.2631578947368421,0.0,"[[0.0196078431372549, -1e-05, 0.0196078431372549, -2e-05, 0.0, 0.0196078431372549], [0.0196078431372549, -2e-05, -1e-05, -1e-05, 0.17647058823529413, 0.17647058823529413], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.058823529411764705], [-2e-05, 0.0392156862745098, -1e-05, -1e-05, -2e-05, 0.0196078431372549], [-1e-05, 0.058823529411764705, -2e-05, -2e-05, 0.058823529411764705, 0.058823529411764705], [0.0392156862745098, 0.058823529411764705, 0.0392156862745098, 0.0392156862745098, 0.0392156862745098, 0.058823529411764705]]"
0,6_easy_pruned,0.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,107.0,12,1,0.2222222222222222,0.0,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0625, 0.1875], [0.041666666666666664, -2e-05, -1e-05, -1e-05, 0.020833333333333332, 0.020833333333333332], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16666666666666666], [-2e-05, 0.041666666666666664, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.041666666666666664, -2e-05, -2e-05, 0.020833333333333332, 0.16666666666666666], [0.0, 0.0625, 0.020833333333333332, 0.0625, 0.041666666666666664, 0.041666666666666664]]"
0,6_hard_full,0.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,253.0,28,0,0.0,0.2857142857142857,"[[0.044444444444444446, -2e-05, 0.022222222222222223, 0.03333333333333333, -1e-05, 0.05555555555555555], [0.0, -2e-05, -1e-05, -2e-05, 0.022222222222222223, 0.03333333333333333], [0.05555555555555555, -1e-05, 0.022222222222222223, 0.05555555555555555, 0.044444444444444446, 0.044444444444444446], [0.0, -1e-05, 0.08888888888888889, -2e-05, 0.07777777777777778, 0.044444444444444446], [0.07777777777777778, -1e-05, 0.022222222222222223, 0.011111111111111112, 0.08888888888888889, 0.05555555555555555], [0.0, -2e-05, 0.05555555555555555, 0.022222222222222223, -2e-05, 0.022222222222222223]]"
0,6_hard_pruned,0.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,163.0,15,0,0.6153846153846154,0.0,"[[0.028985507246376812, -2e-05, 0.10144927536231885, -1e-05, -1e-05, 0.08695652173913043], [0.014492753623188406, -2e-05, -1e-05, -2e-05, 0.028985507246376812, 0.043478260869565216], [0.028985507246376812, -1e-05, 0.014492753623188406, 0.08695652173913043, 0.0, 0.043478260869565216], [-2e-05, -1e-05, 0.014492753623188406, -2e-05, 0.043478260869565216, 0.028985507246376812], [0.07246376811594203, -1e-05, 0.028985507246376812, 0.057971014492753624, 0.08695652173913043, 0.043478260869565216], [0.028985507246376812, -2e-05, 0.0, 0.08695652173913043, -2e-05, 0.028985507246376812]]"
0,6_easy_full,0.5,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,233.0,12,1,0.0,0.0,"[[0.03225806451612903, -1e-05, 0.03225806451612903, -2e-05, 0.04838709677419355, 0.06451612903225806], [0.016129032258064516, -2e-05, -1e-05, -1e-05, 0.12903225806451613, 0.14516129032258066], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.04838709677419355], [-2e-05, 0.03225806451612903, -1e-05, -1e-05, -2e-05, 0.04838709677419355], [-1e-05, 0.03225806451612903, -2e-05, -2e-05, 0.03225806451612903, 0.06451612903225806], [0.0, 0.06451612903225806, 0.06451612903225806, 0.06451612903225806, 0.06451612903225806, 0.016129032258064516]]"
0,6_easy_pruned,0.5,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,188.0,12,1,0.3888888888888889,0.0,"[[0.020833333333333332, -1e-05, -2e-05, -2e-05, 0.041666666666666664, 0.16666666666666666], [0.0, -2e-05, -1e-05, -1e-05, 0.020833333333333332, 0.020833333333333332], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16666666666666666], [-2e-05, 0.020833333333333332, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.041666666666666664, -2e-05, -2e-05, 0.041666666666666664, 0.1875], [0.020833333333333332, 0.0625, 0.0625, 0.0, 0.0625, 0.0625]]"
0,6_hard_full,0.5,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,465.0,16,0,0.37142857142857144,0.0,"[[0.015873015873015872, -2e-05, 0.07936507936507936, 0.06349206349206349, -1e-05, 0.06349206349206349], [0.031746031746031744, -2e-05, -1e-05, -2e-05, 0.0, 0.047619047619047616], [0.07936507936507936, -1e-05, 0.031746031746031744, 0.031746031746031744, 0.031746031746031744, 0.031746031746031744], [0.047619047619047616, -1e-05, 0.031746031746031744, -2e-05, 0.015873015873015872, 0.047619047619047616], [0.06349206349206349, -1e-05, 0.015873015873015872, 0.06349206349206349, 0.031746031746031744, 0.015873015873015872], [0.031746031746031744, -2e-05, 0.047619047619047616, 0.031746031746031744, -2e-05, 0.047619047619047616]]"
0,6_hard_pruned,0.5,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,315.0,16,0,0.45714285714285713,0.3333333333333333,"[[0.05405405405405406, -2e-05, 0.04054054054054054, -1e-05, -1e-05, 0.08108108108108109], [0.08108108108108109, -2e-05, -1e-05, -2e-05, 0.05405405405405406, 0.05405405405405406], [0.04054054054054054, -1e-05, 0.013513513513513514, 0.013513513513513514, 0.05405405405405406, 0.05405405405405406], [-2e-05, -1e-05, 0.06756756756756757, -2e-05, 0.04054054054054054, 0.04054054054054054], [0.02702702702702703, -1e-05, 0.013513513513513514, 0.04054054054054054, 0.06756756756756757, 0.0], [0.02702702702702703, -2e-05, 0.04054054054054054, 0.06756756756756757, -2e-05, 0.02702702702702703]]"
0,6_easy_full,1.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,146.0,24,1,0.4482758620689655,0.0,"[[0.05084745762711865, -1e-05, 0.01694915254237288, -2e-05, 0.03389830508474576, 0.03389830508474576], [0.01694915254237288, -2e-05, -1e-05, -1e-05, 0.15254237288135594, 0.15254237288135594], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.03389830508474576], [-2e-05, 0.05084745762711865, -1e-05, -1e-05, -2e-05, 0.01694915254237288], [-1e-05, 0.06779661016949153, -2e-05, -2e-05, 0.06779661016949153, 0.03389830508474576], [0.03389830508474576, 0.03389830508474576, 0.06779661016949153, 0.03389830508474576, 0.05084745762711865, 0.05084745762711865]]"
0,6_easy_pruned,1.0,10,0.05,50,50000,shutter,blocking,False,True,2,square,2,True,50,195.0,12,1,0.3684210526315789,0.0,"[[0.038461538461538464, -1e-05, -2e-05, -2e-05, 0.057692307692307696, 0.1346153846153846], [0.057692307692307696, -2e-05, -1e-05, -1e-05, 0.038461538461538464, 0.019230769230769232], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1346153846153846], [-2e-05, 0.057692307692307696, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.038461538461538464, -2e-05, -2e-05, 0.057692307692307696, 0.11538461538461539], [0.019230769230769232, 0.019230769230769232, 0.057692307692307696, 0.019230769230769232, 0.07692307692307693, 0.057692307692307696]]"
