,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.46,0.00315298272165,3,30,0.0,0.0
1,10_easy_pruned,0.45,0.00406008932197,3,30,0.0,0.0
2,10_hard_full,0.25,0.00280465572851,3,30,0.0,0.0
3,10_hard_pruned,0.21,0.00304822288606,3,30,0.0,0.0
4,10_medium_full,0.1,0.00270219147729,3,30,0.0,0.0
5,10_medium_pruned,0.42,0.00342477482106,3,30,0.0,0.0
6,6_easy_full,0.83,0.0129449838188,3,30,0.0,0.0
7,6_easy_pruned,0.93,0.0185013876041,3,30,0.0,0.0
8,6_hard_full,0.47,0.00643956468543,3,30,0.0,0.0
9,6_hard_pruned,0.36,0.00697107005925,3,30,0.0,0.0
10,10_easy_full,0.47,0.00320533367524,5,30,0.0,0.0
11,10_easy_pruned,0.55,0.0034219621531,5,30,0.0,0.0
12,10_hard_full,0.34,0.00273777583091,5,30,0.0,0.0
13,10_hard_pruned,0.15,0.00273358482314,5,30,0.0,0.0
14,10_hard_pruned,0.31,0.00133680903683,5,30,0.0,0.5
15,10_medium_full,0.1,0.00263469898564,5,30,0.0,0.0
16,10_medium_pruned,0.42,0.00276586917439,5,30,0.0,0.0
17,6_easy_full,0.97,0.0147994672192,5,30,0.0,0.0
18,6_easy_pruned,0.97,0.0162100826714,5,30,0.0,0.0
19,6_hard_full,0.39,0.00636942675159,5,30,0.0,0.0
20,6_hard_pruned,0.29,0.00684369011771,5,30,0.0,0.0
21,10_easy_full,0.61,0.00319366377108,10,30,0.0,0.0
22,10_easy_pruned,0.7,0.00314169022934,10,30,0.0,0.0
23,10_hard_full,0.21,0.00279236010276,10,30,0.0,0.0
24,10_hard_pruned,0.15,0.00278140906183,10,30,0.0,0.0
25,10_medium_full,0.06,0.00263497668046,10,30,0.0,0.0
26,10_medium_pruned,0.46,0.00257161960603,10,30,0.0,0.0
27,6_easy_full,0.96,0.0152462265589,10,30,0.0,0.0
28,6_easy_pruned,0.95,0.0148389968838,10,30,0.0,0.0
29,6_hard_full,0.19,0.00657418973112,10,30,0.0,0.0
30,6_hard_pruned,0.24,0.00735672772751,10,30,0.0,0.0
31,10_easy_full,0.39,0.00311109728401,3,30,0.25,0.0
32,10_easy_full,0.5,0.00143297270187,3,30,0.25,0.5
33,10_easy_pruned,0.46,0.0039827943285,3,30,0.25,0.0
34,10_hard_full,0.32,0.00281286039774,3,30,0.25,0.0
35,10_hard_pruned,0.26,0.00289059112589,3,30,0.25,0.0
36,10_medium_full,0.09,0.00261144334474,3,30,0.25,0.0
37,10_medium_pruned,0.3,0.00328979833536,3,30,0.25,0.0
38,6_easy_full,0.9,0.0139821029083,3,30,0.25,0.0
39,6_easy_pruned,0.89,0.0184672206833,3,30,0.25,0.0
40,6_hard_full,0.4,0.00645036444559,3,30,0.25,0.0
41,6_hard_pruned,0.39,0.00696767001115,3,30,0.25,0.0
42,10_easy_full,0.61,0.00316195535319,5,30,0.25,0.0
43,10_easy_pruned,0.5,0.00327944118322,5,30,0.25,0.0
44,10_hard_full,0.28,0.00279025642457,5,30,0.25,0.0
45,10_hard_pruned,0.16,0.00275088028169,5,30,0.25,0.0
46,10_medium_full,0.12,0.00252882864657,5,30,0.25,0.0
47,10_medium_pruned,0.33,0.0027992386071,5,30,0.25,0.0
48,10_medium_pruned,0.45,0.00108227450811,5,30,0.25,1.0
49,6_easy_full,0.89,0.0142959256612,5,30,0.25,0.0
50,6_easy_full,0.97,0.00929281665273,5,30,0.25,0.5
51,6_easy_pruned,0.96,0.0160745860794,5,30,0.25,0.0
52,6_hard_full,0.25,0.0063552589768,5,30,0.25,0.0
53,6_hard_pruned,0.29,0.00682733665597,5,30,0.25,0.0
54,10_easy_full,0.44,0.00310732707725,10,30,0.25,0.0
55,10_easy_pruned,0.64,0.00308737264588,10,30,0.25,0.0
56,10_hard_full,0.19,0.00287786347416,10,30,0.25,0.0
57,10_hard_full,0.28,0.000796368559369,10,30,0.25,2.0
58,10_hard_pruned,0.09,0.0027828022819,10,30,0.25,0.0
59,10_medium_full,0.08,0.00258812567938,10,30,0.25,0.0
60,10_medium_pruned,0.51,0.00258157786039,10,30,0.25,0.0
61,6_easy_full,0.92,0.0145518044237,10,30,0.25,0.0
62,6_easy_pruned,0.89,0.0144050705848,10,30,0.25,0.0
63,6_hard_full,0.2,0.00656469506991,10,30,0.25,0.0
64,6_hard_pruned,0.22,0.00721344586309,10,30,0.25,0.0
65,10_easy_full,0.54,0.00310925937442,3,30,0.5,0.0
66,10_easy_pruned,0.43,0.00403958796203,3,30,0.5,0.0
67,10_hard_full,0.21,0.00286935812459,3,30,0.5,0.0
68,10_hard_full,0.31,0.00139840581737,3,30,0.5,0.5
69,10_hard_pruned,0.26,0.00288517022504,3,30,0.5,0.0
70,10_medium_full,0.1,0.00261965263406,3,30,0.5,0.0
71,10_medium_pruned,0.38,0.00340506673931,3,30,0.5,0.0
72,6_easy_full,0.82,0.0137513751375,3,30,0.5,0.0
73,6_easy_pruned,0.86,0.0184808722972,3,30,0.5,0.0
74,6_hard_full,0.33,0.00635930047695,3,30,0.5,0.0
75,6_hard_pruned,0.34,0.00702543206407,3,30,0.5,0.0
76,10_easy_full,0.43,0.00311973544643,5,30,0.5,0.0
77,10_easy_pruned,0.55,0.00320523093689,5,30,0.5,0.0
78,10_hard_full,0.34,0.00282477896105,5,30,0.5,0.0
79,10_hard_pruned,0.18,0.00278536014707,5,30,0.5,0.0
80,10_medium_full,0.08,0.00256594478087,5,30,0.5,0.0
81,10_medium_pruned,0.29,0.002655196219,5,30,0.5,0.0
82,6_easy_full,0.89,0.0145222189951,5,30,0.5,0.0
83,6_easy_full,0.96,0.00921234454169,5,30,0.5,0.5
84,6_easy_pruned,0.88,0.0142065634323,5,30,0.5,0.0
85,6_hard_full,0.26,0.00630080020163,5,30,0.5,0.0
86,6_hard_pruned,0.22,0.00700574471066,5,30,0.5,0.0
87,10_easy_full,0.47,0.00308242401825,10,30,0.5,0.0
88,10_easy_pruned,0.62,0.0030487804878,10,30,0.5,0.0
89,10_hard_full,0.18,0.00286680809587,10,30,0.5,0.0
90,10_hard_pruned,0.11,0.00281428531224,10,30,0.5,0.0
91,10_medium_full,0.1,0.00260314981127,10,30,0.5,0.0
92,10_medium_pruned,0.41,0.00260017161133,10,30,0.5,0.0
93,6_easy_full,0.88,0.0149276011345,10,30,0.5,0.0
94,6_easy_full,0.94,0.00850701829009,10,30,0.5,1.0
95,6_easy_pruned,0.94,0.0146134736227,10,30,0.5,0.0
96,6_hard_full,0.14,0.00666266906523,10,30,0.5,0.0
97,6_hard_full,0.22,0.00394104201151,10,30,0.5,0.5
98,6_hard_pruned,0.15,0.00737136960047,10,30,0.5,0.0
99,6_hard_pruned,0.28,0.00398247710076,10,30,0.5,0.5
100,10_easy_full,0.47,0.00303969846191,3,30,0.75,0.0
101,10_easy_pruned,0.41,0.00389741990802,3,30,0.75,0.0
102,10_hard_full,0.32,0.00284066698861,3,30,0.75,0.0
103,10_hard_pruned,0.19,0.00286352442586,3,30,0.75,0.0
104,10_medium_full,0.11,0.0025530393934,3,30,0.75,0.0
105,10_medium_pruned,0.32,0.0035445909542,3,30,0.75,0.0
106,6_easy_full,0.86,0.0135317997294,3,30,0.75,0.0
107,6_easy_pruned,0.89,0.0181323662738,3,30,0.75,0.0
108,6_hard_full,0.34,0.00655737704918,3,30,0.75,0.0
109,6_hard_pruned,0.29,0.00706913615156,3,30,0.75,0.0
110,10_easy_full,0.44,0.00303324435817,5,30,0.75,0.0
111,10_easy_full,0.55,0.00119380178115,5,30,0.75,1.0
112,10_easy_pruned,0.53,0.00330152860775,5,30,0.75,0.0
113,10_hard_full,0.29,0.00283543155268,5,30,0.75,0.0
114,10_hard_pruned,0.16,0.00288126314576,5,30,0.75,0.0
115,10_medium_full,0.07,0.00258337854246,5,30,0.75,0.0
116,10_medium_pruned,0.3,0.0027975940691,5,30,0.75,0.0
117,6_easy_full,0.94,0.0147710487445,5,30,0.75,0.0
118,6_easy_pruned,0.93,0.015931177314,5,30,0.75,0.0
119,6_hard_full,0.26,0.00638488060273,5,30,0.75,0.0
120,6_hard_pruned,0.33,0.00680549884307,5,30,0.75,0.0
121,10_easy_full,0.39,0.00306316240887,10,30,0.75,0.0
122,10_easy_full,0.52,0.00142747023725,10,30,0.75,0.5
123,10_easy_pruned,0.59,0.00301559060342,10,30,0.75,0.0
124,10_hard_full,0.26,0.00288076513122,10,30,0.75,0.0
125,10_hard_pruned,0.12,0.00280804223296,10,30,0.75,0.0
126,10_medium_full,0.06,0.00261437908497,10,30,0.75,0.0
127,10_medium_pruned,0.46,0.00263907948907,10,30,0.75,0.0
128,6_easy_full,0.87,0.0145348837209,10,30,0.75,0.0
129,6_easy_pruned,0.91,0.0146241591109,10,30,0.75,0.0
130,6_hard_full,0.18,0.00666266906523,10,30,0.75,0.0
131,6_hard_pruned,0.22,0.00728226041363,10,30,0.75,0.0
132,10_easy_full,0.4,0.00309520861706,3,30,1.0,0.0
133,10_easy_pruned,0.49,0.00391604010025,3,30,1.0,0.0
134,10_hard_full,0.28,0.00282773441918,3,30,1.0,0.0
135,10_hard_pruned,0.24,0.0028270948773,3,30,1.0,0.0
136,10_medium_full,0.09,0.00263581011624,3,30,1.0,0.0
137,10_medium_pruned,0.28,0.00339201519623,3,30,1.0,0.0
138,10_medium_pruned,0.46,0.00143180321297,3,30,1.0,1.0
139,6_easy_full,0.76,0.0141522785168,3,30,1.0,0.0
140,6_easy_full,0.84,0.00839419121968,3,30,1.0,0.5
141,6_easy_pruned,0.8,0.0188608072425,3,30,1.0,0.0
142,6_easy_pruned,0.88,0.0123839009288,3,30,1.0,0.5
143,6_hard_full,0.35,0.0067163677883,3,30,1.0,0.0
144,6_hard_pruned,0.38,0.0071007597813,3,30,1.0,0.0
145,10_easy_full,0.37,0.00301032541618,5,30,1.0,0.0
146,10_easy_full,0.48,0.0014145071857,5,30,1.0,0.5
147,10_easy_pruned,0.49,0.00323572237502,5,30,1.0,0.0
148,10_hard_full,0.3,0.0028802672888,5,30,1.0,0.0
149,10_hard_pruned,0.17,0.00281753634622,5,30,1.0,0.0
150,10_medium_full,0.08,0.00259625619856,5,30,1.0,0.0
151,10_medium_pruned,0.29,0.00275254610515,5,30,1.0,0.0
152,10_medium_pruned,0.47,0.0012604936093,5,30,1.0,0.5
153,6_easy_full,0.88,0.0135391280802,5,30,1.0,0.0
154,6_easy_pruned,0.9,0.014064697609,5,30,1.0,0.0
155,6_hard_full,0.27,0.00634276290752,5,30,1.0,0.0
156,6_hard_pruned,0.3,0.00681291729118,5,30,1.0,0.0
157,10_easy_full,0.44,0.00307210223956,10,30,1.0,0.0
158,10_easy_pruned,0.59,0.00308223400321,10,30,1.0,0.0
159,10_hard_full,0.19,0.002865001146,10,30,1.0,0.0
160,10_hard_pruned,0.17,0.0027895559027,10,30,1.0,0.0
161,10_medium_full,0.07,0.00263803519139,10,30,1.0,0.0
162,10_medium_pruned,0.39,0.00261294452719,10,30,1.0,0.0
163,6_easy_full,0.84,0.0144927536232,10,30,1.0,0.0
164,6_easy_pruned,0.88,0.0144571345959,10,30,1.0,0.0
165,6_hard_full,0.23,0.00666977923031,10,30,1.0,0.0
166,6_hard_pruned,0.18,0.00725426187885,10,30,1.0,0.0
167,6_hard_pruned,0.27,0.0039736151951,10,30,1.0,0.5
168,10_easy_full,0.37,0.00300652415742,3,30,1.25,0.0
169,10_easy_pruned,0.42,0.00407564395174,3,30,1.25,0.0
170,10_easy_pruned,0.57,0.00158553987633,3,30,1.25,1.0
171,10_hard_full,0.27,0.0028818443804,3,30,1.25,0.0
172,10_hard_pruned,0.17,0.00285371839507,3,30,1.25,0.0
173,10_medium_full,0.07,0.00262791369931,3,30,1.25,0.0
174,10_medium_pruned,0.34,0.00333555703803,3,30,1.25,0.0
175,6_easy_full,0.77,0.0134390538906,3,30,1.25,0.0
176,6_easy_pruned,0.81,0.0184195984528,3,30,1.25,0.0
177,6_easy_pruned,0.89,0.0109277674571,3,30,1.25,1.0
178,6_hard_full,0.28,0.00662427133015,3,30,1.25,0.0
179,6_hard_pruned,0.39,0.00711541198235,3,30,1.25,0.0
180,10_easy_full,0.42,0.00304757260842,5,30,1.25,0.0
181,10_easy_pruned,0.49,0.00331323305281,5,30,1.25,0.0
182,10_hard_full,0.23,0.00279688985848,5,30,1.25,0.0
183,10_hard_pruned,0.17,0.00283543155268,5,30,1.25,0.0
184,10_medium_full,0.07,0.00260220146244,5,30,1.25,0.0
185,10_medium_pruned,0.35,0.00288741951318,5,30,1.25,0.0
186,6_easy_full,0.83,0.0141542816702,5,30,1.25,0.0
187,6_easy_pruned,0.91,0.0160462130937,5,30,1.25,0.0
188,6_hard_full,0.22,0.00628654051675,5,30,1.25,0.0
189,6_hard_pruned,0.21,0.00687426960885,5,30,1.25,0.0
190,10_easy_full,0.54,0.00305390135899,10,30,1.25,0.0
191,10_easy_pruned,0.55,0.00303942129419,10,30,1.25,0.0
192,10_hard_full,0.2,0.00285975749256,10,30,1.25,0.0
193,10_hard_pruned,0.1,0.00283784550769,10,30,1.25,0.0
194,10_medium_full,0.06,0.00260281103592,10,30,1.25,0.0
195,10_medium_pruned,0.37,0.00262964131692,10,30,1.25,0.0
196,6_easy_full,0.85,0.0146993973247,10,30,1.25,0.0
