,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.1,0.00301005357895,3,30,0.0,0.0
1,10_easy_pruned,0.07,0.00326573266712,3,30,0.0,0.0
2,10_hard_full,0.05,0.00281833042106,3,30,0.0,0.0
3,10_hard_pruned,0.03,0.00284454558384,3,30,0.0,0.0
4,10_medium_full,0.07,0.00284705614395,3,30,0.0,0.0
5,10_medium_pruned,0.13,0.00333089068017,3,30,0.0,0.0
6,6_easy_full,0.53,0.013777900248,3,30,0.0,0.0
7,6_easy_pruned,0.41,0.0172503018803,3,30,0.0,0.0
8,6_hard_full,0.11,0.0065121125293,3,30,0.0,0.0
9,6_hard_pruned,0.13,0.00727802037846,3,30,0.0,0.0
10,10_easy_full,0.09,0.00297424305514,5,30,0.0,0.0
11,10_easy_pruned,0.08,0.00297840655249,5,30,0.0,0.0
12,10_easy_pruned,0.16,0.00143680225291,5,30,0.0,0.5
13,10_hard_full,0.04,0.00287579443821,5,30,0.0,0.0
14,10_hard_pruned,0.06,0.00274318318977,5,30,0.0,0.0
15,10_medium_full,0.08,0.0027766979508,5,30,0.0,0.0
16,10_medium_pruned,0.12,0.00282485875706,5,30,0.0,0.0
17,6_easy_full,0.67,0.0150897842161,5,30,0.0,0.0
18,6_easy_pruned,0.53,0.015664160401,5,30,0.0,0.0
19,6_hard_full,0.12,0.00640861317611,5,30,0.0,0.0
20,6_hard_pruned,0.06,0.00702641933671,5,30,0.0,0.0
21,10_easy_full,0.1,0.00293780663357,10,30,0.0,0.0
22,10_easy_pruned,0.14,0.00294100347038,10,30,0.0,0.0
23,10_hard_full,0.06,0.00280041446134,10,30,0.0,0.0
24,10_hard_pruned,0.03,0.00283639664171,10,30,0.0,0.0
25,10_medium_full,0.04,0.00274544256534,10,30,0.0,0.0
26,10_medium_full,0.11,0.0010722595726,10,30,0.0,1.0
27,10_medium_pruned,0.17,0.00264501282831,10,30,0.0,0.0
28,6_easy_full,0.71,0.0154154462772,10,30,0.0,0.0
29,6_easy_pruned,0.75,0.0148257968866,10,30,0.0,0.0
30,6_hard_full,0.1,0.00674172453314,10,30,0.0,0.0
31,6_hard_pruned,0.1,0.00736973984818,10,30,0.0,0.0
32,10_easy_full,0.07,0.00291069973222,3,30,0.25,0.0
33,10_easy_full,0.14,0.00137441930784,3,30,0.25,0.5
34,10_easy_pruned,0.08,0.00321058207853,3,30,0.25,0.0
35,10_hard_full,0.05,0.00281428531224,3,30,0.25,0.0
36,10_hard_full,0.11,0.00136679241157,3,30,0.25,0.5
37,10_hard_pruned,0.05,0.00278862242052,3,30,0.25,0.0
38,10_medium_full,0.11,0.00270614023219,3,30,0.25,0.0
39,10_medium_pruned,0.04,0.00317409934931,3,30,0.25,0.0
40,10_medium_pruned,0.11,0.00164481800089,3,30,0.25,0.5
41,6_easy_full,0.47,0.0136425648022,3,30,0.25,0.0
42,6_easy_pruned,0.36,0.0170270730461,3,30,0.25,0.0
43,6_hard_full,0.1,0.0066010957819,3,30,0.25,0.0
44,6_hard_pruned,0.07,0.00731207955543,3,30,0.25,0.0
45,6_hard_pruned,0.14,0.00397282587104,3,30,0.25,0.5
46,10_easy_full,0.08,0.00294820012382,5,30,0.25,0.0
47,10_easy_pruned,0.11,0.00314504969179,5,30,0.25,0.0
48,10_hard_full,0.1,0.00286172161172,5,30,0.25,0.0
49,10_hard_pruned,0.03,0.00280253349028,5,30,0.25,0.0
50,10_medium_full,0.06,0.00264089156499,5,30,0.25,0.0
51,10_medium_pruned,0.05,0.00292372014151,5,30,0.25,0.0
52,6_easy_full,0.5,0.0139024051161,5,30,0.25,0.0
53,6_easy_full,0.64,0.00883158173629,5,30,0.25,0.5
54,6_easy_pruned,0.41,0.0150943396226,5,30,0.25,0.0
55,6_hard_full,0.12,0.00651635605369,5,30,0.25,0.0
56,6_hard_pruned,0.04,0.00690083500104,5,30,0.25,0.0
57,10_easy_full,0.1,0.00295621840542,10,30,0.25,0.0
58,10_easy_pruned,0.07,0.00286582220439,10,30,0.25,0.0
59,10_easy_pruned,0.13,0.00134542421225,10,30,0.25,0.5
60,10_hard_full,0.05,0.00288126314576,10,30,0.25,0.0
61,10_hard_pruned,0.03,0.00282677521483,10,30,0.25,0.0
62,10_medium_full,0.05,0.0026907760198,10,30,0.25,0.0
63,10_medium_pruned,0.15,0.00263608804534,10,30,0.25,0.0
64,6_easy_full,0.71,0.0148743120631,10,30,0.25,0.0
65,6_easy_pruned,0.63,0.0143369175627,10,30,0.25,0.0
66,6_hard_full,0.08,0.00659369642622,10,30,0.25,0.0
67,6_hard_pruned,0.07,0.007031359865,10,30,0.25,0.0
68,10_easy_full,0.12,0.00286952279836,3,30,0.5,0.0
69,10_easy_pruned,0.05,0.00311061341297,3,30,0.5,0.0
70,10_hard_full,0.06,0.0027884669009,3,30,0.5,0.0
71,10_hard_pruned,0.02,0.00282294489612,3,30,0.5,0.0
72,10_medium_full,0.02,0.00276632825251,3,30,0.5,0.0
73,10_medium_full,0.08,0.00132432790359,3,30,0.5,0.5
74,10_medium_pruned,0.05,0.00314139415072,3,30,0.5,0.0
75,6_easy_full,0.34,0.0143802128271,3,30,0.5,0.0
76,6_easy_full,0.45,0.00875043752188,3,30,0.5,0.5
77,6_easy_pruned,0.29,0.0175870559268,3,30,0.5,0.0
78,6_hard_full,0.11,0.00652103032279,3,30,0.5,0.0
79,6_hard_pruned,0.08,0.00715870856897,3,30,0.5,0.0
80,10_easy_full,0.13,0.00291681250729,5,30,0.5,0.0
81,10_easy_pruned,0.06,0.00314732634627,5,30,0.5,0.0
82,10_hard_full,0.05,0.00287414135027,5,30,0.5,0.0
83,10_hard_pruned,0.0,0.00273283777875,5,30,0.5,0.0
84,10_hard_pruned,0.04,0.00139027916806,5,30,0.5,0.5
85,10_medium_full,0.03,0.00270628670401,5,30,0.5,0.0
86,10_medium_pruned,0.02,0.0029732703,5,30,0.5,0.0
87,10_medium_pruned,0.06,0.00142435939436,5,30,0.5,0.5
88,6_easy_full,0.51,0.0136351240796,5,30,0.5,0.0
89,6_easy_full,0.66,0.00771962328238,5,30,0.5,1.0
90,6_easy_pruned,0.46,0.0149700598802,5,30,0.5,0.0
91,6_hard_full,0.11,0.00659195781147,5,30,0.5,0.0
92,6_hard_pruned,0.07,0.00674399784192,5,30,0.5,0.0
93,6_hard_pruned,0.13,0.00381898033225,5,30,0.5,0.5
94,10_easy_full,0.12,0.00302142188114,10,30,0.5,0.0
95,10_easy_pruned,0.08,0.00288883753178,10,30,0.5,0.0
96,10_hard_full,0.07,0.00287943793372,10,30,0.5,0.0
97,10_hard_pruned,0.04,0.0027942327037,10,30,0.5,0.0
98,10_medium_full,0.04,0.00262198799129,10,30,0.5,0.0
99,10_medium_pruned,0.13,0.00266134397871,10,30,0.5,0.0
100,6_easy_full,0.64,0.0142005112184,10,30,0.5,0.0
101,6_easy_pruned,0.48,0.0138734739179,10,30,0.5,0.0
102,6_easy_pruned,0.58,0.00868281670574,10,30,0.5,0.5
103,6_hard_full,0.06,0.00671727010143,10,30,0.5,0.0
104,6_hard_full,0.12,0.00379190050053,10,30,0.5,0.5
105,6_hard_pruned,0.07,0.00719320961013,10,30,0.5,0.0
106,10_easy_full,0.12,0.00294230146821,3,30,0.75,0.0
107,10_easy_pruned,0.04,0.00306673209028,3,30,0.75,0.0
108,10_hard_full,0.07,0.00284357494242,3,30,0.75,0.0
109,10_hard_pruned,0.03,0.00285461448431,3,30,0.75,0.0
110,10_medium_full,0.09,0.00272168091013,3,30,0.75,0.0
111,10_medium_pruned,0.05,0.00297982657409,3,30,0.75,0.0
112,6_easy_full,0.27,0.0141803743619,3,30,0.75,0.0
113,6_easy_full,0.43,0.0093431748108,3,30,0.75,0.5
114,6_easy_pruned,0.27,0.0180701120347,3,30,0.75,0.0
115,6_hard_full,0.05,0.00661988613796,3,30,0.75,0.0
116,6_hard_full,0.14,0.00383847689237,3,30,0.75,0.5
