,move_limit,noise,k,board,tradeoff
0,50,0.0,5,10_easy_full,0
1,50,0.0,5,10_easy_pruned,0
2,50,0.0,5,10_hard_full,0
3,50,0.0,5,10_hard_pruned,0
4,50,0.0,5,10_medium_full,0
5,50,0.0,5,10_medium_pruned,0
6,50,0.0,5,6_easy_full,0
7,50,0.0,5,6_easy_pruned,0
8,50,0.0,5,6_hard_full,0
9,50,0.0,5,6_hard_pruned,0
10,50,0.25,5,10_easy_full,1
11,50,0.25,5,10_easy_pruned,0
12,50,0.25,5,10_hard_full,0
13,50,0.25,5,10_hard_pruned,0
14,50,0.25,5,10_medium_full,0
15,50,0.25,5,10_medium_pruned,0
16,50,0.25,5,6_easy_full,1
17,50,0.25,5,6_easy_pruned,0
18,50,0.25,5,6_hard_full,0
19,50,0.25,5,6_hard_pruned,0
20,50,0.5,5,10_easy_full,0
21,50,0.5,5,10_easy_pruned,0
22,50,0.5,5,10_hard_full,0
23,50,0.5,5,10_hard_pruned,0
24,50,0.5,5,10_medium_full,0
25,50,0.5,5,10_medium_pruned,1
26,50,0.5,5,6_easy_full,1
27,50,0.5,5,6_easy_pruned,0
28,50,0.5,5,6_hard_full,0
29,50,0.5,5,6_hard_pruned,0
30,50,0.75,5,10_easy_full,0
31,50,0.75,5,10_easy_pruned,1
32,50,0.75,5,10_hard_full,0
33,50,0.75,5,10_hard_pruned,0
34,50,0.75,5,10_medium_full,1
35,50,0.75,5,10_medium_pruned,1
36,50,0.75,5,6_easy_full,1
37,50,0.75,5,6_easy_pruned,0
38,50,0.75,5,6_hard_full,0
39,50,0.75,5,6_hard_pruned,0
40,50,1.0,5,10_easy_full,0
41,50,1.0,5,10_easy_pruned,0
42,50,1.0,5,10_hard_full,0
43,50,1.0,5,10_hard_pruned,0
44,50,1.0,5,10_medium_full,0
45,50,1.0,5,10_medium_pruned,0
46,50,1.0,5,6_easy_full,1
47,50,1.0,5,6_easy_pruned,0
48,50,1.0,5,6_hard_full,0
49,50,1.0,5,6_hard_pruned,0
50,50,1.25,5,10_easy_full,0
51,50,1.25,5,10_easy_pruned,0
52,50,1.25,5,10_hard_full,0
53,50,1.25,5,10_hard_pruned,0
54,50,1.25,5,10_medium_full,0
55,50,1.25,5,10_medium_pruned,0
56,50,1.25,5,6_easy_full,1
57,50,1.25,5,6_easy_pruned,1
58,50,1.25,5,6_hard_full,0
59,50,1.25,5,6_hard_pruned,0
60,50,1.5,5,10_easy_full,0
61,50,1.5,5,10_easy_pruned,1
62,50,1.5,5,10_hard_full,0
63,50,1.5,5,10_hard_pruned,1
64,50,1.5,5,10_medium_full,0
65,50,1.5,5,10_medium_pruned,1
66,50,1.5,5,6_easy_full,1
67,50,1.5,5,6_easy_pruned,1
68,50,1.5,5,6_hard_full,0
69,50,1.5,5,6_hard_pruned,0
70,50,1.75,5,10_easy_full,1
71,50,1.75,5,10_easy_pruned,0
72,50,1.75,5,10_hard_full,0
73,50,1.75,5,10_hard_pruned,0
74,50,1.75,5,10_medium_full,0
75,50,1.75,5,10_medium_pruned,0
76,50,1.75,5,6_easy_full,1
77,50,1.75,5,6_easy_pruned,0
78,50,1.75,5,6_hard_full,0
79,50,1.75,5,6_hard_pruned,0
80,50,2.0,5,10_easy_full,0
81,50,2.0,5,10_easy_pruned,0
82,50,2.0,5,10_hard_full,0
83,50,2.0,5,10_hard_pruned,0
84,50,2.0,5,10_medium_full,0
85,50,2.0,5,10_medium_pruned,0
86,50,2.0,5,6_easy_full,1
87,50,2.0,5,6_easy_pruned,0
88,50,2.0,5,6_hard_full,0
89,50,2.0,5,6_hard_pruned,0
90,50,2.25,5,10_easy_full,0
91,50,2.25,5,10_easy_pruned,0
92,50,2.25,5,10_hard_full,0
93,50,2.25,5,10_hard_pruned,1
94,50,2.25,5,10_medium_full,1
95,50,2.25,5,10_medium_pruned,1
96,50,2.25,5,6_easy_full,0
97,50,2.25,5,6_easy_pruned,0
98,50,2.25,5,6_hard_full,0
99,50,2.25,5,6_hard_pruned,0
100,50,2.5,5,10_easy_full,0
101,50,2.5,5,10_easy_pruned,0
102,50,2.5,5,10_hard_full,0
103,50,2.5,5,10_hard_pruned,0
104,50,2.5,5,10_medium_full,0
105,50,2.5,5,10_medium_pruned,0
106,50,2.5,5,6_easy_full,1
107,50,2.5,5,6_easy_pruned,1
108,50,2.5,5,6_hard_full,0
109,50,2.5,5,6_hard_pruned,0
