,move_limit,noise,k,board,tradeoff
0,30,0.05,10,10_easy_full,0
1,30,0.05,10,10_easy_pruned,0
2,30,0.05,10,10_hard_full,0
3,30,0.05,10,10_hard_pruned,0
4,30,0.05,10,10_medium_full,0
5,30,0.05,10,10_medium_pruned,1
6,30,0.05,10,6_easy_full,1
7,30,0.05,10,6_easy_pruned,0
8,30,0.05,10,6_hard_full,0
9,30,0.05,10,6_hard_pruned,0
10,30,0.1,10,10_easy_full,0
11,30,0.1,10,10_easy_pruned,0
12,30,0.1,10,10_hard_full,0
13,30,0.1,10,10_hard_pruned,0
14,30,0.1,10,10_medium_full,0
15,30,0.1,10,10_medium_pruned,0
16,30,0.1,10,6_easy_full,1
17,30,0.1,10,6_easy_pruned,0
18,30,0.1,10,6_hard_full,0
19,30,0.1,10,6_hard_pruned,0
20,30,0.2,10,10_easy_full,0
21,30,0.2,10,10_easy_pruned,0
22,30,0.2,10,10_hard_full,0
23,30,0.2,10,10_hard_pruned,0
24,30,0.2,10,10_medium_full,0
25,30,0.2,10,10_medium_pruned,0
26,30,0.2,10,6_easy_full,1
27,30,0.2,10,6_easy_pruned,0
28,30,0.2,10,6_hard_full,0
29,30,0.2,10,6_hard_pruned,0
30,30,0.3,10,10_easy_full,0
31,30,0.3,10,10_easy_pruned,0
32,30,0.3,10,10_hard_full,0
33,30,0.3,10,10_hard_pruned,0
34,30,0.3,10,10_medium_full,0
35,30,0.3,10,10_medium_pruned,0
36,30,0.3,10,6_easy_full,0
37,30,0.3,10,6_easy_pruned,0
38,30,0.3,10,6_hard_full,0
39,30,0.3,10,6_hard_pruned,0
40,50,0.05,10,10_easy_full,1
41,50,0.05,10,10_easy_pruned,0
42,50,0.05,10,10_hard_full,0
43,50,0.05,10,10_hard_pruned,0
44,50,0.05,10,10_medium_full,0
45,50,0.05,10,10_medium_pruned,0
46,50,0.05,10,6_easy_full,1
47,50,0.05,10,6_easy_pruned,0
48,50,0.05,10,6_hard_full,0
49,50,0.05,10,6_hard_pruned,0
50,50,0.1,10,10_easy_full,0
51,50,0.1,10,10_easy_pruned,0
52,50,0.1,10,10_hard_full,0
53,50,0.1,10,10_hard_pruned,0
54,50,0.1,10,10_medium_full,0
55,50,0.1,10,10_medium_pruned,0
56,50,0.1,10,6_easy_full,1
57,50,0.1,10,6_easy_pruned,1
58,50,0.1,10,6_hard_full,0
59,50,0.1,10,6_hard_pruned,0
60,50,0.2,10,10_easy_full,0
61,50,0.2,10,10_easy_pruned,0
62,50,0.2,10,10_hard_full,0
63,50,0.2,10,10_hard_pruned,0
64,50,0.2,10,10_medium_full,0
65,50,0.2,10,10_medium_pruned,0
66,50,0.2,10,6_easy_full,0
67,50,0.2,10,6_easy_pruned,0
68,50,0.2,10,6_hard_full,0
69,50,0.2,10,6_hard_pruned,0
70,50,0.3,10,10_easy_full,0
71,50,0.3,10,10_easy_pruned,0
72,50,0.3,10,10_hard_full,0
73,50,0.3,10,10_hard_pruned,0
74,50,0.3,10,10_medium_full,0
75,50,0.3,10,10_medium_pruned,0
76,50,0.3,10,6_easy_full,0
77,50,0.3,10,6_easy_pruned,0
78,50,0.3,10,6_hard_full,0
79,50,0.3,10,6_hard_pruned,0
80,100,0.05,10,10_easy_full,0
81,100,0.05,10,10_easy_pruned,0
82,100,0.05,10,10_hard_full,0
83,100,0.05,10,10_hard_pruned,0
84,100,0.05,10,10_medium_full,0
85,100,0.05,10,10_medium_pruned,0
