,move_limit,noise,k,board,tradeoff
0,50,0.05,5,10_easy_full,0
1,50,0.05,5,10_easy_pruned,0
2,50,0.05,5,10_hard_full,0
3,50,0.05,5,10_hard_pruned,0
4,50,0.05,5,10_medium_full,0
5,50,0.05,5,10_medium_pruned,1
6,50,0.05,5,6_easy_full,0
7,50,0.05,5,6_easy_pruned,0
8,50,0.05,5,6_hard_full,0
9,50,0.05,5,6_hard_pruned,0
10,50,0.1,5,10_easy_full,0
11,50,0.1,5,10_easy_pruned,0
12,50,0.1,5,10_hard_full,0
13,50,0.1,5,10_hard_pruned,0
14,50,0.1,5,10_medium_full,0
15,50,0.1,5,10_medium_pruned,0
16,50,0.1,5,6_easy_full,0
17,50,0.1,5,6_easy_pruned,0
18,50,0.1,5,6_hard_full,0
19,50,0.1,5,6_hard_pruned,0
20,50,0.2,5,10_easy_full,0
21,50,0.2,5,10_easy_pruned,0
22,50,0.2,5,10_hard_full,0
23,50,0.2,5,10_hard_pruned,0
24,50,0.2,5,10_medium_full,0
25,50,0.2,5,10_medium_pruned,0
26,50,0.2,5,6_easy_full,1
27,50,0.2,5,6_easy_pruned,0
28,50,0.2,5,6_hard_full,0
29,50,0.2,5,6_hard_pruned,0
30,50,0.3,5,10_easy_full,0
31,50,0.3,5,10_easy_pruned,0
32,50,0.3,5,10_hard_full,0
33,50,0.3,5,10_hard_pruned,0
34,50,0.3,5,10_medium_full,1
35,50,0.3,5,10_medium_pruned,0
36,50,0.3,5,6_easy_full,1
37,50,0.3,5,6_easy_pruned,0
38,50,0.3,5,6_hard_full,0
39,50,0.3,5,6_hard_pruned,0
40,100,0.05,5,10_easy_full,0
41,100,0.05,5,10_easy_pruned,1
42,100,0.05,5,10_hard_full,0
43,100,0.05,5,10_hard_pruned,0
44,100,0.05,5,10_medium_full,0
45,100,0.05,5,10_medium_pruned,0
46,100,0.05,5,6_easy_full,0
47,100,0.05,5,6_easy_pruned,1
48,100,0.05,5,6_hard_full,0
49,100,0.05,5,6_hard_pruned,0
50,100,0.1,5,10_easy_full,0
51,100,0.1,5,10_easy_pruned,0
52,100,0.1,5,10_hard_full,0
53,100,0.1,5,10_hard_pruned,1
54,100,0.1,5,10_medium_full,1
55,100,0.1,5,10_medium_pruned,0
56,100,0.1,5,6_easy_full,0
57,100,0.1,5,6_easy_pruned,0
58,100,0.1,5,6_hard_full,0
59,100,0.1,5,6_hard_pruned,1
60,100,0.2,5,10_easy_full,0
61,100,0.2,5,10_easy_pruned,0
62,100,0.2,5,10_hard_full,0
63,100,0.2,5,10_hard_pruned,0
64,100,0.2,5,10_medium_full,0
65,100,0.2,5,10_medium_pruned,0
66,100,0.2,5,6_easy_full,0
67,100,0.2,5,6_easy_pruned,0
68,100,0.2,5,6_hard_full,0
69,100,0.2,5,6_hard_pruned,0
70,100,0.3,5,10_easy_full,0
71,100,0.3,5,10_easy_pruned,0
72,100,0.3,5,10_hard_full,0
73,100,0.3,5,10_hard_pruned,0
74,100,0.3,5,10_medium_full,0
75,100,0.3,5,10_medium_pruned,0
76,100,0.3,5,6_easy_full,0
77,100,0.3,5,6_easy_pruned,0
78,100,0.3,5,6_hard_full,0
79,100,0.3,5,6_hard_pruned,0
