,board,counts,path,path_length,probability
0,6_easy_full,4.0,[[4 5 1]],1,0.114285714286
1,6_easy_full,5.0,[[1 5 1]],1,0.142857142857
2,6_easy_full,2.0,[[4 4 1]],1,0.0571428571429
3,6_easy_full,7.0,[[3 5 1]],1,0.2
4,6_easy_full,5.0,[[1 4 1]],1,0.142857142857
5,6_easy_full,1.0,[[5 5 1]],1,0.0285714285714
6,6_easy_full,2.0,[[2 5 1]],1,0.0571428571429
7,6_easy_full,3.0,[[3 1 1]],1,0.0857142857143
8,6_easy_full,1.0,[[1 0 1]],1,0.0285714285714
9,6_easy_full,1.0,[[5 3 1]],1,0.0285714285714
10,6_easy_full,3.0,[[0 2 1]],1,0.0857142857143
11,6_easy_full,1.0,[[4 1 1]],1,0.0285714285714
12,6_easy_full,1.0,"[[1 5 1]
 [2 5 2]]",2,0.0188679245283
13,6_easy_full,1.0,"[[0 5 1]
 [1 5 2]]",2,0.0188679245283
14,6_easy_full,1.0,"[[1 4 1]
 [4 5 2]]",2,0.0188679245283
15,6_easy_full,1.0,"[[5 0 1]
 [3 1 2]]",2,0.0188679245283
16,6_easy_full,1.0,"[[5 2 1]
 [4 1 2]]",2,0.0188679245283
17,6_easy_full,1.0,"[[4 1 1]
 [4 5 2]]",2,0.0188679245283
18,6_easy_full,1.0,"[[3 1 1]
 [1 4 2]]",2,0.0188679245283
19,6_easy_full,1.0,"[[4 4 1]
 [4 1 2]]",2,0.0188679245283
20,6_easy_full,1.0,"[[1 4 1]
 [3 1 2]]",2,0.0188679245283
21,6_easy_full,2.0,"[[0 5 1]
 [4 1 2]]",2,0.0377358490566
22,6_easy_full,1.0,"[[3 5 1]
 [1 4 2]]",2,0.0188679245283
23,6_easy_full,1.0,"[[4 5 1]
 [3 5 2]]",2,0.0188679245283
24,6_easy_full,1.0,"[[5 5 1]
 [4 4 2]]",2,0.0188679245283
25,6_easy_full,8.0,"[[1 5 1]
 [1 4 2]]",2,0.150943396226
26,6_easy_full,1.0,"[[5 2 1]
 [2 5 2]]",2,0.0188679245283
27,6_easy_full,1.0,"[[0 2 1]
 [1 4 2]]",2,0.0188679245283
28,6_easy_full,1.0,"[[1 5 1]
 [3 5 2]]",2,0.0188679245283
29,6_easy_full,2.0,"[[3 5 1]
 [0 2 2]]",2,0.0377358490566
30,6_easy_full,2.0,"[[4 4 1]
 [1 4 2]]",2,0.0377358490566
31,6_easy_full,2.0,"[[1 4 1]
 [3 5 2]]",2,0.0377358490566
32,6_easy_full,1.0,"[[0 5 1]
 [3 5 2]]",2,0.0188679245283
33,6_easy_full,2.0,"[[4 4 1]
 [3 5 2]]",2,0.0377358490566
34,6_easy_full,1.0,"[[0 0 1]
 [0 2 2]]",2,0.0188679245283
35,6_easy_full,1.0,"[[5 5 1]
 [3 1 2]]",2,0.0188679245283
36,6_easy_full,1.0,"[[0 5 1]
 [2 5 2]]",2,0.0188679245283
37,6_easy_full,1.0,"[[2 5 1]
 [1 5 2]]",2,0.0188679245283
38,6_easy_full,7.0,"[[0 2 1]
 [3 5 2]]",2,0.132075471698
39,6_easy_full,1.0,"[[4 1 1]
 [2 5 2]]",2,0.0188679245283
40,6_easy_full,2.0,"[[0 5 1]
 [0 2 2]]",2,0.0377358490566
41,6_easy_full,5.0,"[[1 4 1]
 [1 5 2]]",2,0.0943396226415
42,6_easy_full,1.0,"[[0 2 1]
 [2 5 2]
 [5 2 1]]",3,0.0227272727273
43,6_easy_full,1.0,"[[3 1 1]
 [4 1 2]
 [4 4 1]]",3,0.0227272727273
44,6_easy_full,1.0,"[[5 0 1]
 [5 1 2]
 [4 1 1]]",3,0.0227272727273
45,6_easy_full,1.0,"[[1 4 1]
 [4 4 2]
 [1 5 1]]",3,0.0227272727273
46,6_easy_full,1.0,"[[0 2 1]
 [3 1 2]
 [3 5 1]]",3,0.0227272727273
47,6_easy_full,1.0,"[[4 1 1]
 [4 4 2]
 [4 5 1]]",3,0.0227272727273
48,6_easy_full,1.0,"[[3 5 1]
 [0 4 2]
 [0 2 1]]",3,0.0227272727273
49,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [0 5 1]]",3,0.0227272727273
50,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]]",3,0.0227272727273
51,6_easy_full,1.0,"[[3 1 1]
 [4 4 2]
 [4 1 1]]",3,0.0227272727273
52,6_easy_full,1.0,"[[1 4 1]
 [3 1 2]
 [1 5 1]]",3,0.0227272727273
53,6_easy_full,1.0,"[[4 4 1]
 [3 1 2]
 [1 0 1]]",3,0.0227272727273
54,6_easy_full,1.0,"[[1 5 1]
 [0 2 2]
 [3 5 1]]",3,0.0227272727273
55,6_easy_full,2.0,"[[0 2 1]
 [3 5 2]
 [1 4 1]]",3,0.0454545454545
56,6_easy_full,1.0,"[[3 5 1]
 [4 4 2]
 [0 2 1]]",3,0.0227272727273
