,board,counts,path,path_length,path_number,probability
0,6_easy_full,1.0,[[4 5 1]],1,1,0.0909090909091
1,6_easy_full,1.0,[[1 5 1]],1,1,0.0909090909091
2,6_easy_full,2.0,[[3 5 1]],1,1,0.181818181818
3,6_easy_full,1.0,[[2 5 1]],1,1,0.0909090909091
4,6_easy_full,3.0,[[1 4 1]],1,1,0.272727272727
5,6_easy_full,1.0,[[3 1 1]],1,1,0.0909090909091
6,6_easy_full,2.0,[[0 2 1]],1,1,0.181818181818
7,6_easy_full,1.0,"[[1 5 1]
 [2 5 2]]",2,1,0.111111111111
8,6_easy_full,1.0,"[[1 5 1]
 [1 4 2]]",2,1,0.111111111111
9,6_easy_full,2.0,"[[1 4 1]
 [1 5 2]]",2,1,0.222222222222
10,6_easy_full,1.0,"[[3 1 1]
 [1 4 2]]",2,1,0.111111111111
11,6_easy_full,1.0,"[[0 2 1]
 [3 5 2]]",2,1,0.111111111111
12,6_easy_full,1.0,"[[3 5 1]
 [1 4 2]]",2,1,0.111111111111
13,6_easy_full,1.0,"[[1 4 1]
 [3 5 2]]",2,1,0.111111111111
14,6_easy_full,1.0,"[[2 5 1]
 [1 5 2]]",2,1,0.111111111111
15,6_easy_full,1.0,"[[2 5 1]
 [4 1 2]
 [4 4 1]]",3,1,1.0
16,6_easy_full,1.0,"[[0 2 1]
 [0 0 2]
 [1 5 1]
 [1 4 2]]",4,1,0.166666666667
17,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [4 5 1]
 [2 5 2]]",4,1,0.166666666667
18,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]
 [1 4 2]]",4,1,0.166666666667
19,6_easy_full,1.0,"[[4 4 1]
 [3 1 2]
 [4 1 1]
 [5 0 2]]",4,1,0.166666666667
20,6_easy_full,2.0,"[[1 4 1]
 [1 5 2]
 [3 5 1]
 [0 2 2]]",4,1,0.333333333333
21,6_easy_full,1.0,"[[3 1 1]
 [4 1 2]
 [1 4 1]
 [4 4 2]
 [1 5 1]]",5,1,0.5
22,6_easy_full,1.0,"[[0 2 1]
 [3 5 2]
 [1 5 1]
 [1 4 2]
 [0 0 1]]",5,1,0.5
23,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [1 4 1]
 [1 5 2]
 [1 0 1]
 [3 1 2]]",6,1,1.0
24,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]
 [1 4 2]
 [0 5 1]
 [2 5 2]
 [4 5 1]]",7,1,0.25
25,6_easy_full,2.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]
 [1 4 2]
 [2 5 1]
 [0 5 2]
 [4 5 1]]",7,1,0.5
26,6_easy_full,1.0,"[[1 5 1]
 [1 4 2]
 [3 5 1]
 [0 2 2]
 [2 5 1]
 [0 5 2]
 [4 5 1]]",7,1,0.25
27,6_easy_full,1.0,[[4 5 1]],1,2,0.25
28,6_easy_full,2.0,[[3 5 1]],1,2,0.5
29,6_easy_full,1.0,[[1 4 1]],1,2,0.25
30,6_easy_full,3.0,"[[1 5 1]
 [1 4 2]]",2,2,0.25
31,6_easy_full,1.0,"[[1 4 1]
 [3 1 2]]",2,2,0.0833333333333
32,6_easy_full,1.0,"[[0 5 1]
 [0 2 2]]",2,2,0.0833333333333
33,6_easy_full,1.0,"[[0 2 1]
 [1 4 2]]",2,2,0.0833333333333
34,6_easy_full,1.0,"[[1 5 1]
 [3 5 2]]",2,2,0.0833333333333
35,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]]",2,2,0.0833333333333
36,6_easy_full,1.0,"[[0 2 1]
 [3 5 2]]",2,2,0.0833333333333
