,board,counts,path,path_length,probability
0,6_easy_full,16.0,[[4 5 1]],1,0.0634920634921
1,6_easy_full,1.0,[[0 4 1]],1,0.00396825396825
2,6_easy_full,32.0,[[1 5 1]],1,0.126984126984
3,6_easy_full,14.0,[[4 4 1]],1,0.0555555555556
4,6_easy_full,57.0,[[3 5 1]],1,0.22619047619
5,6_easy_full,12.0,[[2 5 1]],1,0.047619047619
6,6_easy_full,11.0,[[5 5 1]],1,0.0436507936508
7,6_easy_full,1.0,[[5 1 1]],1,0.00396825396825
8,6_easy_full,30.0,[[1 4 1]],1,0.119047619048
9,6_easy_full,8.0,[[0 5 1]],1,0.031746031746
10,6_easy_full,6.0,[[5 2 1]],1,0.0238095238095
11,6_easy_full,14.0,[[3 1 1]],1,0.0555555555556
12,6_easy_full,2.0,[[1 0 1]],1,0.00793650793651
13,6_easy_full,1.0,[[5 3 1]],1,0.00396825396825
14,6_easy_full,3.0,[[0 0 1]],1,0.0119047619048
15,6_easy_full,30.0,[[0 2 1]],1,0.119047619048
16,6_easy_full,9.0,[[4 1 1]],1,0.0357142857143
17,6_easy_full,5.0,[[5 0 1]],1,0.0198412698413
18,6_easy_full,3.0,"[[0 5 1]
 [1 5 2]]",2,0.0128205128205
19,6_easy_full,1.0,"[[4 1 1]
 [5 2 2]]",2,0.0042735042735
20,6_easy_full,2.0,"[[1 5 1]
 [2 5 2]]",2,0.00854700854701
21,6_easy_full,1.0,"[[1 4 1]
 [4 5 2]]",2,0.0042735042735
22,6_easy_full,1.0,"[[0 4 1]
 [4 1 2]]",2,0.0042735042735
23,6_easy_full,1.0,"[[5 5 1]
 [4 1 2]]",2,0.0042735042735
24,6_easy_full,4.0,"[[4 5 1]
 [3 1 2]]",2,0.017094017094
25,6_easy_full,2.0,"[[0 2 1]
 [3 1 2]]",2,0.00854700854701
26,6_easy_full,1.0,"[[3 5 1]
 [0 4 2]]",2,0.0042735042735
27,6_easy_full,1.0,"[[4 1 1]
 [1 5 2]]",2,0.0042735042735
28,6_easy_full,4.0,"[[5 2 1]
 [4 1 2]]",2,0.017094017094
29,6_easy_full,1.0,"[[0 5 1]
 [3 1 2]]",2,0.0042735042735
30,6_easy_full,25.0,"[[1 5 1]
 [1 4 2]]",2,0.106837606838
31,6_easy_full,2.0,"[[3 5 1]
 [2 5 2]]",2,0.00854700854701
32,6_easy_full,2.0,"[[3 5 1]
 [4 4 2]]",2,0.00854700854701
33,6_easy_full,2.0,"[[4 1 1]
 [4 5 2]]",2,0.00854700854701
34,6_easy_full,3.0,"[[5 0 1]
 [5 1 2]]",2,0.0128205128205
35,6_easy_full,1.0,"[[4 4 1]
 [4 1 2]]",2,0.0042735042735
36,6_easy_full,1.0,"[[3 1 1]
 [5 2 2]]",2,0.0042735042735
37,6_easy_full,5.0,"[[4 5 1]
 [4 4 2]]",2,0.0213675213675
38,6_easy_full,2.0,"[[4 5 1]
 [4 1 2]]",2,0.00854700854701
