,board,counts,path,path_length,path_number,probability
0,6_easy_full,1.0,[[4 5 1]],1,1,0.0294117647059
1,6_easy_full,4.0,[[1 5 1]],1,1,0.117647058824
2,6_easy_full,1.0,[[4 4 1]],1,1,0.0294117647059
3,6_easy_full,9.0,[[3 5 1]],1,1,0.264705882353
4,6_easy_full,3.0,[[2 5 1]],1,1,0.0882352941176
5,6_easy_full,8.0,[[1 4 1]],1,1,0.235294117647
6,6_easy_full,3.0,[[3 1 1]],1,1,0.0882352941176
7,6_easy_full,5.0,[[0 2 1]],1,1,0.147058823529
8,6_easy_full,1.0,"[[1 5 1]
 [2 5 2]]",2,1,0.0434782608696
9,6_easy_full,2.0,"[[1 5 1]
 [1 4 2]]",2,1,0.0869565217391
10,6_easy_full,4.0,"[[1 4 1]
 [1 5 2]]",2,1,0.173913043478
11,6_easy_full,1.0,"[[2 5 1]
 [4 1 2]]",2,1,0.0434782608696
12,6_easy_full,1.0,"[[0 2 1]
 [0 0 2]]",2,1,0.0434782608696
13,6_easy_full,1.0,"[[3 1 1]
 [4 1 2]]",2,1,0.0434782608696
14,6_easy_full,6.0,"[[3 5 1]
 [0 2 2]]",2,1,0.260869565217
15,6_easy_full,2.0,"[[0 2 1]
 [3 5 2]]",2,1,0.0869565217391
16,6_easy_full,1.0,"[[3 5 1]
 [1 4 2]]",2,1,0.0434782608696
17,6_easy_full,1.0,"[[2 5 1]
 [1 5 2]]",2,1,0.0434782608696
18,6_easy_full,1.0,"[[1 4 1]
 [3 5 2]]",2,1,0.0434782608696
19,6_easy_full,1.0,"[[3 1 1]
 [1 4 2]]",2,1,0.0434782608696
20,6_easy_full,1.0,"[[4 4 1]
 [3 1 2]]",2,1,0.0434782608696
21,6_easy_full,1.0,"[[2 5 1]
 [4 1 2]
 [4 4 1]]",3,1,0.0714285714286
22,6_easy_full,1.0,"[[0 2 1]
 [3 5 2]
 [1 5 1]]",3,1,0.0714285714286
23,6_easy_full,1.0,"[[4 4 1]
 [3 1 2]
 [4 1 1]]",3,1,0.0714285714286
24,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [1 4 1]]",3,1,0.0714285714286
25,6_easy_full,1.0,"[[1 5 1]
 [1 4 2]
 [3 5 1]]",3,1,0.0714285714286
26,6_easy_full,1.0,"[[0 2 1]
 [0 0 2]
 [1 5 1]]",3,1,0.0714285714286
27,6_easy_full,1.0,"[[3 1 1]
 [4 1 2]
 [1 4 1]]",3,1,0.0714285714286
28,6_easy_full,4.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]]",3,1,0.285714285714
29,6_easy_full,2.0,"[[1 4 1]
 [1 5 2]
 [3 5 1]]",3,1,0.142857142857
30,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [4 5 1]]",3,1,0.0714285714286
31,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [1 4 1]
 [1 5 2]]",4,1,0.0769230769231
32,6_easy_full,1.0,"[[1 5 1]
 [1 4 2]
 [3 5 1]
 [0 2 2]]",4,1,0.0769230769231
33,6_easy_full,4.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]
 [1 4 2]]",4,1,0.307692307692
34,6_easy_full,1.0,"[[3 5 1]
 [0 2 2]
 [4 5 1]
 [2 5 2]]",4,1,0.0769230769231
35,6_easy_full,1.0,"[[0 2 1]
 [3 5 2]
 [1 5 1]
 [1 4 2]]",4,1,0.0769230769231
36,6_easy_full,1.0,"[[0 2 1]
 [0 0 2]
 [1 5 1]
 [1 4 2]]",4,1,0.0769230769231
37,6_easy_full,1.0,"[[3 1 1]
 [4 1 2]
 [1 4 1]
 [4 4 2]]",4,1,0.0769230769231
38,6_easy_full,1.0,"[[4 4 1]
 [3 1 2]
 [4 1 1]
 [5 0 2]]",4,1,0.0769230769231
39,6_easy_full,2.0,"[[1 4 1]
 [1 5 2]
 [3 5 1]
 [0 2 2]]",4,1,0.153846153846
40,6_easy_full,1.0,"[[1 5 1]
 [1 4 2]
 [3 5 1]
 [0 2 2]
 [2 5 1]]",5,1,0.142857142857
41,6_easy_full,2.0,"[[3 5 1]
 [0 2 2]
 [1 5 1]
 [1 4 2]
 [2 5 1]]",5,1,0.285714285714
