,path,length,count,board,mcts_prob
0,"[[1, 4, 1], [1, 5, 2], [2, 5, 1], [0, 2, 2]]",4,4,6_easy_full,0.0002747630168979255
1,"[[5, 4, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,439,6_easy_full,0.03015524110454733
2,"[[0, 2, 1], [3, 5, 2], [3, 1, 1], [2, 5, 2]]",4,12,6_easy_full,0.0008242890506937766
3,"[[5, 0, 1], [5, 4, 2], [1, 5, 1], [1, 4, 2]]",4,1,6_easy_full,6.869075422448138e-05
4,"[[3, 1, 1]]",1,3988,6_easy_full,0.08
5,"[[5, 2, 1], [4, 5, 2], [4, 4, 1], [4, 1, 2], [3, 1, 1]]",5,2,6_easy_full,0.002188183807439825
6,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1]]",5,3,6_easy_full,0.0032822757111597373
7,"[[0, 5, 1], [2, 5, 2], [5, 2, 1]]",3,132,6_easy_full,0.004805766920304365
8,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1]]",5,7,6_easy_full,0.007658643326039387
9,"[[0, 2, 1], [3, 5, 2], [4, 5, 1]]",3,138,6_easy_full,0.005024210871227291
10,"[[4, 5, 1], [4, 4, 2], [4, 1, 1]]",3,78,6_easy_full,0.002839771361998034
11,"[[5, 2, 1], [5, 1, 2]]",2,109,6_easy_full,0.002616983985978728
12,"[[4, 5, 1], [4, 1, 2]]",2,69,6_easy_full,0.0016566228902067178
13,"[[1, 4, 1], [1, 5, 2], [4, 1, 1], [5, 5, 2]]",4,3,6_easy_full,0.00020607226267344415
14,"[[3, 5, 1], [0, 2, 2], [2, 5, 1], [5, 1, 2]]",4,2,6_easy_full,0.00013738150844896276
15,"[[0, 2, 1], [3, 5, 2], [2, 5, 1]]",3,194,6_easy_full,0.007063021079841264
16,"[[0, 2, 1], [3, 5, 2], [4, 1, 1], [4, 4, 2]]",4,11,6_easy_full,0.0007555982964692952
17,"[[1, 4, 1], [1, 5, 2], [4, 1, 1], [4, 5, 2]]",4,7,6_easy_full,0.0004808352795713697
18,"[[5, 3, 1], [1, 4, 2], [0, 5, 1]]",3,1,6_easy_full,3.640732515382095e-05
19,"[[1, 4, 1], [1, 5, 2], [5, 1, 1], [4, 4, 2]]",4,1,6_easy_full,6.869075422448138e-05
20,"[[0, 2, 1], [3, 5, 2], [0, 5, 1], [5, 1, 2]]",4,3,6_easy_full,0.00020607226267344415
21,"[[3, 1, 1], [4, 1, 2], [4, 4, 1], [2, 5, 2]]",4,3,6_easy_full,0.00020607226267344415
22,"[[3, 5, 1], [0, 2, 2], [1, 4, 1], [1, 5, 2]]",4,112,6_easy_full,0.007693364473141915
23,"[[1, 5, 1], [1, 4, 2], [0, 2, 1]]",3,265,6_easy_full,0.009647941165762551
24,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [1, 5, 2]]",4,1,6_easy_full,6.869075422448138e-05
25,"[[3, 1, 1], [2, 5, 2], [5, 2, 1]]",3,267,6_easy_full,0.009720755816070193
26,"[[1, 4, 1], [1, 5, 2], [3, 1, 1], [2, 5, 2]]",4,7,6_easy_full,0.0004808352795713697
27,"[[3, 5, 1], [0, 2, 2]]",2,5976,6_easy_full,0.14347794770833833
28,"[[3, 5, 1], [0, 2, 2], [5, 4, 1]]",3,74,6_easy_full,0.00269414206138275
29,"[[1, 4, 1], [1, 5, 2], [4, 4, 1]]",3,192,6_easy_full,0.006990206429533622
30,"[[4, 5, 1], [0, 4, 2]]",2,9,6_easy_full,0.00021608124654870232
31,"[[0, 2, 1], [3, 5, 2], [5, 1, 1], [4, 1, 2], [3, 1, 1]]",5,4,6_easy_full,0.00437636761487965
32,"[[1, 5, 1], [1, 4, 2], [0, 5, 1], [5, 2, 2], [2, 5, 1]]",5,4,6_easy_full,0.00437636761487965
33,"[[4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 5, 2]]",4,6,6_easy_full,0.0004121445253468883
34,"[[5, 1, 1], [4, 1, 2]]",2,23,6_easy_full,0.0005522076300689059
35,"[[4, 5, 1], [5, 1, 2], [4, 1, 1]]",3,8,6_easy_full,0.0002912586012305676
36,"[[1, 5, 1], [1, 4, 2], [4, 1, 1], [4, 4, 2]]",4,1,6_easy_full,6.869075422448138e-05
37,"[[3, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2], [2, 5, 1], [0, 5, 2], [4, 5, 1]]",7,8,6_easy_full,0.42105263157894735
38,"[[1, 5, 1], [1, 4, 2], [4, 4, 1]]",3,356,6_easy_full,0.012961007754760258
39,"[[1, 4, 1], [1, 5, 2], [0, 5, 1]]",3,46,6_easy_full,0.0016747369570757637
40,"[[0, 2, 1], [3, 5, 2], [2, 5, 1], [4, 1, 2]]",4,9,6_easy_full,0.0006182167880203325
41,"[[0, 2, 1], [3, 5, 2], [2, 5, 1], [4, 1, 2], [3, 1, 1]]",5,7,6_easy_full,0.007658643326039387
42,"[[3, 5, 1], [0, 2, 2], [5, 4, 1], [2, 5, 2], [5, 2, 1]]",5,2,6_easy_full,0.002188183807439825
43,"[[3, 1, 1], [2, 5, 2]]",2,293,6_easy_full,0.007034645026529975
44,"[[4, 1, 1], [1, 4, 2], [4, 4, 1]]",3,4,6_easy_full,0.0001456293006152838
45,"[[3, 5, 1], [0, 2, 2], [5, 2, 1], [3, 1, 2], [4, 1, 1]]",5,4,6_easy_full,0.00437636761487965
46,"[[1, 5, 1], [1, 4, 2], [5, 2, 1], [4, 1, 2], [3, 1, 1]]",5,2,6_easy_full,0.002188183807439825
47,"[[3, 1, 1], [2, 5, 2], [5, 2, 1], [4, 4, 2], [4, 1, 1], [4, 5, 2]]",6,5,6_easy_full,0.012594458438287154
48,"[[4, 5, 1]]",1,997,6_easy_full,0.02
49,"[[0, 5, 1], [3, 5, 2], [1, 4, 1]]",3,1,6_easy_full,3.640732515382095e-05
50,"[[1, 4, 1], [1, 5, 2], [5, 2, 1], [4, 5, 2]]",4,3,6_easy_full,0.00020607226267344415
51,"[[5, 2, 1], [5, 5, 2], [5, 3, 1]]",3,1,6_easy_full,3.640732515382095e-05
52,"[[5, 0, 1], [4, 5, 2], [4, 4, 1]]",3,193,6_easy_full,0.007026613754687443
53,"[[3, 1, 1], [4, 5, 2], [4, 4, 1], [5, 2, 2]]",4,4,6_easy_full,0.0002747630168979255
54,"[[5, 2, 1]]",1,2991,6_easy_full,0.06
55,"[[1, 4, 1], [1, 5, 2], [5, 4, 1], [2, 5, 2]]",4,2,6_easy_full,0.00013738150844896276
56,"[[1, 5, 1], [1, 4, 2], [4, 1, 1], [0, 4, 2]]",4,7,6_easy_full,0.0004808352795713697
57,"[[4, 5, 1], [2, 5, 2]]",2,22,6_easy_full,0.0005281986026746057
58,"[[3, 5, 1], [0, 2, 2], [1, 5, 1]]",3,1991,6_easy_full,0.0724869843812575
59,"[[5, 3, 1], [3, 1, 2], [4, 1, 1], [4, 5, 2]]",4,5,6_easy_full,0.00034345377112240694
60,"[[4, 4, 1], [4, 1, 2]]",2,194,6_easy_full,0.00465775131449425
61,"[[1, 4, 1], [1, 5, 2], [5, 0, 1]]",3,45,6_easy_full,0.0016383296319219427
62,"[[1, 5, 1], [1, 4, 2], [2, 5, 1], [5, 1, 2]]",4,9,6_easy_full,0.0006182167880203325
63,"[[0, 2, 1], [3, 5, 2], [1, 5, 1]]",3,427,6_easy_full,0.015545927840681545
64,"[[1, 5, 1], [1, 4, 2], [5, 5, 1], [4, 4, 2], [4, 1, 1], [4, 5, 2]]",6,1,6_easy_full,0.0025188916876574307
65,"[[3, 5, 1], [0, 2, 2], [0, 5, 1], [4, 1, 2]]",4,1,6_easy_full,6.869075422448138e-05
66,"[[4, 4, 1], [5, 1, 2]]",2,65,6_easy_full,0.0015605867806295166
67,"[[3, 1, 1], [4, 1, 2], [4, 4, 1], [3, 5, 2]]",4,2,6_easy_full,0.00013738150844896276
68,"[[0, 5, 1], [2, 5, 2], [5, 2, 1], [4, 4, 2]]",4,3,6_easy_full,0.00020607226267344415
69,"[[4, 4, 1], [2, 5, 2]]",2,170,6_easy_full,0.004081534657031044
70,"[[1, 4, 1], [1, 5, 2], [3, 5, 1], [0, 2, 2]]",4,183,6_easy_full,0.012570408023080093
71,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [5, 5, 2]]",4,1,6_easy_full,6.869075422448138e-05
72,"[[1, 5, 1], [1, 4, 2], [5, 2, 1], [4, 1, 2]]",4,4,6_easy_full,0.0002747630168979255
73,"[[3, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2]]",4,12,6_easy_full,0.0008242890506937766
74,"[[5, 1, 1], [3, 1, 2]]",2,58,6_easy_full,0.001392523588869415
75,"[[1, 4, 1], [1, 5, 2], [5, 5, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",6,1,6_easy_full,0.0025188916876574307
76,"[[0, 5, 1]]",1,1994,6_easy_full,0.04
77,"[[5, 3, 1], [2, 5, 2], [5, 2, 1], [3, 1, 2]]",4,3,6_easy_full,0.00020607226267344415
78,"[[0, 2, 1], [3, 5, 2], [5, 1, 1]]",3,85,6_easy_full,0.0030946226380747805
79,"[[0, 2, 1], [3, 5, 2], [5, 5, 1], [4, 4, 2]]",4,8,6_easy_full,0.000549526033795851
80,"[[0, 5, 1], [5, 1, 2], [1, 5, 1]]",3,33,6_easy_full,0.0012014417300760913
81,"[[1, 5, 1], [1, 4, 2], [0, 5, 1], [4, 5, 2]]",4,11,6_easy_full,0.0007555982964692952
82,"[[0, 5, 1], [5, 1, 2], [2, 5, 1]]",3,8,6_easy_full,0.0002912586012305676
83,"[[0, 2, 1], [3, 5, 2], [2, 5, 1], [4, 4, 2]]",4,2,6_easy_full,0.00013738150844896276
84,"[[1, 4, 1], [1, 5, 2], [5, 2, 1], [3, 5, 2]]",4,3,6_easy_full,0.00020607226267344415
85,"[[3, 1, 1], [4, 1, 2], [4, 4, 1], [1, 4, 2]]",4,1,6_easy_full,6.869075422448138e-05
86,"[[1, 5, 1], [1, 4, 2], [4, 5, 1], [5, 2, 2]]",4,1,6_easy_full,6.869075422448138e-05
87,"[[0, 2, 1], [3, 5, 2], [5, 3, 1], [4, 1, 2]]",4,7,6_easy_full,0.0004808352795713697
88,"[[3, 5, 1], [0, 2, 2], [0, 5, 1], [4, 4, 2]]",4,5,6_easy_full,0.00034345377112240694
89,"[[0, 2, 1], [3, 5, 2], [5, 2, 1], [5, 1, 2]]",4,3,6_easy_full,0.00020607226267344415
90,"[[3, 5, 1], [0, 2, 2], [5, 1, 1], [3, 1, 2]]",4,1,6_easy_full,6.869075422448138e-05
91,"[[3, 5, 1], [0, 2, 2], [2, 5, 1], [4, 4, 2], [4, 1, 1], [4, 5, 2]]",6,17,6_easy_full,0.042821158690176324
92,"[[0, 2, 1], [3, 5, 2], [5, 3, 1], [4, 5, 2]]",4,6,6_easy_full,0.0004121445253468883
93,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [5, 5, 2]]",4,1,6_easy_full,6.869075422448138e-05
94,"[[0, 5, 1], [4, 1, 2], [3, 1, 1]]",3,805,6_easy_full,0.029307896748825862
95,"[[5, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2]]",4,1,6_easy_full,6.869075422448138e-05
96,"[[0, 2, 1], [3, 5, 2], [3, 1, 1], [2, 5, 2], [5, 2, 1]]",5,9,6_easy_full,0.009846827133479213
97,"[[3, 1, 1], [2, 5, 2], [5, 2, 1], [4, 1, 2]]",4,14,6_easy_full,0.0009616705591427394
98,"[[4, 1, 1], [5, 2, 2]]",2,1349,6_easy_full,0.03238817795491104
99,"[[1, 4, 1], [1, 5, 2], [5, 3, 1]]",3,21,6_easy_full,0.0007645538282302399
100,"[[5, 4, 1], [1, 5, 2]]",2,43,6_easy_full,0.001032388177954911
101,"[[1, 5, 1], [1, 4, 2], [3, 1, 1], [5, 2, 2], [2, 5, 1]]",5,2,6_easy_full,0.002188183807439825
102,"[[0, 2, 1], [3, 5, 2], [3, 1, 1], [4, 5, 2]]",4,7,6_easy_full,0.0004808352795713697
103,"[[4, 1, 1], [1, 4, 2], [5, 1, 1]]",3,1,6_easy_full,3.640732515382095e-05
104,"[[3, 5, 1], [0, 2, 2], [5, 5, 1], [4, 4, 2]]",4,3,6_easy_full,0.00020607226267344415
105,"[[3, 1, 1], [5, 0, 2]]",2,13,6_easy_full,0.00031211735612590334
106,"[[0, 2, 1], [3, 5, 2], [5, 1, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",6,3,6_easy_full,0.007556675062972292
107,"[[3, 1, 1], [4, 1, 2], [4, 4, 1], [0, 5, 2]]",4,3,6_easy_full,0.00020607226267344415
108,"[[5, 1, 1], [5, 4, 2]]",2,103,6_easy_full,0.0024729298216129266
109,"[[5, 2, 1], [4, 5, 2], [4, 4, 1], [4, 1, 2]]",4,3,6_easy_full,0.00020607226267344415
110,"[[0, 2, 1], [3, 5, 2], [4, 4, 1], [4, 1, 2]]",4,1,6_easy_full,6.869075422448138e-05
111,"[[5, 3, 1], [3, 1, 2], [4, 1, 1], [2, 5, 2], [5, 2, 1]]",5,4,6_easy_full,0.00437636761487965
112,"[[4, 4, 1], [5, 3, 2]]",2,64,6_easy_full,0.0015365777532352165
113,"[[0, 2, 1], [3, 5, 2], [5, 4, 1], [4, 4, 2]]",4,7,6_easy_full,0.0004808352795713697
114,"[[1, 5, 1]]",1,6979,6_easy_full,0.14
115,"[[1, 4, 1], [1, 5, 2], [3, 1, 1]]",3,45,6_easy_full,0.0016383296319219427
116,"[[4, 5, 1], [5, 4, 2], [1, 5, 1]]",3,1,6_easy_full,3.640732515382095e-05
117,"[[5, 0, 1], [2, 5, 2], [5, 2, 1], [4, 1, 2], [3, 1, 1]]",5,2,6_easy_full,0.002188183807439825
118,"[[1, 4, 1], [1, 5, 2], [5, 2, 1]]",3,78,6_easy_full,0.002839771361998034
119,"[[4, 5, 1], [4, 4, 2], [4, 1, 1], [3, 5, 2]]",4,4,6_easy_full,0.0002747630168979255
120,"[[4, 5, 1], [5, 1, 2], [2, 5, 1]]",3,1,6_easy_full,3.640732515382095e-05
121,"[[3, 1, 1], [5, 5, 2]]",2,10,6_easy_full,0.00024009027394300257
122,"[[4, 5, 1], [5, 4, 2], [3, 5, 1]]",3,16,6_easy_full,0.0005825172024611352
123,"[[5, 1, 1], [2, 5, 2], [5, 2, 1], [0, 5, 2]]",4,12,6_easy_full,0.0008242890506937766
124,"[[1, 4, 1], [1, 5, 2], [5, 5, 1], [4, 4, 2], [4, 1, 1]]",5,3,6_easy_full,0.0032822757111597373
125,"[[3, 1, 1], [5, 3, 2]]",2,74,6_easy_full,0.001776668027178219
126,"[[1, 5, 1], [1, 4, 2], [5, 1, 1], [4, 4, 2]]",4,2,6_easy_full,0.00013738150844896276
127,"[[5, 3, 1], [2, 5, 2], [5, 2, 1], [3, 1, 2], [4, 1, 1]]",5,1,6_easy_full,0.0010940919037199124
128,"[[1, 4, 1], [1, 5, 2], [2, 5, 1], [4, 1, 2], [3, 1, 1]]",5,2,6_easy_full,0.002188183807439825
129,"[[0, 2, 1], [3, 5, 2], [5, 2, 1], [4, 4, 2], [4, 1, 1], [4, 5, 2]]",6,7,6_easy_full,0.017632241813602016
130,"[[4, 1, 1], [1, 5, 2], [0, 2, 1]]",3,1,6_easy_full,3.640732515382095e-05
131,"[[5, 0, 1], [4, 4, 2]]",2,576,6_easy_full,0.013829199779116948
