,path,move_number_in_path,count,board_name,mcts_prob
0,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [1, 5, 1]]",7,24994,6_easy_full,0.020832604
1,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [1, 5, 1], [1, 4, 2]]",8,24993,6_easy_full,0.045452727
2,"[[4, 4, 1], [4, 1, 2], [3, 1, 1], [0, 2, 2], [1, 4, 1]]",5,99983,6_easy_full,0.052630498
3,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2], [1, 4, 1]]",7,99978,6_easy_full,0.083332083
4,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1]]",5,99986,6_easy_full,0.052632078
5,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1]]",5,299958,6_easy_full,0.157896233
6,"[[4, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2], [1, 5, 1], [1, 4, 2]]",6,99982,6_easy_full,0.052631524
7,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2]]",4,199974,6_easy_full,0.0999994
8,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1], [4, 5, 2]]",6,99982,6_easy_full,0.052631524
9,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1], [0, 2, 2]]",6,99982,6_easy_full,0.052631524
10,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2], [2, 5, 1], [0, 5, 2], [4, 5, 1]]",7,149975,6_easy_full,0.125004793
11,"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1], [3, 5, 2], [1, 5, 1], [5, 5, 2]]",8,99980,6_easy_full,0.181825456
12,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2], [5, 2, 1], [0, 5, 2], [5, 3, 1]]",7,99978,6_easy_full,0.083332083
13,"[[4, 4, 1], [3, 1, 2], [4, 1, 1], [3, 5, 2]]",4,99987,6_easy_full,0.0499997
14,"[[4, 1, 1], [4, 5, 2], [4, 4, 1], [2, 5, 2]]",4,99987,6_easy_full,0.0499997
15,"[[4, 4, 1], [2, 5, 2], [5, 2, 1], [3, 5, 2]]",4,99987,6_easy_full,0.0499997
16,"[[1, 5, 1], [1, 4, 2], [0, 2, 1]]",3,99991,6_easy_full,0.05
17,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [0, 2, 2]]",6,49991,6_easy_full,0.026315762
18,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [1, 5, 2]]",4,99987,6_easy_full,0.0499997
19,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1]]",7,99981,6_easy_full,0.083334584
20,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [5, 3, 2], [3, 5, 1], [0, 2, 2]]",8,24992,6_easy_full,0.045450908
21,"[[3, 5, 1], [0, 2, 2]]",2,299985,6_easy_full,0.150002925
22,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2]]",4,99987,6_easy_full,0.0499997
23,"[[3, 5, 1], [0, 2, 2], [4, 1, 1], [5, 2, 2], [2, 5, 1]]",5,99986,6_easy_full,0.052632078
24,"[[3, 5, 1], [0, 2, 2], [1, 5, 1], [1, 4, 2], [2, 5, 1], [0, 5, 2], [4, 5, 1]]",7,99984,6_easy_full,0.083337084
25,"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [1, 5, 2], [3, 5, 1], [0, 2, 2]]",8,99977,6_easy_full,0.18182
26,"[[1, 5, 1], [1, 4, 2], [4, 4, 1]]",3,99991,6_easy_full,0.05
27,"[[1, 5, 1], [1, 4, 2], [3, 5, 1], [0, 2, 2]]",4,199980,6_easy_full,0.1000024
