,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,mcts_prob
0,0,10_easy_full,"[[0, 1, 1]]",1,1,0.00220264317181,0.0
1,1,10_easy_full,"[[0, 3, 1]]",1,1,0.00220264317181,0.0
2,2,10_easy_full,"[[0, 5, 1], [4, 4, 2], [4, 9, 1]]",3,1,0.0029411764705900003,0.0
3,3,10_easy_full,"[[0, 5, 1], [4, 4, 2]]",2,1,0.0025906735751300004,0.0
4,4,10_easy_full,"[[0, 5, 1], [4, 7, 2]]",2,1,0.0025906735751300004,0.0
5,5,10_easy_full,"[[0, 5, 1], [4, 8, 2], [4, 9, 1]]",3,1,0.0029411764705900003,0.0
6,6,10_easy_full,"[[0, 5, 1], [4, 8, 2]]",2,2,0.005181347150260001,0.0
7,7,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 1, 2]]",4,1,0.00352112676056,0.0
8,8,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [0, 8, 1]]",5,1,0.00480769230769,0.0
9,9,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2], [1, 2, 1]]",7,1,0.00970873786408,0.0
10,10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.0132450331126,0.0
11,11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.0192307692308,0.0
12,12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.00662251655629,0.0
13,13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.00480769230769,0.0
14,14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.00970873786408,0.0
15,15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.00662251655629,0.0
16,16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.00480769230769,0.0
17,17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.0246478873239,0.0
18,18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037,0.0
19,19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.0192307692308,0.0
20,20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.00970873786408,0.0
21,21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.00662251655629,0.0
22,22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.00480769230769,0.0
23,23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.00704225352113,0.0
24,24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.0294117647059,0.0
25,25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.0029411764705900003,0.0
26,26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.00480769230769,0.0
27,27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.00480769230769,0.0
28,28,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [0, 9, 1]]",7,1,0.00970873786408,0.0
29,29,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2]]",8,1,0.0192307692308,0.0
30,30,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [4, 8, 1]]",7,2,0.0194174757282,0.0
