,board_name,path,move_number_in_path,count,participants_prob
0,10_easy_full,"[[0, 1, 1]]",1,1,0.00220264317181
1,10_easy_full,"[[0, 3, 1]]",1,1,0.00220264317181
2,10_easy_full,"[[0, 5, 1], [4, 4, 2], [4, 9, 1]]",3,1,0.00294117647059
3,10_easy_full,"[[0, 5, 1], [4, 4, 2]]",2,1,0.00259067357513
4,10_easy_full,"[[0, 5, 1], [4, 7, 2]]",2,1,0.00259067357513
5,10_easy_full,"[[0, 5, 1], [4, 8, 2], [4, 9, 1]]",3,1,0.00294117647059
6,10_easy_full,"[[0, 5, 1], [4, 8, 2]]",2,2,0.00518134715026
7,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 1, 2]]",4,1,0.00352112676056
8,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [0, 8, 1]]",5,1,0.00480769230769
9,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2], [1, 2, 1]]",7,1,0.00970873786408
10,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1], [2, 2, 2]]",6,2,0.0132450331126
11,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 3, 1]]",5,4,0.0192307692308
12,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1], [1, 9, 2]]",6,1,0.00662251655629
13,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 8, 1]]",5,1,0.00480769230769
14,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2], [0, 9, 1]]",7,1,0.00970873786408
15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.00662251655629
16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.00480769230769
17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.0246478873239
18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037
19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.0192307692308
20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.00970873786408
21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.00662251655629
22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.00480769230769
23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.00704225352113
24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.0294117647059
25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.00294117647059
26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.00480769230769
27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.00480769230769
28,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [0, 9, 1]]",7,1,0.00970873786408
29,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2]]",8,1,0.0192307692308
30,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [4, 8, 1]]",7,2,0.0194174757282
31,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2]]",6,3,0.0198675496689
32,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [2, 9, 2], [4, 8, 1], [5, 8, 2]]",8,1,0.0192307692308
33,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [2, 9, 2], [4, 8, 1]]",7,1,0.00970873786408
34,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [2, 9, 2]]",6,1,0.00662251655629
35,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2], [4, 7, 1], [9, 8, 2], [9, 9, 1], [9, 4, 2]]",14,1,0.166666666667
36,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2], [4, 7, 1], [9, 8, 2], [9, 9, 1]]",13,1,0.166666666667
37,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2], [4, 7, 1], [9, 8, 2]]",12,1,0.166666666667
38,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2], [4, 7, 1]]",11,1,0.0833333333333
39,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1], [5, 8, 2]]",10,1,0.0625
40,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2], [4, 8, 1]]",9,1,0.037037037037
41,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1], [0, 8, 2]]",8,1,0.0192307692308
42,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2], [5, 4, 1]]",7,1,0.00970873786408
43,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 4, 2]]",6,1,0.00662251655629
44,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 7, 2], [4, 8, 1], [0, 8, 2]]",8,1,0.0192307692308
45,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 7, 2], [4, 8, 1]]",7,1,0.00970873786408
46,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 7, 2]]",6,1,0.00662251655629
47,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1]]",7,1,0.00970873786408
48,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [4, 8, 2]]",6,3,0.0198675496689
49,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1]]",5,11,0.0528846153846
50,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2], [6, 5, 1], [8, 7, 2], [3, 2, 1]]",11,1,0.0833333333333
51,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2], [6, 5, 1], [8, 7, 2]]",10,1,0.0625
52,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2], [6, 5, 1]]",9,1,0.037037037037
53,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2]]",8,1,0.0192307692308
54,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [9, 8, 2]]",8,1,0.0192307692308
55,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1]]",7,1,0.00970873786408
56,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2]]",6,1,0.00662251655629
57,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1]]",5,1,0.00480769230769
58,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1], [4, 4, 2], [4, 7, 1]]",7,1,0.00970873786408
59,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1], [4, 4, 2]]",6,1,0.00662251655629
60,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1]]",5,1,0.00480769230769
61,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2], [7, 4, 1], [7, 3, 2]]",36,1,0.5
62,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2], [7, 4, 1]]",35,1,0.5
63,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2]]",34,1,0.5
64,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1]]",33,1,0.5
65,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2]]",32,1,0.5
66,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1]]",31,1,0.5
67,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2]]",30,1,0.5
68,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1]]",29,1,0.5
69,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2]]",28,1,0.5
70,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1]]",27,1,0.5
71,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2]]",26,1,0.5
72,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1]]",25,1,0.5
73,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2]]",24,1,0.5
74,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1]]",23,1,0.5
75,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2]]",22,1,0.5
76,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1]]",21,1,0.5
77,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2]]",20,1,0.5
78,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1]]",19,1,0.5
79,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2]]",18,1,0.5
80,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1]]",17,1,0.5
81,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2]]",16,1,0.333333333333
82,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1]]",15,1,0.25
