board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,56,0,"[[0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, -1e-05, 0.027522935779816515, -2e-05, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258], [0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, -2e-05, -1e-05, -1e-05, -1e-05, 0.03211009174311927, 0.03211009174311927], [0.013761467889908258, 0.013761467889908258, 0.013761467889908258, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013761467889908258, 0.013761467889908258], [0.013761467889908258, 0.013761467889908258, 0.013761467889908258, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013761467889908258, 0.013761467889908258, -1e-05, 0.013761467889908258, -2e-05, -2e-05, 0.013761467889908258, 0.013761467889908258, 0.027522935779816515], [-1e-05, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.0045871559633027525, 0.009174311926605505, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258], [-1e-05, -1e-05, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.0045871559633027525, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258], [-2e-05, -2e-05, 0.027522935779816515, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, -1e-05, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258], [0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.027522935779816515, 0.013761467889908258, 0.013761467889908258, -1e-05, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258], [0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.013761467889908258, 0.009174311926605505, -2e-05, -2e-05, -2e-05, 0.013761467889908258, 0.013761467889908258]]"
10_easy_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,56,0,"[[0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, -1e-05, -2e-05, -2e-05, 0.013157894736842105, 0.013157894736842105, 0.019736842105263157], [0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, -2e-05, -1e-05, -1e-05, -1e-05, 0.02631578947368421, 0.046052631578947366], [0.013157894736842105, 0.013157894736842105, 0.013157894736842105, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013157894736842105, 0.019736842105263157], [0.013157894736842105, 0.013157894736842105, 0.013157894736842105, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013157894736842105, 0.013157894736842105, -1e-05, 0.013157894736842105, -2e-05, -2e-05, 0.013157894736842105, 0.013157894736842105, -1e-05], [-1e-05, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.006578947368421052, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.019736842105263157], [-1e-05, -1e-05, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.006578947368421052, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105], [-2e-05, -2e-05, 0.08552631578947369, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, -1e-05, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105], [0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.019736842105263157, 0.013157894736842105, 0.013157894736842105, -1e-05, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105], [0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, -2e-05, -2e-05, -2e-05, 0.013157894736842105, 0.013157894736842105]]"
10_hard_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,25,1,"[[0.009345794392523364, 0.009345794392523364, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.037383177570093455, 0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -2e-05, -2e-05, 0.009345794392523364, 0.009345794392523364, -1e-05, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -2e-05, -1e-05, -2e-05, 0.028037383177570093, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -1e-05, -1e-05, 0.12149532710280374, 0.009345794392523364, 0.09345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -1e-05, -1e-05, 0.028037383177570093, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -2e-05, 0.018691588785046728, 0.009345794392523364, -2e-05, -2e-05, 0.009345794392523364, 0.018691588785046728, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364]]"
10_hard_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,45,0,"[[0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, -2e-05, -2e-05, 0.0058823529411764705, -1e-05, -1e-05, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941], [0.01764705882352941, 0.011764705882352941, -2e-05, -1e-05, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, -1e-05, -1e-05, 0.0058823529411764705, 0.0058823529411764705, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, -1e-05, -1e-05, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [-2e-05, 0.011764705882352941, -1e-05, 0.01764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, -1e-05, 0.13529411764705881, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, -2e-05, 0.011764705882352941, 0.011764705882352941, -2e-05, -2e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941], [0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, -1e-05, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941, 0.011764705882352941]]"
10_medium_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,42,0,"[[0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.011811023622047244, -1e-05, 0.011811023622047244, 0.011811023622047244, -2e-05, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.023622047244094488, 0.023622047244094488, -1e-05, -1e-05, 0.007874015748031496, 0.007874015748031496, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.023622047244094488, 0.011811023622047244, 0.003937007874015748, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011811023622047244], [0.011811023622047244, 0.011811023622047244, 0.023622047244094488, 0.003937007874015748, 0.011811023622047244, -1e-05, -2e-05, -2e-05, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.015748031496062992, 0.011811023622047244, -1e-05, 0.011811023622047244, -2e-05, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.015748031496062992, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, -1e-05, -1e-05, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, -1e-05, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244], [0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244, -2e-05, 0.011811023622047244, 0.011811023622047244, 0.011811023622047244]]"
10_medium_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,53,1,"[[0.011299435028248588, 0.011299435028248588, 0.022598870056497175, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.022598870056497175, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.022598870056497175, 0.022598870056497175, -1e-05, -1e-05, -1e-05, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.01694915254237288, 0.005649717514124294, 0.01694915254237288, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.05084745762711865, 0.011299435028248588, -1e-05, -2e-05, -2e-05, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, 0.01694915254237288, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, -1e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -1e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588], [0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, -2e-05, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588]]"
6_easy_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,24,1,"[[0.058823529411764705, -1e-05, 0.058823529411764705, -2e-05, 0.058823529411764705, 0.058823529411764705], [0.058823529411764705, -2e-05, -1e-05, -1e-05, 0.058823529411764705, 0.058823529411764705], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.058823529411764705], [-2e-05, 0.058823529411764705, -1e-05, -1e-05, -2e-05, 0.0196078431372549], [-1e-05, 0.0392156862745098, -2e-05, -2e-05, 0.0392156862745098, 0.058823529411764705], [0.058823529411764705, 0.058823529411764705, 0.0196078431372549, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705]]"
6_easy_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,12,1,"[[0.06, -1e-05, -2e-05, -2e-05, 0.06, 0.06], [0.06, -2e-05, -1e-05, -1e-05, 0.04, 0.02], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.04], [-2e-05, 0.06, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.06, -2e-05, -2e-05, 0.06, 0.08], [0.06, 0.06, 0.1, 0.06, 0.06, 0.06]]"
6_hard_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,4,1,"[[0.08, -2e-05, 0.02, 0.04, -1e-05, 0.02], [0.02, -2e-05, -1e-05, -2e-05, 0.04, 0.02], [0.06, -1e-05, 0.12, 0.04, 0.02, 0.02], [0.02, -1e-05, 0.06, -2e-05, 0.04, 0.04], [0.02, -1e-05, 0.06, 0.02, 0.1, 0.02], [0.02, -2e-05, 0.04, 0.04, -2e-05, 0.02]]"
6_hard_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,27,0,"[[0.08163265306122448, -2e-05, 0.04081632653061224, -1e-05, -1e-05, 0.04081632653061224], [0.04081632653061224, -2e-05, -1e-05, -2e-05, 0.08163265306122448, 0.02040816326530612], [0.061224489795918366, -1e-05, 0.061224489795918366, 0.02040816326530612, 0.04081632653061224, 0.02040816326530612], [-2e-05, -1e-05, 0.10204081632653061, -2e-05, 0.061224489795918366, 0.02040816326530612], [0.02040816326530612, -1e-05, 0.04081632653061224, 0.061224489795918366, 0.061224489795918366, 0.02040816326530612], [0.02040816326530612, -2e-05, 0.04081632653061224, 0.02040816326530612, -2e-05, 0.02040816326530612]]"
