board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,56,0,"[[0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.010638297872340425, -2e-05, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -2e-05, -1e-05, -1e-05, -1e-05, 0.010638297872340425, 0.010638297872340425], [0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.010638297872340425, 0.010638297872340425], [0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.010638297872340425, -2e-05, -2e-05, 0.010638297872340425, 0.010638297872340425, 0.031914893617021274], [-1e-05, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [-1e-05, -1e-05, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.1702127659574468, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [-2e-05, -2e-05, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.010638297872340425, 0.010638297872340425, 0.010638297872340425], [0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.02127659574468085, 0.010638297872340425, 0.010638297872340425, -1e-05, 0.05319148936170213, 0.010638297872340425, 0.010638297872340425], [0.010638297872340425, 0.010638297872340425, 0.010638297872340425, 0.02127659574468085, 0.031914893617021274, -2e-05, -2e-05, -2e-05, 0.010638297872340425, 0.02127659574468085]]"
10_easy_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,20,1,"[[0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -1e-05, -2e-05, -2e-05, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521], [0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -2e-05, -1e-05, -1e-05, -1e-05, 0.007042253521126761, 0.007042253521126761], [0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014084507042253521, 0.014084507042253521], [0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014084507042253521, 0.014084507042253521, -1e-05, 0.014084507042253521, -2e-05, -2e-05, 0.014084507042253521, 0.014084507042253521, -1e-05], [-1e-05, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.02112676056338028], [-1e-05, -1e-05, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.04225352112676056, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.02112676056338028], [-2e-05, -2e-05, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, -1e-05, 0.014084507042253521, 0.014084507042253521, 0.02112676056338028], [0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.02112676056338028, 0.014084507042253521, 0.014084507042253521, -1e-05, 0.02112676056338028, 0.014084507042253521, 0.014084507042253521], [0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.02112676056338028, 0.028169014084507043, -2e-05, -2e-05, -2e-05, 0.014084507042253521, 0.014084507042253521]]"
10_hard_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,25,1,"[[0.009345794392523364, 0.009345794392523364, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.037383177570093455, 0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -2e-05, -2e-05, 0.009345794392523364, 0.009345794392523364, -1e-05, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -2e-05, -1e-05, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -1e-05, -1e-05, 0.1308411214953271, 0.009345794392523364, 0.11214953271028037, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -1e-05, -1e-05, 0.018691588785046728, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -2e-05, 0.018691588785046728, 0.009345794392523364, -2e-05, -2e-05, 0.009345794392523364, 0.018691588785046728, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364]]"
10_hard_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,28,0,"[[0.009523809523809525, 0.009523809523809525, 0.009523809523809525, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.0380952380952381, 0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -2e-05, -2e-05, 0.02857142857142857, -1e-05, -1e-05, -1e-05, 0.02857142857142857, -2e-05, 0.009523809523809525], [0.02857142857142857, 0.009523809523809525, -2e-05, -1e-05, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -1e-05, -1e-05, 0.047619047619047616, 0.009523809523809525, 0.047619047619047616, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.02857142857142857, -1e-05, -1e-05, 0.02857142857142857, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [-2e-05, 0.02857142857142857, -1e-05, 0.02857142857142857, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, 0.01904761904761905, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -2e-05, 0.0380952380952381, 0.009523809523809525, -2e-05, -2e-05, 0.009523809523809525, 0.01904761904761905, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525]]"
10_medium_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,42,0,"[[0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.016260162601626018, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, -1e-05, 0.012195121951219513, 0.012195121951219513, -2e-05, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.016260162601626018, -1e-05, -1e-05, 0.008130081300813009, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.0040650406504065045, 0.008130081300813009, 0.012195121951219513, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.0040650406504065045, 0.012195121951219513, 0.012195121951219513, -1e-05, -2e-05, -2e-05, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.02032520325203252, -1e-05, 0.012195121951219513, -2e-05, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.016260162601626018, 0.012195121951219513, -1e-05, -1e-05, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.016260162601626018, 0.012195121951219513, 0.012195121951219513, -1e-05, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513], [0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, -2e-05, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513]]"
10_medium_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,53,1,"[[0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.023952095808383235, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, -1e-05, 0.011976047904191617, 0.011976047904191617, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, -1e-05, -1e-05, -1e-05, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.005988023952095809, 0.023952095808383235, 0.023952095808383235, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.005988023952095809, 0.011976047904191617, 0.011976047904191617, -1e-05, -2e-05, -2e-05, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.029940119760479042, -1e-05, 0.011976047904191617, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -1e-05, -1e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -1e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617], [0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617, -2e-05, 0.011976047904191617, 0.011976047904191617, 0.011976047904191617]]"
6_easy_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,24,1,"[[0.05263157894736842, -1e-05, 0.017543859649122806, -2e-05, 0.05263157894736842, 0.05263157894736842], [0.05263157894736842, -2e-05, -1e-05, -1e-05, 0.03508771929824561, 0.03508771929824561], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07017543859649122], [-2e-05, 0.08771929824561403, -1e-05, -1e-05, -2e-05, 0.017543859649122806], [-1e-05, 0.05263157894736842, -2e-05, -2e-05, 0.05263157894736842, 0.08771929824561403], [0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.07017543859649122]]"
6_easy_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,49,12,1,"[[0.06060606060606061, -1e-05, -2e-05, -2e-05, 0.06060606060606061, 0.06060606060606061], [0.06060606060606061, -2e-05, -1e-05, -1e-05, 0.030303030303030304, 0.030303030303030304], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06060606060606061], [-2e-05, 0.06060606060606061, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.06060606060606061, -2e-05, -2e-05, 0.06060606060606061, 0.09090909090909091], [0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]]"
6_hard_full,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,4,1,"[[0.08, -2e-05, 0.04, 0.08, -1e-05, 0.02], [0.02, -2e-05, -1e-05, -2e-05, 0.04, 0.02], [0.02, -1e-05, 0.06, 0.04, 0.06, 0.02], [0.02, -1e-05, 0.06, -2e-05, 0.02, 0.02], [0.02, -1e-05, 0.08, 0.06, 0.08, 0.02], [0.02, -2e-05, 0.06, 0.02, -2e-05, 0.02]]"
6_hard_pruned,paths_non-linear_Infinity,paths,False,False,2,square,2,True,50,16,0,"[[0.029850746268656716, -2e-05, 0.05970149253731343, -1e-05, -1e-05, 0.05970149253731343], [0.029850746268656716, -2e-05, -1e-05, -2e-05, 0.029850746268656716, 0.029850746268656716], [0.04477611940298507, -1e-05, 0.014925373134328358, 0.07462686567164178, 0.014925373134328358, 0.029850746268656716], [-2e-05, -1e-05, 0.014925373134328358, -2e-05, 0.04477611940298507, 0.029850746268656716], [0.07462686567164178, -1e-05, 0.029850746268656716, 0.08955223880597014, 0.1044776119402985, 0.04477611940298507], [0.029850746268656716, -2e-05, 0.029850746268656716, 0.05970149253731343, -2e-05, 0.029850746268656716]]"
